ZINC01174928	O=Cc1ccc(OCc2ccc(C(=O)[O-])cc2)c(I)c1
ZINC04232049	O=C(N/N=C/c1cccc(Cl)c1Cl)c1ccccc1NS(=O)(=O)c1ccc(Cl)cc1
ZINC02984930	CCc1ccc2oc(-c3ccc(C)c(NC(=S)NC(=O)c4ccc(OC(C)C)cc4)c3)nc2c1
ZINC02863863	COc1cc2ccccc2cc1C(=O)NC(=S)Nc1cc(-c2nc3ccccc3o2)ccc1C
ZINC02145579	COc1ccc(Cl)cc1C(=O)NC(=S)Nc1ccc2oc(-c3ccc(C)c(C)c3)nc2c1
ZINC08754423	O=C(N/N=C/c1ccc(OCC(O)Cn2c3ccccc3c3ccccc32)cc1)c1ccccc1
ZINC08832897	O=C(NC(=S)Nc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(OCc2ccccc2)cc1
ZINC08844895	COc1ccc(OC)c(-c2csc(-c3c(N)c(C(=O)c4ccc(C)c(C)c4)n4ccccc34)n2)c1
ZINC08894046	COc1cc2sc(NC(=S)NC(=O)c3ccc(-c4ccc(C)c(Cl)c4)o3)nc2cc1Cl
ZINC02613941	Cc1sc2nc(SC(C)C(=O)Nc3ccc(Oc4ccccc4)cc3)[nH]c(=O)c2c1-c1ccccc1
ZINC03655215	CCCCCCSc1nnc2c(n1)OC(c1ccc(O)cc1)Nc1ccc(Br)cc1-2
ZINC09846240	COc1ccc(Cl)cc1C(=O)NC(=S)Nc1cc(-c2nc3cc(Cl)ccc3o2)ccc1C
ZINC10058972	COc1ccc(/C=C/C(=O)Oc2ccc(C3N=C(O)c4c(sc5c4CCC(C(C)(C)C)C5)N3)cc2)cc1
ZINC10212321	Cc1ccc(Nc2nnc(SCc3csc(CC(=O)Nc4ccccc4C)n3)s2)cc1C
ZINC03322374	CCc1ccc(Nc2nnc(SCc3nc4sc5c(c4c(=O)[nH]3)CCC(C)C5)s2)cc1
ZINC13940878	Cc1ccccc1NC(=O)C1(N(Cc2ccco2)C(=O)Cc2cc3ccccc3[nH]2)CCCCC1
ZINC14017574	COc1cc2c(cc1NC(=O)C(NC(=O)C13CC4CC(CC(C4)C1)C3)C(C)C)oc1ccccc12
ZINC14270693	CCCOc1cccc(C(=O)NC(=S)Nc2cc(-c3nc4cc(C)ccc4o3)ccc2C)c1
ZINC14274029	Cc1ccc(-c2cc3ccccc3oc2=O)cc1NC(=S)NC(=O)c1ccc(-c2ccc(Cl)cc2)o1
ZINC14275798	Cc1ccc(C(=O)NC(=S)Nc2cc3nn(-c4ccc(C(C)C)cc4)nc3cc2C)cc1Cl
ZINC16571725	CCC(C)C(NC(=O)C12CC3CC(CC(C3)C1)C2)C(=O)Nc1nnc(-c2ccc(C)cc2)s1
ZINC27019442	Cc1ccc(NC(=O)CC2C(=O)Nc3ccccc3N2C(=O)/C=C/c2ccc(C(C)(C)C)cc2)cc1
ZINC28703278	Fc1ccc(-c2nc3c(NC4CCCC4)cc(Cl)cn3c2-c2ccnc(NC3CCCC3)n2)cc1
ZINC31829201	CC(C)(C)c1ccc(/C=N\Nc2nc(-c3ccc(Cl)cc3)c(NC(=O)c3ccco3)s2)cc1
ZINC01268417	CCC(C)c1ccc2oc(-c3ccc(Cl)c(NC(=S)NC(=O)c4ccco4)c3)nc2c1
ZINC33085555	CC1=C(C(=O)Nc2ccccc2)C(c2ccc(C)cc2)n2nc(SCc3cc(C)ccc3C)nc2N1
ZINC33085561	CCc1ccc(C2C(C(=O)Nc3ccccc3)=C(C)Nc3nc(SCc4cc(C)ccc4C)nn32)cc1
ZINC04256030	O=C(c1ccccc1)c1ccc2[nH]c(/C=C/c3nc4ccc(C(=O)c5ccccc5)cc4[nH]3)nc2c1
ZINC34744182	O=C(NCCSc1c(-c2ccc(Cl)cc2)[nH]c2ccccc12)c1ccc(Cl)c([N+](=O)[O-])c1
ZINC35707885	Cc1ccc(-n2c(SCc3ccccc3C)nnc2C(C)NC(=O)Nc2cccc(Cl)c2)cc1
ZINC08687457	Cc1ccccc1NCC(=O)N/N=C/c1c(C)c(C(=O)c2ccc(Cl)cc2)n2ccccc12
ZINC27472177	O=C1C=C/C(=N\Nc2ccccc2Cl)C=C1/C=N/c1cccc(NC(=O)c2ccccc2Cl)c1
ZINC39911829	CCCN1C(=O)c2[nH]nc(-c3cc(C)cc(C)c3O)c2C1c1cccc(OCc2ccccc2)c1
ZINC39911931	CCCCN1C(=O)c2[nH]nc(-c3cc(C)cc(C)c3O)c2C1c1cccc(OCc2ccccc2)c1
ZINC39912104	C=CCN1C(=O)c2[nH]nc(-c3cc(C)cc(C)c3O)c2C1c1ccc(OCc2ccccc2)cc1
ZINC39914522	C=CCN1C(=O)c2[nH]nc(-c3cc(Cl)c(C)cc3O)c2C1c1ccc(OCCCC)cc1
ZINC38705517	CCCOc1cccc(C2c3c(-c4c(C)cc(C)cc4O)n[nH]c3C(=O)N2Cc2ccc(C)cc2)c1
ZINC38705528	CCCOc1cccc(C2c3c(-c4c(C)cc(C)cc4O)n[nH]c3C(=O)N2Cc2ccc(F)cc2)c1
ZINC38705683	CCCCN1C(=O)c2[nH]nc(-c3c(C)cc(C)cc3O)c2C1c1cccc(OCc2ccccc2)c1
ZINC40926302	CC(C)c1ccc(-c2ccc(N3CCC(C(=O)NCCc4c[nH]c5ccccc45)CC3)nn2)cc1
ZINC40982520	CCCSc1nc2n(n1)C(c1ccc(C(C)C)cc1)C(C(=O)Nc1ccc(C)cc1)=C(C)N2
ZINC41021388	CCCSc1nc2n(n1)C(c1ccc(CC)cc1)C(C(=O)Nc1cccc(C)c1C)=C(C)N2
ZINC08721743	CC(C)(C)c1ccc2c(c1)OC(C(=O)N/N=C\c1cc(Cc3ccccc3Cl)ccc1O)CO2
ZINC08845514	COc1ccc(CCN2C(=O)c3n[nH]c(-c4cc(C)cc(C)c4O)c3C2c2ccc(C)cc2)cc1
ZINC08845514	COc1ccc(CCN2C(=O)c3[nH]nc(-c4cc(C)cc(C)c4O)c3C2c2ccc(C)cc2)cc1
ZINC57345874	CCc1ccc2oc(-c3cc(NC(=O)C(OC)c4ccccc4Cl)cc(C)c3O)nc2c1
ZINC33939144	OC(c1ccccc1)c1nnc(S/C(=N/Nc2ccccc2)c2ccccc2)n1-c1ccccc1
ZINC59438080	COc1c(Cl)cc(C(=O)NC(=S)Nc2cccc(-c3nc4cc(C)cc(C)c4o3)c2C)cc1Cl
ZINC59447253	COc1cc(/C=N/NC(=O)c2cc(Br)ccc2O)ccc1OCc1cccc2ccccc12
ZINC59678946	Cc1ccc(NC(=O)c2c(-n3c(C)cc(/C=N/NC(=O)c4cccs4)c3C)sc3c2CCCC3)cc1
ZINC09309070	CCOc1ccc(C2NN(c3ccccc3)C=C2/C=C/C23N=C(O)CCN2c2ccccc2C3(C)C)cc1
ZINC09309070	CCOc1ccc(C2NN(c3ccccc3)C=C2/C=C/C23NC(=O)CCN2c2ccccc2C3(C)C)cc1
ZINC02520243	CCOC(=O)c1c(NC(=O)C(=O)N/N=C/c2cccc3ccccc23)sc2c1CCC(C)C2
ZINC02532056	Cc1ccccc1NC(=O)C(=O)N/N=C/c1cccc(OC(=O)c2ccc(Cl)cc2Cl)c1
ZINC06905452	COCCn1c(SCC(=O)Nc2cccc3ccccc23)nnc1-c1cc2ccccc2cc1O
ZINC00980415	CCc1ccc2oc(-c3ccc(C)c(NC(=S)NC(=O)c4cc(OC)cc(OC)c4)c3)nc2c1
ZINC06143401	CCOc1cc(/C=N/Nc2cn[nH]c(=O)c2Br)ccc1OCc1c(F)cccc1Cl
ZINC01200139	O=C(CSc1nnc(-c2ccc(Cl)cc2)n1-c1ccccc1)N/N=C/c1cccc(O)c1
ZINC09357276	C/C(=N/NC(=O)CSc1nnc(-c2ccc(Cl)cc2)n1-c1ccc(C)cc1)c1ccc(O)cc1
ZINC09648310	FC(F)Sc1ccc(Nc2nc(NCC3CCCO3)nc3c2cnn3-c2ccccc2)cc1
ZINC10245633	COc1ccc(/C=C/C(=O)Nc2c(C(=O)Nc3cccc(Cl)c3)oc3ccccc23)cc1OC
ZINC10851509	CCOC(=O)c1c(NC(=O)COc2ccc(-c3ccccc3)cc2Cl)sc(C(=O)NC)c1C
ZINC12564206	COc1ccc(/C=C/C(=O)Nc2ccc(C)c(S(=O)(=O)Nc3ccc(Cl)cc3)c2)cc1OC
ZINC03416797	CC(=O)Nc1sc(C)c(C)c1C(=O)OCC(=O)Nc1ccc(-c2nc3ccc(C)cc3s2)cc1
ZINC06101415	C=CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(C(=O)Nc2nc3ccccc3[nH]2)c1
ZINC01338921	Cc1cc(NC(=O)C2CCCCC2)ccc1NC(=O)CSc1nnc(-c2cccs2)n1C
ZINC14651253	Cc1cc(C)n(NC(=S)NC(=O)c2cc(Br)ccc2OCCC(C)C)c(=O)c1C#N
ZINC14667290	CC(C)COc1ccc(Br)cc1C(=O)NC(=S)Nc1ccc([N+](=O)[O-])cc1Cl
ZINC14913943	CCCc1ccc(-c2nc(NC(=O)CN3C(=O)NC(CC)(c4ccccc4)C3=O)sc2C)cc1
ZINC03427161	O=C(COC(=O)Cc1coc2ccc3ccccc3c12)Nc1ccccc1C(=O)Nc1ccccc1
ZINC16183937	Cn1c(SCc2nc3ccccc3[nH]2)nnc1-c1ccc(NC(=O)/C=C/c2ccccc2)cc1
ZINC16543244	CC(Sc1nnc(Nc2cccc(Br)c2)s1)C(=O)NCc1ccc2c(c1)OCO2
ZINC16609685	CC1=C(C(=O)OC(C)C)C(c2cccc(NC(=O)COc3ccc(Cl)cc3)c2)NC(=S)N1C
ZINC06016760	CC(CCc1ccccc1)NC(=O)CSc1nnc(-c2n[nH]c3ccccc23)n1-c1ccccc1
ZINC19849060	COc1cccc(/C=N\NC(=O)CSc2nc3ccccc3n2Cc2ccccc2Cl)c1O
ZINC20882156	CCc1cccc2c(C(=O)CSc3nnc(-c4c[nH]c5ccccc45)n3CC3CCCO3)c[nH]c12
ZINC21232816	COc1cc(Cl)c(C)cc1NC(=O)C(C)Sc1nnc(Nc2ccccc2OC)s1
ZINC21578249	CCOc1cc(NC(=O)c2ccccc2)c(OCC)cc1NC(=O)CN1c2ccccc2CC1C
ZINC22534975	CC(Sc1nnc(COc2ccc(C(C)(C)C)cc2)n1N)C(=O)N1c2ccccc2CC1C
ZINC22740721	COc1cccc(OC)c1C(=O)NC(=S)Nc1ccc2oc(-c3cccc4ccccc34)nc2c1
ZINC22746417	CC(Sc1nnc(-c2c[nH]c3ccccc23)n1CC1CCCO1)C(=O)NC1CCCC(C)C1C
ZINC22880197	CCC(C)C(NC(=O)c1ccccc1)C(=O)Nc1nc(C)c(Cc2ccc3c(c2)OCO3)s1
ZINC23516892	Cc1cc(C)c(NC(=O)CSc2nnc(-c3c[nH]c4ccccc34)n2CC2CCCO2)c(Cl)c1
ZINC24619040	Cc1ccc(NC(=O)Cc2csc(-c3ccco3)n2)cc1S(=O)(=O)Nc1ccccc1Cl
ZINC28295919	COc1cc(S(=O)(=O)NCCc2c(C)[nH]c3ccc(OC(F)(F)Cl)cc23)c(OC)cc1C
ZINC28537002	C=CCN1C=C(Oc2ccc(OC)cc2)NC(SCC(=O)Nc2cccc(Cl)c2Cl)=N1
ZINC32961317	COc1cc(NC(=O)COc2ccc(Cl)cc2)cc2sc(NC(=O)c3ccccc3)nc12
ZINC35728986	CCC(C)C(NC(=O)c1ccccc1Cl)C(=O)Nc1nnc(-c2ccc(N(C)C)cc2)s1
ZINC19800207	CC(/C=N/NC(=O)c1cc(C(=O)N/N=C/C(C)=C/c2ccccc2)c(C)nc1C)=C\c1ccccc1
ZINC40004228	CCOc1cc(/C=C2\SC(=S)N(NC(=O)c3ccccc3O)C2=O)ccc1OCCC(C)C
ZINC39898147	COCCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2C1c1cccc(Oc2ccccc2)c1
ZINC39911599	COCCN1C(=O)c2[nH]nc(-c3cc(C)cc(C)c3O)c2C1c1cccc(Oc2ccccc2)c1
ZINC39914093	COCCN1C(=O)c2[nH]nc(-c3cc(Cl)c(C)cc3O)c2C1c1cccc(OCCC(C)C)c1
ZINC39914629	CCCOc1cccc(C2c3c(-c4cc(Cl)c(C)cc4O)n[nH]c3C(=O)N2Cc2ccco2)c1
ZINC41023493	CCOc1cccc(C2C(C(=O)Nc3cccc(C)c3C)=C(C)Nc3nc(SCC)nn32)c1
ZINC45189127	CCCOc1cc(OCCC)cc(-c2ccc(C(=O)Nc3ccc4ccc(C)nc4c3)c(=O)[nH]2)c1
ZINC45540959	Cc1c(C#N)c(NC(=O)CSc2nc(-c3ccc(Cl)cc3)n[nH]2)n(Cc2ccccc2)c1C
ZINC49421155	CCOc1ccc(CNC(=O)C2CCCN(c3nc4c(-c5ccccc5)csc4c(=O)[nH]3)C2)cc1
ZINC02654527	COc1ccc(C2C=C(c3ccccc3)NN2C(=O)CSc2nc(-c3ccc(C)cc3)n[nH]2)cc1
ZINC58543702	CCCCCC(C)NC(=O)N1CCN(Cc2nc3scc(-c4cccs4)c3c(=O)[nH]2)CC1
ZINC58913480	Cc1cc(/C=N/NC(=O)C(=O)Nc2ccc(Oc3ccccc3)cc2)c(C)n1-c1cccc(Cl)c1
ZINC59795401	COC(=O)c1c(NC(=O)CCSc2nc(-c3ccc(Cl)cc3)n[nH]2)sc2c1CCCC2
ZINC04235257	Clc1ccccc1/C=N/c1cc2c(cc1/C=C/c1ccccc1)CC(c1ccccc1)N2
ZINC02577710	O=C(NCCSCc1c(Cl)cccc1Cl)C1Cc2ccccc2C1C(Cl)Cl
ZINC00694941	O=C(Oc1ccc(/C=N/NC(=O)c2ccn(Cc3ccc(Cl)cc3)n2)cc1)c1ccccc1
ZINC08396788	CCc1ccc(/N=C2\S/C(=C\c3ccc4c(c3)OCO4)C(=O)N2c2ccc(CC)cc2)cc1
ZINC02055641	Cc1cc(C)c2oc(-c3ccc(NC(=O)c4ccccc4I)cc3)nc2c1
ZINC08397280	CCOC(=O)C1C(C)=NC2=C(C(=O)CC(c3ccc(Cl)cc3)C2)C1c1ccc2c(c1)OCO2
ZINC08398613	O=C1/C(=C\c2ccc(-c3ccc(Br)cc3)o2)SC(=S)N1c1cccc(Cl)c1
ZINC02754416	COc1ccc(/C=N/NC(=O)c2ccoc2C)cc1COc1cc(C)c(Cl)cc1C(C)C
ZINC08400112	COc1ccc(/N=C/C2=C(c3ccccc3)Oc3ccccc3C2c2ccccc2)cc1NC(C)=O
ZINC01008199	COc1ccc(/N=C2\S/C(=C\c3ccc4c(c3)OCO4)C(=O)N2CCc2c[nH]c3ccccc23)cc1
ZINC02143191	O=c1c2c3c(sc2nc(SCCOc2ccccc2)n1-c1ccc(F)cc1)CCCC3
ZINC02143287	CCc1ccc(-n2c(SCCOc3ccccc3)nc3sc4c(c3c2=O)CCCC4)cc1
ZINC08405108	COc1ccc(-c2csc(N3N=C(c4ccc(C)cc4)CC3c3ccc(Cl)cc3)n2)cc1F
ZINC08407313	CCc1ccc(-c2csc(N3N=C(c4cccs4)CC3c3ccc(F)cc3)n2)cc1
ZINC08426616	O=[N+]([O-])c1ccc(C2Oc3ccc(Br)cc3C3CC(c4ccc(Cl)cc4)=NN32)cc1
ZINC08426617	O=[N+]([O-])c1ccc(C2Oc3ccc(Br)cc3C3CC(c4ccc(Cl)cc4)=NN32)cc1
ZINC08426808	CC1=NC2=C(C(=O)CCC2)C(c2ccc(C(C)C)cc2)C1C(=O)OCCOc1ccccc1
ZINC08455350	Cc1ncsc1C(=O)N1N=C2/C(=C/c3ccc(Cl)cc3)CCCC2C1c1ccc(Cl)cc1
ZINC08455570	O=C(Nc1ccn(C23CC4CC(CC(C4)C2)C3)n1)c1ccc(COc2ccccc2Cl)cc1
ZINC08898999	Cc1ccccc1C(=O)Nc1c(Br)cc(Br)cc1-c1nc2ccccc2s1
ZINC09371743	Cc1cc(Br)cc2c(C(=O)Nc3ccc(Cl)cc3)cc(-c3ccc(Cl)cc3)nc12
ZINC09499198	Cc1cc(C)c2nc(-c3ccc(Cl)cc3)cc(C(=O)Nc3cc(C)c(Br)c(C)c3)c2c1
ZINC12656183	COc1ccc(C2=CC(c3ccccc3)C3CCCCC34Nc3ccccc3N24)cc1
ZINC14469790	Clc1cc(Cl)c2c(c1Cl)C1C=CCC1C(c1ccc(OCc3ccccc3)cc1)N2
ZINC14477746	Clc1ccc(C2Nc3ccc(OCCCc4ccccc4)cc3C3C=CCC32)c(Cl)c1
ZINC14549090	C1=CC2c3cc(Oc4ccccc4)ccc3NC(c3c4ccccc4cc4ccccc34)C2C1
ZINC14549300	CN(C(=O)c1cccc2c1NC(c1c3ccccc3cc3ccccc13)C1CC=CC21)C1CCCCC1
ZINC14549410	C1=CC2c3cccc(OCc4ccccc4)c3NC(c3c4ccccc4cc4ccccc34)C2C1
ZINC14549411	C1=CC2c3cccc(OCc4ccccc4)c3NC(c3c4ccccc4cc4ccccc34)C2C1
ZINC14549523	CN(C(=O)c1ccc2c(c1)C1C=CCC1C(c1c3ccccc3cc3ccccc13)N2)c1ccccc1
ZINC20058214	Clc1ccc(COc2ccc(C3Nc4c(Br)cccc4C4C=CCC43)cc2)cc1
ZINC20231360	CCCC(I)(C(=N)Cc1ccccc1)c1cc(CC)ccn1
ZINC13721416	Cc1cc(-c2ccc(CNCCc3ccc(Cl)cc3)o2)ccc1Br
ZINC20711786	Clc1cccc(C2Nc3ccc(OCCc4ccccc4)cc3C3C=CCC32)c1Cl
ZINC20753606	CN(C(=O)c1cccc2c1NC(c1c3ccccc3cc3ccccc13)C1CC=CC21)C1CCCCC1
ZINC20753685	CC(C)CCOc1ccc2c(c1)C1C=CCC1C(c1c3ccccc3cc3ccccc13)N2
ZINC20753796	C1=CC2c3cccc(OCc4ccccc4)c3NC(c3c4ccccc4cc4ccccc34)C2C1
ZINC27468905	Oc1ccc(Cl)cc1/C=N/c1ccc(C23CC4CC(CC(c5ccccc5)(C4)C2)C3)cc1
ZINC27471971	Cc1ccc(/N=C2\NC(=S)N(c3ccccc3Cl)C23CCC(C(C)(C)C)CC3)cc1
ZINC35057053	CC(Nc1c(Br)cc(Br)cc1Br)c1ccc(Cl)s1
ZINC37188113	CCOc1c(Br)cc(CNc2cc(Cl)ccc2Cl)cc1Br
ZINC37198557	CCOc1c(Br)cc(Br)cc1CNc1ccc(Br)cc1F
ZINC37247443	CCCOc1ccc(Br)cc1CNc1ccc(I)cc1
ZINC38173420	Cc1cc(C23CC4CC(CC(C4)C2)C3)cc(/N=C/c2cc(Br)ccc2O)c1C
ZINC39498946	CSc1cc2c(cc1I)C[NH+](Cc1ccccc1)/C2=C\c1ccccc1
ZINC40730990	CC(C)Oc1ccc(CNCCc2ccc(Cl)cc2Cl)cc1Br
ZINC40935927	Cc1sc(NC(=O)c2cc(Br)c(Br)s2)nc1-c1cccc(Cl)c1
ZINC02616087	Cc1ccc(-n2nc(C)c3c2NC(C)(c2ccc(Cl)cc2)C=C3c2ccc(Cl)cc2)cc1
ZINC02616086	Cc1ccc(-n2nc(C)c3c2NC(C)(c2ccc(Cl)cc2)C=C3c2ccc(Cl)cc2)cc1
ZINC59225575	Clc1cccc(/N=C(\Nc2cccc(Cl)c2Cl)SC2C=CCCC2)c1Cl
ZINC04047953	Cc1cccc(-n2c(C)cc(/C=N/NC(=O)C(O)(c3ccccc3)c3ccccc3)c2C)c1C
ZINC01497319	Cc1ccc(-c2cncc(-c3cc(NCCc4c[nH]c5ccccc45)nc(C)n3)c2)cc1
ZINC00724351	CCCC(=O)NC(=S)Nc1ccc2oc(-c3ccccc3Br)nc2c1
ZINC04731417	CCCNC(=O)CN1C(=O)c2ccccc2C1c1c(-c2ccccc2)[nH]c2ccccc12
ZINC01072134	COc1cc(S(=O)(=O)NCCc2c(C)[nH]c3ccc(Br)cc23)c(C)cc1C
ZINC07542224	Cc1noc(C)c1CCC(=O)NCC(c1ccccc1Cl)c1c[nH]c2ccccc12
ZINC06161560	COc1ccccc1NCC(=O)Nc1ncc(Cc2cccc(Br)c2)s1
ZINC09064836	COc1ccccc1NC(=S)NC(=O)/C=C/c1ccc(-c2cc(Cl)cc(Cl)c2)o1
ZINC09227317	O=C(NCCCNC(=O)c1cccs1)c1ccc(-c2cc(Cl)ccc2Cl)o1
ZINC03139456	O=C(N/N=C/c1ccc(-c2cccc(Cl)c2)o1)C(O)(c1ccccc1)c1ccccc1
ZINC02969725	O=C(NCCC1=CCCCC1)c1ccc2c(=O)n(Cc3ccccc3Cl)c(=S)[nH]c2c1
ZINC11520423	O=C(CCNC(=O)c1ccccc1)Nc1ncc(Cc2cc(Cl)ccc2Cl)s1
ZINC02655044	Cc1ccc(NC(=O)CSC(C)c2nc3scc(-c4ccccc4)c3c(=O)[nH]2)cc1C
ZINC13622419	CN(C(=O)c1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1)c1ccccc1
ZINC13685246	CC(Oc1ccc2ccccc2c1)C(=O)Nc1ccccc1C(=O)NCc1ccccc1
ZINC14459273	COc1cc(C2Nc3ccc(OCCOc4ccccc4)cc3C3C=CCC32)ccc1O
ZINC14459323	COc1cc(C2Nc3c(OCCOc4ccccc4)cccc3C3C=CCC32)ccc1O
ZINC14463389	CC(C)c1ccc(C2Nc3ccc(S(=O)(=O)NCC4CCCO4)cc3C3C=CCC32)cc1
ZINC14474475	Cc1sc2nc(CSC(C)C(=O)Nc3ccc(C(C)(C)C)cc3)[nH]c(=O)c2c1C
ZINC14479648	CCCC(=O)Nc1ccc(Cl)c2c1C1C=CCC1C(c1ccc(OC)c(OC)c1)N2
ZINC14544521	COCCCNC(=O)c1ccc2c(c1)C1C=CCC1C(c1c(OC)ccc3ccccc13)N2
ZINC14653424	CCCOc1ccc(Br)cc1C(=O)NC(=S)Nc1ccccc1OC
ZINC14771542	NC(=O)C(Sc1nnc(-c2ccccc2Cl)n1Cc1ccccc1)c1ccccc1
ZINC16643569	CC(C)(C)c1ccc(NC(=O)CCSCc2nc3sc4c(c3c(=O)[nH]2)CCC4)cc1
ZINC19203191	CC(NC(=O)c1ccccc1NC(=O)Cc1csc(-c2ccsc2)n1)c1ccccc1
ZINC19212596	CC(C)c1ccc(NC(=O)CSCc2nc3sc4c(c3c(=O)[nH]2)CCCC4)cc1
ZINC09015461	Cc1ccc(C)c(NC(=O)CSC2=C(C#N)C(c3ccc(C(C)C)cc3)CC(=O)N2)c1
ZINC21275302	Cc1ccccc1NC(=O)Cc1nc(-c2ccccc2)c(C(=O)Nc2ccccc2)s1
ZINC24033683	O=C(COc1cc(Cl)ccc1Cl)Nc1cccc(NC(=O)c2cccs2)c1
ZINC25245951	O=C(Nc1ccccc1C(=O)NC1CCCC1)c1ccc(SCc2cscn2)cc1
ZINC25595834	CCS(=O)(=O)Nc1cccc(C(=O)NC(c2ccc3c(c2)CCCC3)c2cccs2)c1
ZINC28310951	COc1ccc(NC(=O)/C(=C\c2cccs2)NC(=O)c2ccccc2Br)cc1
ZINC00916792	CCc1ccc2[nH]c(=O)c(CN(Cc3ccco3)C(=S)NC3CCCCC3)cc2c1
ZINC36492088	CC(C)(C)NC(=O)C(c1ccc(O)cc1)N(C(=O)c1ccccc1Cl)C1CCCCC1
ZINC29083019	Cc1sc2nc(CSC(C)C(=O)NC(C)c3ccc(C(C)C)cc3)[nH]c(=O)c2c1C
ZINC06794335	COc1ccc2c(C[NH2+]Cc3cccs3)c(C(=O)[O-])n(Cc3ccccc3C)c2c1
ZINC18038113	COC(=O)C(Cc1ccc(O)cc1)NC(=O)C12CC3CC(C1)CC(c1ccccc1)(C3)C2
ZINC38736794	CC(C)CN(CC(C)C)C(=O)c1ccc(-n2nc(-c3ccc(Cl)cc3)cc2N)cc1
ZINC39615765	O=C(NC(Cc1c[nH]c2ccccc12)C(=O)OCc1ccccc1F)c1cccs1
ZINC39867201	Cc1ccc2[nH]c(-c3ccc4ccccc4n3)c(CCCC(=O)NCc3ccccn3)c2c1
ZINC39967478	CCOC(=O)c1c(-c2cccc(Br)c2)csc1NC(=O)NC(C)CC
ZINC45520655	Cc1ccc(Cc2cnc(NC(=O)c3cccc(NC(=O)C4CC4)c3)s2)cc1Cl
ZINC45901989	CSCCC(NC(=O)c1sc2nc(C)cc(C)c2c1C)c1nc2ccccc2[nH]1
ZINC53364246	CCOc1cccc(C2CC(c3ccc(CC)cc3)=NC(c3cccc(OC)c3)N2)c1O
ZINC11424528	CCC(C)n1c(SC(C(N)=O)c2ccccc2)nc2sc3c(c2c1=O)CCCCC3
ZINC59019666	Clc1cccc(/C=N/Nc2nnc(SCc3cccc(Br)c3)[nH]2)c1
ZINC59738521	CC(C)Oc1ccccc1CSc1nnc(-c2ccccc2Br)n1N
ZINC19166890	O=C(COC(=O)CC12CC3CC(CC(O)(C3)C1)C2)Nc1c(Cl)cc(Cl)cc1Cl
ZINC12740188	Cc1ccc(C(NC(=O)CCc2nc(=O)c3c4c(sc3[nH]2)CCC4)c2cccs2)cc1
ZINC65082325	CC(CCc1ccccc1)NC(=O)C1COc2ccc(NC(=O)c3cccs3)cc2C1
ZINC04348799	CNC(=O)c1c(NC(=O)C(c2ccccc2)c2ccccc2)sc2c1CCCC2
ZINC02751749	O=C(NC1CCC(CC2CCC(NC(=O)C(F)(F)F)CC2)CC1)C(F)(F)F
ZINC04182297	S=C(NN=C1CSc2sc(=S)sc2SC1)Nc1ccccc1
ZINC01232373	O=C(/C=C/c1ccccc1)NC(=S)Nc1ccc(I)cc1
ZINC03230679	O=C(Nc1ccc(NC(=O)c2cc3c(s2)CCC3)cc1)c1cc2c(s1)CCC2
ZINC05055524	CNC(=O)c1c(NC(=O)c2ccccc2Br)sc2c1CCC(C)C2
ZINC05177417	Oc1ccc(Br)cc1C1N=C(c2ccccc2)N=C(c2ccccc2)N1
ZINC05324396	Cc1[nH]c2ccccc2c1C1(O)C(=O)N(Cc2cccs2)c2ccc(Cl)cc21
ZINC02668417	C=CCNC(=O)c1c(NC(=O)/C=C/c2ccccc2Cl)sc2c1CCCC2
ZINC13642697	C=CCNC(=O)c1cccc2c1NC(c1ccc3c(c1)c1ccccc1n3CC)C1CC=CC21
ZINC14456794	CCC(C)NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(C)s1)N2
ZINC14480093	Cc1cccc(C2Nc3c(C(=O)NC(C)c4ccccc4)cccc3C3C=CCC32)c1
ZINC14856833	CC(/C=C/C1(C)C(C)C=CC(=O)C1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O
ZINC15016342	CCOc1cc(/C=C/c2ccc3cccc(O)c3n2)cc(I)c1O
ZINC01216596	O=C(Nc1ccccc1Cl)c1c(NC(=O)C(Cl)(Cl)Cl)sc2c1CCC2
ZINC20504683	C=CCNC(=O)C(C)Nc1c(Br)cc(Br)cc1Br
ZINC20712433	O=C(NCC1CCCO1)c1cccc2c1NC(c1ccc(Cl)cc1Cl)C1CC=CC21
ZINC20729013	O=C1Nc2ccccc2S/C1=C/c1ccc(C(=O)NCc2ccc(F)cc2)cc1
ZINC20910051	Oc1ccc(Cl)cc1CN1CCCC(c2[nH]ncc2-c2c(F)cccc2F)C1
ZINC24473600	O=C(NNC(=O)c1ccccc1I)c1cc2c(s1)CCCCC2
ZINC25669038	O=C(NCC1CC2c3ccccc3C1c1ccccc12)c1cc2ccccc2c(=O)[nH]1
ZINC13759873	COc1ccc(F)c(F)c1CC/[NH+]=C(\[S-])Nc1ccc(Br)cn1
ZINC01410784	N#C/C(=C\c1ccc(OCc2ccc(Cl)cc2Cl)c(Br)c1)C(N)=O
ZINC30738223	O=C(Cc1cccs1)N/N=C\c1cc(O)c(Br)cc1Br
