ZINC06680090	CCNC(=O)c1cc(S(=O)(=O)NCC(=O)[O-])c(C)s1
ZINC40481550	CC1CCC(NC(=O)C2CC(O)C[NH2+]2)(C(=O)[O-])CC1
ZINC40482107	CC(C)(C)C(NC(=O)C1CC(O)C[NH2+]1)C(=O)[O-]
ZINC40486880	CC(C)(C)C(NC(=O)C1CC(O)C[NH2+]1)C(=O)[O-]
ZINC42425070	CNC(=O)C1CCCCN1C(=O)C(=O)NCC(N)=S
ZINC42429643	CC(CC(=O)[O-])NC(=O)NC1CC[NH2+]CC1
ZINC42430292	CCC(C)C(NC(=O)N1CCCC([NH3+])C1)C(=O)[O-]
ZINC42430402	CC(C)CC(NC(=O)N1CCCC([NH3+])C1)C(=O)[O-]
ZINC42431109	CC(O)C(NC(=O)N(C)C1CC[NH2+]CC1)C(=O)[O-]
ZINC44977203	CC(NC(=O)c1ccc(F)cc1C#CC[NH3+])c1nnn[n-]1
ZINC45083944	Nc1cccc2c1C(=O)N(CCCS(N)(=O)=O)C2=O
ZINC45156359	CC(NC(N)=O)C(=O)NCC1CCS(=O)(=O)C1
ZINC48494236	NC(=O)c1cc(NC(=O)C(=O)NC2CC2)ccc1F
ZINC48835327	Cc1oc(CNC(=O)NC2CC[NH2+]CC2)cc1C(=O)[O-]
ZINC48949741	CNC(=O)NNC(=O)C(NC(C)=O)C1CCCC1
ZINC49069539	NS(=O)(=O)c1cc(C(=O)NC2CCC(O)CC2)cs1
ZINC49087302	CC(NC(N)=O)C(=O)NCC(=O)N(C)C
ZINC49355244	CC([NH2+]C(C)c1ccc2[nH]c(=O)[nH]c2c1)C(=O)[O-]
ZINC49519727	NC(=O)NC1CCCN(C(=O)CNC(=O)C2CC2)C1
ZINC34938226	NC(=O)CNCc1nc(=O)c2sccc2[nH]1
ZINC50244608	[NH3+]C1CCN(C(=O)NC2(C(=O)[O-])CCCC2)C1
ZINC50251348	CC(NC(=O)N1CCC(C[NH3+])C1)(C(=O)[O-])C1CC1
ZINC51992099	Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)NC1CCCCC1O
ZINC54525757	[NH3+]CC1CCN(C(=O)NC(C(=O)[O-])C2CC2)C1
ZINC36998498	NC(=O)Cn1cc(NC2C(=O)Nc3ccc(F)cc32)cn1
ZINC36998643	NC(=O)Cn1cc(NC2C(=O)Nc3cc(F)ccc32)cn1
ZINC60403649	NC(=O)NCC(=O)Nc1cc(N2CCCC2=O)ccc1F
ZINC61887321	Cc1n[nH]c(C)c1S(=O)(=O)NC1CCCC1C(N)=S
ZINC61887323	Cc1n[nH]c(C)c1S(=O)(=O)NC1CCCC1C(N)=S
ZINC61888067	CN(C)S(=O)(=O)NC1CCCC1/C(N)=N/O
ZINC62858352	CC(O)C(NC(=O)C1(C)CCC[NH2+]C1)C(=O)[O-]
ZINC62874472	CCC1(C(=O)[O-])CCCN(C(=O)NCC[NH3+])C1
ZINC62926028	CCC1(C(=O)[O-])CCN(C(=O)NCC[NH3+])C1
ZINC63020190	CC(C)(C[NH3+])NC(=O)c1cc([N+](=O)[O-])c[n-]1
ZINC63138947	Cc1csc(CCNC(=O)c2c(C)n[nH]c2N)n1
ZINC64403633	NC(=O)CC1=NC(NC(=O)c2ccc[nH]c2=O)SC1
ZINC65525855	Cc1ccc2c(c1)C(C1NCCc3[nH+]c[nH]c31)C(C(=O)[O-])N2
ZINC67526560	Cc1ccc(NC(=O)C(=O)N2CCCC(O)C2)cc1C(N)=O
ZINC04032020	NC(=O)N/N=C/Cn1ccc(=O)[nH]c1=O
ZINC01868218	NC(=S)N/N=C/c1cc(=O)[nH]c(=O)[nH]1
ZINC05743114	NNC(=O)c1nsnc1NC(N)=O
ZINC03160848	NC(=O)NC1CS(=O)(=O)CC1NC(N)=O
ZINC03160849	NC(=O)NC1CS(=O)(=O)CC1NC(N)=O
ZINC05696955	Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)NN
ZINC01595918	CCC1(/C=N/NC(N)=O)NC(=O)NC1=O
ZINC13581968	Cc1[nH]c(=O)[nH]c(=O)c1S(N)(=O)=O
ZINC20275410	CC1(C)Oc2cc(N)ccc2N(CC(=O)NN)C1=O
ZINC20275501	CC1(C)Oc2ccc(N)cc2N(CC(=O)NN)C1=O
ZINC17148469	NC(=O)C1CCc2[nH]c(N)nc(=O)c2C1
ZINC31659374	CCC1(NC(=O)C[NH3+])C(=O)NC(=O)N=C1[O-]
ZINC36234042	[NH3+]C1CC1NC(=O)c1cc([O-])[nH]c(=O)c1
ZINC36234046	[NH3+]C1CC1NC(=O)c1cc([O-])[nH]c(=O)c1
ZINC36733796	Cc1n[nH]c(C)c1NC(=O)C(C)NC(N)=O
ZINC36948079	NNC(=O)Nc1cccc(S(N)(=O)=O)c1
ZINC37333536	NC(=O)C1CCCN(c2ccc(S(N)(=O)=O)cc2N)C1
ZINC37333538	NC(=O)C1CCCN(c2ccc(S(N)(=O)=O)cc2N)C1
ZINC37933971	NC(=O)C1CCCN(c2cc(N)cc(S(N)(=O)=O)c2)C1
ZINC37933987	NC(=O)C1CCN(c2cc(N)cc(S(N)(=O)=O)c2)CC1
ZINC39097236	CNC(=[NH2+])N/N=C1\C(=O)NC(=O)N=C1[O-]
ZINC39109108	CC1CCC2(CC1)N=C(N)NC(N)=[N+]2[O-]
ZINC39978010	NC1=NNC(c2cc(=O)[nH]c(=O)[nH]2)S1
ZINC40293058	NC(=O)C1CCCN(C(=O)c2ccc(N)cc2N)C1
ZINC42407425	NNC(=O)C(=O)N1CCCCC1C(N)=O
ZINC42430401	CC(O)C(NC(=O)N1CCCC([NH3+])C1)C(=O)[O-]
ZINC43509354	CC1(O)OC(CO)C(C)(O)C(C)(O)C1(C)O
ZINC44412596	NC(=O)C1CCCCN1C(=O)C/C(N)=N/O
ZINC44861399	CC(C(=O)N1CCCC(C(N)=O)C1)/C(N)=N/O
ZINC44861403	CC(C(=O)N1CCCC(C(N)=O)C1)/C(N)=N/O
ZINC48844195	[NH3+]C1CCCCC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC48844201	[NH3+]C1CCCCC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC48950179	CNC(=O)NNC(=O)C1CCN(S(N)(=O)=O)CC1
ZINC50323346	NC(=O)C1CCCN(C(=O)c2[nH]nc(C3CC3)c2N)C1
ZINC50397133	Nc1cc(N)cc(C(=O)NC2CCCNC2=O)c1
ZINC50397301	Cc1nc(NC2CCCNC2=O)c(N)[nH]1
ZINC50397407	Nc1cc(NC2CCCNC2=O)cc(S(N)(=O)=O)c1
ZINC50397950	NC(=S)C1(C(=O)NC2CCCNC2=O)CCOCC1
ZINC51093977	NNc1ccc(C(=O)NC2CCCNC2=O)cn1
ZINC51128524	NNc1cccc(C(=O)Nc2cn[nH]c2)n1
ZINC41028919	Nc1nc(N)nc(CN2CCCC(N)C2)n1
ZINC41081184	NC(=O)c1cc(N)ccc1N1CCC(C(N)=O)CC1
ZINC61592824	Cc1nnc(Sc2n[nH]c(=O)n2C)c(/C(N)=N/O)c1C
ZINC62100412	NC(=O)c1ccc(N2CCNC(=O)CC2)c(N)c1
ZINC62101959	NC(=O)c1cc(N2CCNC(=O)CC2)ccc1N
ZINC63173561	[NH3+]C1CCCC1NC(=O)c1cc([O-])[nH]c(=O)c1
ZINC63202291	Nc1ccc(F)cc1NC(=O)c1c[nH]c(=O)[nH]c1=O
ZINC63210019	COc1ccc(N)c(NC(=O)c2c[nH]c(=O)[nH]c2=O)c1
ZINC66134436	Cc1nc(N)nc(C2CC2)c1C(=O)NN
ZINC66135192	Cc1cc(-c2nc(N)nc(C)c2C(=O)NN)on1
ZINC04308818	CNC(=O)NC(=O)CN1C(=O)NC2(CCCCC2C)C1=O
ZINC05091478	C[NH2+]C(CC(=O)[O-])C(=O)Nc1cccc([N+](=O)[O-])c1
ZINC03840273	CC(C)NC(=O)NC1CCN2C(C1)C(=O)NS2(=O)=O
ZINC08233378	CNC(=O)NC(=O)COC(=O)CNC(=O)c1cccc(C)c1
ZINC08272078	CC(=O)NC(C(=O)NNC(=O)c1ccc2c(c1)OCO2)C(C)C
ZINC08275469	CC(=O)Nc1ccc(NC(=O)C(=O)Nc2nnc(C)s2)cc1
ZINC04286909	NNC(=O)CSC1CS(=O)(=O)c2cc([N+](=O)[O-])ccc21
ZINC00577509	CNC(=O)c1[nH]cnc1C(=O)Nc1cccc([N+](=O)[O-])c1
ZINC14753102	C=CCn1c(=S)sc2c(=O)n(CC(=O)NC(N)=O)cnc21
ZINC25406801	CCn1c(NNC(=O)C(C)NC(C)=O)nc2ccccc2c1=O
ZINC08507888	Cc1ccc([N+](=O)[O-])cc1NC=C1C(=O)NC(=O)NC1=O
ZINC33330762	CCOc1cccc(NS(=O)(=O)c2c(C)[nH]c(=O)[nH]c2=O)c1
ZINC37325401	Cn1cc(S(=O)(=O)/N=c2/ccc(N)c[nH]2)c(=O)n(C)c1=O
ZINC05059886	Cc1nonc1NC(=O)CSc1nnc(N)s1
ZINC38006507	O=C1COc2cc([N+](=O)[O-])c(NCc3cn[nH]c3)cc2N1
ZINC40218730	Cc1cccc(C(=O)NCCS(N)(=O)=O)c1[N+](=O)[O-]
ZINC40397239	COc1ccc(C([NH3+])c2nnn[n-]2)c(OC)c1OC
ZINC41664492	CCn1nc(C)c(CNc2n[nH]c(=O)[nH]c2=O)c1C
ZINC45087730	NS(=O)(=O)CCCNC(=O)c1ccc(F)c([N+](=O)[O-])c1
ZINC45357387	Cc1csc(CNC(=O)NNC(=O)Cn2nc(C)cc2C)n1
ZINC48644555	CNC(=O)NNC(=O)c1ccc(-n2cnnn2)cc1
ZINC48950083	CNC(=O)NNC(=O)C1CCCN(c2ncccn2)C1
ZINC48950383	CNC(=O)NNC(=O)Cn1nnc2ccccc2c1=O
ZINC49099539	CNC(=O)C(C)Nc1nc2c([nH]1)c(=O)n(C)c(=O)n2C
ZINC49183517	CCNC(=O)NNC(=O)c1cc(C)nc2onc(C)c12
ZINC49277398	C=CCOC(C)C(=O)NNC(=O)NC1CCS(=O)(=O)C1
ZINC49947228	O=c1[nH]nc(NCc2cccc([N+](=O)[O-])c2)c(=O)[nH]1
ZINC50677510	CNc1ncc(S(=O)(=O)NCc2c[nH]nc2C)cn1
ZINC51147518	NNc1ccc([N+](=O)[O-])cc1CN1C(=O)CSC1=O
ZINC51147759	Cc1nn(Cc2nnsc2NN)c(C)c1[N+](=O)[O-]
ZINC00223832	COc1ccccc1CNS(=O)(=O)c1c(C)[nH]c(=O)[nH]c1=O
ZINC55891016	CNC(=O)NC(=O)CNc1cc(C(=O)N(C)C)ccc1OC
ZINC48733783	COc1cccc(CNC(=O)c2n[nH]c(=O)[nH]2)c1OC
ZINC58159707	CNC(=O)NC(=O)CNc1ccc(C)cc1OCC(=O)N(C)C
ZINC17107553	O=c1cc(CSc2ncnc3nc[nH]c23)[nH]c(=O)[nH]1
ZINC59886344	CCC(=O)NNC(=O)CSc1nc(-c2ccncc2)n[nH]1
ZINC15479658	O=C1CN(CC(=O)NN2C(=O)NC3(CCCCC3)C2=O)CCN1
ZINC61797368	Cn1ccn(Cc2cc([N+](=O)[O-])ccc2NN)c(=O)c1=O
ZINC61844676	Cc1c(C(=O)Nc2nc[nH]n2)sc2nc[nH]c(=O)c12
ZINC62325199	CC(=O)NCCNC1=NS(=O)(=O)c2cc(N(C)C)ccc2N1
ZINC62875784	COCCNC(=O)NC(=O)C[NH+]1CCCC(C)(C(=O)[O-])C1
ZINC63532941	Cc1ccnn1-c1ccc(C(=O)NCC(=O)Nc2cn[nH]c2)cc1
ZINC63533035	C=C1c2ccccc2C(=O)N1CC(=O)NCC(=O)Nc1cn[nH]c1
ZINC64232995	CC1NNC(=O)C2=C1C(C)OC2NC(=O)CN1CCOCC1
ZINC58392743	CNC(=O)NC(=O)CN1C(=O)NC(C)(c2ccc(C)o2)C1=O
ZINC53119510	CCOC(=O)N1CCC(NC(=O)C(C)(C)NC(=O)NC)CC1
ZINC65192293	O=C(NCC1CC1)NNC(=O)C1CC(=O)N(Cc2ccco2)C1
ZINC66175095	Cc1noc(CNC(=O)NCC(=O)Nc2c(C)cccc2C)n1
ZINC66636860	CCn1c(CNC(=O)c2cc(-c3ccco3)[nH]n2)n[nH]c1=S
ZINC67076326	CCn1c(CCNC(=O)c2ccc3[nH]nnc3c2)n[nH]c1=S
ZINC05607265	CN1c2cc(Cl)c(Cl)cc2NC2(C(=O)NC(=O)NC2=O)C1O
ZINC06529002	CC(=O)Nc1cccc(C(=O)Nc2cccc(S(N)(=O)=O)c2)c1
ZINC07141081	CC1CCC2(CC1)NC(=O)N(CC(=O)Nc1ccc(C(N)=O)cc1)C2=O
ZINC08945159	NC(=O)c1ccsc1NC(=O)CN1C(=O)NC2(CCCCCC2)C1=O
ZINC08988371	Cc1cc(C)c(NC(=O)CNC(=O)C2CCN(C(N)=O)CC2)c(C)c1
ZINC18175328	N#Cc1c(N)sc2c1CCN(c1ccc(C(N)=O)cc1[N+](=O)[O-])C2
ZINC20589528	NC(=O)c1c(NC(=O)N2CCN(CCO)CC2)sc2c1CCCC2
ZINC25881195	CS(=O)(=O)c1ccc(C(=O)Nc2ccc(NC(N)=O)cc2)cc1
ZINC26827573	CS(=O)(=O)N1CCCCC1C(=O)Nc1ccc(NC(N)=O)cc1
ZINC26835964	CS(=O)(=O)N1CCCCC1C(=O)Nc1cccc(NC(N)=O)c1
ZINC28807240	NC(=O)NC(=O)CSc1nc(-c2ccc(Cl)cc2)n[nH]1
ZINC29158322	COC(=O)c1ccc2[nH]c3c(c2c1)CN(C(=O)C(C)NC(N)=O)CC3
ZINC29158328	COC(=O)c1ccc2[nH]c3c(c2c1)CN(C(=O)C(C)NC(N)=O)CC3
ZINC29007665	CCC(Nc1ccc2c(c1)C(=O)NC2=O)=C1C(=O)NC(=S)NC1=O
ZINC31940427	NS(=O)(=O)c1cc(C(=O)NNC(=O)c2ccc3ccccc3n2)cs1
ZINC32750317	CC(C)C(=O)NNC(=O)c1cc(S(N)(=O)=O)ccc1Br
ZINC37926685	Cc1[nH]c(=O)sc1S(=O)(=O)N1CCCC(CNC(N)=O)C1
ZINC39373558	COc1ccc(N2C(=S)NNC2Cc2cc(=O)[nH]c(=O)[nH]2)cc1
ZINC39464387	O=P1(c2ccccc2O)NN2CCc3cc(O)c(O)cc3C2CO1
ZINC40378819	NS(=O)(=O)c1ccc(Cl)c(NC(=O)C2CSC(=O)N2)c1
ZINC40563968	Cc1ccc2[nH]c(CNC(=O)c3ccc4[nH]c(=O)c(=O)[nH]c4c3)nc2c1
ZINC44452596	N#Cc1ccc(C(=O)Nc2sc3c(c2C(=O)NC(N)=O)CCC3)cc1
ZINC44452679	NC(=O)NC(=O)c1c(NC(=O)C2=COCCO2)sc2c1CCC2
ZINC45772182	CNC(=O)c1cccc(NC(=O)c2cc(S(N)(=O)=O)ccc2C)c1
ZINC18202496	COCCn1c(=O)[nH]c([O-])c(C2[NH2+]CCc3c2[nH]c2ccccc32)c1=O
ZINC20757204	COCCn1c(=O)[nH]c([O-])c(C2[NH2+]CCc3c2[nH]c2ccccc32)c1=O
ZINC20757769	CCn1c(=O)[nH]c([O-])c(C2[NH2+]CCc3c2[nH]c2ccc(OC)cc32)c1=O
ZINC51712305	NC(=O)C1CN(C(=O)NC2C3CCCC2C[NH+](C2CC2)C3)CCO1
ZINC53854881	CC(NC(=O)c1cccc(N2CCNC2=O)c1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC56376422	CNC(=O)NNC(=O)C(C)NC(=O)c1ccc(Br)s1
ZINC58279519	CC1(c2cccc(NC(=O)c3cccc4[nH]ncc34)c2)NC(=O)NC1=O
ZINC58301223	Cc1n[nH]c(-c2ccccc2NC(=O)c2ccc(F)c(S(N)(=O)=O)c2)n1
ZINC58902529	NS(=O)(=O)c1cc(C(=O)Nc2cccc(N3CCNC3=O)c2)cs1
ZINC61650854	N#Cc1ccc(C(=O)NNC(=O)c2csc(S(N)(=O)=O)c2)cc1
ZINC63386358	O=c1[nH]c([O-])c(C2NCCC3=c4cc(Cl)ccc4=[NH+]C32)c(=O)[nH]1
ZINC63861674	CC(=O)Nc1cc(NC(=O)c2sc(S(N)(=O)=O)cc2C)ccc1F
ZINC58332834	CC(Nc1cccc2c1CCN(S(C)(=O)=O)C2)C(=O)NC(N)=O
ZINC65780364	COc1ccc2[nH]cc(C3=CCN(C(=O)C(C)NC(N)=O)CC3)c2c1
ZINC65833041	O=C1CCc2cc(S(=O)(=O)NNC(=O)NC3CCCC3)ccc2N1
ZINC65919188	CN1CC(=O)Nc2cc(C(=O)NNC(=O)NC3CCCC3)ccc21
ZINC66106594	NC(=O)c1coc(-c2csc(-c3ccc(S(N)(=O)=O)cc3)n2)c1
ZINC66402821	O=C(Nc1cc(C(F)(F)F)c[nH]c1=O)NC1CCCc2[nH]c(=O)ccc21
ZINC66442761	Cc1ccc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)cc1C(N)=O
ZINC66734187	Cc1occc1C(=O)NC1CCN(C(=O)C2CCC(NC(N)=O)CC2)CC1
ZINC66783602	Cc1ccc(S(N)(=O)=O)cc1C(=O)NNC(=O)c1sccc1C
ZINC67309786	Cc1ccc(NC(=O)N2CCCC(C(=O)NC3CC3)C2)cc1C(N)=O
ZINC67314420	Cc1ccc(NC(=O)N2CCCC(NS(C)(=O)=O)C2)cc1C(N)=O
ZINC67465312	CC(=O)Nc1ccc(F)c(C(=O)Nc2cc(F)cc(S(N)(=O)=O)c2)c1
ZINC67575941	CC(=O)Nc1ccc(NC(=O)NC2CCCc3[nH]c(=O)ccc32)c(Cl)c1
ZINC67613761	COc1ccccc1C(=O)NNC(=O)NC1CCCc2[nH]c(=O)ccc21
ZINC00182024	CC(C)(C)C(=O)Nc1cccc(C(=O)Nc2c[nH]c(=O)[nH]c2=O)c1
ZINC05383182	CC(=O)Nc1ccc2nc(NC(=O)c3nn(C)cc3N)sc2c1
ZINC02617787	COc1ccc(Cl)cc1C(=O)NNC(=O)C1=CCC(=O)NN1
ZINC11991354	NS(=O)(=O)c1ccc(Nc2nc3c(c(=O)[nH]2)CCC3)cc1
ZINC12516042	CC(Nc1ccc2c(c1)NC(=O)C(C)O2)C(=O)NC(=O)NC1CC1
ZINC12516044	CC(Nc1ccc2c(c1)NC(=O)C(C)O2)C(=O)NC(=O)NC1CC1
ZINC13366536	COC1Nc2c(ccc(C)c2O)C(=O)N2C=C(/C=C\C(N)=O)CC12
ZINC17420434	COC1Nc2c(ccc(C)c2O)C(=O)N2C=C(/C=C/C(N)=O)CC12
ZINC20010874	Nc1cc(Cl)cc(Cl)c1NC(=O)CCN1C(=O)CNC1=O
ZINC21151597	O=C(Nc1ccc(Br)cc1)Nc1c[nH]c(=O)[nH]c1=O
ZINC21520561	Nc1cc(Cl)cc(Cl)c1NC(=O)CN1C(=O)CNC1=O
ZINC23630708	Cc1nnc(SCC(=O)NC(=O)NC2CCCCC2C)n1N
ZINC26569332	Cc1c(C#N)c(SCc2nc(N)nc(N)n2)nc2c1CCC2
ZINC32629931	Cc1cc(C(N)=O)ccc1NS(=O)(=O)c1c(C)n[nH]c1C
ZINC35340380	CNS(=O)(=O)c1ccc(Sc2nccc(=O)[nH]2)c(N)c1
ZINC23448161	NC(=O)NC(=O)CN1C(=O)NC2(CCCCc3ccccc32)C1=O
ZINC38743893	COc1ccc(C2=CC(C3NNC4SC(N)=NN43)N=N2)cc1
ZINC38989930	COc1ccc2c(c1)=C1CCNC(c3c([O-])[nH]c(=O)[nH]c3=O)C1[NH+]=2
ZINC40315917	Nc1ccc(Br)cc1S(=O)(=O)NCc1nc[nH]n1
ZINC40384426	Cc1ccc(S(N)(=O)=O)cc1NS(=O)(=O)c1cn[nH]c1C
ZINC40485623	NC(=O)N1CCCC(C(=O)Nc2ccc(NC(=O)C3CC3)cc2)C1
ZINC40776347	CC1(C(=O)Nc2cccc(C(N)=O)c2)Oc2ccccc2NC1=O
ZINC41630455	Nc1cc(=O)[nH]c(SCC(=O)c2ccc3c(c2)NC(=O)CO3)n1
ZINC43830133	CC(NC(=O)Nc1cn[nH]c1)c1nc2ccccc2[nH]1
ZINC49164010	CCNC(=O)NNC(=O)c1[nH]nc(C2CC2)c1Br
ZINC49183316	CCNC(=O)NNC(=O)c1cc2ccccc2c(=O)[nH]1
ZINC49523812	NC(=O)C(=O)NCC1CCN(C(=O)Nc2ccc(F)cc2)CC1
ZINC50397350	CN(C)S(=O)(=O)c1ccc(NC2CCCNC2=O)c(N)c1
ZINC05343294	Cc1cccc2c1NC(=O)C21C(C#N)=C(N)Oc2n[nH]c(C)c21
ZINC05343294	Cc1cccc2c1NC(=O)C21C(C#N)=C(N)Oc2[nH]nc(C)c21
ZINC51092203	COc1ccc(C)cc1NC(=O)c1ccc(NN)nn1
ZINC51117343	COc1cc(F)ccc1NC(=O)c1ccc(NN)nn1
ZINC51190365	O=C(CNC(=O)Nc1cn[nH]c1)Nc1cccc(F)c1
ZINC53600017	Cc1ccc(S(N)(=O)=O)cc1C(=O)Nc1[nH+]cccc1[O-]
ZINC45763156	NC(=O)c1ccc(NC(=O)c2cccc(N3CCNC3=O)c2)cc1
ZINC51113306	CC1(C)CC1NC(=O)c1cc([N+](=O)[O-])ccc1NN
ZINC60537958	Cc1cc(S(N)(=O)=O)cc(NC(=O)c2ccc(=O)[nH]c2)c1C
ZINC07083123	Nc1nc(N)nc(Cn2cc(C(F)(F)F)cc(Cl)c2=O)n1
ZINC48902665	CC(=O)Nc1cc(NC(=O)C2CCN(C(N)=O)CC2)ccc1C
ZINC61888058	N/C(=N/O)C1CCCC1NS(=O)(=O)N1CCCCCC1
ZINC62962189	NS(=O)(=O)Nc1cccc(NC2CCS(=O)(=O)C2)c1
ZINC63079401	NS(=O)(=O)c1ccc(C(=O)Nc2ccc(-c3cc[nH]n3)cc2)o1
ZINC39934214	CC1=C(CC(=O)NNC(=O)c2[nH]nc3c2CCCC3)C(C)ON1
ZINC63229049	CC(C)C(NC(N)=O)C(=O)N1CC(=O)Nc2ccccc21
ZINC38989928	COc1ccc2c(c1)=C1CCNC(c3c([O-])[nH]c(=O)[nH]c3=O)C1[NH+]=2
ZINC58223131	Cc1cc(C(=O)N2CCCC(C)C2)ccc1NCC(=O)NC(N)=O
ZINC58429607	Cc1nc2ccc(C(=O)Nc3c(C(N)=O)n[nH]c3C)cc2nc1C
ZINC46984344	O=C1CN(c2ccc(CNC(=O)Nc3cn[nH]c3)cc2)CCN1
ZINC65919134	CC(=O)Nc1cc(C(=O)NNC(=O)NC2CCCC2)ccc1F
ZINC66741093	COc1ccc(-c2n[nH]cc2C2NC(=O)c3n[nH]c(C)c3N2)cc1
ZINC67309851	CCNC(=O)C1CCCN(C(=O)Nc2ccc(C)c(C(N)=O)c2)C1
ZINC04275146	CC(=O)N1CCc2c(sc(NC(=O)c3ccccc3Cl)c2C(N)=O)C1
ZINC05451209	Cc1cccc2c1NC(=O)C21C=C2c3cc4c(cc3CCN2C(N)=C1C#N)OCO4
ZINC05897387	O=C1NC(=S)N/C1=C\c1ccc(-c2ccc3c(c2)C(=O)NC3=O)o1
ZINC05032250	Cc1ccc2c(c1)C(=O)OC(C(=O)Nc1ccc(S(N)(=O)=O)cc1)C2
ZINC06887352	Cc1ccc(NS(=O)(=O)c2cc3[nH]c(=O)c(=O)[nH]c3cc2C)cc1C
ZINC08704609	CNC(=O)c1ccc(NC(=O)c2ccc3c(c2)NC(=O)C(C)S3)cc1
ZINC09083047	O=c1cn[nH]c(=S)n1/N=C/c1cc(Br)c(O)c(Br)c1O
ZINC10128084	Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3[nH]c(=O)[nH]c(=O)c32)s1
ZINC14854755	O=C(NNC(=O)c1n[nH]c(=O)c2ccccc12)c1cc2c(s1)CCC2
ZINC18199486	CSc1ccc(C2C3=C(CCCC3=O)Nc3[nH]c(=O)[nH]c(=O)c32)cc1
ZINC02770722	COc1cc(/C=C2/NC(=O)NC2=O)cc(I)c1O
ZINC04178389	CC1(C)CC(=O)C2=C(C1)Nc1nc(=O)[nH]c([O-])c1C2c1cccs1
ZINC04178389	CC1(C)CC(=O)C2=C(C1)Nc1[nH]c(=O)[nH]c(=O)c1C2c1cccs1
ZINC22234016	Cc1cc(C)nc(NNC(=O)c2ccc3c(c2)NC(=O)CCS3)n1
ZINC28527703	NS(=O)(=O)c1ccc(NC(=O)N2C(=O)CSc3ccccc32)cc1
ZINC34812081	COc1ccc(NC(=O)N2CCC3(CC2)NC(=O)c2cccc(C)c2N3)cc1
ZINC35489086	CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1
ZINC35697749	NS(=O)(=O)c1cccc(-n2c(=S)[nH]c3sccc3c2=O)c1
ZINC04884397	Cc1cccc(NS(=O)(=O)c2ccc3c(c2)NC(=O)CC(=O)N3)c1
ZINC38104393	O=C(Nc1cc2[nH]c(=O)[nH]c2cc1Br)c1ccc(Cl)nn1
ZINC40779138	CNC(=O)c1ccc(NC(=O)C2(C)Oc3ccc(C)cc3NC2=O)cc1
ZINC44076315	CC(=O)Nc1ccc(F)c(NC(=O)NC2CCCc3c2cnn3C)c1
ZINC44453191	CC(=O)NNC(=O)c1ccsc1NC(=O)c1ccc(Br)cc1
ZINC45440041	CC1(NNC(=O)NC2CCCC(C(F)(F)F)C2)CCS(=O)(=O)C1
ZINC45679044	Cc1ccc(CNC(=O)NNC(=O)c2cc(Br)cn2C)s1
ZINC46545062	O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)C1CCCN(C(=O)c2cccs2)C1
ZINC46774064	O=C(NNC(=O)c1cc(F)cc(Br)c1)C(=O)NC1CC1
ZINC46811284	CC(=O)Nc1cc(C(=O)NNC(=O)c2cc3c(s2)CCC3)ccc1C
ZINC47963335	CC1CCCCC1NC(=O)C(=O)N1CCc2cc(S(N)(=O)=O)ccc21
ZINC50360155	O=c1[nH]c2ccc(NCc3cc(Br)c(Br)o3)cc2[nH]c1=O
ZINC10513021	CC(Nc1ccc2c(c1)OC(F)(F)O2)=C1C(=O)NC(=S)NC1=O
ZINC56286166	COc1c(Cl)cccc1NC(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC57740007	O=C(CN1CCC2(CCC1=O)NC(=O)c1ccccc1N2)NC1CCCC1
ZINC58530060	O=C(CNC(=O)C1CCC(=O)N1)Nc1ccc(Br)cc1
ZINC49981273	CC1(C)COCCN1CC(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC60740128	Cc1n[nH]c(-c2ccccc2NC(=O)c2cc3ccccc3[nH]c2=O)n1
ZINC15957477	CC(O)C1NC2(C(=O)Nc3ccccc32)C2C(=O)N(C3CCCC3)C(=O)C12
ZINC62159040	Cc1cc2ccc(NS(=O)(=O)c3ccc4c(c3)CC(=O)N4)cc2[nH]c1=O
ZINC62221990	Cc1ccc2[nH]c(=O)c(CNC(=O)c3cc4ccc(F)cc4[nH]c3=O)cc2c1
ZINC63432774	CNC(=O)C1CCC(NC(=O)C(=O)Nc2ccc(F)cc2Cl)CC1
ZINC63432775	CNC(=O)C1CCC(NC(=O)C(=O)Nc2cccc(Cl)c2Cl)CC1
ZINC63432885	CNC(=O)C1CCC(NC(=O)C(=O)Nc2ccc(Br)cc2)CC1
ZINC63780714	CC1CC1C(=O)Nc1ccc(F)cc1C(=O)NC1CCCCNC1=O
ZINC65066892	O=C1CC(C(=O)Nc2sc3c(c2C(=O)NC2CC2)CCC3)c2ccccc2N1
ZINC65106185	Cc1cc(C)c(CNC(=O)c2[nH]nc(C3CC3)c2Br)c(=O)[nH]1
