ZINC06447457	Cn1c(=O)c2[nH]c(CC[NH3+])nc2n(C)c1=O
ZINC63808270	CC1=C(NC(=O)C(=O)NCCNC(=O)C2C=c3ccccc3=[NH+]2)C(C)N(C)N1
ZINC64640493	O=C(NCCCO)C1=CN(C2CCN(CC3C=c4ccccc4=[NH+]3)CC2)NN1
ZINC64885809	Cc1c[nH]c(=O)n1-c1ccc(C(=O)NNC(=O)NCCCn2cc[nH+]c2)cc1
ZINC66244509	CS(=O)(=O)c1ccc(NCCN/C(N)=[NH+]/CC2CCCO2)c([N+](=O)[O-])c1
ZINC67501851	COc1cc(CNC2CCC[NH+](CC(N)=O)C2)cc(Cl)c1OCC(N)=O
ZINC02136472	CC(=O)Oc1ccc(N2C(=O)C3C(CCC(N)=O)[NH2+]C4(C(=O)Nc5c4ccc(Cl)c5C)C3C2=O)cc1
ZINC05351504	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC(=O)CC[NH3+]
ZINC05373345	CCCC[NH2+]C(C)C1(O)Cc2c(O)c3c(c(O)c2C(O)C1)C(=O)c1c(OC)cccc1C3=O
ZINC05393058	O=C1c2ccccc2C(=O)c2c(O)c(NCCC[NH+](CCO)CCO)cc(O)c21
ZINC07493442	CC[NH+](CC(=O)Nc1ccccc1OC)Cc1nc(N)nc(Nc2ccccc2C)n1
ZINC08790692	Cc1ccc2c(c1C)NC(=O)C21[NH2+]C(CC(N)=O)C2C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)C21
ZINC08881825	CCCCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2sc3c(c2C(N)=O)CC(C)(C)[NH2+]C3(C)C)cc1
ZINC09938473	COc1ccccc1NC(=[NH2+])Nc1nc(CSc2nnnn2-c2ccccc2)cc(=O)[nH]1
ZINC15708019	O=C(CCC1CNC(=O)C2CC(NC(=S)NCc3ccco3)C[NH+]12)NCc1cccs1
ZINC17046539	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC(=O)CC[NH3+]
ZINC17308163	NC(=O)c1cc(NC(=O)C[NH+](Cc2cccs2)CC2CCCO2)cc(C(N)=O)c1
ZINC20807608	Cc1cccc(NC(=O)C[NH+]2CCN(CC(=O)Nc3sc4c(c3C(N)=O)CCCC4)CC2)c1C
ZINC20833144	CCOc1ccc(/C=N/Nc2nc(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n[nH]2)cc1
ZINC20833304	CC1(C)CC(NC(=O)CSc2n[nH]c(N/N=C/c3ccccc3F)n2)CC(C)(C)[NH2+]1
ZINC20833981	COc1ccc(/C(C)=N/Nc2nc(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n[nH]2)cc1OC
ZINC20837743	CC1(C)CC(NC(=O)CSc2n[nH]c(NN=C3CCCCCC3)n2)CC(C)(C)[NH2+]1
ZINC20916971	CC1(C)CC(NC(=O)CSc2nnc(N/N=C/c3c(O)ccc4ccccc34)n2N)CC(C)(C)[NH2+]1
ZINC21265709	NS(=O)(=O)c1ccc(CC[NH2+]CC(=O)Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
ZINC14156539	Cc1cc(C)nc(N/C(=N/C(=S)Nc2cccc(C)c2C)NCCc2c[nH]c[nH+]2)n1
ZINC23125411	CCNc1[nH+]n(CC(=O)Nc2cc(C)ccc2OC)c(N)c1-c1nc(-c2ccccc2C)no1
ZINC23259810	Cc1cc(C)c(NC(=O)CNC(=O)C[NH+](C)C(C)c2ccc(S(N)(=O)=O)cc2)c(C)c1
ZINC16955317	CCN(CC)C(=O)c1cccc(COc2ccc(N3C(N)=NC(N)=[NH+]C3(C)C)cc2Cl)c1
ZINC31469405	CC(C)NC(=O)NC(=O)C[NH+](CC(=O)NC(=O)NC(C)C)C1CCCCC1C
ZINC33625986	CCCC([NH3+])c1nc(C(=O)NC(CC(C)C)C(=O)Nc2ccc([N+](=O)[O-])cc2)co1
ZINC35051154	CCC(C)C(NC(=O)C(C)[NH3+])C(=O)N1CCCC1C(=O)Nc1ccc([N+](=O)[O-])cc1
ZINC35385286	CC(C)CC(NC(=O)c1coc(C([NH3+])CC(C)C)n1)C(=O)Nc1ccc([N+](=O)[O-])cc1
ZINC35681910	COc1ccccc1C(CNc1nc(N)c([N+](=O)[O-])c(NCC2CCCO2)n1)[NH+](C)C
ZINC06637323	CC([NH2+]Cc1ccc(S(N)(=O)=O)cc1)C(=O)Nc1ccc([N+](=O)[O-])cc1Cl
ZINC13131002	C[NH+](CC(=O)NCCc1ccc(S(N)(=O)=O)cc1)CC(=O)Nc1ccccc1Cl
ZINC02285344	COc1cc(C(=O)Nc2ccc(C)cc2C([NH2+]CC(=O)NN)c2ccccc2)cc(OC)c1OC
ZINC38669587	CCCOC(=O)c1ccc(OC2=CN=[NH+]C2c2ccc(OCC(=O)NN)cc2O)cc1
ZINC39991898	Cc1ccccc1N1C(N2CCOCC2)=[NH+]NC1SCC(=O)NC1OC(C)C2=C1C(=O)NNC2C
ZINC40741426	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C=C(C(=O)CO)CC3OC1CC([NH3+])C(O)C(C)O1
ZINC44410834	COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(CC(C)[NH3+])c2O)c(C)c1O
ZINC44681425	COCC(=O)Nc1nc2c(s1)CC1C(C)(CO)C(O)CCC1(C)C2CC(=O)NCC[NH+](C)C
ZINC44830559	CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1
ZINC52541552	N=C(N/N=C/c1ccc2nc(-c3ccc(/C=N/NC(=[NH2+])N4CCCC4)cc3)cn2c1)N1CCCC1
ZINC22798960	CC(C(=O)Nc1sc2c(c1C(N)=O)CCC2)N1CCC[NH+](CC(=O)NC(C)(C)C)CC1
ZINC29033408	Cc1cc(C)c2c(N)c(C(=O)OCC(=O)NCCc3ccc(S(N)(=O)=O)cc3)sc2[nH+]1
ZINC59170533	NS(=O)(=O)c1ccc(/[NH+]=c2\oc3cc(O)ccc3cc2C(=O)Nc2ccc(Cl)cc2)cc1
ZINC14157986	COc1ccc(OC)c(NC(=S)/N=C(\Nc2nc(C)cc(C)n2)NC2CC(C)(C)[NH2+]C(C)(C)C2)c1
ZINC60377223	CC(c1cccc(S(N)(=O)=O)c1)[NH+](C)CC(=O)NC(=O)NCc1cccs1
ZINC13144970	COc1ccccc1NC(=O)c1cc2c(CO)cnc(C)c2o/c1=[NH+]\c1cccc(C(N)=O)c1
ZINC63782406	O=C(CC1NOC(C(=O)NCCC2=c3cc(Cl)ccc3=[NH+]C2)N1)Nc1ccccc1
ZINC63808356	CC(=O)Nc1ccccc1OCC1NOC(C(=O)NCCC2=c3cc(Cl)ccc3=[NH+]C2)N1
ZINC63818639	COc1ccc2c(c1)=C(CCNC(=O)C1NC(CC(=O)Nc3ccccc3)NO1)C[NH+]=2
ZINC64055379	CCCCN(C(=O)CSC1NN=C(C2=c3ccccc3=[NH+]C2)O1)c1c(N)n(CCC)c(=O)[nH]c1=O
ZINC66115520	COc1cccc(C[NH+]2CCNC(=O)C2CC(=O)NN)c1OCc1ccccc1
ZINC66196137	CCC(C)[NH+](C)CCNC(=O)NCCCc1nn(-c2ccccc2)c(N)c1C#N
ZINC67293254	NC(=O)c1ccc(/[NH+]=c2\oc3cc(O)ccc3cc2C(=O)Nc2ccccn2)cc1
ZINC02131327	COc1ccc(CCN2C(=O)C3C(CC(N)=O)[NH2+]C4(C(=O)Nc5c4ccc(C)c5C)C3C2=O)cc1OC
ZINC03978082	CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1
ZINC05345891	CCCCN1C(=O)C2C(CCC(N)=O)[NH2+]C3(C(=O)Nc4c3ccc(C)c4C)C2C1=O
ZINC05573301	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C(C)=C(C(C)=O)CC3OC1CC([NH3+])C(O)C(C)O1
ZINC02561064	COc1cc(NC(=O)CNC(=O)CNC(=O)C([NH3+])CC(C)C)cc2ccccc12
ZINC07499706	CCCCn1c(N)c(N(CC)C(=O)C[NH2+]C(C)c2ccccc2Cl)c(=O)[nH]c1=O
ZINC07493875	CSc1ccccc1NC(=O)C[NH+](C)Cc1nc(N)nc(Nc2ccccc2C)n1
ZINC08790668	NC(=O)CC1[NH2+]C2(C(=O)Nc3c(Cl)cccc32)C2C(=O)N(CCc3ccccc3)C(=O)C12
ZINC08791054	COc1ccc(CCN2C(=O)C3C(CCC(N)=O)[NH2+]C4(C(=O)Nc5ccc(C)cc54)C3C2=O)cc1OC
ZINC09312777	COc1ccc([N+](=O)[O-])cc1N1C(=O)C2C(CC(N)=O)[NH2+]C3(C(=O)Nc4ccccc43)C2C1=O
ZINC09442181	Cc1ccc(Nc2nc(N)nc(C[NH2+]C(CO)C(O)c3ccc([N+](=O)[O-])cc3)n2)cc1
ZINC09642373	Cc1ccc(Nc2nc(N)nc(C[NH+](C)CC(=O)Nc3ccc(Cl)c(Cl)c3)n2)cc1
ZINC12551476	NS(=O)(=O)c1ccc(C[NH2+]C(C(=O)Nc2ccc([N+](=O)[O-])cc2Cl)c2ccccc2)cc1
ZINC02128528	COc1ccc(OC)c(-n2c(=O)[nH]c(O)c(C3[NH2+]CCc4c3[nH]c3ccc(OC)cc43)c2=O)c1
ZINC13095615	CC(c1ccc(S(N)(=O)=O)cc1)[NH+](CC(=O)Nc1ccc(F)cc1)CC(=O)Nc1ccc(F)cc1
ZINC08935280	CC(C)c1ccc(/C=C/C(=O)NC(=S)Nc2ccc(S(=O)(=O)NC(N)=[NH2+])cc2)cc1
ZINC15707423	CC(C)NC(=O)CCC1CNC(=O)C2CC(NC(=O)Nc3ccc(F)cc3F)C[NH+]12
ZINC20834506	COc1cccc(/C=N/Nc2nc(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n[nH]2)c1O
ZINC20834836	COc1ccc(Br)cc1/C=N/Nc1nc(SCC(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)n[nH]1
ZINC14156518	Cc1cc(C)nc(N/C(=N/C(=S)Nc2cccc(C)c2Cl)NCCc2c[nH]c[nH+]2)n1
ZINC21985992	CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1
ZINC23125430	CCNc1[nH+]n(CC(=O)Nc2ccc3c(c2)CCC3)c(N)c1-c1nc(-c2ccccc2C)no1
ZINC27362337	CC(c1ccc(S(N)(=O)=O)cc1)[NH+](C)CCOc1ccc(S(N)(=O)=O)cc1
ZINC35565241	CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1
ZINC38545731	CCc1cc(C2[NH+]=NC=C2c2ccc3c(c2)OCO3)c(O)cc1OC1OC(CO)C(O)C(O)C1O
ZINC38964765	Cc1ccc2nc(Nc3nc(CSC4N[NH2+]NN4c4ccccc4)cc(=O)[nH]3)nc(C)c2c1
ZINC39021585	C=CC[NH+]1C(SCC(=O)Nc2nnc(CC)s2)NNC1c1ccccc1O
ZINC39855952	COC(=O)c1ccc(OC(=O)c2oc3c(c2C)/C(=N/NC(N)=[NH2+])CC(C)(C)C3)cc1
ZINC39856043	Cc1c(C(=O)NNC(=O)Cc2ccccc2)oc2c1/C(=N/NC(N)=[NH2+])CC(C)(C)C2
ZINC15226908	COc1ccc(C2=NN(C3=NNC([NH3+])=Cc4nncn43)C(O)(C(F)(F)F)C2)cc1
ZINC39953552	CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1
ZINC40757402	CCN(CC)S(=O)(=O)c1ccc(Nc2[nH+]cnc(NNc3ccccc3)c2N)cc1
ZINC40794824	Cc1ccc(S(=O)(=O)NNc2ncnc(Nc3cccc4[nH+]c(C)ccc34)c2N)cc1
ZINC41026066	CC[NH+](CC)CCNc1nc(Nc2ccc(C(N)=O)cc2)c2cnn(-c3ccccc3)c2n1
ZINC41302069	CC[NH+]1CCN(c2nc(N)c([N+](=O)[O-])c(Nc3sc4c(c3C(N)=O)CCC4)n2)CC1
ZINC43698913	C[n+]1c(N/C(=N\c2ccccc2)c2ccccc2)sc(-c2nc(N)nc(Nc3ccccc3)n2)c1N
ZINC55104275	CC[NH+](CC)CCOC(=O)c1ccc(/N=N/c2c(N)nn(-c3ccccc3)c2N)cc1
ZINC13303572	CCCCOc1ccc(N2C(=O)CC(SC(=[NH2+])N/N=C/c3ccc(O)c(O)c3)C2=O)cc1
ZINC57481629	COc1ccc(C(=O)NNC(=O)COC(=O)c2sc3[nH+]c(C)cc(C)c3c2N)cc1OC
ZINC59170363	Cc1ccc(S(=O)(=O)N/[NH+]=c2\oc3c(O)cc(C(C)(C)C)cc3cc2C(N)=O)cc1
ZINC59170480	Cc1ccc(NC(=O)c2cc3ccc(O)cc3o/c2=[NH+]\c2ccc(S(N)(=O)=O)cc2)cc1C
ZINC13634046	Cc1nnc(SCc2cc(=O)[nH]c(NC(=[NH2+])Nc3ccc(C(C)C)cc3)n2)s1
ZINC39763440	CC(C)C(SC1NN=C(C2=c3ccccc3=[NH+]C2)N1C1CC1)C(=O)NC(N)=O
ZINC63712361	CC(C)(C)OC(=O)NC(CC1=c2ccccc2=[NH+]C1)C(=O)OCC1OC(O)C(O)C(O)C1O
ZINC63775702	CCc1ccc(NC(=O)C(C)OC(=O)C(CC2=c3ccccc3=[NH+]C2)NC(N)=O)cc1
ZINC63781935	CC(=O)Nc1ccc(OCC2NOC(C(=O)NCCC3=c4cc(Cl)ccc4=[NH+]C3)N2)cc1
ZINC64055381	CCCCN(C(=O)CSC1NN=C(C2=c3ccccc3=[NH+]C2)O1)c1c(N)n(CCC)c(=O)[nH]c1=O
ZINC64684148	Cc1ccc(N2N[NH2+]NC2SCC(=O)NC(CC2=c3ccccc3=[NH+]C2)C(=O)[O-])cc1
ZINC65330197	O=C(NCCC1=c2ccccc2=[NH+]C1)C1NNSC1NC(=O)N1CCCCC1
ZINC17052434	CCOC(=O)c1c(NC(=O)C[NH+](C)C)sc(C(N)=O)c1C
ZINC19768805	COCCNC(=O)CN1C(=O)C(C)Oc2ccc(C(C)[NH3+])cc21
ZINC20433966	COc1cc(NC(=O)C2CC(O)C[NH2+]2)cc(OC)c1OC
ZINC31891012	CCCCn1c(N)c(CN2CC[NH+](C)CC2)c(=O)[nH]c1=O
ZINC37015004	O=C(Nc1cc(Cl)ccc1-n1cncn1)C1CC(O)C[NH2+]1
ZINC37039189	Cc1n[nH]c(C)c1S(=O)(=O)N1CCN(CC(C)C[NH3+])CC1
ZINC37372257	CC1(c2ccco2)NC(=O)N(CC(O)C[NH2+]C2CC2)C1=O
ZINC37714606	Cc1c(Cl)cc(S(=O)(=O)NCCCC[NH3+])cc1[N+](=O)[O-]
ZINC37822119	CS(=O)(=O)NCCC1CCCCN1C(=O)C1CC(O)C[NH2+]1
ZINC38035591	CCN(CCC[NH2+]C1CCN(C(N)=O)CC1)S(C)(=O)=O
ZINC39683874	CNC(=O)C(C)NC(=O)C1CN(C(=O)C2CCC2)CC12CC[NH2+]CC2
ZINC40464225	CSCCC([NH3+])C(=O)Nc1cc(-n2cnnn2)ccc1F
ZINC40832907	COC(=O)c1sccc1NC(=O)C([NH3+])CCS(C)(=O)=O
ZINC41119196	CN(C)S(=O)(=O)c1ccc(NCCn2cc[nH+]c2)c(N)c1
ZINC44713617	CC(=O)N1CC(C(=O)NC(C)c2c(C)n[nH]c2C)C2(CC[NH2+]CC2)C1
ZINC45012085	Cc1noc(CNS(=O)(=O)c2ccc(CC[NH3+])s2)n1
ZINC45067618	Cc1cc2ncc(C(C)[NH2+]CCCS(N)(=O)=O)c(C)n2n1
ZINC48395444	CS(=O)(=O)NCCCNC(=O)NC1CC[NH+](C2CC2)CC1
ZINC50169144	CCCNC(=O)CCNC(=O)NCc1cn2cc(C)ccc2[nH+]1
ZINC50419625	CC(NS(=O)(=O)Cc1ccc(C[NH3+])cc1)c1nncn1C
ZINC51062187	CCCCNC(=O)C1CCC[NH+](CC(=O)NC(=O)NCC)C1
ZINC51477139	CC(NC(=O)C[NH+](CC(N)=O)C(C)C)C(=O)N1CCCCC1
ZINC52850235	NC(=O)NC(=O)CC[NH+](CC1CCCO1)CC1CCCO1
ZINC32537474	Cc1cc(NC(C)c2ccc(-n3cncn3)cc2)nc(N)[nH+]1
ZINC55271268	CC([NH2+]Cc1cn(CCC(N)=O)c2ccccc12)c1nncn1C
ZINC56508448	CCC[NH+](CC(=O)NC)CC(=O)NC1CCCCNC1=O
ZINC57379535	O=C(NCCCCn1cc[nH+]c1)NNC(=O)c1ccccc1
ZINC57840392	COc1ccc(C2(C)NC(=O)N(CC[NH3+])C2=O)cc1OC
ZINC37563104	NC(=O)CN1CCC([NH2+]Cc2csc([N+](=O)[O-])c2)CC1
ZINC58904353	CC(=O)NCC(=O)NCC(=O)NCC1([NH+]2CCSCC2)CCCC1
ZINC61409562	CC(C)CCNC(=O)CN1C(=O)NC2(CC[NH2+]CC2)C1=O
ZINC61594807	CCCn1c(SC(c2cnn(C)c2)C([NH3+])CC)n[nH]c1=O
ZINC61595080	CC([NH3+])C(Sc1n[nH]c(=O)n1C(C)C)c1cnn(C)c1
ZINC48349991	CCCNC(=O)C[NH+]1CCC(NC(=O)NCc2nc(C)cs2)CC1
ZINC62412160	CC(NC(=O)NCC1CC[NH+](C(C)C)C1)C(=O)NCc1ccco1
ZINC63171109	CC([NH3+])CCNS(=O)(=O)c1ccc2c(c1)oc(=O)n2C
ZINC63174692	[NH3+]C1CCCC1NS(=O)(=O)c1ccc(F)cc1[N+](=O)[O-]
ZINC63175611	Cn1c(=O)oc2cc(S(=O)(=O)NC3CCCC3[NH3+])ccc21
ZINC63175917	Cc1cccc([N+](=O)[O-])c1S(=O)(=O)NC1CCCC1[NH3+]
ZINC63179504	CC(C)N(C)S(=O)(=O)N1CCCC(C(=O)NCC[NH3+])C1
ZINC63179566	CCN(CC)S(=O)(=O)N1CCCC(C(=O)NCC[NH3+])C1
ZINC63518740	Cc1ccc(C(CNS(=O)(=O)c2cc(C(N)=O)n(C)c2)[NH+](C)C)cc1
ZINC27134044	CCCn1c(N)c(C(=O)C[NH+](C)C(C)C(C)(C)C)c(=O)[nH]c1=O
ZINC41443525	COc1ccccc1C(O)CNC(=O)NC(C)Cn1cc[nH+]c1
ZINC65589386	O=C(C[NH+]1CCCC1C(=O)NCC(F)(F)F)NC(=O)NCC(F)(F)F
ZINC66559568	C=CC[NH+](CC(=O)Nc1sccc1C(N)=O)C1CCS(=O)(=O)C1
ZINC66701279	CCOCC(=O)NNC(=O)NC(C)C[NH+]1CCCC(C)C1
ZINC67270004	O=C1NC(=O)C2(CCC(C(=O)NC3CC[NH+](C4CC4)C3)CC2)N1
ZINC67359291	Cc1cccc(C(=O)NNC(=O)NC(C)Cn2cc[nH+]c2)c1
ZINC67417883	CCNC(=O)NC(=O)C(C)[NH+]1CCCC(CNC(C)=O)C1
ZINC02311670	COc1cc(C2NC(=O)c3c(sc4c3CC[NH+](C)C4)N2)ccc1OC(=O)c1ccc(Cl)cc1
ZINC08448852	C[NH+]1CCc2c(sc3c2C(=O)NC(c2ccc(OC(=O)c4cccc(Br)c4)cc2)N3)C1
ZINC08635932	Cc1nc(-c2cccs2)cc(C2C[NH+]3CCC2CC3CNC(=O)Nc2cccc(C(F)(F)F)c2)n1
ZINC08923405	COc1cc(C2N=C(O)c3c(sc4c3CC[NH+](C(C)C)C4)N2)ccc1OC(=O)c1cccs1
ZINC09138475	CN1CCCc2cc(C(CNC(=O)C(=O)Nc3ccccc3C(F)(F)F)[NH+]3CCCCC3)ccc21
ZINC09454401	O=c1[nH]c(=O)n(-c2ccc(Cl)cc2)c2c1C(C(F)(F)F)(C(F)(F)F)[NH+]=C(c1ccccc1F)N2
ZINC10059673	Cc1cc(=O)n2c(n1)NC(Nc1cccc(Cl)c1Cl)=[NH+]C2c1cc([N+](=O)[O-])ccc1Cl
ZINC01040679	[NH2+]=C(NS(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1)c1ccncc1
ZINC02372912	COc1cc(C2NC(=O)c3c(sc4c3CC[NH+](C)C4)N2)ccc1OC(=O)c1ccccc1Cl
ZINC20617351	COc1cc(/[NH+]=c2\oc3c(C)ncc(CO)c3cc2C(=O)Nc2ccccc2Cl)cc(OC)c1
ZINC02955420	COc1cc(/[NH+]=c2\oc3c(C)ncc(CO)c3cc2C(=O)Nc2cc(C)ccc2OC)cc(OC)c1
ZINC20696014	C[NH+]1CCN(S(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2cc(Br)ccc2O)N3)CC1
ZINC26469675	Cc1cc[nH+]c(N2CCN(CCC3Cn4c(-c5ccc(O)c(O)c5)c(C)c5cccc(c54)O3)CC2)c1
ZINC32865327	CC(C(=O)Nc1cc(C(F)(F)F)ccc1Cl)[NH+]1CCC(NS(=O)(=O)c2cccs2)CC1
ZINC33161943	CCOc1cc(C2N=C(O)c3c(sc4c3CC[NH+](C)C4)N2)ccc1OC(=O)c1ccccc1Cl
ZINC35760394	COc1ccc(NC(=O)C2=C(C)[NH+]=C3SCCCN3C2c2ccc(NC(=O)C(C)Cl)cc2)cc1
ZINC13831077	CCOc1cccc(C2CC(c3ccc4c(c3)OCO4)=NC(c3ccc(Br)cc3)[NH2+]2)c1O
ZINC33161942	CCOc1cc(C2N=C(O)c3c(sc4c3CC[NH+](C)C4)N2)ccc1OC(=O)c1ccccc1Cl
ZINC03011410	COc1ccc(NC(=O)c2cc3n(n2)C(C(F)(F)F)CC(c2ccc(Cl)cc2)N3)c(OC)c1
ZINC03012537	COc1ccc(C2CC(C(F)(F)F)n3ncc(C(=O)Nc4ccccc4Cl)c3N2)cc1OC
ZINC03011522	CCc1c(C)sc(NC(=O)c2cc3n(n2)C(C(F)(F)F)CC(c2ccc(Cl)cc2)N3)c1C#N
ZINC38598543	Cc1ccc(S(=O)(=O)C2c3nc4ccccc4nc3N(/N=C/C3=c4ccccc4=[NH+]C3)C2N)cc1C
ZINC36660261	COC(=O)c1c(NC(=O)C2CCCN2S(=O)(=O)c2ccc(C)cc2)sc2c1CC(C)(C)[NH2+]C2(C)C
ZINC38799178	CC(SC1NN=C(C2=c3ccccc3=[NH+]C2)N1c1ccc(Cl)cc1)C(=O)Nc1ccccc1[N+](=O)[O-]
ZINC39228661	N#Cc1cccc(NC(=O)C[NH+]2CCc3c([nH]c4ccccc34)C2c2cc(Cl)cc3c2OCO3)c1
ZINC39431004	Cc1cc(Br)ccc1NC(=O)CNC(=O)COC(=O)c1ccc2c(c1)=C1CCCCC1[NH+]=2
ZINC39467526	CCOC1=CC2CC3COP(=O)(c4ccccc4O)N[NH+]3CC2C=C1I
ZINC39500580	CC(C)C1c2[nH]c3ccccc3c2CCN1C(=O)CSC1=CC=C2N=[NH+]C(c3cccnc3)N2N1
ZINC39656981	CCOc1ccccc1C(=O)N1CC(C(=O)NC(C)c2ccc(Br)cc2)C2(CC[NH2+]CC2)C1
ZINC39696171	CCc1ccc(C(C)NC(=O)C2CN(C(=O)c3ccc(OC)c(C(F)(F)F)c3)CC23CC[NH2+]CC3)cc1
ZINC39696227	CCc1ccc(C(C)NC(=O)C2CN(C(=O)c3ccc(Oc4ccccc4)nc3)CC23CC[NH2+]CC3)cc1
ZINC39696228	CCc1ccc(C(C)NC(=O)C2CN(C(=O)c3ccc(Oc4ccccc4)nc3)CC23CC[NH2+]CC3)cc1
ZINC39947235	CC(SC1NN=C(C2=c3ccccc3=[NH+]C2)N1c1ccc(Cl)cc1)C(=O)NCC1CCCO1
ZINC43526692	COc1ccc(-c2cc(C3C[NH+]4CCC3CC4CNC(=O)Nc3ccc(F)cc3F)n(C)n2)cc1OC
ZINC39976909	CC(=O)Nc1ccc(S(=O)(=O)/N=C2\N=c3ccccc3=[NH+]C2Nc2ccccc2OC(F)F)cc1
ZINC63375246	O=C1C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccc(Cl)cc43)C2C(=O)N1c1ccccc1
ZINC63375915	O=C1C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4c(Cl)cccc43)C2C(=O)N1c1ccccc1
ZINC63375916	O=C1C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4c(Cl)cccc43)C2C(=O)N1c1ccccc1
ZINC63383727	CCC(C)C(NC(=O)C1CC2=c3ccccc3=[NH+]C2C2c3ccccc3C(=O)N12)C(=O)NC1CCCC1
ZINC63383780	CCC(C)NC(=O)C(CC(C)C)NC(=O)C1CC2=c3ccccc3=[NH+]C2C2c3ccccc3C(=O)N12
ZINC63479866	Cc1cc(C)c2c(c1)C1(NC(CC3=c4ccccc4=[NH+]C3)C3C(=O)N(c4ccccc4)C(=O)C31)C(=O)N2
ZINC63479899	O=C1C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4c(Cl)cccc43)C2C(=O)N1c1ccc(F)cc1
ZINC63479973	Cc1ccc2c(c1C)NC(=O)C21NC(CC2=c3ccccc3=[NH+]C2)C2C(=O)N(c3ccccc3)C(=O)C21
ZINC63546966	COc1ccc(C2=NC3C(C(=O)NCCC4=c5cc(Cl)ccc5=[NH+]C4)=CNN3C(C(F)(F)F)=C2)cc1
ZINC01790891	O=c1[nH]c(=O)n(-c2ccc(F)cc2)c2c1C(C(F)(F)F)(C(F)(F)F)NC(c1cccc(Cl)c1)=[NH+]2
ZINC01790891	O=c1[nH]c(=O)n(-c2ccc(F)cc2)c2c1C(C(F)(F)F)(C(F)(F)F)N=C(c1cccc(Cl)c1)N2
ZINC63746547	COc1ccccc1NC(=O)Nc1cc(C)cc2c1=[NH+]C(C(=O)N1CCOCC1)C=2c1ccccc1
ZINC63746558	Cc1cc(NC(=O)Nc2ccccc2Cl)c2c(c1)=C(c1ccccc1)C(C(=O)N1CCOCC1)[NH+]=2
ZINC64002478	CCc1nc2cc(C(=O)NCC3C=c4ccccc4=[NH+]3)cc(NC(=O)c3ccccc3OC)c2n1C
ZINC64044570	O=C(NC(CC1=c2ccccc2=[NH+]C1)C(=O)N/N=C/c1ccc2c(c1)OCCO2)c1ccc(Cl)cc1
ZINC65074841	CC(C)c1ccc(S(=O)(=O)N2CCC3(CC2)NCC[NH+]=C3NCc2ccc3c(c2)OCO3)cc1
ZINC01206575	O=[N+]([O-])c1ccc2c(c1)C([NH+]1CCOCC1)/C(=C\COc1ccc3ccccc3c1Br)O2
ZINC08742830	COc1ccc(N2C(=O)C3C(C2=O)C2c4ccccc4C=C[NH+]2C3C(=O)c2ccc3c(c2)OCO3)cc1
ZINC08781575	CCOC(=O)c1c(N2CCN(c3[nH+]cc(C(F)(F)F)cc3Cl)CC2)c2ccccc2n(C)c1=O
ZINC08811235	Cc1c(C(=O)N2CCN(c3cccc[nH+]3)CC2)oc2ccc(S(=O)(=O)N3CC(C)CC(C)C3)cc12
ZINC09019728	COc1ccc(C(=O)C2C3C(=O)N(c4ccc([N+](=O)[O-])cc4)C(=O)C3C3c4ccccc4C=C[NH+]23)cc1
ZINC09505514	CCc1cccc2sc(N(CC[NH+](C)C)C(=O)C3CCCN3S(=O)(=O)c3cccs3)nc12
ZINC09505556	C[NH+](C)CCN(C(=O)C1CCCN1S(=O)(=O)c1cccs1)c1nc2c(Cl)cccc2s1
ZINC10775424	C[NH+](C)CCN(C(=O)C1CCCCN1S(=O)(=O)c1cccs1)c1nc2c(F)cccc2s1
