ZINC02780389	Cc1nn(C)cc1C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC08686562	CC1(C)C([N+](=O)[O-])C(c2ccc(O)cc2)[NH2+]C(c2ccc(O)cc2)C1[N+](=O)[O-]
ZINC08790619	O=C1C2C(Cc3ccc(O)c(O)c3)[NH2+]C3(C(=O)Nc4ccccc43)C2C(=O)N1C1CCCC1
ZINC12877564	CC(O)C1[NH2+]C2(C(=O)Nc3ccccc32)C2C(=O)N(c3ccc4c(c3)OCCO4)C(=O)C12
ZINC12881490	COc1ccc(CN2C(=O)C3C(CC(N)=O)[NH2+]C4(C(=O)Nc5c(C)cccc54)C3C2=O)cc1
ZINC08636345	Cc1cc(C)cc(N2C(=S)NC3C(O)C(O)CC(C(=O)NCC[NH+]4CCOCC4)C32)c1
ZINC08995726	COCCN1C(=O)C2C(CC(N)=O)[NH2+]C3(C(=O)Nc4ccc(Br)cc43)C2C1=O
ZINC08972077	NC(=O)CC1[NH2+]C2(C(=O)Nc3c(Cl)cccc32)C2C(=O)N(CC3CCCO3)C(=O)C12
ZINC22313484	Cc1cc(C)c2c(N)c(C(=O)OCC(=O)N3CCC(C(N)=O)CC3)sc2[nH+]1
ZINC22840219	Nc1nc(N)nc(C[NH+]2CCN(Cc3nc(-c4ccc(Cl)cc4)no3)CC2)n1
ZINC06058533	NC1=[NH+]N=C(N2N=C(c3ccc(F)cc3)CC2(O)C(F)(F)F)n2ncnc2C1
ZINC25680382	CC(C(=O)Nc1sc2c(c1C(N)=O)CCC2)[NH+]1CC=C(c2ccc(O)cc2)CC1
ZINC36273235	CC1Oc2ccc(-c3nc4ccc(N)cn4c3C[NH+](C)CCO)cc2N(C)C1=O
ZINC39029696	O=C(/C=C/C1=c2ccccc2=[NH+]C1)C1C(=O)N(Cc2ccccc2)C(O)NC1O
ZINC39323858	CCCc1nc2c(o1)NC([NH3+])=C(C#N)C21C(=O)Nc2ccc(Br)cc21
ZINC39353580	Cc1ccc2cc(CNC3CCCCNC3=O)c(N3CCC(O)CC3)[nH+]c2c1
ZINC39661738	O=C(NCCc1ccc(O)c(O)c1)C1CN(C(=O)c2cc(F)cc(F)c2)CC12CC[NH2+]CC2
ZINC39661900	O=C(NCCc1ccc(O)c(O)c1)C1CN(C(=O)c2ccc3ccccc3n2)CC12CC[NH2+]CC2
ZINC39671592	CC1=C(C(=O)N2CC(C(=O)NCc3cc4ccccc4[nH]3)C3(CC[NH2+]CC3)C2)C(C)ON1
ZINC39671593	CC1=C(C(=O)N2CC(C(=O)NCc3cc4ccccc4[nH]3)C3(CC[NH2+]CC3)C2)C(C)ON1
ZINC39674577	CC1=CC(C(=O)N2CC(C(=O)NC(C)C3=C(C)N=NC3C)C3(CC[NH2+]CC3)C2)NN1C
ZINC39676156	Cc1ccc(C(=O)N2CC(C(=O)NCc3nc4ccccc4c(=O)[nH]3)C3(CC[NH2+]CC3)C2)cc1
ZINC39676167	Cc1ccccc1C(=O)N1CC(C(=O)NCc2nc3ccccc3c(=O)[nH]2)C2(CC[NH2+]CC2)C1
ZINC39159896	CCN1C(=O)C(C(=O)N/N=C(\C)C2C(=O)[NH+]=c3ccccc3=C2O)C(O)c2ccccc21
ZINC39940649	Nc1nonc1C1Nc2ccccc2N1CC(=O)N/N=C/C1=c2ccccc2=[NH+]C1
ZINC40687410	Cc1ccc(S(=O)(=O)NNc2nc[nH+]c(N3CCc4ccccc43)c2N)cc1
ZINC42632638	Cc1ccc(NC(=O)NC(=O)C(C)[NH+]2CCC(NS(C)(=O)=O)CC2)c(C)c1
ZINC33898210	[NH3+]C(Cc1ccc(O)cc1)c1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)co1
ZINC44399193	COc1cc(C)c2c(c1CC[NH3+])Oc1c(c(C)c(O)c3c1C(O)OC3=O)OC2=O
ZINC45254514	CC(C)C(=O)N(C)C1C[NH2+]C(C(=O)N2CC=C(c3ccccc3)CC2)C(C(=O)NO)C1
ZINC39695854	Cc1ccc2nc(C(C)NC(=O)C3CN(C(=O)c4c(C)noc4C)CC34CC[NH2+]CC4)[nH]c2c1
ZINC54726314	CC1CC(C)C[NH+](C(C)(C)CNC(=O)NNC(=O)C2CCS(=O)(=O)C2)C1
ZINC12507610	COc1cc(OC)c(C2NC(N)=[NH+]c3nc4cc5c(cc4n32)OCCCO5)cc1OC
ZINC19357025	NC1=[NH+]c2nc3cc4c(cc3n2C(/C=C/c2ccccc2[N+](=O)[O-])N1)OCCCO4
ZINC05172582	CC12CC(c3ccccc3O1)C(/C(N)=[NH+]\NC(=O)c1ccc(F)cc1)C(=O)N2
ZINC59926794	[NH3+]CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(Br)s2)C1
ZINC12506245	[NH2+]=C1Nc2nc3cc4c(cc3n2C(c2cc(O)c(O)c(Cl)c2)N1)OCCCO4
ZINC39760392	CNC(=O)NC(=O)C(C)SC1NN=C(C2=c3ccccc3=[NH+]C2)N1C1CC1
ZINC39760393	CNC(=O)NC(=O)C(C)SC1NN=C(C2=c3ccccc3=[NH+]C2)N1C1CC1
ZINC63686320	NC(=O)C1NC(Nc2ccccc2)SC1NC(=O)C1C=c2cc(Cl)ccc2=[NH+]1
ZINC63686322	NC(=O)C1NC(Nc2ccccc2)SC1NC(=O)C1C=c2cc(Cl)ccc2=[NH+]1
ZINC63686323	NC(=O)C1NC(Nc2ccccc2)SC1NC(=O)C1C=c2cc(Cl)ccc2=[NH+]1
ZINC64044452	COc1cc(N2C(=O)C(C3NCCC4=c5ccccc5=[NH+]C43)C(O)NC2O)cc(OC)c1OC
ZINC64198057	COc1ccc2c(c1)=C1CCNC(C3C(=O)N(c4ccccc4Cl)C(O)NC3O)C1[NH+]=2
ZINC64227746	O=C(C(CC1=c2ccccc2=[NH+]C1)N1C(=O)c2ccccc2NC1O)N1CCCC1CO
ZINC25107902	COc1cc(OC)cc(C(=O)NC(C)C(=O)N2CCC3(CC2)NCCc2[nH+]c[nH]c23)c1
ZINC65330189	O=C(NCCC1=c2ccccc2=[NH+]C1)C1NNSC1NC(=O)N1CCOCC1
ZINC65330194	O=C(NCCC1=c2ccccc2=[NH+]C1)C1NNSC1NC(=O)N1CCCCC1
ZINC66195028	CC1(c2ccc(CNC(=O)N3CCC([NH+]4CCCC4)C3)cc2)NC(=O)NC1=O
ZINC67273439	Cc1ccc(C(CNC(=O)C2CCC3(CC2)NC(=O)NC3=O)[NH+]2CCCC2)o1
ZINC04087265	C[NH+]1CCc2c(sc(NC(=O)c3cc4ccccc4oc3=O)c2C(N)=O)C1
ZINC07990160	NC(=O)NC(=O)C(c1ccccc1)[NH+]1CCN(S(=O)(=O)Cc2ccccc2)CC1
ZINC07990161	NC(=O)NC(=O)C(c1ccccc1)[NH+]1CCN(S(=O)(=O)Cc2ccccc2)CC1
ZINC08253925	Nc1cccc(-c2cn(CC3CC4CC[NH+]3CC4C(=O)NCc3ccco3)nn2)c1
ZINC08253929	Nc1cccc(-c2cn(CC3CC4CC[NH+]3CC4C(=O)NCc3ccco3)nn2)c1
ZINC04585753	CC[NH+]1CCc2c(sc(NC(=O)c3ccccc3S(=O)(=O)CC)c2C(N)=O)C1
ZINC06727371	COc1cc(C2N=C(O)c3c(sc4c3CC[NH+](C)C4)N2)cc(OC)c1O
ZINC11423112	CC(NC1=NS(=O)(=O)c2ccccc21)C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC12590882	Cc1ccc(-n2cc(C[NH2+]Cc3n[nH]c(=O)[nH]3)c(-c3ccc(F)cc3)n2)cc1
ZINC20465710	O=S(=O)(NCC1OC(CO)C(O)C1[NH+]1CCCCC1)c1ccc(Cl)cc1
ZINC04489158	[NH2+]=c1occ(C(=O)c2cc(Br)ccc2O)cc1C(=O)NCC1CCCO1
ZINC29820822	COC(=O)C(c1ccc(Cl)cc1)N1CC[NH+](CC(=O)NC(N)=O)CC1
ZINC31663612	O=C(NCC(O)C[NH+]1CCc2ccccc2C1)Nc1ccccc1[N+](=O)[O-]
ZINC36007419	CC1CC(C)CN(C(=O)C[NH+]2CCN(C(C(=O)NC(N)=O)c3ccccc3)CC2)C1
ZINC36007417	CC1CC(C)CN(C(=O)C[NH+]2CCN(C(C(=O)NC(N)=O)c3ccccc3)CC2)C1
ZINC04088582	CC[NH+]1CCc2c(sc(NC(=O)C3COc4ccccc4O3)c2C(N)=O)C1
ZINC38508743	CCC[NH+]1CCc2c(sc(NC(=O)c3ccn(C(C)C)n3)c2C(N)=O)C1
ZINC38586138	CC(C)CC(=O)N1NC(c2cccnc2)NC1[NH2+]CC1=CC2=CC=NC2C=C1
ZINC38748330	COc1ccc(CCNC2N=C3N=[NH+]C(N)=C3C3=C2CN(C)CC3)cc1OC
ZINC39951318	CCCC12CCN3CC(CCC)(C[NH+](C1)C3c1[nH]c(=O)[nH]c(=O)c1C)C2O
ZINC40629930	CC1(C)CC(Nc2ncnc(NCc3ccco3)c2[N+](=O)[O-])CC(C)(C)[NH2+]1
ZINC42814015	CC1(NNC(=O)NCC(c2ccccc2)[NH+]2CCCC2)CCS(=O)(=O)C1
ZINC43303480	CC([NH2+]C(C)c1cccc2ccccc12)C(=O)c1c(N)n(C)c(=O)n(C)c1=O
ZINC44713638	CCCCC(=O)N1CC(C(=O)NC(C)c2c(C)n[nH]c2C)C2(CC[NH2+]CC2)C1
ZINC45254512	CC(C)C(=O)N(C)C1C[NH2+]C(C(=O)N2CC=C(c3ccccc3)CC2)C(C(=O)NO)C1
ZINC45848105	CC1CN(c2ccc(CNC(=O)NNC(=O)OC(C)(C)C)c[nH+]2)CC(C)O1
ZINC45848108	CC1CN(c2ccc(CNC(=O)NNC(=O)OC(C)(C)C)c[nH+]2)CC(C)O1
ZINC23471007	CC(C(N)=O)N1CC[NH+](Cc2nc3sc4c(c3c(=O)[nH]2)CCCC4)CC1
ZINC52829863	C=CCNC(=O)NC(=O)C(C)[NH+]1CCCC(C(=O)Nc2ccc(Cl)cn2)C1
ZINC29033441	Cc1cc(C)c2c(N)c(C(=O)OCC(=O)NC(=O)c3cccn3C)sc2[nH+]1
ZINC48310460	CN(C)c1nc(Cl)c(C2NC(=[NH2+])Nc3nc4cc5c(cc4n32)OCCCO5)s1
ZINC58162059	CC1Oc2ccc(NC(=O)NCC(C3CCOC3)[NH+]3CCCC3)cc2NC1=O
ZINC18126020	Cc1ccccc1N1C(=O)CC(SC(=[NH2+])N/N=C/c2ccc(O)cc2)C1=O
ZINC20572783	O=C(NCCC(=O)N1CCC2(CC1)NCCc1[nH+]c[nH]c12)c1cccc(F)c1
ZINC20572783	O=C(NCCC(=O)N1CCC2(CC1)NCCc1[nH]c[nH+]c12)c1cccc(F)c1
ZINC39760437	CCNC(=O)NC(=O)CSC1NN=C(C2=c3ccccc3=[NH+]C2)N1C1CC1
ZINC63271374	NC(=O)C1CCN(C(=O)CCCNC(=O)N2CCC3=c4ccccc4=[NH+]C3C2)CC1
ZINC63758954	Cc1nc2nc(N)nn2c(C)c1CC(=O)NCCC[NH+]1CC(C)CC(C)C1
ZINC63791338	CN1NC(C(=O)NNC(=O)CCCC2=c3ccccc3=[NH+]C2)c2ccccc2C1=O
ZINC63985102	COc1ccccc1N1C(=O)C(C2NCCC3=c4ccccc4=[NH+]C32)C(O)=NC1O
ZINC61904222	O=C(NCc1ccc(N2CCc3ccccc3C2)[nH+]c1)NNC(=O)c1ccoc1
ZINC64380809	CC(CC1=c2ccccc2=[NH+]C1)NC(=O)CCN1C(=O)c2ccccc2NC1O
ZINC64417611	CC1=CC(=O)N2N=C(CC(=O)NCCC3=c4cc(F)ccc4=[NH+]C3)NC2N1
ZINC65118354	Cc1ccc(CNC(=O)c2nsc(C(=O)N3CCN(c4cccc[nH+]4)CC3)c2N)cc1
ZINC66402587	O=C(NCCc1cn2c([nH+]1)CCCC2)Nc1cc(C(F)(F)F)c[nH]c1=O
ZINC66562925	Cc1cc(S(N)(=O)=O)cc(NC(=O)C[NH+](C)Cc2scnc2C)c1C
ZINC67267646	O=C1NC(=O)C2(CCC(C(=O)NCC3([NH+]4CCSCC4)CCCC3)CC2)N1
ZINC67304518	CC(C)C(CNC(=O)C1CCC2(CC1)NC(=O)NC2=O)[NH+]1CCCCCC1
ZINC67392712	CC1CCC[NH+](C(C)(C)CNC(=O)C(=O)Nc2ccc3c(c2)NC(=O)CO3)C1
ZINC67421295	CNS(=O)(=O)c1cccc(C(C)NC(=O)NCc2cn3c([nH+]2)CCCC3)c1
ZINC67487972	CC1CC[NH+](CC(O)CNC(=O)Nc2ccc(Cl)c([N+](=O)[O-])c2)CC1
ZINC04123973	Cc1cc[nH+]c(NC(c2ccccc2C)c2ccc3cccnc3c2O)c1
ZINC04730002	COc1cccc(C2CC(c3ccc(Cl)cc3)=NC(C(C)C)[NH2+]2)c1O
ZINC05102077	Oc1c(C(Nc2cccc[nH+]2)c2ccc(Br)cc2)ccc2cccnc12
ZINC06894683	CC1CCCC(NC(=O)C2CC3CCC[NH+]3C23C(=O)Nc2ccccc23)C1C
ZINC00814372	CC1=CC(C)(C)N2C(=O)C3([NH2+]CCc4c3[nH]c3ccccc43)c3cccc1c32
ZINC00969383	CC(C)=CCCC1(C)OC(=O)N(C2CC(C)(C)[NH2+]C(C)(C)C2)C1(C)O
ZINC12293446	Cc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2cc(Cl)ccc2O3)cc1
ZINC12318350	Cc1cc(C)c(NC(=O)C2CCC[NH+]2C23CC4CC(CC(O)(C4)C2)C3)c(C)c1
ZINC12330093	COc1cccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2cc(C)ccc2O3)c1
ZINC12330195	OC(C[NH+]1CCC2(CC1)CC(O)c1cc(F)ccc1O2)c1ccc2c(c1)CCC2
ZINC12432688	OCC#Cc1csc(C[NH2+]C2CCCN(c3nc4ccccc4s3)C2)c1
ZINC05590460	Oc1c(C(Nc2cccc[nH+]2)c2c(F)cccc2Cl)ccc2cccnc12
ZINC04787247	Oc1ccccc1C1=NC(c2ccc(Br)cc2)[NH2+]C(c2cccnc2)C1
ZINC11662257	Cc1ccccc1-n1ncc2c1CC(C)(C)CC2[NH2+]Cc1ccccc1O
ZINC15080083	OCC1CCN(c2ncc3c(n2)CCCC3[NH2+]C23CC4CC(CC(C4)C2)C3)CC1
ZINC18284347	C[NH+]1CCc2c(sc3c2C(=O)NC(c2ccc(-c4ccc(Cl)cc4)o2)N3)C1
ZINC19374119	OC(C[NH+]1CCC2(CC1)CC(O)c1cc(F)ccc1O2)c1ccc(-c2ccccc2)cc1
ZINC20059283	OC1=NC(/C=C\c2ccccc2)Nc2sc3c(c21)CC[NH+](Cc1ccccc1)C3
ZINC20562398	CC[NH+]1CCc2c(sc3c2C(=O)NC(c2c(F)cccc2Cl)N3)C1
ZINC21013287	Cc1cc([N+](=O)[O-])cc(C([NH3+])c2cc(Br)ccc2F)c1C
ZINC21026586	CCc1ccc([N+](=O)[O-])cc1C([NH3+])c1ccc(F)cc1Br
ZINC27360077	C[NH+](Cc1nc(N)c2ccccc2n1)Cc1ccc(Br)s1
ZINC34868071	NC(=O)C1CCCC[NH+]1Cc1cc(F)cc2c1OC(c1ccsc1)OC2
ZINC36266033	O=S(=O)(NC1CC[NH2+]C2(CCC2)C1)c1ccc(I)cc1
ZINC36938614	Cc1c(-c2ccccc2Br)[nH+]n(C2CCS(=O)(=O)C2)c1N
ZINC37020243	O=C(Nc1cc(Cl)cc(Br)c1OC(F)F)C1CSC[NH2+]1
ZINC37282704	COc1c(Br)cc(C[NH2+]C2CCCCNC2=O)cc1Br
ZINC38122590	OCC([NH2+]C1CCCCCC1)c1cc(Br)c2c(c1)OCO2
ZINC38733925	C[NH+]1C(C)(C)CC(NC(=O)CC2Sc3ccccc3NC2=O)CC1(C)C
ZINC39295725	O=S1(=O)c2ccccc2C(O)C1C([NH2+]C1CCCCC1)C1CCCCC1
ZINC39466639	CSC1=CC2CC3COP(=O)(Cc4ccccc4)N[NH+]3CC2C=C1O
ZINC39466775	O=P1(Cc2ccccc2)N[NH+]2CC3C=C(c4ccccc4O)C(Cl)=CC3CC2CO1
ZINC39633736	O=C(NC1CCCCCC1)C1CN(C(=O)C2CC=CCC2)CC12CC[NH2+]CC2
ZINC39933252	N#CC1=C(N)OC2=c3ccccc3=[NH+]C(=O)C2C1c1ccc(Cl)cc1Cl
ZINC40740986	Cc1ccc(Br)cc1S(=O)(=O)NC1CC2CCC(C1)[NH2+]2
ZINC42958955	[NH3+]CC(Sc1nnc2n1CCCCC2)c1ccc(Br)cc1
ZINC43095889	[NH3+]CC(Sc1nnc2n1CCCCC2)c1ccccc1Br
ZINC43283523	CC([NH3+])C(Sc1nnc2n1CCCCC2)c1ccc(Br)s1
ZINC43290482	CC([NH3+])C(Sc1nnc2n1CCCCC2)c1cc(Br)cs1
ZINC44556224	[NH3+]CC1CCCCN1S(=O)(=O)c1c(Cl)cc(Br)cc1Cl
ZINC45545588	CN(Cc1ccc(Br)s1)C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC47042477	O=C(NCc1csc(Br)c1)NC1CC[NH+]2CCCCC12
ZINC50361932	CCC1COCCN1C(C[NH3+])c1cc(Br)c(Br)o1
ZINC44517101	C[NH+]1CCC(CNC2C(=O)Nc3c(Br)cc(F)cc32)CC1
ZINC60485354	CCOC1CC[NH+](Cc2nc(N)c3c4c(sc3n2)CCCCC4)CC1
ZINC61642574	C[NH+](C)CC1CCCN1S(=O)(=O)c1c(N)cc(Cl)cc1Cl
ZINC63386421	O=C1Oc2ccccc2C(O)C1C1NCCC2=c3cc(Cl)ccc3=[NH+]C21
ZINC63794307	Cc1cccc2c1NC(=O)C21NCC(c2cccs2)C2=c3ccccc3=[NH+]C21
ZINC65265974	CC(C)(C)/[NH+]=C1\Nc2ccccc2CNC12CCN(C(=O)c1ccsc1)C2
ZINC67489260	Cc1cc(C)c2c(c1)N(C(=O)C(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1)CCC2
ZINC04161776	CCC(C)(C)n1nnnc1C(c1cc2ccc(C)c(C)c2[nH]c1=O)[NH+]1CCCC(C)C1
ZINC04847811	COc1cc(C(c2nnnn2C2CCCCC2)[NH+]2CCc3ccccc3C2)ccc1O
ZINC05576438	CCc1ccc2[nH]c(=O)c(C(c3nnnn3C3CCCC3)[NH+]3CCCC(C)C3)cc2c1
ZINC03353879	CC1CCc2c(sc3nc(C[NH+]4CCN(S(=O)(=O)/C=C/c5ccccc5)CC4)[nH]c(=O)c23)C1
ZINC00896864	COc1cc(C[NH+]2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)cc(OC)c1O
ZINC09269469	CC[NH+]1CCN(c2nnc(-n3cccc3C(=O)Nc3cccc(Cl)c3C)s2)CC1
ZINC09264595	Cc1cc(=O)n2c(n1)NC(N1CCN(c3ccccc3)CC1)=[NH+]C2c1ccc(Cl)cc1
ZINC08963260	CN1CCc2cc(C(CNC(=O)c3cc([N+](=O)[O-])ccc3Cl)[NH+]3CCCC3)ccc21
ZINC12217807	CC1(C2CC[NH+](Cc3cccn3-c3ccccn3)CC2)NC(=O)N(Cc2ccc(F)cc2)C1=O
ZINC12296363	COc1ccc2c(C)c(CC(=O)NCC3CCC[NH+]4CCCCC34)c(=O)oc2c1OC
ZINC12390840	Cc1ccc(-n2ncc3c2N=C(SCC(=O)NC(C)C)N2CCC[NH+]=C32)cc1Cl
ZINC06300630	Cc1cc(C)c2[nH]c(=O)c(C(c3nnnn3C3CCCC3)[NH+](C)C3CCCCC3)cc2c1
ZINC06300822	Cc1cc(C)c2[nH]c(=O)c(C(c3nnnn3Cc3ccc(F)cc3)[NH+]3CCCC3)cc2c1
ZINC09007904	COc1cccc2cc(/C(O)=C3\C(=O)C(=O)N(CC[NH+](C)C)C3c3ccccc3F)oc12
ZINC09468701	CC(Sc1nnc(C(C)[NH+](C)C)n1-c1ccc(Cl)cc1)c1nc2ccccc2c(=O)[nH]1
ZINC13591961	COc1cc(-c2cc3n(c(=[NH2+])c2C#N)CCc2cc4c(cc2-3)OCO4)ccc1OCC(C)C
ZINC14882221	CCC1(C2CC[NH+](CC3CC=CCC3)CC2)NC(=O)N(Cc2ccc3c(c2)OCO3)C1=O
ZINC13550346	C=C(C)COc1cc2oc(=O)c(CC(=O)N3CCc4[nH]c[nH+]c4C3)c(C)c2cc1Cl
ZINC13550346	C=C(C)COc1cc2oc(=O)c(CC(=O)N3CCc4[nH+]c[nH]c4C3)c(C)c2cc1Cl
ZINC21242905	CC(=O)[NH+]=c1ccc2c(CSc3nnc(C4CC4)n3-c3ccccc3)cc(O)oc-2c1
ZINC22918525	CC1(c2ccc(C#N)cc2)NC(=O)N(CN2CC[NH+](C/C=C/c3ccccc3)CC2)C1=O
ZINC25607371	O=C(/N=c1\[nH]c2c(s1)C[NH+](Cc1ccccc1)CC2)C1=NN(c2ccccc2)C(=O)CC1
ZINC26458158	Cc1ccc([N+](=O)[O-])c(NC(=O)C(C)[NH+]2CCN(Cc3ccc(Cl)cc3)CC2)c1C
ZINC30587499	c1cnc(-n2ccnc2)c(CNc2nc(C[NH+]3CCCCC3)nc3sc4c(c23)CCCC4)c1
ZINC33331895	Cc1cc2c(cc3n2CC(C)(C(=O)NC2CCCCC2)N(CCC[NH+]2CCCCC2)C3=O)o1
ZINC34207846	CC(C)c1[nH]c(=O)c(-c2csc(-c3ccncc3)n2)cc1C(=O)OC1CCC[NH+](C)C1
ZINC34748952	CCc1c(C)sc2nc(N3CC[NH+](CC)CC3)n(CC(=O)NC3CCCCC3)c(=O)c12
ZINC35834549	CCOc1ccc(C2NC(=O)N(C)C3=C2C(=O)N(C2CC[NH+](Cc4ccccc4)CC2)C3)cc1
ZINC35870221	O=C(NCC1CC1)C1Cc2cc([N+](=O)[O-])ccc2N2CC[NH+](Cc3ccccc3)CC12
ZINC19568306	Cc1cc(C)c2[nH]c(=O)c(C[NH+](Cc3nnnn3C3CCCC3)C3CCCCC3)cc2c1
ZINC22577385	CC[NH+]1CCN(C(c2ccc(C)cc2)c2sc3nc(-c4ccco4)nn3c2O)CC1
ZINC38597572	O=C(NCC(c1ccco1)[NH+]1CCN(c2ccc(F)cc2)CC1)C1COc2ccccc2O1
ZINC39206320	O=C(CSC1=NC2[NH+]=c3ccccc3=C2N=N1)Nc1ncc(C(F)(F)F)cc1Cl
ZINC39336686	S=C1[NH+]=NC(c2cc[nH+]cc2)N1/N=C/C1=CN(c2ccccc2)NC1c1ccccc1
ZINC39445978	CN(CC1N=NC2=C1CCCCC2)C(=O)CC1C(=O)NCCN1Cc1cccc(F)c1
ZINC39467577	CN(CC1N=NC2=C1CCCC2)C(=O)CC1C(=O)NCC[NH+]1C1Cc2ccccc2C1
ZINC39467580	CN(CC1N=NC2=C1CCCC2)C(=O)CC1C(=O)NCC[NH+]1C1Cc2ccccc2C1
ZINC18935580	CC(C(=O)Nc1ccc([N+](=O)[O-])cc1Cl)[NH+]1CCN(Cc2ccc(Cl)s2)CC1
ZINC59825673	Cc1cccc([N+](=O)[O-])c1S(=O)(=O)NC1CC[NH+](Cc2ccc(Cl)cc2)CC1
ZINC39938710	O=C(CSC1NN=C(C2=c3ccccc3=[NH+]C2)N1C1CC1)N1CCC(c2ccccc2)=N1
ZINC39945876	CC1[NH+]=c2ccccc2=C1/C=N/NC(=O)c1ccc(OCC(=O)N2C(C)CCCC2C)cc1
ZINC39946772	O=C(C1=c2ccccc2=[NH+]C1)C(SC1NN=C(c2ccc3c(c2)OCO3)O1)c1ccccc1
ZINC39946773	O=C(C1=c2ccccc2=[NH+]C1)C(SC1NN=C(c2ccc3c(c2)OCO3)O1)c1ccccc1
ZINC63339561	COc1ccc2c(c1)=C(CCn1c(C)c3c(=O)n(-c4ccc(Cl)cc4)[nH]c3cc1=O)C[NH+]=2
ZINC63361980	CC12C(=O)N(c3cccc(C(=O)NCc4ccc(F)cc4)c3)C(=O)N1CCC1=c3ccccc3=[NH+]C12
ZINC63362653	CC(NC(=O)c1cccc(N2C(=O)N3CCC4=c5ccccc5=[NH+]C4C3(C)C2=O)c1)c1ccccc1
ZINC63362778	COc1ccc2c(c1OC)C(=O)N1C2SC(C)(C)C1C(=O)NCCC1=c2ccccc2=[NH+]C1
ZINC63374648	CC(C)CCNC(=O)C(C(C)C)N1C(=O)N2CCC3=c4ccccc4=[NH+]C3C2(C)C1=O
ZINC63558260	O=C(CN1C(=O)c2cccnc2Oc2ccc(Cl)cc21)NCCC1=c2ccccc2=[NH+]C1
ZINC63830600	O=C(CN1CC(C(=O)N2CCCCC2)Oc2ccccc21)NCCC1=c2ccccc2=[NH+]C1
ZINC64480290	COc1ccc(N2CC34C=CC(O3)C(C(=O)NCCC3=c5ccccc5=[NH+]C3)C4C2=O)cc1
ZINC04723488	O=C(c1cc2cc(Oc3ccccc3)ccc2[nH]1)N1CCN(c2cccc[nH+]2)CC1
ZINC04885530	CCOC(=O)C1(C)[NH2+]C(c2ccccc2F)C2C(=O)N(c3ccccc3)C(=O)C21
ZINC04885874	COC(=O)C1(C)[NH2+]C(c2ccc(C)cc2)C2C(=O)N(c3ccccc3F)C(=O)C21
ZINC04971769	CC1CCCC[NH+]1CCNC(=O)c1cccn2c(=O)c3c4c(sc3nc12)CCCC4
ZINC04991713	CN1C(/C=N/Nc2nc(-c3ccccc3)cc(-c3ccccc3)n2)=[NH+]C2C=CC=CC21
ZINC02393176	CCSc1nc(N2CC[NH+](CCO)CC2)c2c3c(sc2n1)COC(C)(C)C3
ZINC08764815	CC[NH+]1CCCC1CNC(=O)Cc1c(C)c2cc3c(C)c(C)oc3cc2oc1=O
ZINC09576195	CC1CCN(C(=O)C[NH+]2CCC(n3c(=O)[nH]c4ccccc43)CC2)c2ccccc2S1
ZINC10611950	CC([NH2+]Cc1cc([N+](=O)[O-])cc2c1OCOC2)c1ccc(Cl)c(Cl)c1
ZINC12114624	Cn1ccnc1C1(O)CC[NH+](CC(=O)N2c3ccccc3Sc3ccccc32)CC1
ZINC12496955	CCOC(=O)C1(C)[NH2+]C(c2ccc(F)cc2)C2C(=O)N(c3ccccc3)C(=O)C21
ZINC15004701	Cc1ccc2c(C)nc(N3CCCC([NH2+]CC4CCS(=O)(=O)C4)CC3)nc2c1
ZINC15860421	Cc1ccc2oc(C(=O)NCC(c3ccc(C)o3)[NH+]3CCCCC3)cc(=O)c2c1
ZINC15860434	Cc1ccc(C(CNC(=O)c2cc(=O)c3cc(C)c(C)cc3o2)[NH+]2CCCCC2)o1
ZINC15931189	Cc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)N4CC[NH+]5CCCC5C4)cc3N2)cc1
ZINC20411770	COc1c2c(cc3c1C(C/C(=N/O)C1CC=C(C)CC1)[NH+](C)CC3)OCO2
ZINC20849328	CC(C)C(=O)O/[NH+]=c1\oc2ccccc2cc1C(=O)Nc1ccc(F)cc1F
ZINC20935965	O=C(NCC(c1ccco1)[NH+]1CCCCC1)c1cc(Cl)c2c(c1)OCCCO2
ZINC21158641	Cc1ccc(C)c(N2CCN(C(=O)C3CCN(c4[nH]c5ccccc5[nH+]4)CC3)CC2)c1
ZINC27492356	Oc1cc2c(cc1C[NH+]1CCN(c3ncc(C(F)(F)F)cc3Cl)CC1)OCO2
ZINC28822246	CCc1c[nH+]ccc1Nc1nc(-c2cc(Cl)ccc2F)nc2nccnc12
ZINC36204050	C[NH+](Cc1nc2scc(-c3ccc4c(c3)OCO4)c2c(=O)[nH]1)C1CCCCC1
ZINC39012290	CCC(C)(C)C1CCC2=C(C1)C(C(=O)N/N=C/C1=c3ccccc3=[NH+]C1)N=N2
ZINC39357942	Clc1ccc(C2=NN=CC2C[NH2+]C2CCCC3C2C=NN3c2ccccn2)cc1
