ZINC04219119	O=C([O-])c1c[nH]c2cc(Br)c(Br)cc12
ZINC37913937	CCC1CCCN1S(=O)(=O)c1cc(C(=O)[O-])c(Cl)cc1Cl
ZINC37914017	CCC1CCCN1S(=O)(=O)c1cc(Cl)cc(C(=O)[O-])c1Cl
ZINC38002167	O=C([O-])c1cn(-c2ccncc2)nc1-c1ccc(Br)s1
ZINC38615856	Cc1c(C(=O)C2C(C=C(Cl)Cl)C2(C)C)c([O-])n(C)c(=O)c1C#N
ZINC38615857	Cc1c(C(=O)C2C(C=C(Cl)Cl)C2(C)C)c([O-])n(C)c(=O)c1C#N
ZINC37538787	CC(=O)CC1OC2(CCC(C)(CC(=O)[O-])O2)C2(C)CCCC(C)(C)C12
ZINC37538789	CC(=O)CC1OC2(CCC(C)(CC(=O)[O-])O2)C2(C)CCCC(C)(C)C12
ZINC40691435	Cc1nc([N-]S(=O)(=O)c2ccc(Cl)nc2)c(Cl)cc1Cl
ZINC41572231	Cc1cc(C)c(S(=O)(=O)[N-]c2nc3c(s2)CN(C)CC3)c(C)c1
ZINC46706981	N#CC(C(=O)c1ccccc1)c1nc([O-])c2c3c(sc2n1)CCCC3
ZINC48450171	Cn1c(/C([O-])=N/S(=O)(=O)c2cccs2)c(Cl)c2ccccc21
ZINC48518713	CCCCS(=O)(=O)/N=C(\[O-])c1cc2cccc(Br)c2o1
ZINC48987710	Cc1cc2occ(C/C([O-])=C(/C#N)C(=O)N3CCCC3)c2cc1C(C)C
ZINC49454349	Cc1ccc(S(=O)Cc2nc(-c3ccc(C(=O)[O-])cc3)oc2C)cc1
ZINC49455331	O=C([O-])C1CCN(C(=O)c2ccc(-n3ccc4ccccc43)s2)CC1
ZINC52495959	CN(/C([O-])=N/c1nnc(-c2ccsc2)s1)C1CCc2ccccc21
ZINC52496196	CC(c1cccs1)N(C)/C([O-])=N/c1nnc(-c2ccsc2)s1
ZINC55569536	Cc1ccc(/C=C/S(=O)(=O)[N-]c2ccc(N3CCCC3=O)cc2)cc1
ZINC57122703	CC(C)Oc1ccc(C#N)cc1[N-]S(=O)(=O)c1ccc(F)c(F)c1
ZINC23371873	Cc1cnc2c(S(=O)(=O)[N-]c3cccc4cccnc34)cccc2c1
ZINC59326710	CC(C)c1c(I)c(C(=O)[O-])nn1-c1ccncc1
ZINC57785041	Cc1ccc(S(=O)(=O)[N-]c2ccccc2SC(=O)N(C)C)cc1
ZINC62072788	CC1(C)COCCN1c1ccc([N-]S(=O)(=O)c2cccs2)cc1
ZINC62554254	CC1COCC(C)N1c1ccc([N-]S(=O)(=O)c2cccs2)cc1
ZINC62554256	CC1COCC(C)N1c1ccc([N-]S(=O)(=O)c2cccs2)cc1
ZINC62915375	CCC1(C(=O)[O-])CCN(C(=O)c2ncc(Cl)c(Cl)c2Cl)C1
ZINC63067116	CC1(C)CCCN1S(=O)(=O)c1cc(C(=O)[O-])c(Cl)cc1Cl
ZINC63278378	N#C/C(=C\c1csc(C2CC2)n1)c1nc([O-])c2ccc(Cl)cc2n1
ZINC63634450	CCSc1ccc([N-]S(=O)(=O)c2ccc(C#N)c(Cl)c2)cn1
ZINC12740470	Cc1cccc(-c2nnc([S-])n2CCC(=O)N2CCc3ccccc32)c1
ZINC64334366	CC1CC(C)CN(C(=O)C(C)n2c([S-])nnc2-c2cccs2)C1
ZINC64479586	CS(=O)(=O)[N-]c1ccc(Cl)cc1C(=O)N1CCc2ccccc21
ZINC65112380	Cc1ccc(F)c([N-]S(=O)(=O)c2cc(-c3ccnn3C)cs2)c1
ZINC66253630	Cc1ccc(C)c(S(=O)(=O)[N-]c2nc(C)c(SCC#N)s2)c1
ZINC66583786	Cc1cc(C(=O)N2CCCC(C)C2)ccc1[N-]S(=O)(=O)CC(C)C
ZINC66674865	CCN(C(=O)c1ccc(C)c([N-]S(C)(=O)=O)c1)C1CCCCC1C
ZINC66961639	CC1Cc2ccccc2N1C(=O)/C=C/c1ccc([N-]S(C)(=O)=O)cc1
ZINC12769365	O=C([O-])C1CCN(S(=O)(=O)c2cccc(OC(F)(F)F)c2)CC1
ZINC13253920	CCc1cc2c(SCC(=O)N3CCCC(C(=O)[O-])C3)ncnc2s1
ZINC13267690	O=C([O-])C1CCCN(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1
ZINC13450098	O=C([O-])c1ccc2c(c1)CCN2C(=O)c1cccc(N2CCCC2=O)c1
ZINC14632450	CC(C)(C)OC(=O)N1CC(Oc2cccc(Cl)c2Cl)CC1C(=O)[O-]
ZINC20922148	Cc1cn2c(=O)c(S(=O)(=O)[N-]c3ccc(F)c(F)c3)c(C)nc2s1
ZINC31852656	CCc1cc2c(SCC(=O)N3CCCC(C(=O)[O-])C3)nc(C)nc2s1
ZINC31852658	CCc1cc2c(SCC(=O)N3CCCC(C(=O)[O-])C3)nc(C)nc2s1
ZINC31852670	CCc1cc2c(SCC(=O)N3CCC(C(=O)[O-])CC3)nc(C)nc2s1
ZINC32059468	CCN(Cc1cccc(F)c1)C(=O)c1cc(C2CC2)nc2c1c([O-])nn2C
ZINC32630384	CC(=O)c1cccc(S(=O)(=O)[N-]c2ccc(Cl)c(C(=O)N(C)C)c2)c1
ZINC32943729	CC(=O)N1CCSc2ccc(S(=O)(=O)[N-]c3ccc(C#N)cc3)cc21
ZINC35670708	CCOc1ccc(Br)c(S(=O)(=O)[N-]c2ccon2)c1
ZINC37575543	COc1ccc(S(=O)(=O)[N-]c2nncs2)cc1Br
ZINC04184990	Cc1cc(C)n(S(=O)(=O)c2cc(C(=O)[O-])c(Cl)cc2Cl)n1
ZINC38104494	O=S(=O)([N-]c1cccnc1Cl)c1c(Cl)nc2sccn12
ZINC38697693	O=C1CCCCN1c1ccc([N-]S(=O)(=O)c2cccc3cccnc23)cc1
ZINC39198565	CSc1cccc([N-]S(=O)(=O)c2ccc(N3CCOCC3)nc2)c1
ZINC07069320	CCCc1nnc([S-])n1CC(=O)N1CCN(c2ccccc2)CC1
ZINC36066497	CC(=O)/C(=C(/C)[O-])N1C(=O)C(C)Oc2ccc(-c3nc(C)sc3C)cc21
ZINC41002974	Cc1ccc(C2=C(/C([O-])=N/c3nccs3)OCCS2(=O)=O)cc1
ZINC41069632	Cc1cc([N-]S(=O)(=O)c2cc(Br)cnc2Cl)on1
ZINC42243668	Cc1nn(-c2ccccc2)c(C)c1C/C([O-])=N/S(=O)(=O)c1cccs1
ZINC43531873	COc1ccc([N-]S(=O)(=O)c2cncc(Br)c2)cc1OC
ZINC44496320	Cn1cc(-c2nn(-c3cccc(Br)c3)cc2C(=O)[O-])cn1
ZINC44496321	Cn1cc(-c2nn(-c3ccccc3Br)cc2C(=O)[O-])cn1
ZINC45448341	Cc1ccc(-c2nnc([S-])n2CC(=O)N2CC(C)OCC2C)cc1
ZINC45448344	Cc1ccc(-c2nnc([S-])n2CC(=O)N2CC(C)OCC2C)cc1
ZINC49201224	CSc1ccc(N2CC(/C([O-])=C(\C#N)C(=O)c3ccco3)CC2=O)cc1
ZINC49267873	CC1CN(/C([O-])=C(\C#N)C(=O)c2csc(-c3cccs3)n2)CC(C)O1
ZINC49454445	CC(C)n1ccc2cc(S(=O)(=O)N3CCCC(C(=O)[O-])C3)ccc21
ZINC55619928	CCc1ccc(S(=O)(=O)[N-]c2cccc(C(=O)N3CCOCC3)c2)s1
ZINC57476907	CCS(=O)(=O)[N-]c1ccc(S(=O)(=O)N2CCCC(C)C2)c(C)c1
ZINC58094858	COCCCn1c([S-])nc2cc(C(=O)N3CCCCC3C)ccc2c1=O
ZINC36182395	COc1ccc(S(C)(=O)=O)cc1S(=O)(=O)[N-]c1ccccc1Cl
ZINC62371402	Cc1ccc([N-]S(=O)(=O)CC(C)C(=O)N2CCOCC2(C)C)cc1
ZINC39731726	CO/C([O-])=C1\C(C)=NC2=NC(SC)=NC(=O)C2C1c1ccc(F)cc1
ZINC64131335	CCN(CC1CC=C(Cl)S1)C(=O)c1ccc(-c2nnn[n-]2)cc1
ZINC50204969	Cc1cnc2c(S(=O)(=O)/N=C(\[O-])c3ccc4c(c3)COC4)cccc2c1
ZINC65042189	COCc1nc(/C([O-])=N/S(=O)(=O)c2ccc3c(c2)CCCC3)cs1
ZINC65254789	CCCN1CCn2cc(S(=O)(=O)[N-]c3ccc(C)cc3)cc2C1=O
ZINC66247943	Cc1cc([N-]S(=O)(=O)c2ccc(Cl)c(Cl)c2)n(CCC#N)n1
ZINC66247976	Cc1cc([N-]S(=O)(=O)c2cc(Cl)cc(Cl)c2)n(CCC#N)n1
ZINC66250236	COC(=O)c1sc([N-]S(=O)(=O)c2ccc(F)c(F)c2)nc1C
ZINC66255162	O=C1CCCc2nc([N-]S(=O)(=O)c3ccc4c(c3)CCO4)sc21
ZINC66580233	O=c1c2cc([N-]S(=O)(=O)C3CCCCC3)ccc2nc2n1CCC2
ZINC66722984	O=S(=O)(/N=C(\[O-])c1cccc(OC2CCCC2)c1)c1cccnc1
ZINC66737707	Cc1nccn1Cc1ccc([N-]S(=O)(=O)c2ccc(C#N)cc2)cc1
ZINC66737750	Cc1nccn1Cc1ccc([N-]S(=O)(=O)c2cccc(C#N)c2)cc1
ZINC67001017	CC1CCC(N2CC(/C([O-])=N/S(=O)(=O)c3ccc(F)cc3)CC2=O)CC1
ZINC08428705	Cc1ccc(C2=Nn3c(nnc3C3CCCO3)SC2CC(=O)[O-])cc1
ZINC13067405	COC(=O)C1CCN(S(=O)(=O)c2ccc(C)c(C(=O)[O-])c2)CC1
ZINC13409226	Cc1nnc(SCC(=O)N2CCCC(C(=O)[O-])C2)n1C1CCCCC1
ZINC06054655	Cc1ccc(C)n1-c1ccsc1-c1cc2nc(CS(C)(=O)=O)cc([O-])n2n1
ZINC23872763	O=C(CSc1nnc2nc([O-])c3c(n12)CCC3)N1CCCc2ccccc21
ZINC04899256	COc1ccc(OC)c(/C=N/n2c([S-])nnc2-c2ccncc2)c1
ZINC35683984	CC(=O)N1N=C(c2ccccc2[N-]S(=O)(=O)c2ccccc2)CC1c1ccco1
ZINC07942638	Cc1ccc(S(=O)(=O)[N-]/N=C/c2c(F)cccc2F)cc1[N+](=O)[O-]
ZINC36818435	COC(=O)Cc1csc([N-]S(=O)(=O)c2cccnc2Cl)n1
ZINC36902440	O=C([O-])c1nc(COc2c(Cl)cc([N+](=O)[O-])cc2Cl)cs1
ZINC06697541	CSc1ccc([N-]S(=O)(=O)c2ccc(-n3cnnn3)cc2)cc1
ZINC39443194	CC1=C(S(=O)(=O)[N-]c2ccn(Cc3ccccc3C)n2)C(C)N=N1
ZINC41124146	CCCc1noc(C2CCCN(C(=O)C3CC=CCC3C(=O)[O-])C2)n1
ZINC41424443	CC1COC(c2ccccc2)CN1S(=O)(=O)c1ccc2nc([O-])oc2c1
ZINC41452136	N#Cc1cccc([N-]S(=O)(=O)c2ccc(N3CCOC3=O)cc2)c1
ZINC41539142	Cc1nn(C)c(C)c1C(=O)C1=C([O-])C(=O)N(C)C1c1cccc(OC(C)C)c1
ZINC41918824	CC1CCCCC1(C(=O)[O-])n1cc(Br)cc([N+](=O)[O-])c1=O
ZINC41918838	CC1CCC(C(=O)[O-])(n2cc(Br)cc([N+](=O)[O-])c2=O)CC1
ZINC46087496	CC(C)c1noc(C2CCCN(C(=O)C3CCCCC3C(=O)[O-])C2)n1
ZINC47211535	O=S(=O)([N-]c1cc(-n2cnnn2)ccc1F)c1ccc(Cl)s1
ZINC47328593	COC(=O)c1ccc([N-]S(=O)(=O)c2c(C)nn(C)c2Cl)cc1
ZINC49549746	Cc1nn(C)c2nc3c(c(/C([O-])=N/c4nnc(C(C)C)s4)c12)CCC3
ZINC55682685	COc1c(F)cc([N-]S(=O)(=O)c2cc([N+](=O)[O-])ccc2C)cc1F
ZINC58175147	Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)/N=C(\[O-])C(C)SC(C)C
ZINC59232485	O=C([O-])c1ccc(N2C(=O)/C(=C/c3ccco3)N=C2/C=C/c2ccco2)cc1
ZINC59466190	Cc1cc([N-]S(=O)(=O)c2ccc(/N=C/c3cccnc3)cc2)no1
ZINC00754498	Cc1cc([O-])c(C2=NCCSC(c3ccccc3[N+](=O)[O-])C2)c(=O)o1
ZINC62578973	CC(=O)c1ccc(S(=O)(=O)[N-]c2ccc(-c3nc(C)no3)cc2)cc1
ZINC52796474	CC(C)(C)n1nc(/C([O-])=N/S(=O)(=O)N2CCCCC2)cc1C1CC1
ZINC38828088	O=C([O-])C1=Nc2nc(SCc3ccccc3)nn2C(c2ccco2)C1
ZINC65031343	Cc1noc(-c2ccc(S(=O)(=O)[N-]c3ccc4c(c3)OCCO4)s2)c1C
ZINC53800843	CN(C)c1nc2sc(/C([O-])=N/c3nnc4ccccn34)cc2s1
ZINC65183636	CCOc1ccccc1[N-]S(=O)(=O)c1c(C)nc2sc(C)nn12
ZINC65186301	CC1=NC(c2nnc(C3CC3)o2)=C(C)C1S(=O)(=O)[N-]c1ccc(C)c(C)c1
ZINC65186304	CC1=NC(c2nnc(C3CC3)o2)=C(C)C1S(=O)(=O)[N-]c1cc(C)cc(C)c1
ZINC65246786	CCn1ncn2cc(S(=O)(=O)[N-]c3ccc(C)c(F)c3)cc2c1=O
ZINC65247096	CCC1N=NC(=O)C2CC(S(=O)(=O)[N-]c3cccc(C)c3C)=CN12
ZINC65247315	CCc1nn(CC)c(=O)c2cc(S(=O)(=O)[N-]c3ccccc3)cn12
ZINC65407048	CCS(=O)(=O)[N-]c1ccc(-c2nc(C)nn2-c2ccccn2)cc1
ZINC65644982	Cc1ccc([N+](=O)[O-])cc1/C([O-])=N/S(=O)(=O)c1ccc2c(c1)CCC2
ZINC65763406	Cc1ccc(C/C([O-])=N/S(=O)(=O)c2cc([N+](=O)[O-])ccc2C)s1
ZINC66241886	Cc1cc(C)cc(-n2nc(C)cc2[N-]S(=O)(=O)c2cn(C)cn2)c1
ZINC66248090	COc1cc(C)c(S(=O)(=O)[N-]c2cc(C)nn2CCC#N)cc1C
ZINC66250487	CCn1cc(S(=O)(=O)[N-]c2c3c(nn2-c2ccccc2)CCC3)cn1
ZINC66254050	Cn1cccc1-c1csc([N-]S(=O)(=O)c2cnn(-c3ccccc3)c2)n1
ZINC66255523	O=[N+]([O-])c1ccc([O-])c(/C=N/c2cccc(S(=O)(=O)C(F)F)c2)c1
ZINC66519890	COC(=O)C1CCN(S(=O)(=O)/N=C(\[O-])C=C2CCCCC2)CC1
ZINC66579526	CSc1nnnn1-c1cccc([N-]S(=O)(=O)C2CCCCC2)c1
ZINC66579695	CCn1cc(S(=O)(=O)[N-]c2ccccc2-n2nc(C)cc2C)cn1
ZINC67043622	N#CC(=C/c1ccco1)/C([O-])=N/c1ccc(-n2cnc3ccccc32)nc1
ZINC13170212	O=C([O-])C1CCCN(C(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)C1
ZINC13406840	CC(C)n1nnnc1SCC(=O)N1CCCC(C(=O)[O-])C1
ZINC19471073	O=C([O-])C1=Nc2nnnn2C(c2cccc([N+](=O)[O-])c2)C1
ZINC20214388	Cn1cc([N+](=O)[O-])cc1C(=O)N1CCC(C(=O)[O-])CC1
ZINC20321808	CCN(Cc1cn(CC)nc1C)C(=O)C(C)n1ccc(C(=O)[O-])n1
ZINC20327458	Cc1nn(C)cc1CN(C)C(=O)C(C)n1cc(C(=O)[O-])cn1
ZINC15867265	COc1ccc(C2CC(C(=O)[O-])=Nc3nnnn32)c(OC)c1OC
ZINC12555115	CCN1CC2([N+](=O)[O-])C=C(C(=O)[O-])CC([N+](=O)[O-])(C1)C2
ZINC23465857	O=C([O-])CCc1cn(CC2CCCN(c3cnccn3)C2)nn1
ZINC33421133	CC(=O)OC(C(=O)[O-])C(OC(C)=O)C(=O)N1CCCC1
ZINC33461794	Cc1c([N+](=O)[O-])cc(C(=O)N2CCCC2C(=O)[O-])cc1[N+](=O)[O-]
ZINC06186098	CC(=O)CCn1nc([N+](=O)[O-])nc1-c1nc(Br)n[n-]1
ZINC35659613	CCCn1nnnc1CSc1nc(C)nc(C)c1C(=O)[O-]
ZINC36037810	c1ccc(-n2nnnc2SCCc2nnn[n-]2)cc1
ZINC37656186	COC(=O)CN(C)S(=O)(=O)N1CCCC(C(=O)[O-])C1
ZINC00116946	O=[N+]([O-])c1ccc(S(=O)(=O)[N-]c2ncccn2)cc1
ZINC38030638	COC(=O)Cn1cc([N-]S(=O)(=O)N2CCCCC2C)cn1
ZINC09935926	CCc1nc2nc(CSc3nnnn3C)cc([O-])n2n1
ZINC39373054	O=C([O-])c1cnn2cc(C3N=NC=C3[N+](=O)[O-])cnc12
ZINC41917947	CC(C(=O)[O-])(c1ccncc1)n1nnc(-c2ccco2)n1
ZINC42144825	O=C([O-])CC1CCCN1C(=O)CCn1cnc([N+](=O)[O-])c1
ZINC42246055	COC/C([O-])=N/S(=O)(=O)c1cc([N+](=O)[O-])ccc1C
ZINC42527944	CCN(CC(=O)OC)S(=O)(=O)N1CCCC(C(=O)[O-])C1
ZINC43700695	Cn1c(C(=O)N2CCOC(C(=O)[O-])C2)ccc1[N+](=O)[O-]
ZINC43706392	COC(=O)C1CCCN1C(=O)N1CCOC(C(=O)[O-])C1
ZINC44496315	CCn1cc(-c2nn(-c3ncccn3)cc2C(=O)[O-])cn1
ZINC44610173	O=C([O-])c1ccc(Sc2cncc3nnnn23)nc1
ZINC48518422	Cc1nn(C)c(C)c1S(=O)(=O)/N=C(\[O-])c1csnn1
ZINC48520059	Cn1cc(S(=O)(=O)/N=C(\[O-])C2CC2[N+](=O)[O-])cn1
ZINC48520061	Cn1cc(S(=O)(=O)/N=C(\[O-])C2CC2[N+](=O)[O-])cn1
ZINC48546485	Cn1cnc2c1c(=O)n(CCc1nnn[n-]1)c(=O)n2C
ZINC48584296	COC(=O)N1CCN(C/C([O-])=N/c2nncs2)CC1
ZINC48755357	COC(=O)C1CCN(C(=O)/C([O-])=N/c2nncs2)C1
ZINC49052319	CC(C(=O)[O-])S(=O)(=O)N1CCN(c2cnccn2)CC1
ZINC49871647	O=C([O-])C1CN(S(=O)(=O)c2cccc([N+](=O)[O-])c2)CCO1
ZINC50063707	COC(=O)CN(Cc1cc([O-])n2ncnc2n1)C(C)C
ZINC50162165	O=C([O-])C1CCN(C(=O)Cn2ccc([N+](=O)[O-])n2)CC1
ZINC50213716	CC(C)(C)c1c(C(=O)[O-])nnn1CC(=O)N1CCOC1=O
ZINC50223532	CCCc1c(C(=O)[O-])nnn1C(C)C(=O)N1CCOCC1
ZINC50254689	COC(=O)Cn1cc([N-]S(=O)(=O)c2cn(C)c(C)n2)cn1
ZINC50420434	Cn1cnnc1Cn1c(SCC(=O)[O-])nnc1C1CC1
ZINC50420476	CCCc1nnc(SCC(=O)[O-])n1C(C)c1nncn1C
ZINC50923695	O=C([O-])CCC1CCCCN1c1cncc2nnnn12
ZINC50213128	O=C([O-])c1cn(Cc2cc(=O)n3ccccc3n2)nn1
ZINC62273303	O=C([O-])c1nnn(CC(=O)N2CCOCC2)c1C1CCCO1
ZINC62914551	CCC1(C(=O)[O-])CCN(C(=O)c2cc([N+](=O)[O-])cn2C)C1
ZINC62916636	CCC1(C(=O)[O-])CCN(C(=O)Cn2ccc([N+](=O)[O-])n2)C1
ZINC04049966	N#C/C(=C\c1ccncc1)c1n[n-]c(Cn2cncn2)n1
ZINC52794437	CC(Sc1nncn1C)/C([O-])=N/S(=O)(=O)N1CCCCC1
ZINC66247685	CCn1cc(S(=O)(=O)[N-]c2nc(CC(=O)OC)cs2)cn1
ZINC00082801	Cc1c(C(=O)[O-])ccc2c1NC(c1ccccc1F)C1CC=CC21
ZINC06344627	O=C([O-])c1ccc(Cl)c2c1C1C=CCC1C(c1ccccc1)N2
ZINC11861141	O=C([O-])C(Cc1ccc(O)c(Br)c1)c1cccs1
ZINC13389512	Cc1cc(C)c2c(c1)C1C=CCC1C(c1ccc(C(=O)[O-])cc1)N2
ZINC13391113	Cc1cc(C(=O)[O-])ccc1NC(=O)c1ccc(Cl)s1
ZINC13431876	Cc1cccc(C(=O)[O-])c1NC(=O)c1cc2c(s1)CCC2
ZINC05999695	[S-]c1nnc(-c2ccccc2)c2[nH]c3ccccc3c12
ZINC00091670	Cc1cc(SCc2cc(O)n[nH]2)c(C)cc1Cl
ZINC20433463	Cc1cc(C)c(C)c(C(O)C2CCCCC2C(=O)[O-])c1C
ZINC20581446	CC(Nc1nnc([S-])s1)c1ccc(Cl)cc1Cl
ZINC20581498	Cc1ccc(Nc2nnc([S-])s2)c(Br)c1
ZINC32003691	Cn1c(C(=O)[O-])cc2ccc(-c3cccc(O)c3)cc21
ZINC33427512	CC(C)(C(=O)[O-])c1ccc(-c2ccc3c(c2)CCN3)cc1
ZINC35057071	CC(Nc1cccc(C(=O)[O-])c1)c1ccc(Cl)s1
ZINC35284714	Fc1ccc(Cl)cc1Nc1nnc([S-])s1
ZINC35465806	C=CC1(C)C=C2C(O)CC3C(C)(C(=O)[O-])CCCC3(C)C2CC1
ZINC36891077	O=C([O-])c1cccc(NC2CCSc3ccccc32)c1
ZINC37088512	CC(Nc1ccc(F)c(C(=O)[O-])c1)c1ccccc1Cl
ZINC37088940	CC(Nc1cc(C(=O)[O-])ccc1F)c1cccs1
ZINC37122523	Cc1cc(C)c(CNc2cccc(C(=O)[O-])c2C)c(C)c1
ZINC37245256	O=C([O-])c1c[nH]cc1-c1ccc(-c2ccccc2)cc1
ZINC37256986	CC1CCCC(Nc2cc(C(=O)[O-])cc(Cl)n2)C1
ZINC37305113	O=C([O-])c1cc(NC2CCc3ccccc3C2)ccc1F
ZINC37334812	CC(C)(C)C(=O)Nc1c(Cl)cc(Cl)cc1C(=O)[O-]
ZINC37334958	CC1CC1C(=O)Nc1c(Cl)cc(Cl)cc1C(=O)[O-]
ZINC37953126	Cc1ccc(NC(C)(C(=O)[O-])c2cc(C)ccc2C)cc1
ZINC37953127	Cc1ccc(NC(C)(C(=O)[O-])c2cc(C)ccc2C)cc1
ZINC37953143	Cc1ccc(NC(C)(C(=O)[O-])c2c(F)cccc2F)cc1
ZINC37957956	Cc1cccc(NC(C(=O)[O-])c2ccc(F)c(F)c2)c1
ZINC39887784	Cc1ccc(N2C([S-])=C(C#N)C(=O)NC23CCCCC3)c(C)c1
ZINC41670753	Cc1cccc(C(C)(Nc2ccccc2F)C(=O)[O-])c1
ZINC41756400	Cc1ccc(C(C)(Nc2ccc(C)c(C)c2)C(=O)[O-])cc1
ZINC41767585	Cc1ccc(NC(C)(C(=O)[O-])c2ccc(Cl)cc2)c(F)c1
ZINC41834088	CC(Nc1cccc(F)c1F)(C(=O)[O-])c1ccc(Cl)cc1
ZINC41834103	CC(Nc1cccc(F)c1F)(C(=O)[O-])c1ccccc1
ZINC43323015	Cc1ccccc1C(C)(Nc1cccc(F)c1C)C(=O)[O-]
ZINC44681103	CC(C)c1ccc2c(c1)C(O)CC1C(C)(C(=O)[O-])CCCC21C
ZINC48528975	Cc1cccc(/C([O-])=C(\C#N)C(=O)c2cc(Cl)c[nH]2)c1
ZINC01408285	O=C1NC(=S)N=C1/C=C(\[O-])c1ccc(Cl)cc1
ZINC49866349	Cc1ccc(C(C)(C)C)cc1-c1n[nH]c(C)c1C(=O)[O-]
ZINC52856136	N#Cc1cc(Cl)ccc1Nc1ccc(C(=O)[O-])cc1
ZINC52983555	Cc1ccc(NC(C)c2ccc(C)s2)c(C(=O)[O-])c1
ZINC61440608	Cc1ccc2nc(SC3(C(=O)[O-])CCCC3)[nH]c2c1
ZINC61563424	O=C([O-])c1cc(F)c(F)cc1NC(=O)C1CCCCC1
ZINC61847844	O=C([O-])c1ccc(NC2CCCc3ccccc32)cc1Cl
ZINC61847845	O=C([O-])c1ccc(NC2CCCc3ccccc32)cc1Cl
ZINC61848009	Cc1ccc(C(C)Nc2ccc(C(=O)[O-])c(Cl)c2)s1
ZINC05999997	[O-]c1c(/C=N/c2ccccc2Cl)[nH]c2ccccc12
ZINC05999997	O=C1c2ccccc2NC1/C=N/c1ccccc1Cl
ZINC64874885	O=C([O-])c1cccc(Nc2ccnc3c(F)ccc(F)c23)c1
ZINC65351123	Cc1cc(Cl)cc(-c2cc(O)cc(C(=O)[O-])c2)c1
ZINC13171158	CC(C)Cc1ccc(C(=O)N2CCCC(C(=O)[O-])C2)cc1
ZINC19484006	CC(C(=O)[O-])S(=O)(=O)Cc1ccc(Br)s1
ZINC20200437	O=C([O-])C1CCCN(C(=O)CCSc2ccccc2)C1
ZINC20251064	O=C([O-])C1CC2CCCCC2N1C(=O)Cc1ccsc1
ZINC20251069	O=C([O-])C1CC2CCCCC2N1C(=O)Cc1ccsc1
ZINC28511815	O=C([O-])C(Cc1ccccc1)S(=O)(=O)c1cccs1
ZINC35115408	CC(C)CC(=O)N1C(C(=O)[O-])CSC1C1CCCCC1
ZINC36765537	O=C([O-])c1cc(S(=O)(=O)CC2CC2)ccc1Br
ZINC36884384	CC1CCc2sc(C(=O)N(CC(=O)[O-])CC3CC3)cc2C1
ZINC37418039	O=C([O-])C1CCCN(C(=O)CSc2ccc(F)c(F)c2)C1
ZINC37832172	O=C([O-])c1ccccc1C(=O)N1CCCC1c1ccsc1
ZINC37833953	O=C([O-])/C=C/C(=O)N1CCCC1c1cccc(Br)c1
ZINC40491992	O=C([O-])C1CC=CCC1C(=O)N(Cc1ccsc1)C1CC1
ZINC40958577	Cc1oc(CS(=O)c2ccc(F)c(F)c2)cc1C(=O)[O-]
ZINC41058321	O=C([O-])C1CCCCN1C(=O)CC12CC3CC(CC(C3)C1)C2
ZINC41678535	O=C([O-])C(c1cc(Br)cs1)N1CCOCC1
ZINC41987466	O=C([O-])C1(Sc2ncnc3ccccc23)CCSC1
ZINC42160837	Cc1ccc(SCC(=O)N2CCCC2CC(=O)[O-])cc1
ZINC42334742	Cc1ccc(SC2(C(=O)[O-])CCS(=O)(=O)CC2)cc1
ZINC42365616	CN(Cc1csc(/C=C/C(=O)[O-])c1)C(=O)c1ccsc1
ZINC43578567	O=C([O-])/C=C/c1ccc(C(=O)N2CC3CCC2C3)cc1F
ZINC44591614	O=C([O-])C1c2ccsc2CCN1C(=O)CC(F)(F)F
ZINC44614755	CCC(C(=O)[O-])N(C)C(=O)c1c(C)c(C)c(C)c(C)c1C
ZINC47831364	Cc1cc(/C([O-])=N/S(=O)(=O)c2ccccc2)c(C)s1
ZINC48479916	CS(=O)(=O)/N=C(\[O-])CSCc1ccc(Cl)s1
ZINC49509817	Cc1cc(C(C)n2ccnc2SCC(=O)[O-])c(C)s1
ZINC49591587	CN(Cc1ccc(/C=C/C(=O)[O-])cc1)C(=O)c1ccsc1
ZINC49594534	CC1CCCN(C(=O)c2cc(/C=C/C(=O)[O-])ccc2F)C1
ZINC49594936	O=C([O-])/C=C/c1ccc(C(=O)N2CCCSCC2)c(F)c1
ZINC49725651	O=C([O-])/C=C/c1ccc(C(=O)N2CC3CCC2C3)c(F)c1
ZINC50044487	COCCSc1ncc(Br)cc1C(=O)[O-]
ZINC50204721	CS(=O)(=O)/N=C(\[O-])C1CC1c1cccc(Br)c1
ZINC51395804	CC(C)c1ccc(S(=O)CC2CCC(C(=O)[O-])O2)cc1
ZINC54293969	O=C([O-])CC1CCCN(C(=O)c2cc3c(s2)CCC3)C1
ZINC54632050	O=C([O-])C1(Cc2ccc(Cl)s2)CCS(=O)(=O)C1
ZINC37590657	CCC(C)N(CC(=O)[O-])C(=O)c1csc2c1CCC(C)C2
ZINC37590658	CCC(C)N(CC(=O)[O-])C(=O)c1csc2c1CCC(C)C2
ZINC41067493	O=C([O-])c1ccoc1CS(=O)c1ccc2c(c1)CCC2
ZINC59109172	Cc1cc(/C=C2/SC(=S)N=C2[O-])c(C)n1CC1CCCO1
