ZINC01027075	Cc1nnc(CSc2nnc3n(N)cnn23)o1
ZINC64364106	CC1CCC2(CC1)NC(=O)N(NC(=O)C1=NC=C(S(=O)(=O)[N-]c3ccccc3F)C1)C2=O
ZINC04751279	COC(=O)C1=C(N)Oc2cc(C)oc(=O)c2C12C(=O)N(CC(N)=O)c1ccccc12
ZINC05371624	CC(=O)OCC1OC(n2ncc3c(NCc4ccco4)ncnc32)C(O)C1O
ZINC03381169	CC1CN(S(=O)(=O)c2cc(C(=O)OCC(=O)NC(N)=O)ccc2Cl)CC(C)O1
ZINC05358767	COc1ccc(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)cc1Cn1cnc([N+](=O)[O-])n1
ZINC10047649	CC1=NN(CC(=O)NN)c2nc3c(c(=O)n(C/C=C/c4ccccc4)c(=O)n3C)n2C1
ZINC09924635	CNc1ccc(C(=O)OCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)cc1[N+](=O)[O-]
ZINC10159750	CON(C)S(=O)(=O)c1ccc(C(=O)NNC(=O)c2nn(-c3ccccc3)cc2O)cc1
ZINC10336834	C=C(C)Cn1c(=O)c2c(nc3n2CC(C(C)(C)C)=NN3CC(=O)NN)n(C)c1=O
ZINC12175121	O=C(NNC1CCS(=O)(=O)C1)c1ccc(C(=O)NNC2CCS(=O)(=O)C2)cc1
ZINC12986185	O=C(NCC1COc2ccccc2O1)NNC(=O)c1csc(N2CCOCC2)n1
ZINC15130568	NS(=O)(=O)c1ccc(NCCCN2C(=O)NC3(CCCC3)C2=O)c([N+](=O)[O-])c1
ZINC16669801	NS(=O)(=O)c1ccc(NS(=O)(=O)c2ccc(N3C(=O)CCS3(=O)=O)cc2)cc1
ZINC20413425	COc1cc(C2C(C(N)=O)=C(C)Nc3nc(SC)nn32)ccc1OCC(N)=O
ZINC20915085	Cn1c(=O)c2[nH]c(Sc3nnc(N/N=C/c4cccc(O)c4)n3N)nc2n(C)c1=O
ZINC20921119	CC(C)n1cc(/C=N/Nc2nnc(Sc3nc4c(c(=O)n(C)c(=O)n4C)n3C)n2N)cn1
ZINC22410137	NS(=O)(=O)c1cccc(S(=O)(=O)Nc2cccc(S(=O)(=O)/N=C3/CCCN3)c2)c1
ZINC25173724	COc1ccc(S(=O)(=O)N2CCCC(C(=O)OC(C)C(=O)NC(N)=O)C2)cc1
ZINC29325398	CC#CCOc1ccc(S(=O)(=O)N2CC(O)C3OC(C)(C)OC3C2C(=O)NO)cc1
ZINC31394771	COc1ccc(C2COc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3C2)c(O)c1OC
ZINC32831282	Cc1n[nH]c(C)c1S(=O)(=O)N1CCCC(C(=O)NNC(=O)c2ccc3c(c2)OCO3)C1
ZINC34782955	Cc1c(C(=O)NN)sc2c1c(=O)n(CC(=O)N1CCCCC1)c(=O)n2CC(=O)N(C)C
ZINC34800831	CNc1nc(-n2cc(-c3ccccn3)nn2)nc2c1ncn2C1OC(CO)C(O)C1O
ZINC35023623	O=C(CNc1cnc2c(C(=O)N3CCN(c4ccccc4)CC3)cccn2c1=O)NCCO
ZINC35653236	Cc1ccc(S(=O)(=O)OCC2OC(n3cnc4c(=O)[nH]c(N)nc43)CC2O)cc1
ZINC38580930	CC(=O)OCOP1(=O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O1
ZINC38598435	COc1ccc(C2SCC(=O)NC3C2=C(C)NN3C2=NC=NC3=NC=NC32)cc1O
ZINC38791243	CC1C(C(=O)NNC(=O)c2nn(C)c(=O)c3ccccc23)=CNN1c1ccc(=O)[nH]n1
ZINC38811822	Cc1cccc(OCC(=O)NC2=NC(=O)C3=NCN(C4OC(CO)C(O)C4O)C3=N2)c1
ZINC38815402	COc1cc(/C=N/NC(=O)C(C)NC2N=NC(=O)NC2=O)cc(Br)c1O
ZINC39264778	N#CCCN(Cc1ccccc1)c1ncnc2c1ncn2C1OC(CO)C(O)C1O
ZINC39579262	O=C(COc1ccccc1)NC1=NC(=O)C2=NCN(C3OC(CO)C(O)C3O)C2=N1
ZINC39663550	Cc1cc(-c2onc(C)c2C(=O)N2CC(C(=O)NCCCC(=O)[O-])C3(CC[NH2+]CC3)C2)no1
ZINC45293108	NC(=O)NC(CC(=O)NNC(=O)c1ccc(-n2cnnn2)cc1)c1ccc(Cl)cc1
ZINC45644906	COc1ccc(S(=O)(=O)N2CCCC(C(=O)OC(C)C(=O)NC(N)=O)C2)cc1
ZINC46810938	CC(=O)Nc1cc(C(=O)NNC(=O)c2cccc(S(=O)(=O)N3CCOCC3)c2)ccc1C
ZINC51280603	O=C(NNC(=O)N1CCCC(C(=O)NC2CC2)C1)c1nnc(-c2ccccc2)o1
ZINC55984649	Cc1occc1-c1nnc(SC(C)C(=O)NC(=O)NCC2CCCO2)n1N
ZINC59360500	CC(NC(=O)c1ccoc1)C(=O)NNC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1
ZINC59817814	Cc1cc(NC(=O)CSc2n[nH]c(N/N=C/c3cn(C)nc3C)n2)no1
ZINC60371307	NS(=O)(=O)NCC1CCCN(c2ccc([N+](=O)[O-])cc2S(=O)(=O)N2CCCC2)C1
ZINC20736205	COc1ccc(C2CC(O)=Nc3c2c(C)nn3-c2ncnc3[nH]cnc23)cc1O
ZINC20736205	COc1ccc(C2CC(=O)Nc3c2c(C)nn3-c2ncnc3[nH]cnc23)cc1O
ZINC63374642	CC(C)CC(C(=O)NC(C(=O)[O-])C(C)O)N1C(=O)N2CCC3=c4ccccc4=[NH+]C3C2(C)C1=O
ZINC63374912	CC(C)C(C(=O)NC(C(=O)[O-])C(C)O)N1C(=O)N2CCC3=c4ccccc4=[NH+]C3C2(C)C1=O
ZINC63532469	Cc1cc(-c2cc(C(=O)NCC(=O)Nc3cn[nH]c3)c3c(C)noc3n2)c(C)o1
ZINC02871856	O=C(CN1CCCC1=O)NC1(C(F)(F)F)C(=O)N=C2C1=C([O-])NC(=O)N2c1ccc(F)cc1
ZINC66119281	NC(=O)CCC1CCCN(C(=O)NNC(=O)c2ccc(-n3cnnn3)cc2)C1
ZINC66240862	N#Cc1cnn(-c2ccc(C(=O)Nc3cc(-n4cnnn4)ccc3F)cc2)c1N
ZINC66765507	Cc1c(C(=O)Nc2ccn(CC(N)=O)n2)nnn1-c1ccc(OC(C)C)cc1
ZINC66819616	Cc1c(C(=O)NNC(=O)C(=O)NC(C)C)nnn1-c1ccc(OC(C)C)cc1
ZINC00489241	O=C([O-])CCNC(=O)N1CC2CC(C1)c1cccc(=O)n1C2
ZINC07277563	Cc1c([N+](=O)[O-])ccc2c1NC(C(=O)[O-])C1CC=CC21
ZINC08409946	Cc1cc2c(c([N+](=O)[O-])c1)NC(C(=O)[O-])C1CC=CC21
ZINC08739721	Cc1c(C(=O)[O-])sc2nc(O)n(CC3CCCO3)c(=O)c12
ZINC17022625	CC1=C(C)CC(C(=O)Nc2cnn(C)c2C)C(C(=O)[O-])C1
ZINC05447756	CS(=O)(=O)Nc1ccc(-c2nnc([S-])o2)cc1
ZINC20215336	O=C([O-])C1CN(C(=O)c2ccc[nH]2)c2ccccc2O1
ZINC21953630	Cn1c2nc(C3CCCC3)nc(=S)c-2c([O-])[nH]c1=O
ZINC08778446	COc1cc(/C=C2\SC(=S)N=C2[O-])c([N+](=O)[O-])cc1O
ZINC34797905	CC(O)c1cccc(N2CC34C=CC(O3)C(C(=O)[O-])C4C2=O)c1
ZINC37310682	O=C([O-])c1cc(S(=O)(=O)C2CCCCNC2=O)ccc1F
ZINC37493576	O=C([O-])/C=C/C(=O)N1CCN(c2ccc(O)cc2)CC1
ZINC37675335	Cc1ccc(C(=O)Nc2snc(C)c2C(=O)[O-])cn1
ZINC37693402	O=C([O-])c1cccc2c1CCCN2C1CS(=O)(=O)CC1O
ZINC37697269	Cc1cc([O-])nc(SC2CS(=O)(=O)CC2O)n1
ZINC39449955	CSc1cnc2c3c(n([O-])c(=O)c2c1)C(=O)CC(SC)N3
ZINC39783599	CC1CCC2=C(C1)SC1C2C(=O)N=C2C(C(=O)[O-])=NNN21
ZINC40530770	CC1CN(C(=O)NC(C(=O)[O-])C(C)(C)C)CC(C)O1
ZINC40578228	CC1CN(C(=O)NC2(C(=O)[O-])CCCCCC2)C(C)CO1
ZINC40578234	CC1CN(C(=O)NC(C(=O)[O-])C(C)(C)C)C(C)CO1
ZINC40589205	CC1(C)CN(C(=O)NC2(C(=O)[O-])CCCCC2)CCO1
ZINC40589991	CCC1COCCN1C(=O)NC1(C(=O)[O-])CCCCC1
ZINC41033329	Cc1cc(NC2(C(=O)[O-])CCCCCC2)n2ncnc2c1
ZINC41036337	CC1CCCC(NC(=O)N2CCOC(C)(C)C2)(C(=O)[O-])C1
ZINC41036349	CCC1COCCN1C(=O)NC1(C(=O)[O-])CCCC(C)C1
ZINC41682715	CC1CN(C(=O)NC2(C(=O)[O-])CCCCC2)CC(C)(C)O1
ZINC43428496	CC(C)(C)C(NC(=O)N1CCOC2CCCC21)C(=O)[O-]
ZINC43428606	CC(C)(C)C(NC(=O)N1CCOC2CCCC21)C(=O)[O-]
ZINC43702766	O=C([O-])C1CN(C(=O)Nc2ccc(F)cc2F)CCO1
ZINC43706162	Cc1ccc(C)c(NC(=O)N2CCOC(C(=O)[O-])C2)c1
ZINC44345881	CC(NC(=O)c1csc(Br)c1)c1nnn[n-]1
ZINC47963364	Cc1nnc(/N=C(\[O-])C(=O)NC2CCCCC2C)s1
ZINC48002149	Cc1nnc(/N=C(\[O-])C(=O)NC2CCCC(C)C2)s1
ZINC43752020	CN(C)c1ccc(NC(=O)N2CCOC(C(=O)[O-])C2)cc1
ZINC51841276	CC(O)CN(C)C(=O)N1CCc2sccc2C1C(=O)[O-]
ZINC48913643	[O-]/C(=N\c1ncn[nH]1)C1CCCOC1c1ccccc1
ZINC02195162	CN1C(=O)C(NC(=O)c2cccs2)(C(F)(F)F)N=C1[O-]
ZINC02195162	CN1C(=O)C(NC(=O)c2cccs2)(C(F)(F)F)N=C1O
ZINC61589937	O=C([O-])C1(Sc2ncnc3[nH]cnc23)CCCSC1
ZINC61685847	O=S(=O)([N-]c1cnoc1)c1ccccc1C#CCO
ZINC17084838	O=C([O-])CC1S/C(=N/N=C2CCCCCC2)NC1=O
ZINC61937788	O=C([O-])C(NC(=O)N1CCCOCC1)C1CCCCC1
ZINC31819247	Cc1nn(-c2ccc([O-])nn2)c2c1C(c1ccccc1)CC(O)=N2
ZINC31819247	Cc1nn(-c2ccc([O-])nn2)c2c1C(c1ccccc1)CC(=O)N2
ZINC62350114	Cc1cc(NC(=O)N2CCS(=O)CC2)cc(C(=O)[O-])c1C
ZINC62827848	CC1CN(C(=O)Nc2sccc2C(=O)[O-])C(C)CO1
ZINC62843167	CC(NC(=O)N1CCC(C)(C(=O)[O-])CC1)C1CCCO1
ZINC62868555	CC(=O)c1c[nH]c(C(=O)N2CCCC(C)(C(=O)[O-])C2)c1
ZINC62913984	CC1(C(=O)[O-])CCN(C(=O)c2ccc3cn[nH]c3c2)C1
ZINC62914699	CCC1(C(=O)[O-])CCN(C(=O)c2ccc3[nH]ncc3c2)C1
ZINC62947867	O=C([O-])c1cncc(NC(=O)N2CCCSCC2)c1
ZINC17084839	O=C([O-])CC1S/C(=N/N=C2CCCCCC2)NC1=O
ZINC12406195	CC1=NN(c2nnn[n-]2)C(=O)/C1=C\c1ccc(-c2ccc3c(c2)COC3=O)o1
ZINC19503253	O=C([O-])C1=Nc2ncnn2C(c2ccc([N+](=O)[O-])cc2)C1
ZINC20317708	Cc1cc2n(n1)C(C(F)(F)F)CCN2C(=O)c1ccn(C(C)C(=O)[O-])n1
ZINC20728467	COC(=O)c1nnsc1[N-]S(=O)(=O)c1cccc2nsnc12
ZINC09547475	Cc1nnc(/N=C(\[O-])c2cccn(Cc3ccc([N+](=O)[O-])cc3)c2=O)s1
ZINC21777730	Cc1c([N-]S(=O)(=O)c2ccc3c(c2)CCCC3)c(-n2cnnc2)nn1C
ZINC23749724	CC(=O)N1CCN(C(c2ccc(C)o2)c2sc3nc(C)nn3c2[O-])CC1
ZINC23872849	CC1CN(C(=O)CSc2nnc3nc([O-])c4c(n23)CCC4)CC(C)O1
ZINC28255146	Cc1noc(C)c1S(=O)(=O)[N-]c1ccc(CN2C(=O)CCC2=O)cc1
ZINC32958508	CCn1nc(-n2cnnc2)c([N-]S(=O)(=O)c2c(C)noc2C)c1C
ZINC35015979	CC1(C)OCC(C2OC3OC(C)(C)OC3C23[N-]C2(CCCC2)C(=O)N3)O1
ZINC35412533	O=C([O-])C1(Cc2nc(-c3ncn[nH]3)no2)CCCCCC1
ZINC37592842	O=C([O-])CN(c1cccc([N+](=O)[O-])c1)C1CCS(=O)(=O)C1
ZINC01036858	Cn1c(=O)c2c([O-])c(/C=N/c3ccc(Cl)cc3)c(=O)n(C)c2n(C)c1=O
ZINC38499318	CC(C)n1ccc(-c2nnc(/N=C(\[O-])C3=COCCO3)o2)n1
ZINC13311436	CN(C)C(=O)CN1CCN(S(=O)(=O)c2cc(C(=O)[O-])cs2)CC1
ZINC07738471	CC1(C)CC2CC(C)(CN2C(=O)COC(=O)Cn2nc([O-])ccc2=O)C1
ZINC40176774	CCc1nnc([N-]S(=O)(=O)c2ccc(N3C(=O)CCC3=O)cc2)s1
ZINC40945859	O=[N+]([O-])c1cccc(S(=O)(=O)[N-]c2nnc(C3CCCO3)s2)c1
ZINC43707223	COC(=O)CN(C(=O)N1CCOC(C(=O)[O-])C1)C(C)C
ZINC36659425	CS(=O)(=O)c1ccc(Cc2nnc(/N=C(\[O-])C3=COCCO3)o2)cc1
ZINC44450844	O=C(NC1CCCCC1N1C(=O)CSC1=O)c1ccc([O-])nn1
ZINC47211567	O=S(=O)([N-]c1cc(-n2cnnn2)ccc1F)c1ccc2c(c1)CCO2
ZINC48647758	Cn1cc(S(=O)(=O)/N=C([O-])/C=C/c2cc(Cl)c3c(c2)OCO3)cn1
ZINC48648033	Cn1cc(S(=O)(=O)/N=C(\[O-])C2CCCN(C(=O)OC(C)(C)C)C2)cn1
ZINC48675827	CCc1ccc(N2CC(/C([O-])=N/S(=O)(=O)c3cnn(C)c3)CC2=O)cc1
ZINC48676766	CC(C)c1cc(/C([O-])=N/S(=O)(=O)c2cnn(C)c2)nn1C(C)(C)C
ZINC04623949	CN1C(=O)C2(Cc3cc([N+](=O)[O-])ccc3N3CCCCC32)C([O-])=NC1=S
ZINC18192430	O=C([O-])CCN1CC2([N+](=O)[O-])C=CCC([N+](=O)[O-])(C1)C2
ZINC58171088	CCc1cccc([N-]S(=O)(=O)c2cnc3c(c2)c(=O)n(C)c(=O)n3C)c1
ZINC59104668	CN(C)c1ccc(/C=C2\C(=O)N(c3ccc4c(c3)OCO4)C(=O)N=C2[O-])o1
ZINC61918201	CC1CN(S(=O)(=O)c2cnn(CCC(=O)[O-])c2)CCCO1
ZINC20849640	O=C([O-])C1=CC(c2ccncc2)=NC2=NN=C(c3ccc([N+](=O)[O-])cc3)C12
ZINC02413129	O=C1CC(c2ccc(Cl)cc2)N2N=C(NC(=O)C3CCCO3)[N-]C2=N1
ZINC02413129	O=C1CC(c2ccc(Cl)cc2)n2nc(NC(=O)C3CCCO3)nc2N1
ZINC63911922	O=[N+]([O-])c1ccc(S(=O)(=O)[N-]c2cccc(-n3cnnc3)c2)s1
ZINC52796409	Cc1nc2ncnn2c(C)c1CC/C([O-])=N/S(=O)(=O)N1CCCCC1
ZINC65183615	COc1ccc(OC)c([N-]S(=O)(=O)c2c(C)nc3sc(C)nn23)c1
ZINC65194195	COc1ccc([N-]S(=O)(=O)C2C(C)=NC(C)=C2c2nc(C)no2)cc1
ZINC65217972	Cc1oc(C2C=CN=N2)cc1S(=O)(=O)[N-]c1ccc2c(c1)OCCO2
ZINC65246718	COc1ccc(OC)c([N-]S(=O)(=O)C2=CN3CN=NC(=O)C3C2)c1
ZINC65246795	COc1ccc([N-]S(=O)(=O)C2=CN3C(C)N=NC(=O)C3C2)cc1OC
ZINC65246842	COc1cc([N-]S(=O)(=O)C2=CN3C(C)N=NC(=O)C3C2)cc(OC)c1
ZINC65254665	COC(=O)c1ccc([N-]S(=O)(=O)c2cc3n(c2)CCN(C)C3=O)cc1
ZINC65356189	COc1ccc([N-]C2=NC(N3CCOCC3)C3=NC=NC3=N2)cc1OC
ZINC66002994	Cc1nn(C)c(C)c1S(=O)(=O)/N=C(\[O-])CN(C)C(=O)c1ccsc1
ZINC66005408	Cc1ccc(N2CCC(/C([O-])=N/S(=O)(=O)c3cnn(C)c3)C2=O)cc1C
ZINC66249804	Cc1noc(C)c1S(=O)(=O)[N-]c1nc2cc3c(cc2s1)OCCO3
ZINC38276325	COc1ncc(F)c2nc(S(=O)(=O)[N-]c3c(F)cccc3F)nn12
ZINC66887101	COc1ccc(S(=O)(=O)/N=C(\[O-])c2ccc(-n3cnnn3)cc2)cc1C
ZINC67169325	CC(=O)C1CC(/C([O-])=N/c2ccncc2[N+](=O)[O-])=NN1c1ccccc1
ZINC02410635	O=C(NNC(=O)C1COC2C=CC=CC2O1)C1COc2ccccc2O1
ZINC06108183	CC1(c2ccc3c(c2)CCC3)NC(=O)N(CC(=O)N2CCNC2=O)C1=O
ZINC08924398	Cc1cc(NC(=O)CSc2nc(C3CCCO3)n[nH]2)no1
ZINC08319129	CC(=O)NCCNc1nc2sccn2c1[N+](=O)[O-]
ZINC13633245	CC1(C)OC2OC(C(=O)NCCCO)C3OC(C)(C)OC3C2O1
ZINC15108142	COc1ccc2c(c1OC)C(=O)OC2C1C(=O)NC(=S)NC1=O
ZINC16940931	O=C1C2C3C=CC(C2C(=O)N1CO)C1C2C(=O)N(CO)C(=O)C2C31
ZINC19460525	COC(=O)C1(C)NC(c2ccc(O)c(OC)c2)C2C(=O)N(C)C(=O)C21
ZINC26451752	CCC1(C)NC(=O)N(NC(=O)CN2CCOCC2C)C1=O
ZINC26451753	CCC1(C)NC(=O)N(NC(=O)CN2CCOCC2C)C1=O
ZINC27131817	Cc1ccc(N2CC(C(=O)NNC(=O)c3cnccn3)CC2=O)cc1
ZINC32261231	O=C(NNC(=O)C1CCCO1)C1CCCN(c2ncccn2)C1
ZINC37557920	CCn1cc(S(=O)(=O)N(CC#N)CC#N)c(N)n1
ZINC37859377	Cc1[nH]c(=O)sc1S(=O)(=O)N1CCC(NS(C)(=O)=O)CC1
ZINC38775922	CC1(C)CC2=C3C(=O)N(CC(=O)NCCO)C(=O)N=C3SC2CO1
ZINC39143168	CC1=NC(=O)NC(=O)C1/C=N/NC(=O)C1Cc2ccccc2O1
ZINC40829600	Cc1[nH]ncc1S(=O)(=O)Nc1ccc(-n2nccn2)cc1
ZINC42015332	COc1ccc(-c2nnnn2C2CCS(=O)(=O)C2)cc1N
ZINC42372195	CN(C(=O)CSc1nnc(N)n1C)C1CCS(=O)(=O)C1
ZINC42968683	CC(C)(C)OC(=O)N1CCCC1C(=O)NNC(=O)C1CCCO1
ZINC44681041	CC(=O)NC1C(O)OC2COC(c3ccccc3)OC2C1OC(C)=O
ZINC45173830	CS(=O)(=O)c1ccc(CNc2c[nH]nc2[N+](=O)[O-])cc1
ZINC47702400	CCn1cnnc1CNC(=O)NCC1COc2ccccc2O1
ZINC48775415	CNc1ccc([N+](=O)[O-])cc1C(=O)NC1CCS(=O)(=O)C1
ZINC48946301	CC(C)(C)[NH+]1CCN(C(=O)NC(=O)COCC(=O)[O-])CC1
ZINC49475942	Cc1n[nH]cc1NC(=O)CCSc1nnnn1C
ZINC49519984	CC(C)c1nc(C#N)c(NNC(=O)C(C)S(C)(=O)=O)o1
ZINC49519985	CC(C)c1nc(C#N)c(NNC(=O)C(C)S(C)(=O)=O)o1
ZINC01762162	C=CCn1c(NCCO)nc2c1c(=O)n(C)c(=O)n2C
ZINC50634759	CN(CCC#N)S(=O)(=O)c1ccc(N)c([N+](=O)[O-])c1
ZINC58288972	CC(C(=O)NC(=O)NC(C)(C)C)N1CCN(C(=O)C2CCCO2)CC1
ZINC58382418	CS(=O)(=O)N1CCCC(C(=O)NNC(=O)c2ccc(Cl)nc2)C1
ZINC58402088	Cc1cccc(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)c[nH]2)n1
ZINC54871392	Cc1cnn(CC(=O)NNC(=O)C2COc3ccccc3O2)c1
ZINC18085865	Cc1[nH]n(-c2ccc([N+](=O)[O-])cc2)c(=O)c1/C=N/CCO
ZINC18085865	CC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)/C1=C\NCCO
ZINC63454308	Cn1c(N)c(C(=O)/C(C#N)=C\c2csc(C3CC3)n2)c(=O)n(C)c1=O
ZINC63516202	N#CCN(CC(=O)NN1C(=O)NC2(CCCCC2)C1=O)C1CC1
ZINC64384209	Cn1cc(C2CC2C(=O)NNC(=O)C2COc3ccccc3O2)cn1
ZINC64435197	O=C(CN1NC(N2CCOCC2)CCC1=O)NC1=CC2=CC=NC2C=C1
ZINC64435730	O=C(CN1NC(N2CCOCC2)CCC1=O)NC1=CC2N=CC=C2C=C1
ZINC65434693	O=C(C1=CC2CN(C(=O)c3cccc(=O)[nH]3)CCN2N1)N1CCCC1
ZINC65448741	CC1CN(CC(=O)NC(=O)NC2CCS(=O)(=O)C2)CC(C)(C)O1
ZINC66363470	COC(=O)N1CCC(NC(=O)N2CCCC(NC(C)=O)C2)CC1
ZINC66637821	Cc1ccn2ncc(C(=O)NCc3n[nH]c(=S)n3C3CC3)c2n1
ZINC66638175	Cc1cc(C)n2ncc(C(=O)NCc3n[nH]c(=S)n3C3CC3)c2n1
ZINC66672918	CNc1snc(C)c1C(=O)Nc1cnn(CC(=O)N(C)C)c1
ZINC66896691	Cc1nc(N2CCOCC2)sc1C(=O)NNC(=O)C1CCOC1
ZINC67006064	Cc1cc(NCC(C)(C)NS(C)(=O)=O)n2ncnc2n1
ZINC67182352	CC1(C)CC(=O)C(=CNNC(=O)c2nnc(-c3ccccc3)o2)C(=O)C1
ZINC67537855	CC(NC(=O)Nc1nnc(C(F)(F)F)s1)C(=O)N1CCOCC1
ZINC06636914	CCn1cc(-c2csc(NC(=O)C3C4CCC(O4)C3C(=O)[O-])n2)c(C)n1
ZINC13198189	O=C([O-])c1cc(S(=O)(=O)N2CCN(C(=O)C3CC3)CC2)ccc1O
ZINC13317018	Cc1cccc(C)c1NC(=O)C(C)n1cc([N+](=O)[O-])cc(C(=O)[O-])c1=O
ZINC17071204	COC(=O)c1sc(NC(=O)C2C3CCC(O3)C2C(=O)[O-])nc1C
ZINC17080573	O=C([O-])C1C2CCC(O2)C1C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1
ZINC05982041	Cc1ccccc1OCC(O)Cn1c2c([O-])n(C)c(=O)n(C)c-2nc1=S
ZINC05982039	Cc1ccccc1OCC(O)Cn1c2c([O-])n(C)c(=O)n(C)c-2nc1=S
ZINC22419318	O=C1NCCCCC1Sc1nc(C2CC2)nc2c1c(=O)nc([O-])n2C1CC1
ZINC26269753	N#Cc1nc(NC(=O)CCn2cnc3sc4c(c3c2=O)CCCC4)[n-]c1C#N
ZINC27757105	O=S1(=O)CCC(NS(=O)(=O)c2ccc3nc([O-])oc3c2)C1
ZINC23141377	O=C(Nc1ncn[n-]1)C1CCN(S(=O)(=O)/C=C/c2ccccc2)CC1
ZINC37040061	CC(NS(=O)(=O)c1cc(C(=O)[O-])sc1Br)c1nncn1C
ZINC37326160	O=[N+]([O-])c1cc(S(=O)(=O)NC2CCS(=O)(=O)C2)ccc1[O-]
ZINC38171562	CCN1C(=O)C=C(C)/C(=N\Nc2ccc3ccccc3c2S(=O)(=O)[O-])C1=O
ZINC39218208	COc1cc(C2CC(=O)NC3C2C(=O)N=C2N=CNN23)cc(OC)c1OC
ZINC39218209	COc1cc(C2CC(=O)NC3C2C(=O)N=C2N=CNN23)cc(OC)c1OC
ZINC39218210	COc1cc(C2CC(=O)NC3C2C(=O)N=C2N=CNN23)cc(OC)c1OC
ZINC39451817	CCOC1CC(=O)c2c(c3ncc(S(=O)(=O)C(C)C)cc3c(=O)n2[O-])N1
ZINC39692889	CNc1nnc(SCC2=NC(=O)C3=C(C)C(C(=O)[O-])SC3=N2)s1
ZINC43493397	O=C([O-])C1CSCN1C(=O)Nc1cc([N+](=O)[O-])ccc1Cl
ZINC44450845	O=C(NC1CCCCC1N1C(=O)CSC1=O)c1ccc([O-])nn1
ZINC44931943	CC(NS(=O)(=O)c1cc(Br)ccc1[N+](=O)[O-])c1nnn[n-]1
ZINC48232356	Cn1cnnc1Sc1ccccc1[N-]S(=O)(=O)c1cn[nH]c1
ZINC48289083	O=C(Nc1nc(-c2ccccn2)n[nH]1)C1CCCN(C(=O)c2ccoc2)C1
ZINC09245698	Cc1ccc(N2/C(=N/c3nc(C)cc(C)n3)N=C([O-])CC2C(=O)O)cc1
ZINC23142077	Cc1nn(Cc2ccc(/C([O-])=N/c3ncn[nH]3)cc2)c(C)c1[N+](=O)[O-]
ZINC50535042	Cc1nc(-c2ccc([N-]S(=O)(=O)c3ccc(S(C)(=O)=O)cc3)cc2)n[nH]1
ZINC40154820	O=S1(=O)CCCN1c1cccc(/C([O-])=N/c2nc(-c3ccccn3)n[nH]2)c1
ZINC55685565	O=C(c1cc(S(=O)(=O)[N-]c2cccc3c2OCCO3)c[nH]1)N1CCCC1
ZINC57785559	CC(=O)Nc1ccc([N-]S(=O)(=O)c2cccc(-n3cnnn3)c2)c(Cl)c1
ZINC62553689	CC(=O)Nc1nnc(S(=O)(=O)[N-]c2ccc(N3CCOC(C)C3)cc2)s1
ZINC62577780	CC(=O)Nc1nnc(S(=O)(=O)[N-]c2ccc(-c3nc(C)oc3C)cc2)s1
ZINC05690862	C=CCN1C(=O)/C(=N\Nc2c(C)n(C)n(-c3ccccc3)c2=O)C([O-])=NC1=S
ZINC05690862	C=CCN1C(=O)/C(=N/Nc2c(C)n(C)n(-c3ccccc3)c2=O)C([O-])=NC1=S
ZINC39781272	C=CCN1C(SCC(=O)/N=C2\OC(C)c3c(C)nnc([O-])c32)=NNC1C
ZINC39781273	C=CCN1C(SCC(=O)/N=C2\OC(C)c3c(C)nnc([O-])c32)=NNC1C
ZINC39955556	O=C(NCc1ccc2c(c1)OCO2)C1[N-]C(C2=CC=CC3N=CC=C23)=NO1
ZINC39955564	O=C(NCc1ccc2c(c1)OCO2)C1[N-]C(C2=CC=CC3N=CC=C23)=NO1
ZINC40153399	CCN(CC)C(=O)N1CCCC(/C([O-])=N/c2nc(C(F)(F)F)n[nH]2)C1
ZINC64475330	CNS(=O)(=O)c1cccc(S(=O)(=O)[N-]c2cnc3c(c2)c(C)nn3C)c1
ZINC52794726	CNc1ccc([N+](=O)[O-])cc1/C([O-])=N/S(=O)(=O)N1CCCCC1
ZINC52795686	COC(=O)c1c(C)[nH]c(/C([O-])=N/S(=O)(=O)N2CCCCC2)c1C
ZINC65258646	COc1ccc(OC)c([N-]S(=O)(=O)c2cc3n(c2)CCCNC3=O)c1
ZINC65397239	Cc1nc(-c2c(-c3ccccc3)ncn2CCn2nc([O-])ccc2=O)c[nH]1
ZINC65832518	CNC(=O)c1ccc(Cl)c([N-]S(=O)(=O)c2cccc(-n3cnnn3)c2)c1
ZINC66620484	Cc1c(C(=O)Nc2nc(C#N)c(C#N)[n-]2)nnn1-c1cccc2cnccc12
ZINC66620486	N#Cc1nc(NC(=O)C2CCCN(C(=O)c3ccccc3)C2)[n-]c1C#N
ZINC66927502	CC1CCC(N2CC(C(=O)Nc3nc(C#N)c(C#N)[n-]3)CC2=O)CC1
ZINC67157932	CC(C)c1n[nH]c(/N=C(\[O-])Cc2csc(-c3cnccn3)n2)n1
