ZINC01615674	CC(O)C(NC(=O)c1cnc2ccccc2n1)C(=O)[O-]
ZINC65076385	COC(C)C(=O)Nc1cccc(NC(=O)CCc2c(C)[nH]c(=O)[nH]c2=O)c1
ZINC65193435	COCCNS(=O)(=O)c1ccc(C)c(C(=O)NNC(=O)NCC2CC2)c1
ZINC65201736	Cc1nc(C)c(CCC(=O)NNC(=O)NCCc2cccs2)c(=O)[nH]1
ZINC65206482	COCCCNC(=O)NNC(=O)c1cc(S(=O)(=O)NC2CC2)ccc1C
ZINC65858233	COc1ccc(Cl)cc1NCCC(=O)NNC(=O)C(=O)NC(C)C
ZINC66626476	CNC(=O)Cn1cc(NC(=O)CNC(=O)NCc2ccc(Cl)cc2)cn1
ZINC66701469	N#Cc1cccnc1NCCNC(=O)NCc1nc(-c2cccs2)n[nH]1
ZINC67071804	CC(C)n1c(CNC(=O)CCNC(=O)Nc2ccccc2)n[nH]c1=S
ZINC67241320	CCn1c(=O)c2ccccc2n(CC(=O)Nc2ccc(CNC(N)=O)cc2)c1=O
ZINC67270034	O=C1NC(=O)C2(CCC(C(=O)NCCCNC(=O)c3ccccc3F)CC2)N1
ZINC67310996	CCOCCCNC(=O)NNC(=O)CNS(=O)(=O)c1cccs1
ZINC67313727	CCNS(=O)(=O)c1ccc(C(=O)NNC(=O)NCCCOCC)cc1
ZINC67314365	CCOCCCNC(=O)NNC(=O)CC1Sc2ccccc2NC1=O
ZINC67388580	CNS(=O)(=O)c1cccc(C(C)NC(=O)NCCC(=O)NC(C)C)c1
ZINC67390582	CNS(=O)(=O)c1cccc(C(C)NC(=O)NCCCNS(C)(=O)=O)c1
ZINC67469273	CNS(=O)(=O)c1cccc(C(C)NC(=O)NNC(=O)c2cc(C)oc2C)c1
ZINC67587274	O=C(NCCNC(=O)c1ccc(O)cc1)Nc1nnc(C(F)F)s1
ZINC03444576	NC(=O)NC(=O)COC(=O)c1ccccc1NS(=O)(=O)c1ccc(F)cc1
ZINC02999156	Nc1nnc(SCC(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)s1
ZINC07813474	Cc1cc(NC(=O)COC(=O)CC(NC(N)=O)c2ccc(Cl)cc2)no1
ZINC02276842	COc1ccc(C(=O)NCC(=O)N/N=C/c2ccc(O)cc2O)cc1OC
ZINC09500521	O=C(CCCCC1SCC2NC(=O)NC21)NNC(=O)c1cccs1
ZINC10077464	Nc1nccnc1C(=O)NCCNc1ccc(C(F)(F)F)cc1[N+](=O)[O-]
ZINC12613557	O=C(CCCCC1SCC2NC(=O)NC21)NNC(=O)c1cccs1
ZINC08905161	CCOC(=O)/C=C/C(=O)NC(=S)Nc1ccccc1C(=O)NCCCO
ZINC14922683	C/C(CC(=O)Nc1ccc(Br)cc1)=N\NC(=O)C(=O)NCCO
ZINC17737471	Cc1nc(COc2cccc(C(=O)OCc3nc(N)nc(N)n3)c2)cs1
ZINC06167097	COc1ccc(NNC(=O)C(=N)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
ZINC12260358	CC(C)Cn1c(N)c(C(=O)CSc2nc(C(C)(C)C)n[nH]2)c(=O)[nH]c1=O
ZINC23357145	COCCNC(=O)NC(=O)C(C)Sc1nnc(-c2ccc(C)cc2)n1N
ZINC24016765	Cn1ccnc1C(NC(=O)CC(NC(N)=O)c1ccccc1)c1cccc(F)c1
ZINC24437520	NC(=O)NC(CC(=O)NCc1ccccc1Cn1ccnc1)c1ccccc1Cl
ZINC25456073	NC(=O)Cn1c(SC(C(N)=O)c2ccccc2)nnc1-c1cccs1
ZINC25456079	NC(=O)Cn1c(SC(C(N)=O)c2ccccc2)nnc1-c1cccs1
ZINC28618084	O=C(NNC(=S)Nc1ccccc1)c1cccc(S(=O)(=O)NC2CC2)c1
ZINC29288265	NC(=O)NC(CC(=O)Nc1cccc(CN2CCCC2=O)c1)c1cccs1
ZINC32456716	Cc1ccc(C(CC(=O)OC(C)C)NC(=O)CC(NC(N)=O)c2cccc(C)c2)cc1
ZINC32754066	CSc1nc(C)c(CC(=O)NCc2cccc(NS(N)(=O)=O)c2)s1
ZINC40683528	COc1ccc(CCNc2ncnc(NCC3CCCO3)c2N)cc1OC
ZINC41186013	NC(=O)Cc1ccc(NC(=O)C(=O)NCCCCOc2ccc(F)cc2)cc1
ZINC41275824	CC1CN(CCCNC(=O)C(=O)Nc2ccc(F)c(C(N)=O)c2)CC(C)O1
ZINC41961300	C=CCNC(=S)NNC(=O)c1ccc(OC)c(S(=O)(=O)NC(C)C)c1
ZINC43564055	CCC1(C)NC(=O)N(NC(=O)CNc2ccc(C(=O)NC(C)(C)C)cc2)C1=O
ZINC44805442	COCC(=O)Nc1ccc(NC(C)C(=O)NC(=O)NCC2CCCO2)cc1
ZINC46630846	CCC(C)C(NC(N)=O)C(=O)NCc1ccc(OCC2CCCO2)c(OC)c1
ZINC47162663	Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)NCCNc1ncc(Cl)cc1Cl
ZINC15532964	Cc1cc(NC(=O)CSCC(=O)NNC(=S)NCCC(C)C)no1
ZINC48591461	Cc1cccc(NC(=O)C(=O)NC(CO)C(O)c2ccc([N+](=O)[O-])cc2)c1
ZINC48647402	CNC(=O)Cc1ccccc1NC(=O)C(=O)NCCc1c[nH]c2ccccc12
ZINC48885436	NC(=O)Cc1ccc(NC(=O)C(=O)NCCCn2ccc3ccccc32)cc1
ZINC57260788	NC(=O)NCCCCC(=O)N1CCCC(C(=O)Nc2ccc(Cl)cn2)C1
ZINC24123471	O=C(CCCNC(=O)c1ccccc1)NNC(=O)c1cc(Br)c[nH]1
ZINC59815854	COc1cccc(/C=N/Nc2nc(SC(C)C(=O)NC3CC3)n[nH]2)c1O
ZINC60526443	COc1ccc(NCC(=O)NNC(=O)CCCNC(=O)c2ccccc2)cc1
ZINC60880388	O=C(CCCN1C(=O)NC2(CCCC2)C1=O)NNC(=S)Nc1ccccc1
ZINC47795541	Cc1cc(NC(=O)NC(C)c2ccc(NC(=O)NC3CC3)cc2)n(CCC#N)n1
ZINC61650896	NS(=O)(=O)c1ccc(Cl)c(C(=O)NNC(=O)CCOc2ccccc2)c1
ZINC64427980	O=C(CCNS(=O)(=O)c1ccc2ccccc2c1)NNC(=O)NC1CC1
ZINC64882968	CCCCNC(=O)NNC(=O)Cc1csc(NC(=O)c2ccoc2C)n1
ZINC64940771	COCCCNC(=O)NNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2
ZINC51334158	COc1c(C)cnc(CNC(=O)NCCNC(=O)c2ccc(O)cc2)c1C
ZINC66120144	COc1cc(Br)c(CNC(=O)C(NC(N)=O)C(C)C)cc1OC
ZINC66120145	COc1cc(Br)c(CNC(=O)C(NC(N)=O)C(C)C)cc1OC
ZINC66629784	COCCNC(=O)CCNC(=O)CNC(=O)NCc1ccc(Cl)cc1
ZINC66978074	Cc1ccc(NC(=O)CCNC(=O)NNC(=O)Cc2ccccc2F)nc1
ZINC67313339	CCOCCCNC(=O)NNC(=O)C(NC(=O)c1cccs1)C(C)C
ZINC67510293	C=CCNC(=O)c1ccccc1NC(=O)CCc1c(C)nc2nc(N)nn2c1C
ZINC03839477	O=C([O-])CSCC(=O)NC1CC2C(=O)Nc3ccc(-c4ccco4)cc3C(=O)N2C1
ZINC03839540	O=C([O-])COCC(=O)NC1CCN2C(=O)c3cc(-c4ccsc4)ccc3NC(=O)C12
ZINC05650269	O=C(NC(Cc1c[nH]c2ccccc12)C(=O)[O-])c1ccc([N+](=O)[O-])cc1
ZINC02200816	O=C(Cn1nnc2ccccc2c1=O)NC(Cc1ccc(O)cc1)C(=O)[O-]
ZINC04520604	O=C1COc2ccc(S(=O)(=O)NC(Cc3ccc(F)cc3)C(=O)[O-])cc2N1
ZINC00811636	O=C([O-])C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(F)cc1
ZINC13027267	O=C([O-])C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1cc(F)ccc1F
ZINC13034964	O=C([O-])CCn1c(SCC(=O)NC(=O)NC2CC2)nnc1-c1cccs1
ZINC08156879	O=C(CCn1ccc2ccccc21)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC20760945	Cc1nc(CC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)[O-])cs1
ZINC21011792	CC(O)C(NS(=O)(=O)c1ccc(Cl)cc1[N+](=O)[O-])C(=O)[O-]
ZINC22758521	CC(=O)NCCNC(=O)Cn1c([S-])nnc1-c1cccc(C)c1
ZINC31958542	Cc1cc2c(NC(C(=O)NCCC(=O)[O-])C(C)C)ncnc2s1
ZINC31958580	Cc1nc(NC(C)C(=O)NCCC(=O)[O-])c2c(C)c(C)sc2n1
ZINC32611935	Cc1nnc(S(=O)(=O)[N-]c2ccc(C(N)=O)cc2)n(Cc2ccccc2)c1=O
ZINC35085410	Cc1cc(S(=O)(=O)NCC(=O)NCC(=O)[O-])ccc1Br
ZINC35384069	O=C([O-])CNC(=O)CNC(=O)CCCc1ccc(Br)s1
ZINC04639354	O=C(/C=C/c1ccccn1)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC20246928	O=C([O-])/C=C/C(=O)NCCNc1ncc(C(F)(F)F)cc1Cl
ZINC38564671	O=C([O-])CNC(=O)C(Cc1c[nH]c2ccccc12)N1C(=O)N=C2C=CC=CC2C1=O
ZINC39556132	CC1=CC(NC(=O)CSC2NC3C=CSC3C(=O)N2CCC(=O)[O-])N=N1
ZINC40142895	COc1ccc(/C=N/N=C2/NC(=O)C(CCO)S2)c(C(=O)[O-])c1OC
ZINC40155198	COc1ccc(OC)c(S(=O)(=O)[N-]c2ccccc2S(N)(=O)=O)c1
ZINC41091154	Cc1cc(F)ccc1S(=O)(=O)NC(Cc1c[nH]c2ccccc12)C(=O)[O-]
ZINC45622468	O=C(NC(CCO)C(=O)[O-])c1cc([N+](=O)[O-])ccc1Br
ZINC45772792	Cn1cnnc1Sc1ccccc1[N-]S(=O)(=O)c1cccc(S(N)(=O)=O)c1
ZINC48448993	NC(=O)COc1cccc(/C([O-])=N/S(=O)(=O)c2cccs2)c1
ZINC49061577	COC(=O)CS(=O)(=O)[N-]c1cc(S(N)(=O)=O)ccc1OC
ZINC49063956	COC(=O)C(C)S(=O)(=O)[N-]c1ccc(S(N)(=O)=O)cc1Br
ZINC49063972	COC(=O)C(C)S(=O)(=O)[N-]c1cc(S(N)(=O)=O)ccc1F
ZINC49539425	CSCCC(NC(=O)NC(C)c1sc(C)nc1C)C(=O)[O-]
ZINC49595190	CNC(=O)CNS(=O)(=O)c1ccc(/C=C/C(=O)[O-])cc1Cl
ZINC50633959	CCCS(=O)(=O)[N-]c1ccccc1C(=O)NC1CCCNC1=O
ZINC51637301	CCOC(=O)CCS(=O)(=O)[N-]c1ccc(F)c(C(N)=S)c1
ZINC31963104	O=C([O-])CCNC(=O)c1csc(NC(=O)c2cccc(F)c2)n1
ZINC58481749	O=C(CCc1ccco1)NNC(=O)c1nn(-c2ccccc2)cc1[O-]
ZINC60380346	O=C(CCNS(=O)(=O)c1ccc2c(c1)CCCC2)Nc1nnn[n-]1
ZINC62441305	CC(CS(=O)(=O)[N-]c1cccc(F)c1)C(=O)NCC(C)(C)O
ZINC62828285	Cc1sc(NC(=O)NCCCS(C)(=O)=O)c(C(=O)[O-])c1C
ZINC63141954	CS(=O)(=O)CCS(=O)(=O)[N-]c1ccc(C(F)(F)F)cc1N
ZINC63144141	CS(=O)(=O)CCS(=O)(=O)[N-]c1cc(F)cc(S(N)(=O)=O)c1
ZINC63763477	CCCN1C(=O)c2ccccc2NC1SC/C([O-])=N/c1ncn[nH]1
ZINC19819315	CCc1nnc(/N=C(/CC(=O)/N=c2/[nH]nc(CC)[nH]2)C(F)(F)F)[n-]1
ZINC19819315	CCc1n[nH]c(/N=C(\[O-])C/C(=N/c2nc(CC)n[nH]2)C(F)(F)F)n1
ZINC64487902	CC(C)NC(=O)CCNC(=O)c1cc(Cl)ccc1[N-]S(C)(=O)=O
ZINC66250628	COc1ccc(S(=O)(=O)[N-]c2nc(CC(N)=O)cs2)cc1C
ZINC66637662	CCCS(=O)(=O)[N-]c1ccc(C(=O)NCc2n[nH]c(=S)n2C2CC2)cc1
ZINC67163680	CC(=O)NCc1ccc(C(=O)NC(C)c2cccc([N-]S(C)(=O)=O)c2)s1
ZINC67344921	CCNC(=O)Cn1ccc(NC(=O)c2cc(F)ccc2[N-]S(C)(=O)=O)n1
ZINC67587192	Cc1n[nH]c(C)c1C(NS(=O)(=O)/C=C/c1ccccc1)C(=O)[O-]
ZINC67610058	Cc1cc(CNC(=O)NC(C)c2cccc([N-]S(C)(=O)=O)c2)no1
ZINC04705734	CCCCSc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O
ZINC04705735	CCCCSc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O
ZINC03428474	Nn1c(SCC(=O)NCCc2ccc(S(N)(=O)=O)cc2)nnc1-c1cccnc1
ZINC02810311	Cc1[nH]c(=O)[nH]c(=O)c1CSCC(=O)OCC(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC02865614	Nn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nnc1-c1ccccn1
ZINC06945623	NC(=O)NC(CC(=O)NNC(=O)c1ccc2c(c1)OCO2)c1ccccc1Cl
ZINC06945624	NC(=O)NC(CC(=O)NNC(=O)c1ccc2c(c1)OCO2)c1ccccc1Cl
ZINC04258480	O=C(Cc1ccc2c(c1)OCCO2)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1O
ZINC08880551	NC(=O)c1ccsc1NC(=O)CN1C(=O)NC(Cc2c[nH]c3ccccc23)C1=O
ZINC12633361	NC(=O)NC(CC(=O)Nc1ccc(S(N)(=O)=O)cc1)c1cccc(Br)c1
ZINC12769322	NC(=O)CSc1ccccc1NC(=O)CCCCC1C2NC(=O)NC2CS1(=O)=O
ZINC12879773	NS(=O)(=O)c1ccc(CCNC(=O)Cc2csc(NC(=O)C3CCC(=O)N3)n2)cc1
ZINC13145845	NC(=O)c1c(NC(=O)CSc2nnc(-c3cccnc3)n2N)sc2c1CCC2
ZINC15052293	COc1cc(/C=C2\NC(=O)N(CC(=O)Nc3ccc(S(N)(=O)=O)cc3)C2=O)ccc1O
ZINC16069286	NC(=O)c1c(NC(=O)CSc2nnc(C(F)(F)F)n2N)sc2c1CCC2
ZINC16431493	O=C1c2cccc3c(NC(CO)(CO)CO)ccc(c23)C(=O)N1/N=C\c1ccc(O)c(O)c1
ZINC20829875	NC(=O)CSc1nnc(NC(=O)CSc2nnc(-c3ccccc3O)n2N)s1
ZINC20834557	COc1cccc(/C=N/Nc2nc(SCC(=O)NNC(=O)C(F)(F)F)n[nH]2)c1O
ZINC14660003	COCCOc1ccccc1C(=O)NC(=S)Nc1ccc(S(=O)(=O)N=C(N)N)cc1
ZINC21326604	CCOc1cc(/C=N/Nc2nnc(SCC(=O)NCc3ccco3)n2N)ccc1O
ZINC21839520	CC(OC(=O)c1csc(S(N)(=O)=O)c1)C(=O)Nc1sc2c(c1C(N)=O)CCC2
ZINC25262165	NC(=O)NC(CC(=O)NNC(=S)NCC1CCCO1)c1cccc(Br)c1
ZINC26785831	CCC1(C)NC(=O)N(NC(=O)CNc2ccc(Cl)c(C(N)=O)c2)C1=O
ZINC31160903	O=C1CCC=CC1(O)C(=O)OCc1cccc(O)c1OC1OC(CO)C(O)C(O)C1O
ZINC31165201	O=C(OCc1ccc(OC2OC(CO)C(O)C(O)C2O)c(O)c1)c1ccc(O)c(O)c1
ZINC16953193	Cc1ccccc1C(C#N)/C(=N/NC(=O)C(=O)NN)C(=O)Nc1cccc(C(F)(F)F)c1
ZINC34898303	CC(O)C(O)C(O)C(OCCO)Oc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
ZINC34898305	CC(O)C(O)C(O)C(OCCO)Oc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1
ZINC35457681	COc1ccc(CCc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)c(OC)c2)cc1O
ZINC35666738	NNC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(F)cc1
ZINC35614465	CN1C(=O)C(C(=O)CC(NC(CO)(CO)CO)c2cccs2)=C([O-])C2C=CC=CC21
ZINC37538972	Cc1ccc(C(C)C)c(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c1
ZINC31158225	C=CC(C)(CCC=C(C)C)OC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O
ZINC39559706	COc1ccc(C2(O)c3c(ccc(CC(O)C(C)(C)O)c3O)NC(=O)C2OC)cc1
ZINC39560192	C/C(=C\Cc1c(O)ccc2cc(O)c(=O)oc12)COC1OC(CO)C(O)C(O)C1O
ZINC13449230	Cc1nc(SCC(=O)NCc2ccc(S(N)(=O)=O)cc2)[nH]c(=O)c1CCC(=O)O
ZINC40651531	O=C(/C=C\c1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O
ZINC40686224	Nc1c(NCc2ccc3c(c2)OCO3)ncnc1NNC(=O)c1ccccn1
ZINC42788058	NC(=O)C(NC(=O)COc1ccc(I)cc1)C(N)=O
ZINC45124759	COc1ccnc(NNC(=O)NC(C)c2cccc(S(N)(=O)=O)c2)n1
ZINC45124761	COc1ccnc(NNC(=O)NC(C)c2cccc(S(N)(=O)=O)c2)n1
ZINC33955979	CC(C)=CCC/C(C)=C/COC1OC(COC2OCC(O)C(O)C2O)C(O)C(O)C1O
ZINC49601718	O=C(/C=C/c1ccc(O)c(O)c1)OC1C(OC2CCCCC2O)OC(CO)C(O)C1O
ZINC08846389	COc1cc(C2C(C#N)=C(N)Oc3[nH]nc(-c4ccncc4)c32)ccc1OCC(N)=O
ZINC52634781	NC(=O)Nc1ccc2c(c1)/C(=C/C1=NC=C(C(=O)NCCc3ccncc3)C1)C(=O)N2
ZINC15056658	N=C1NC(=O)/C(=C/c2cccc(OCC(=O)Nc3ccc(S(N)(=O)=O)cc3)c2)S1
ZINC57997343	NS(=O)(=O)c1cc(C(=O)NCCc2ccc(S(N)(=O)=O)s2)cs1
ZINC61807273	NC(=O)CN(CC(N)=O)S(=O)(=O)c1c(N)cc(Br)cc1Br
ZINC14729886	Cc1cc(C)nc(N/C(=N\C(=O)CSc2nnc(N)s2)[N-]CCc2c[nH]c[nH+]2)n1
ZINC66782277	Cn1ccnc1C(O)(CC(=O)Nc1ccc(NC(N)=O)cc1)C(F)(F)F
ZINC04971867	Nc1c(C(=O)NCc2ccco2)nnn1CC(=O)Nc1cccc(F)c1
ZINC05215348	O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1CC(F)(F)C(F)(F)F
ZINC01581673	CC(C)(SSC(C)(C)C1NC(=O)NC1=O)C1NC(=O)NC1=O
ZINC08694865	NC(=O)c1nnsc1Sc1c(C(N)=O)nnn1-c1ccccc1
ZINC09836267	COCCCn1c(SCC(=O)Nc2sccc2C(N)=O)n[nH]c1=O
ZINC12879626	NC(=O)NCc1ccc(C(=O)NCc2nnc3n2CCCCC3)cc1
ZINC15859742	NS(=O)(=O)c1ccc(NC(=O)CSc2cnnc(O)n2)cc1
ZINC22249677	CC1(C2CC2)NC(=O)N(CC(=O)NNC(=O)c2c[nH]c3ccccc23)C1=O
ZINC26846148	O=C(CNC(=O)c1ccc(N2CCCC2=O)cc1)NNC(=S)NC1CC1
ZINC31421699	Cc1[nH]c(=O)[nH]c(=O)c1CCC(=O)NCc1ccc(N2CCNC(=O)C2)cc1
ZINC40144405	O=C(CCNc1ncccn1)NNC(=O)c1cc(Br)c[nH]1
ZINC42924450	NC(=O)CCCNC(=O)/C=C\c1ccc(S(=O)(=O)NC2CC2)cc1
ZINC27079972	CC(C)NC(=O)NC(=O)C(C)OC(=O)c1cc(S(N)(=O)=O)ccc1F
ZINC46984535	O=C1CN(c2ccc(CNC(=O)NNc3ncccn3)cc2)CCN1
ZINC47104679	NS(=O)(=O)c1ccc(Cl)c(C(=O)NCCNc2ncccn2)c1
ZINC48591529	O=C(Nc1cccc(F)c1)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1
ZINC48591570	O=C(Nc1ccccc1F)C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1
ZINC48759537	NC(=O)c1cc(NC(=O)C(=O)NCc2ccc3c(c2)OCCO3)ccc1F
ZINC49129139	O=C(CNC(=O)c1ccc(Br)o1)NNC(=O)NC1CC1
ZINC49972851	CCC1(C)NC(=O)N(NC(=O)CNc2cccc(C(=O)NC)c2)C1=O
ZINC50136730	C#CCNC(=O)CCNC(=O)NNC(=O)C(C)Oc1ccccc1F
ZINC20548389	COCCN1C(=O)C2C(CC(N)=O)NC3(C(=O)Nc4ccccc43)C2C1=O
ZINC20566181	COCCCN1C(=O)C2C(CC(N)=O)NC3(C(=O)Nc4ccc(F)cc43)C2C1=O
ZINC51682856	NC(=O)C1CN(C(=O)NCCNS(=O)(=O)c2cccc(Cl)c2)CCO1
ZINC20405566	N#C/C=C(\N)NNC(=O)CN1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1
ZINC53216840	NC(=O)C1CCCN(c2ccc(C(=O)NNC(=O)c3cnccn3)cc2)C1
ZINC53285050	CC(NC(=O)c1ccoc1)C(=O)Nc1cccc(C2(C)NC(=O)NC2=O)c1
ZINC57945575	NS(=O)(=O)c1ccc(CNC(=O)C(=O)Nc2ccc3ncccc3c2)cc1
ZINC58916196	Cc1cc(C)c(CNC(=O)CNC(=O)c2c[nH]c3ccccc3c2=O)c(=O)[nH]1
ZINC48702573	Cc1cc(C)c(NC(=O)CCCS(=O)(=O)CCC(=O)NC(N)=O)c(C)c1
ZINC41633063	Cc1n[nH]c(SC(C)C(=O)Nc2ccc(S(N)(=O)=O)cc2)nc1=O
ZINC60861841	CC(C)CN1C(=O)/C(=C\NCc2ccc(S(N)(=O)=O)cc2)C(=O)NC1=S
ZINC61304915	Cc1nnc(SCC(=O)NNC(=O)c2ccccc2Cl)n1N
ZINC13121859	COc1ccc(C2C(C(N)=O)=C(C)N=C3N=C(CCCO)NN32)cc1OC
ZINC39935909	CC1NNC(=O)C2=C1C(C)OC2NC(=O)CSC1NN=C(C2CC2)N1C1CC1
ZINC64643128	C#CCNC(=O)CCNC(=O)NNC(=O)C1COc2ccccc2O1
ZINC65832771	CCOc1ccc(NS(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)cc1CO
ZINC66143107	NC(=O)CCC1CCCN(C(=O)c2cc(S(N)(=O)=O)ccc2Cl)C1
ZINC66241339	Cc1cccc(NC(=O)CCNC(=O)c2ccc(-n3ncc(C#N)c3N)cc2)n1
ZINC66241344	CC(NC(=O)c1ccc(-n2ncc(C#N)c2N)cc1)C(=O)NCc1ccco1
ZINC66380674	NC(=O)C1CCCN(c2ccc(C(=O)Nc3cnn(CCO)c3)cc2)C1
ZINC66626093	Cn1c(CNC(=O)c2ccc(NC(=O)NC3CC3)cc2)n[nH]c1=S
ZINC66636848	CCn1c(CNC(=O)c2ccc(NC(=O)NC3CC3)cc2)n[nH]c1=S
ZINC66640250	CC(C)n1c(CNC(=O)COc2cccc(C(N)=O)c2)n[nH]c1=S
ZINC66650126	Cc1cc(C)c(S(N)(=O)=O)cc1C(=O)NCc1n[nH]c(=S)n1C(C)C
ZINC67073783	CC(C)n1c(CCNC(=O)c2ccc3[nH]c(=O)[nH]c3c2)n[nH]c1=S
ZINC67269625	O=C(CCNC(=O)C1CCC2(CC1)NC(=O)NC2=O)NC1CCCC1
ZINC67413626	C#CCNC(=O)CCNC(=O)NCc1cccc(C(=O)NC(C)C)c1
ZINC67473821	O=C(/C=C/c1ccccc1)NCC(=O)NNC(=O)NC1CCS(=O)(=O)C1
ZINC67585786	NS(=O)(=O)c1ccc(CNC(=O)Nc2nnc(C(F)F)s2)cc1
ZINC04018025	OCC(O)C(O)C(O)C1(CO)NN=C(c2ccccc2)S1
ZINC04096936	OC/C=C/c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1
ZINC04707705	CCc1cc2c(cc1C)nc1c(=O)[nH]c(=O)nc-1n2CC(O)C(O)C(O)CO
ZINC04773150	CCOc1ccc(NC2(CO)OCC(O)C(O)C2O)cc1
ZINC02047788	NC(=O)c1cc(OC2OC(CO)C(O)C(O)C2O)cc([N+](=O)[O-])c1
ZINC12879811	NC(=O)c1ccccc1NC(=O)Cc1csc(NC(=O)C2CCC(=O)N2)n1
ZINC05386538	CC(C)=CCNc1ncnc2ncn(C3OC(CO)C(O)C(O)C3O)c12
ZINC05386539	CC(C)=CCNc1ncnc2ncn(C3OC(CO)C(O)C(O)C3O)c12
ZINC17027415	CCOC(=N)c1cn(C2OC(CO)C(O)C2O)c2ncnc(O)c12
ZINC17380524	O=c1[nH]c(=O)c2nc(OCc3ccccc3)n(C3OC(CO)C(O)C3O)c2[nH]1
ZINC20827155	COc1cc(/C=N/Nc2nnc(SCC(N)=O)n2N)cc(OC)c1OC
ZINC21036067	COc1cc2c(cc1OC)CN(C(=O)CSc1nnc(NN)n1N)CC2
ZINC27188971	CN(C)c1nc(N)nc(CSCCC(=O)NC(N)=O)n1
ZINC29058560	Nc1nc(SCc2cccnc2)c2ncn(C3OC(CO)C(O)C3O)c2n1
ZINC30525295	CC(C)OCCCNC(=O)CSCc1nc(N)nc(N)n1
ZINC31155176	COc1cc(C(O)C(O)COC2OC(CO)C(O)C(O)C2O)ccc1O
ZINC35367216	Cc1n[nH]c(C)c1S(=O)(=O)NCC(O)c1ccc(N)cc1
ZINC35797339	CS(=O)(=O)NCCNS(=O)(=O)c1ccc(O)c(N)c1
ZINC35797377	CS(=O)(=O)NCCNc1cc2c(cc1N)OCC(=O)N2
ZINC36744617	Nc1ccc(S(=O)(=O)NCCS(N)(=O)=O)c(Cl)c1
ZINC36744621	Cc1ccc(N)cc1S(=O)(=O)NCCS(N)(=O)=O
ZINC37556339	NNc1nc2ccccn2c1S(=O)(=O)NCCC(N)=O
ZINC31156641	COc1cc(CCO)ccc1OC1OC(CO)C(O)C(O)C1O
ZINC12153338	OCCc1ccc(O)c(OC2OC(CO)C(O)C(O)C2O)c1
ZINC03953883	OCC(O)C(O)C(O)C(O)c1nc2cc(Cl)ccc2[nH]1
ZINC40334020	Nc1n[nH]cc1S(=O)(=O)N1CCCC(CNS(N)(=O)=O)C1
ZINC40349003	CNC(=O)Cn1cc(NS(=O)(=O)c2c[nH]nc2N)cn1
ZINC41071292	CS(=O)(=O)NCCNS(=O)(=O)c1cnc(NN)nc1
ZINC41599182	CSCCC(NC(N)=O)C(=O)NCCNC(=O)C(C)C
ZINC43763776	CCc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
ZINC44441003	Cc1[nH]c(=O)[nH]c(=O)c1CC(=O)NCCc1ccc(S(N)(=O)=O)cc1
ZINC44699658	O=C(Cc1c[nH]c2ccccc12)OC1OC(CO)C(O)C(O)C1O
ZINC44947341	O=C(CNC(=O)c1c[nH]c2ccccc2c1=O)NNC(=O)C(=O)NC1CC1
ZINC45067928	Nc1cc(S(=O)(=O)NCCCS(N)(=O)=O)ccc1F
ZINC45068200	Nc1ccc(F)cc1S(=O)(=O)NCCCS(N)(=O)=O
ZINC45868721	NC(=O)C(NC(=O)NCC1CCS(=O)(=O)C1)C(N)=O
ZINC48002363	NC(=O)c1ccsc1NC(=O)C(=O)NCC(O)COc1ccccc1
ZINC49181771	OCC(OC1OC(CO)C(O)C(O)C1O)C(O)c1ccc(O)cc1
ZINC49422704	NC(=O)NC(=O)CCSc1nnc(C(F)(F)F)n1N
