ZINC13547300	N#Cc1sc(=S)n(-c2ccc(F)cc2)c1N
ZINC40343082	O=C1c2[nH]nc(-c3ccc(Cl)cc3)c2C(c2ccc(Br)cc2)N1Cc1ccc(Cl)cc1
ZINC40871458	Cc1cc(C)c(-c2ccnc(N3CCCC(C(=O)Nc4ccc(Br)cc4F)C3)n2)c(C)c1
ZINC48545139	COc1cccc(C2C(C#N)=C(C)NC3=C2C(=O)CC(C)(C)C3)c1OCc1ccc(Br)cc1
ZINC49031001	O=C(/C=C/c1ccc(Br)o1)Nc1cc(Br)ccc1I
ZINC30719009	N=C1/C(=C/c2ccc(-c3cc(Cl)ccc3Cl)o2)C(=O)N=C2SC(c3ccccc3Cl)=NN12
ZINC34695342	Cc1ccc(NC(=O)C2CC(=O)N(Cc3ccc(F)cc3)/C(=N/c3cccc(Cl)c3)S2)c(C)c1
ZINC13855942	O=C(Nc1ccc(Br)c(Cl)c1)C(Cc1ccccc1)N1C(=O)C2C3C=CC(C3)C2C1=O
ZINC35373583	CC1CCCCC1NC(=O)C1(C)Cn2c(cc3occc32)C(=O)N1Cc1cccc(Br)c1
ZINC64790745	Cc1ccc(C(=O)Nc2nc3n(n2)C(c2c(F)cccc2Cl)CC(c2ccc(Cl)cc2)=N3)cc1
ZINC64979816	O=C(Nc1ccc2c(c1)Sc1ccccc1C(=O)N2C1CCCC1)C1CC(=O)N(c2ccccc2)C1
ZINC02546456	O=C(CSc1ccc(Sc2ccc(SCC(=O)Nc3ccc(F)c(F)c3)cc2)cc1)Nc1ccc(F)c(F)c1
ZINC04157303	C=CCn1c(SCCCNC(=O)c2ccc(Cl)cc2Cl)nc(-c2ccccc2)c1-c1ccccc1
ZINC09834870	CCC(C)(C(=O)NC1CCCC1)N(Cc1cccs1)C(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
ZINC14648493	CCCCCCOc1ccc(Br)cc1C(=O)NC(=S)Nc1sc2c(c1C#N)CCCC2
ZINC16568740	CC(CC(=O)NCc1nnc(SCc2ccc(F)cc2)n1-c1cc(Cl)ccc1Cl)CC(C)(C)C
ZINC22325316	Cc1ccc(CSCCCNC(=O)CN(c2cc(Cl)ccc2C)S(=O)(=O)c2ccc(C)cc2)cc1
ZINC22363016	Cc1cccc(CSCCCNC(=O)CN(c2ccc(C)c(C)c2)S(=O)(=O)c2ccc(Cl)cc2)c1
ZINC26843396	Cc1[nH]c2ccc(OC(F)(F)F)cc2c1CCNS(=O)(=O)c1c(C(C)C)cc(C(C)C)cc1C(C)C
ZINC26964954	CC1=C(C(=O)OCC(C)C)C(c2ccc(-c3cc(Cl)ccc3Cl)o2)C(C(=O)OCC(C)C)=C(C)N1
ZINC33482968	Cc1cccc(CSc2nnc(CNC(=O)CC(C)CC(C)(C)C)n2-c2cc(Cl)ccc2Cl)c1
ZINC33586830	Cc1ccccc1CSc1nnc(CNC(=O)CC(C)CC(C)(C)C)n1-c1cc(Cl)ccc1Cl
ZINC33674745	CCc1cc(-c2nc(-c3cc(C(=O)NCCC4=CCCCC4)c(C)n3CCC3=CCCCC3)cs2)ccn1
ZINC35003040	COc1cc(NC(C)CCCN(Cc2ccc(F)cc2)C(=O)Nc2cccc(Cl)c2)c2ncccc2c1
ZINC35130736	CCCCN(CC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc(Cl)c(Cl)c1)C(=O)Cc1cccs1
ZINC35198997	CCCCC(CC)C(=O)NC(C)c1nnc(SCc2cccc(C)c2)n1-c1ccc(Cl)cc1Cl
ZINC35730834	CC(C)CCN1C(=O)c2ccccc2C1Nc1ccc(C(=O)NCCC(c2ccccc2)c2ccccc2)cc1
ZINC36482706	CCC(C(=O)N(c1cccc(Cl)c1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccccc1)c1ccccc1
ZINC36486107	Cc1ccccc1C(C(=O)NC(C)(C)CC(C)(C)C)N(C(=O)CC(C)c1ccccc1)c1cccc(Cl)c1
ZINC36486229	CC(CC(=O)N(c1cccc(Cl)c1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccccc1)c1ccccc1
ZINC36493848	CC(c1ccccc1)C(C(=O)NC(C)(C)C)N(Cc1ccco1)C(=O)/C(=C/c1ccccc1)c1ccccc1
ZINC36494414	CC(C)(C)CC(C)(C)NC(=O)C(c1ccc(C(F)(F)F)cc1)N(Cc1ccco1)C(=O)C1CCCCC1
ZINC36497244	CCC(C(=O)N(Cc1ccco1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccc(Cl)cc1)c1ccccc1
ZINC36501923	CC(CC(=O)N(Cc1ccco1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccc(Cl)cc1)c1ccccc1
ZINC36501924	CC(CC(=O)N(Cc1ccco1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccc(Cl)cc1)c1ccccc1
ZINC36503526	CC(C)(C)CC(C)(C)NC(=O)C(C1CCCCC1)N(Cc1ccco1)C(=O)C(c1ccccc1)c1ccccc1
ZINC36503573	CC(c1ccccc1)C(C(=O)NC1CCCCC1)N(Cc1ccco1)C(=O)C(c1ccccc1)c1ccccc1
ZINC36515098	CCCCCCN(C(=O)Cc1cccc(Cl)c1Cl)C(C(=O)NC(C)(C)C)c1ccc2c(c1)OCO2
ZINC36541304	COC(C(=O)N(c1ccccc1Cl)C(C(=O)NC(C)(C)CC(C)(C)C)C1CCCCC1)c1ccccc1
ZINC36541340	COC(C(=O)N(c1ccccc1Cl)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccccc1C)c1ccccc1
ZINC36541341	COC(C(=O)N(c1ccccc1Cl)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccccc1C)c1ccccc1
ZINC36547555	CCCCNC(=O)C(c1ccccc1C)N(C(=O)C(c1ccccc1)c1ccccc1)c1ccccc1Cl
ZINC36547574	CCC(CC)C(C(=O)NC1CCCCC1)N(C(=O)C(c1ccccc1)c1ccccc1)c1ccccc1Cl
ZINC36548022	CCCCCC(=O)N(c1ccccc1Cl)C(C(=O)NC1CCCCC1)c1cc([N+](=O)[O-])ccc1Cl
ZINC36552077	CCC/C=C/C(C(=O)NC1CCCCC1)N(C(=O)C(c1ccccc1)c1ccccc1)c1cccc(Cl)c1
ZINC36554737	CN(C)c1ccc(C(C(=O)NC(C)(C)CC(C)(C)C)N(C(=O)Cc2ccccc2)c2cccc(Cl)c2)cc1
ZINC36555439	C/C=C/C(C(=O)NC(C)(C)CC(C)(C)C)N(Cc1ccc(C)o1)C(=O)/C(=C/c1ccccc1)c1ccccc1
ZINC36557170	Cc1ccc(CN(C(=O)CCC2CCCCC2)C(C(=O)NC(C)(C)CC(C)(C)C)c2ccc(Cl)cc2)o1
ZINC36558663	CCC(C(=O)N(Cc1ccc(C)o1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccc(Cl)cc1)c1ccccc1
ZINC36558664	CCC(C(=O)N(Cc1ccc(C)o1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccc(Cl)cc1)c1ccccc1
ZINC36571510	CCCN(C(=O)Cc1cccc(Cl)c1Cl)C(C(=O)NC(C)(C)CC(C)(C)C)c1cccc(OC)c1
ZINC36574614	CCCN(C(=O)C(c1ccccc1)c1ccccc1)C(C(=O)NC(C)(C)CC(C)(C)C)c1ccc(Cl)cc1
ZINC36587962	CC(CC(=O)N(C(C(=O)NC1CCCCC1)C(c1ccccc1)c1ccccc1)C(C)(C)C)c1ccccc1
ZINC36590326	CC(C)(C)CC(C)(C)NC(=O)C(c1ccccc1O)N(C(=O)C(c1ccccc1)c1ccccc1)C(C)(C)C
ZINC36685688	Cc1ccc(SCC(=O)Nc2ccc(Cc3ccc(NC(=O)CSc4ccc(C)cc4)cc3)cc2)cc1
ZINC39757876	COc1ccccc1C(=O)NC(c1nnc(SCc2ccc(Cl)cc2Cl)n1CC(C)C)C(C)C
ZINC40138656	CCCCCCC(=O)N/N=C1\C(=O)N(CCCOc2ccccc2Br)c2ccc(Cl)cc21
ZINC40982371	CCCSc1nc2n(n1)C(c1ccccc1OCc1ccc(C(C)(C)C)cc1)C(C(=O)OCC)=C(C)N2
ZINC05947459	CC[NH+](CC)c1ccc(CN(C(=S)Nc2cc(C(F)(F)F)ccc2Cl)C(C)c2ccccc2)cc1
ZINC63514628	CCCCC(=O)C1C(=O)CC(c2ccccc2)C/C1=N\CCC1=c2cc(OCc3ccccc3)ccc2=[NH+]C1C
ZINC63514630	CCCCC(=O)C1C(=O)CC(c2ccccc2)C/C1=N\CCC1=c2cc(OCc3ccccc3)ccc2=[NH+]C1C
ZINC04881792	CCC(C)NC(=O)CCC(=O)Nc1ccc2[nH+]c(N3CC(C)CC(C)C3)cc(C)c2c1
ZINC07000350	Cc1ccc(-n2ncc(C(=O)Nc3cccc(Cl)c3C)c2C2CC[NH2+]CC2)cc1C
ZINC07000417	Cc1cc(C)cc(NC(=O)c2cnn(-c3ccc(C)c(Cl)c3)c2C2CC[NH2+]CC2)c1
ZINC07000511	CCc1ccc(NC(=O)c2cnn(-c3cccc(Cl)c3C)c2C2CC[NH2+]CC2)cc1
ZINC07000514	Cc1ccc(C)c(NC(=O)c2cnn(-c3cccc(Cl)c3C)c2C2CC[NH2+]CC2)c1
ZINC09227319	CCc1cccc(NC(=O)c2cnn(-c3ccc(C)c(Cl)c3)c2C2CC[NH2+]CC2)c1
ZINC09227476	CCc1cccc(NC(=O)c2cnn(-c3cccc(Cl)c3C)c2C2CC[NH2+]CC2)c1
ZINC09639754	Cc1ccc(NC(=O)c2cnn(-c3ccc(C)c(Cl)c3)c2C2CC[NH2+]CC2)cc1C
ZINC09910342	O=C(C[NH2+]C(c1ccccc1)c1cccs1)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1
ZINC11775212	COc1ccc(C[NH+]2CCNC(=O)C2CC(=O)NC23CC4CC(CC(C4)C2)C3)cc1C
ZINC12452132	Cc1ncsc1CCC[NH2+]C1CCN(c2ccc(NC(=O)C3CCCC3)cc2)CC1
ZINC12635575	CC[NH+]1CCCC1CN(Cc1cc2ccc(C)c(C)c2[nH]c1=O)C(=S)Nc1ccc(C)cc1C
ZINC12628809	Cc1cc(C)cc(NC(=O)C([NH2+]C(C)c2ccc(-n3ccnc3)cc2)c2ccccc2)c1
ZINC12628815	Cc1cc(C)cc(NC(=O)C([NH2+]C(C)c2ccc(-n3ccnc3)cc2)c2ccccc2)c1
ZINC03570863	C[NH+](CC(=O)Nc1ccccc1Cl)C(C(=O)Nc1ccc(F)cc1)c1ccccc1
ZINC15144247	CC(C(=O)Nc1sc2c(c1C#N)CCCCC2)[NH+](C)CC(=O)Nc1ccccc1Br
ZINC19520774	CCC1CC(C(F)(F)F)n2nc(C3CCC[NH+]3Cc3cn[nH]c3C(C)(C)C)cc2N1
ZINC20807961	Cc1cccc(NC(=O)CN2CC[NH+](C(C)C(=O)NC34CC5CC(CC(C5)C3)C4)CC2)c1C
ZINC20857676	Cc1ccc(NC(=O)c2cnn(-c3ccc(C)c(Cl)c3)c2C2CC[NH2+]CC2)c(C)c1
ZINC13561632	O=C(C[NH+]1C2CCC1CC(O)(c1ccccc1F)C2)Nc1cccc(Cl)c1Cl
ZINC29904881	COc1ccccc1NC(=O)C1CC[NH+](C(C)C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)CC1
ZINC35337727	CNC(=O)C1=C(C)[NH+]=C2SCCCN2C1c1ccc(NC(=O)c2ccc(Cl)cc2Cl)cc1
ZINC35337731	CNC(=O)C1=C(C)[NH+]=C2SCCCN2C1c1ccc(NC(=O)c2ccc(Cl)c(Cl)c2)cc1
ZINC35779752	Cc1ccc(NC(=O)C(C2CCCC2)[NH+]2CCN(C(=S)Nc3ccc(F)cc3)CC2)cc1
ZINC35998746	NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=[NH+]CCCN12
ZINC37867292	CCC(C)NC(=O)CCC(=O)Nc1ccc2[nH+]c(N3CC(C)CC(C)C3)cc(C)c2c1
ZINC38547067	CCc1cc(C(Nc2cc(C)cc[nH+]2)c2ccncc2)c(NC(=O)c2ccccc2)s1
ZINC38547724	Cc1cc[nH+]c(NC(c2cccs2)c2c(NC(=O)c3ccco3)sc(C)c2C)c1
ZINC38547941	CCc1cc(C(Nc2cccc(C)[nH+]2)c2cccs2)c(NC(=O)c2ccco2)s1
ZINC38547945	CCc1cc(C(Nc2cc(C)cc[nH+]2)c2ccsc2)c(NC(=O)c2ccco2)s1
ZINC39399201	CC1=C(CC[NH2+]CC2=CN(c3ccc(F)cc3F)NC2c2ccccc2C)C(C)N=N1
ZINC39399206	CC1=C(CC[NH2+]CC2=CN(c3ccc(F)cc3F)NC2c2ccccc2C)C(C)N=N1
ZINC39745069	O=C(NCc1ccccc1)c1ccccc1NC(=O)C1CC[NH+](Cc2c(F)cccc2Cl)CC1
ZINC43222853	CC(NC(=O)C1C[NH2+]CC1C(=O)N(Cc1ccccc1)Cc1ccccc1)C1CCCCC1
ZINC58145965	CN(C(=O)c1cccc(NC(=O)NCC(C2CCCCC2)[NH+](C)C)c1)c1ccccc1
ZINC59199489	CCc1cccc(C)c1NC(=S)N(Cc1ccc(C)o1)C1CC(C)(C)[NH2+]C(C)(C)C1
ZINC13728775	CCOc1cc(C[NH2+]C23CC4CC(CC(O)(C4)C2)C3)cc(Br)c1OCC
ZINC63122367	Cc1ccc(Nc2nnc(SCC(=O)NCCC3=c4ccccc4=[NH+]C3)s2)cc1
ZINC38558310	O=C(NCC(O)c1ccccc1)C1=CC2=c3ccccc3=[NH+]C2C(c2cccc(Br)c2)=N1
ZINC38558313	O=C(NCC(O)c1ccccc1)C1=CC2=c3ccccc3=[NH+]C2C(c2cccc(Br)c2)=N1
ZINC63547063	Cc1ccc(C2=NC3C(C(=O)NCCC4=c5cc(Cl)ccc5=[NH+]C4)=CNN3C(C(F)F)=C2)cc1
ZINC63567331	CC1=C(C(=O)NCCC2=c3ccccc3=[NH+]C2)C(n2cccc2)N(c2ccc(C)cc2)N1
ZINC63818945	CC1=C(CCC(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2Cl)C(C)ON1
ZINC63818947	CC1=C(CCC(=O)NCC(C2=c3ccccc3=[NH+]C2)c2ccccc2Cl)C(C)ON1
ZINC64353859	CC(NC(=O)C(C)(C)C)C(=O)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl
ZINC64353861	CC(NC(=O)C(C)(C)C)C(=O)NCC(C1=c2ccccc2=[NH+]C1)c1ccccc1Cl
ZINC65074720	Cc1ccccc1CNC1=[NH+]CCNC12CCN(S(=O)(=O)c1ccc(C(C)(C)C)cc1)CC2
ZINC02350561	Clc1cc(Cl)c2c(c1)Sc1cc(Cl)cc(Cl)c1N2
ZINC01049461	CC(NC(=O)c1ccccc1Br)C1C2CC3CC(C2)CC1C3
ZINC01722543	FC(F)(F)c1cccc(Nc2ccc3cnc4ccccc4c3c2)c1
ZINC05028108	CC(NC(=O)C12CC3CC(CC(C3)C1)C2)c1ccc(Br)cc1
ZINC01635889	c1ccc(C(C2=Nc3cccc4cccc(c34)N2)c2ccccc2)cc1
ZINC06242275	O=C(Nc1ccc(Cl)cc1Cl)C1(c2ccccc2)CC1(Cl)Cl
ZINC20371575	Cc1ccc(NC(C)c2cc3cc(Br)ccc3o2)c(F)c1
ZINC20430551	CC(Nc1ccc(F)cc1Br)c1cccc(Br)c1
ZINC20505523	Cc1cc(C(C)Nc2c(Cl)cc(Br)cc2Cl)c(C)s1
ZINC20505572	Cc1ccc(C(C)Nc2c(Cl)cc(Br)cc2Cl)s1
ZINC20505778	Clc1ccccc1CNc1c(Cl)cc(Br)cc1Cl
ZINC21009758	CC(Nc1ccc(Br)cc1F)c1cc(Cl)ccc1Cl
ZINC21019595	CC(Nc1ccc(Br)cc1F)c1ccc(Cl)cc1Cl
ZINC21511679	CC(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1Cl
ZINC21809932	CC(C)(C)C1CCC(Nc2ccc(Br)cc2F)CC1
ZINC22149983	CC(Nc1ccc(Cl)c(Cl)c1)c1ccc2c(c1)CCCC2
ZINC22152091	Cc1cc(Br)ccc1NC(C)c1ccccc1Cl
ZINC35255774	Clc1ccccc1CNc1ccc(I)cc1Cl
ZINC35286377	CC(Nc1cccc(I)c1)c1ccc(Cl)s1
ZINC35286379	CC(Nc1ccccc1I)c1ccc(Cl)s1
ZINC36751217	CC(Nc1cc(Br)ccc1F)c1ccc(Cl)cc1Cl
ZINC36841507	Cc1ccccc1C1CC(Nc2cc(Cl)c(Cl)cc2Cl)C1
ZINC36841643	Fc1cccc(C2CC(Nc3ccc(Br)cc3F)C2)c1
ZINC36954538	N#Cc1ccc(Cl)cc1NC1CC(c2cccc(Br)c2)C1
ZINC36956921	Cc1ccc(C(C)Nc2ccc(Br)cc2Br)s1
ZINC37055677	Cc1ccc(NC(C)c2ccc3c(c2)CCC3)cc1I
ZINC37055899	Cc1ccc(NC(C)c2c(F)cccc2F)cc1I
ZINC37057318	Cc1cc(I)ccc1NC(C)c1cc(F)ccc1F
ZINC37101624	CC(Nc1ccc(Cl)c2ncccc12)c1ccccc1Br
ZINC37105189	Cc1ccc(CNc2ccc(I)cc2Cl)c(C)c1
ZINC37139479	CC1CC(Nc2cc(Br)ccc2N(C)C)CC(C)(C)C1
ZINC37196862	CC(Nc1ccc(Cl)cc1Cl)c1ccc(F)cc1Cl
ZINC37197009	Cc1cc(Br)ccc1NC1CCC2CCCCC2C1
ZINC37202819	CC(Nc1ccc(Cl)cc1)c1ccc(I)cc1
ZINC37206886	Clc1ccc2sc(Nc3ccc(Br)cc3Cl)nc2c1
ZINC37210773	CC(Nc1ccccc1Cl)c1ccc(I)cc1
ZINC37252861	Fc1cccc2c1SCCC2Nc1ccc(Br)cc1Cl
ZINC37272754	Clc1ccc2scnc2c1NC1CCC2CCCCC2C1
ZINC37272756	Clc1ccc2scnc2c1NC1CCC2CCCCC2C1
ZINC37297303	CC(Nc1ccc(Cl)cc1F)c1ccc(F)c(Br)c1
ZINC37305668	Cc1ccc(Br)cc1NC1CCSc2ccc(Cl)cc21
ZINC37305669	Cc1ccc(Br)cc1NC1CCSc2ccc(Cl)cc21
ZINC37314823	COC1CCCCC1Nc1cc(Br)ccc1Br
ZINC37318293	CN(C)c1ccc(Br)cc1NC1CCC2CCCCC2C1
ZINC00840272	CC1C2c3ccccc3C(c3ccccc32)C1C(=O)Nc1ccccc1Cl
ZINC15800099	O=C(Nc1cccc(Cl)c1)C1C2CC/C=C\CC/C=C/CCC21
ZINC39978527	CC(NC(=O)c1cc(Cl)ccc1Cl)c1ccc2c(c1)CCCC2
ZINC41054687	Cc1cc(Br)ccc1Nc1ccnc2ccc(C(F)(F)F)cc12
ZINC43198469	Cc1cc(C)cc(NC(=O)C2C3CC/C=C\CC/C=C\CCC32)c1
ZINC22762808	O=C(NC1CCCCC1C(F)(F)F)C12CC3CC(CC(C3)C1)C2
ZINC01440479	O=C1CC(c2ccccc2)CC2=C1C(c1cccs1)Nc1ccc3ncccc3c12
ZINC04735590	O=C(Nc1ccc(Cl)cc1)N1CCSC1c1cccc(Cl)c1Cl
ZINC04735592	O=C(Nc1ccc(Cl)cc1)N1CCSC1c1cccc(Cl)c1Cl
ZINC05379431	CC(C)(O)C#CCC1CC2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
ZINC05568462	O=C(Nc1cc(Cl)c(Cl)cc1Cl)c1cccc(Br)c1
ZINC07503369	O=c1[nH]c(/C(Cl)=C/c2ccc(F)c(F)c2)nc2sc3c(c12)CCCC3
ZINC01293572	Cc1ccc(C2Nc3ccccc3N=C3CC(c4ccccc4F)CC(=O)C32)cc1
ZINC01293573	Cc1ccc(C2Nc3ccccc3N=C3CC(c4ccccc4F)CC(=O)C32)cc1
ZINC01214289	O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1I
ZINC01127678	CC1CCc2c(sc(NC(=O)c3cccc4c(Br)cccc34)c2C#N)C1
ZINC06572486	Cc1cc(I)cnc1NC(=O)c1ccc(Cl)cc1Cl
ZINC14162488	CC1CC2(CCCC2)N2C(=O)C3(Nc4ccccc4S3)c3cc(F)cc1c32
ZINC15008297	O=C(Nc1ccc(Br)cc1F)c1ccc(Br)s1
ZINC15318594	O=C(Nc1ccccc1Br)c1nc(Cl)c(Cl)c(Cl)c1Cl
ZINC18913769	O=c1[nH]c(/C(Cl)=C/c2cc(Br)cs2)nc2ccc(Cl)cc12
ZINC20505631	Clc1cc(Br)cc(Cl)c1NC1CCSc2ccccc21
ZINC20525806	CC1(C)CCC(Nc2ccccc2I)c2ccccc21
ZINC20525807	CC1(C)CCC(Nc2ccccc2I)c2ccccc21
ZINC20882530	O=C1CC(c2cccc(Cl)c2)C2=C(CC(c3ccc(Cl)c(Cl)c3)CC2=O)N1
ZINC21271193	O=C(Nc1c(F)cc(F)cc1Br)c1ccc(Br)s1
ZINC24717759	O=c1nc(/C(Cl)=C/c2cc(Br)ccc2F)[nH]c2sc3c(c12)CCC3
ZINC31674191	O=C(Nc1ccc(Br)cc1F)c1ccc(F)cc1I
ZINC35286979	CCC1CS/C(=N\c2c(Br)cc(Br)cc2Br)N1
ZINC36945940	O=C(c1cc(F)ccc1Br)c1c[nH]c2ccc(Br)cc12
ZINC37206622	Brc1cccc(Nc2nc3cc(Br)ccc3s2)c1
ZINC37247652	Clc1ccc2c(c1)C(Nc1ccc(I)cc1)CCS2
ZINC37248089	Clc1cc(Cl)c2c(c1)C(Nc1cccc(I)c1)CCO2
ZINC37252871	Clc1ccc2c(c1)C(Nc1ccc(Br)cc1Cl)CCS2
ZINC37313773	Fc1cccc2c1SCCC2Nc1ccc(I)cc1Cl
ZINC37314778	Fc1cccc2c1SCCC2Nc1cc(Br)ccc1Br
ZINC37987888	O=C(Nc1ccc(I)cc1Cl)c1cnc(Cl)c(Cl)c1
ZINC05636375	N#C/C(C(=O)c1ccccc1I)=C1\Nc2ccccc2S1
ZINC36704118	O=C(Nc1cccc(F)c1)c1cc(Br)ccc1I
ZINC39851916	Cc1c(C(=O)Nc2ccc(Cl)c(Cl)c2)oc2c1C1(CCC2)SCCS1
ZINC40260978	OC(c1cc(F)ccc1Br)c1cc(Br)sc1Br
ZINC40261076	OC(c1cc(Cl)ccc1F)c1cc(Br)sc1Br
ZINC40261128	OC(c1ccccc1Br)c1cc(Br)sc1Br
ZINC40289561	O=C1Cc2cc(C(Br)c3ccc(Cl)cc3F)c(Cl)cc2N1
ZINC40289620	O=C1Cc2cc(C(Br)c3ccc(Br)s3)c(Cl)cc2N1
ZINC40941040	OC(c1ccc(Cl)cc1Cl)c1ccccc1I
ZINC42418506	O=C(Nc1cc(Br)ccc1F)c1ccccc1I
ZINC42434764	O=C(Nc1c(Cl)ccc2scnc12)c1cccc(I)c1
ZINC46076679	O=C1CC(c2ccc(F)c(Br)c2)c2scc(-c3ccccc3F)c2N1
ZINC53097479	Cc1cc(Br)c(/N=C2/NC3(CCCCC3)CS2)c(Br)c1
ZINC53098460	Cc1cc(Br)c(/N=C2/NC3(CCCC(C)C3)CS2)c(Br)c1
ZINC51004117	CC(C)=CC[NH+]1Cc2c(I)ccc3nc([S-])n(c23)CC1C
ZINC54213753	OC(c1cc(Br)sc1Br)c1cccc(F)c1F
ZINC57313269	Cc1cc(NC(=O)c2ccc(Br)o2)cc(C)c1I
ZINC61693022	O=C(Nc1cc(Br)ccc1Cl)c1cccc(Br)c1
ZINC65537195	O=C(Nc1cc(Br)ccc1I)C1CC2CCC1C2
ZINC03991827	COC(=O)c1ccc(C2(C)Nc3ccc(S(=O)(=O)Nc4c(C)cccc4C)cc3C3C=CCC32)cc1
ZINC09301866	CC1=C(C(=O)Nc2ccccc2C)C(c2ccccc2)C(C#N)C(SCC(=O)Nc2cccc(C)c2)=N1
ZINC09448584	Cc1ccc(NC(=O)CSc2nnc3c4c(c(C#N)c(Nc5ccc(C)cc5)n23)CC(C)(C)OC4)cc1
ZINC01394788	O=C(Nc1cccc([N+](=O)[O-])c1)Nc1cnn(-c2c(Cl)cc(Cl)cc2Cl)c1-c1ccccc1
ZINC09264242	O=C1CC(c2ccco2)CC2=C1C(c1ccc(Cl)cc1)N(C(=O)Nc1ccccc1)c1ccccc1N2
ZINC13655207	Cc1c/c(=N\NC(=O)C2CCC(CNC(=O)OC(C)(C)C)CC2)oc2cc3c(cc12)CCC1(CCCCC1)O3
ZINC13655207	Cc1c/c(=[NH+]\NC(=O)C2CCC(CNC(=O)OC(C)(C)C)CC2)oc2cc3c(cc12)CCC1(CCCCC1)O3
ZINC16432240	CCN(CC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1Cl)C(=O)Nc1cccc(Cl)c1Cl
ZINC16434600	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)CN(C(=O)Nc2cccc(Cl)c2Cl)C(C)C)cc1
ZINC16434602	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)CN(C(=O)Nc2ccc(Cl)cc2Cl)C(C)C)cc1
ZINC16434984	CCN(CC(=O)Nc1cc(C(C)(C)C)nn1-c1ccc(C)cc1)C(=O)Nc1cccc(Cl)c1Cl
ZINC16571458	O=C(NC(Cc1ccccc1)C(=O)Nc1nnc(-c2ccc(Br)cc2)s1)C1CCCCC1
ZINC00673515	CC1=C(C(=O)Nc2ccc(C)cn2)C(c2ccc(-c3cccc(Cl)c3)o2)C2=C(CC(C)(C)CC2=O)N1
ZINC20158030	C/C(=N\NC(=O)C1c2ccccc2Oc2ccccc21)c1ccc(NC(=O)c2ccc(Cl)s2)cc1
ZINC20181751	CC1(C)CC(=O)C2=C(C1)Nc1nc(SCc3cccc(Cl)c3)nc([O-])c1C2c1ccc([N+](=O)[O-])cc1
ZINC20385816	Cc1ccc(CN2C(=O)CSc3ccc(NC(=O)N=c4c5ccccc5[nH]c5ccccc45)cc32)cc1
ZINC02963249	CCOc1ccc(N2C(=S)NC3c4cc(Cl)ccc4OC2(C)C3C(=O)Nc2ccc(C)cc2C)cc1
ZINC21228734	CCOc1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)cc1Cl
ZINC21240477	COc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(C(C)(C)C)cc2)C3)ccc1OC(C)=O
ZINC21243077	CCOc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2ccc(Cl)c([N+](=O)[O-])c2)cc1OC
ZINC27521966	O=C(Nc1cc(Cl)cc(Cl)c1)/C(=C/c1cccc([N+](=O)[O-])c1)NC(=O)c1ccc(F)cc1Cl
ZINC13529860	CN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3cccc(Br)c3)c2C2CCCCC2)cn1
ZINC33267258	Cc1cc2nc(CSc3nc4ccc(NC(=O)Nc5ccc(C)c(Cl)c5)cc4s3)cc(=O)n2o1
ZINC33267261	Cc1ccc(NC(=O)Nc2ccc3nc(SCc4cc(=O)n5oc(C)cc5n4)sc3c2)c(Cl)c1
ZINC33379079	Cc1cc2nc3c(nc2cc1C)C1(C(=O)NNC(=O)c2ccccc2Br)CCC3(C)C1(C)C
ZINC33446777	Cc1ccccc1CSc1nnc(CNC(=O)Nc2cccc(Cl)c2)n1-c1cc(Cl)ccc1C
ZINC33668593	Cc1ccc(NC(=O)NCc2nnc(SCc3ccccc3C)n2-c2ccc(Cl)cc2Cl)cc1
ZINC34786424	Cc1cc(C)n(-c2nc(N(Nc3ccccc3)Nc3ccccc3C)c3c4c(sc3n2)COC(C)(C)C4)n1
ZINC35143383	CC(C)N(CC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1)C(=O)Nc1ccc(Br)cc1
