ZINC13807919	C[NH2+]C[C@H](O)c1cc(O)c(O)cc1F
ZINC25585576	CC(=O)Nc1ccc(/C=C/C(=O)c2s/c(=N\C(=S)NC(=O)c3ccccc3Cl)[nH]c2C)cc1
ZINC33604783	CCc1cccc(CC)c1N1C(=O)[C@H]2[C@@H](c3cc(C)c(O)c(C)c3)[NH2+][C@@](CC3CCCCC3)(C(=O)[O-])[C@@H]2C1=O
ZINC35929056	COc1ccc(-c2nc(NCc3ccc4c(c3)OCO4)nc3nn(Cc4ccccc4)c(N)c23)c(F)c1
ZINC36483167	CC(C)(C)CC(C)(C)NC(=O)[C@H](c1ccc(O)cc1)N(C(=O)c1ccccc1O)c1cccc(Cl)c1
ZINC36484915	CC(C)(C)CC(C)(C)NC(=O)[C@@H](c1ccccc1)N(C(=O)c1c(O)cccc1O)c1cccc(Cl)c1
ZINC36485137	CC(C)(C)NC(=O)[C@H](c1ccc([N+](=O)[O-])cc1)N(C(=O)c1cccc(O)c1O)c1cccc(Cl)c1
ZINC36485179	CN(C)c1ccc([C@H](C(=O)NC(C)(C)C)N(C(=O)c2cccc(O)c2O)c2cccc(Cl)c2)cc1
ZINC36545447	CC(C)(C)NC(=O)[C@@H](c1ccc([N+](=O)[O-])cc1)N(C(=O)c1cccc(O)c1O)c1ccccc1Cl
ZINC36586996	CC(C)(C)N(C(=O)c1cccc(O)c1O)[C@@H](C(=O)NC1CCCCC1)c1cc([N+](=O)[O-])ccc1Cl
ZINC36597556	Cc1ccc(CN(C(=O)c2c(O)cccc2O)[C@@H](C(=O)NC(C)(C)C)c2c(Cl)cccc2Cl)o1
ZINC38935909	CN1C[C@H](/C=C(/NC(=O)c2ccccc2Cl)C(=O)NCCc2c[nH]c3ccccc23)c2ccccc21
ZINC39920038	Cc1cc(Cl)ccc1OCCCC(=O)NN1C(=O)c2cc(Cl)ccc2N[C@H]1c1ccc(O)cc1
ZINC40427932	Cc1cc(C)cc(OCc2nc(C(=O)N[C@H]3CCCC[C@H]3NC(=O)Nc3ccc(C)cc3C)cs2)c1
ZINC40587507	Cc1cc([C@H](C#N)c2ccc(Cl)cc2)c(Cl)cc1Nc1ncnc(NNC(C)(C)C)c1[N+](=O)[O-]
ZINC40650223	O=C(NNc1ncnc(Nc2ccc(Cl)cc2Cl)c1[N+](=O)[O-])C(c1ccccc1)c1ccccc1
ZINC40688825	COc1ccccc1Oc1ncnc(Nc2cc(Cl)c([C@@H](C#N)c3ccc(Cl)cc3)cc2C)c1N
ZINC40853794	CCOC(=O)c1c(NC(=O)N/N=C\c2cc(Br)c(O)c(OC)c2)sc2c1CCCC2
ZINC41006525	CCOc1ccc([C@H]2[C@@H](C(=O)Nc3ccccc3C)C(=O)C[C@@](C)(O)[C@@H]2C(=O)Nc2ccccc2C)cc1
ZINC45726807	Nn1c(SC[C@@H](O)COc2ccc(-c3ccccc3)cc2)nnc1-c1ccccc1Br
ZINC09968532	CCc1ccc(-n2nc(C)c([C@H](c3ccccc3O)c3c(C)[nH]n(-c4ccc(CC)cc4)c3=O)c2O)cc1
ZINC01296503	CC1=C(C(=O)Nc2ccccc2C)[C@@H](c2cccs2)C(C#N)=C(SCC(=O)Nc2cccc(Br)c2)N1
ZINC36610290	CC(C)(C)NC(=O)[C@@H](C(c1ccccc1)c1ccccc1)N(C(=O)c1cccc(O)c1O)c1ccccc1
ZINC36610459	CC(C)(C)CC(C)(C)NC(=O)[C@H](c1ccc(Cl)cc1)N(C(=O)c1cccc(O)c1O)c1ccccc1
ZINC57315858	COc1ccc(C(=O)NC(=S)Nc2cccc3c(Cl)c(C(=O)NC(C)(C)C)sc23)c(OC)c1
ZINC22836020	CCCC(=O)Nc1nc2ccc(NC(=S)NC(=O)c3cc(Br)ccc3Cl)cc2s1
ZINC58966450	C[C@H]1CCc2c(sc(NC(=O)[C@@H](C)Sc3nc(-c4ccco4)cc(C(F)(F)F)n3)c2C(N)=O)C1
ZINC59461865	Cc1ccc(-c2csc(-n3[nH]c(-c4ccccc4)c([C@@H](c4ccccc4)[C@H](C#N)C(N)=O)c3=O)n2)cc1
ZINC59462511	Ic1ccc(/C=N/Nc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)cc1
ZINC20152614	COc1ccc(Br)cc1C(=O)NC(=S)Nc1ccc(-c2ccc(CO)o2)c(Cl)c1
ZINC64870860	O=c1[nH]c2cc([C@H]3N[C@H](c4ccc(C(F)(F)F)cc4)NO3)ccc2c(=O)n1CCCc1ccccc1
ZINC02520153	O=C(N/N=C/c1ccc(OC(=O)c2cccs2)cc1)C(=O)Nc1ccccc1C(=O)Nc1ccccc1
ZINC04288158	CCOC(=O)[C@H]1[C@H](c2ccc(Cl)c([N+](=O)[O-])c2)[C@@H](C(=O)OCC)[C@@](O)(C(F)(F)F)N[C@@]1(O)C(F)(F)F
ZINC02300758	CNC(=O)COc1ccc(Nc2nnc(-c3ccc(C)c(S(=O)(=O)NC(C)(C)CO)c3)c3ccccc23)cc1
ZINC02663320	CC(=O)c1cccc(S(=O)(=O)NCCC(=O)NC[C@@H](c2ccccc2Cl)c2c[nH]c3ccccc23)c1
ZINC02640118	Cc1ccc(C)c(NC(=S)NNC(=O)c2ccc(NS(=O)(=O)c3cc(Cl)sc3Cl)cc2)c1
ZINC06481029	CCCCOc1ccc(N(C(=O)c2snc(C(N)=O)c2N)[C@@H](CC(C)C)C(=O)NC2CCCC2)cc1
ZINC02178218	Cc1cccc(NC(=O)C(=O)N/N=C/c2ccccc2OCC(=O)Nc2cccc(C(F)(F)F)c2)c1C
ZINC02264170	Cc1ccc(-c2c(C(=O)N/N=C/c3ccc(OCc4ccc(F)cc4)cc3)nnn2-c2nonc2N)cc1
ZINC13101860	CCOc1ccc(NC(=S)N/N=C/c2ccc(OCC(=O)Nc3c(C)cc(C)cc3C)c(OC)c2)cc1
ZINC01126515	CCOC(=O)[C@@H](C)Oc1cc(Cl)c([C@H]2NC(=S)NC(C)=C2C(=O)Nc2cccc(C)c2)cc1OC
ZINC01126517	CCOC(=O)[C@H](C)Oc1cc(Cl)c([C@H]2NC(=S)NC(C)=C2C(=O)Nc2cccc(C)c2)cc1OC
ZINC08569255	CCOc1cc([C@@H]2C(C#N)=C(N)Oc3[nH]nc(-c4ccc(OC)cc4)c32)ccc1OC(=O)c1cccs1
ZINC19923958	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCNC(=O)c2ccccc2O)[C@H]1c1ccc([N+](=O)[O-])s1
ZINC20347587	CCc1ccccc1NC(=O)CSC1=C(C#N)[C@H](c2ccco2)C(C(=O)Nc2c(C)cccc2C)=C(C)N1
ZINC12250165	CCc1ccc(NC(=O)C2=C(C)NC(SCC(=O)Nc3ccccc3CC)=C(C#N)[C@@H]2c2ccco2)cc1
ZINC20478719	O=C(CSc1n[nH]c(N/N=C/c2ccc(COc3ccc(F)cc3)o2)n1)N[C@H]1[C@@H]2C[C@H]3C[C@@H](C2)C[C@@H]1C3
ZINC20837807	Cc1ccccc1NS(=O)(=O)c1ccc(NC(=O)CSc2n[nH]c(NN=C3CCCCCC3)n2)cc1
ZINC20908164	CCOC(=O)c1c(NC(=O)CCSc2n[nH]c(N/N=C/c3ccc(C)cc3)n2)sc2c1CCCC2
ZINC20913040	Nn1c(N/N=C/c2cccc3ccccc23)nnc1SCCC(=O)Nc1ccc(OC(F)(F)F)cc1
ZINC10059719	COc1ccc2[nH]cc(CCN/C(=N\C(=O)/C=C/c3ccc(OC)c(OC)c3)Nc3nc(C)cc(C)n3)c2c1
ZINC33748685	COCCOC(=O)C1=C(C)N(C)C(=S)N[C@@H]1c1cccc(NC(=O)Nc2cccc(Cl)c2Cl)c1
ZINC35709891	CC1=C(C(=O)Nc2ccccc2C)[C@@H](c2ccc(Cl)cc2)N2C(/C=C(\[O-])NCC[NH+](C)C)=CSC2=N1
ZINC35729763	COCCOC(=O)C1=C(C)N(C)C(=S)N[C@@H]1c1cccc(NC(=O)Nc2cccc(C(F)(F)F)c2)c1
ZINC35729764	COCCOC(=O)C1=C(C)N(C)C(=S)N[C@H]1c1cccc(NC(=O)Nc2ccccc2C(F)(F)F)c1
ZINC35729765	COCCOC(=O)C1=C(C)N(C)C(=S)N[C@@H]1c1cccc(NC(=O)Nc2ccccc2C(F)(F)F)c1
ZINC36559604	CCCN(C(=O)/C(=C\c1ccccc1)c1ccccc1)[C@H](C(=O)NC1CCCCC1)c1c(O)cc(O)cc1O
ZINC36586587	Cc1ccc(S(=O)(=O)CNC(=O)[C@@H](C2CCCCC2)N(C(=O)c2c(O)cccc2O)C(C)(C)C)cc1
ZINC36586588	Cc1ccc(S(=O)(=O)CNC(=O)[C@H](C2CCCCC2)N(C(=O)c2c(O)cccc2O)C(C)(C)C)cc1
ZINC37624901	CCOC(=O)c1c(C)[nH]c(C(c2[nH]c(C)c(C(=O)OCC)c2C)c2c(C)[nH]c(C)c2C(=O)OCC)c1C
ZINC38661549	Cc1cccc(C)c1NC(=O)CS[C@@H]1N=N[C@@H]([C@H](Cc2c[nH]c3ccccc23)NC(=O)OC(C)(C)C)O1
ZINC39153037	CCOC(=O)[C@@H]1[C@@H](NC(=O)CSc2nc3ccc(C)cc3[nH]2)S[C@@H](C(=O)Nc2ccccc2)[C@H]1C
ZINC39710763	CCC(C)(C)N1NN=N[C@H]1[C@@H]([C@@H]1C=c2ccc(C)c(C)c2=[NH+]C1=O)[N@@H+](Cc1ccccc1)Cc1ccco1
ZINC40035633	CC[C@]1(C)Cc2ccccc2-c2nc(N/N=C/c3ccc(OCC(N)=O)cc3)n(-c3ccc(C)cc3)c(=O)c21
ZINC40035634	CC[C@@]1(C)Cc2ccccc2-c2nc(N/N=C/c3ccc(OCC(N)=O)cc3)n(-c3ccc(C)cc3)c(=O)c21
ZINC40173233	CCOC(=O)c1c(NC(=O)[C@H](C)n2c(N)nnc2SCc2ccccc2Cl)sc2c1CCCC2
ZINC40315792	CC(C)c1ccc(OC[C@@H](O)CNc2sc3c(c2C(=O)N[C@@H]2CCS(=O)(=O)C2)CC[C@H](C)C3)cc1
ZINC40315796	CC(C)c1ccc(OC[C@@H](O)CNc2sc3c(c2C(=O)N[C@H]2CCS(=O)(=O)C2)CC[C@H](C)C3)cc1
ZINC40626821	Cc1ccc2cccc(Nc3ncnc(NNC(=O)COc4ccc(Cl)cc4Cl)c3[N+](=O)[O-])c2n1
ZINC40986877	CCCCSc1nc2n(n1)[C@H](c1ccc(OCc3ccc(Cl)cc3Cl)cc1)C(C(N)=O)=C(C)N2
ZINC41006980	CCCCOc1ccccc1[C@@H]1[C@H](C(=O)Nc2ccccc2)C(=O)C[C@@](C)(O)[C@@H]1C(=O)Nc1ccccc1
ZINC41006986	CCCCOc1ccccc1[C@H]1[C@@H](C(=O)Nc2ccccc2)C(=O)C[C@@](C)(O)[C@@H]1C(=O)Nc1ccccc1
ZINC43554328	CCCCCC(=O)Nc1nc2c(s1)C[C@H]1[C@](C)(CC[C@@H](O)[C@@]1(C)CO)[C@@H]2CC(=O)N1CCC(C)CC1
ZINC01293754	COc1ccccc1NC(=O)C1=C(C)NC(SCC(=O)Nc2ccc(Br)cc2)=C(C#N)[C@@H]1c1ccc(C)o1
ZINC01425272	CCOC(=O)C1=C(CNc2ccc(I)cc2)NC(=O)N[C@@H]1c1cccc([N+](=O)[O-])c1
ZINC01812703	COC(=O)[C@@H](NC(=O)CONC1=CC[C@]2(C)C(=C1)CC[C@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@@]2(O)C(C)=O)c1ccccc1
ZINC01893002	COC(=O)[C@@](O)(c1ccc(NC(NC(=O)c2ccc(C)cc2)(C(F)(F)F)C(F)(F)F)c(OC)c1)C(F)(F)F
ZINC13976528	CCc1ccc(OCC(=O)NNC(=S)NC(=O)COc2cc(C)c(Br)cc2C(C)C)cc1
ZINC59513250	CCOC(=O)c1c(NC(=O)CSc2nc(N)cc(=O)n2-c2ccccc2)sc2c1CCCCCC2
ZINC20153071	O=C(NC(=S)Nc1cc(-c2ccc(CO)o2)ccc1Cl)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1
ZINC59941812	CCOC(=O)c1c(NC(=O)CSc2nc(=O)cc(N)n2-c2ccccc2)sc2c1CCCCCC2
ZINC04222317	COc1ccc(CC(=O)Nc2nc3c(s2)C[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]3CC(=O)N(C)Cc2ccccc2)cc1
ZINC00715183	COc1cccc(CNNC(=O)Cn2c(-c3nonc3N)nc3ccccc32)c1OCc1ccc(Cl)cc1Cl
ZINC03878230	O=C(Cc1cccc2ccccc12)N[C@@H](NC(=S)Nc1ccccc1[N+](=O)[O-])C(Cl)(Cl)Cl
ZINC06134077	CC(C)CCNC(=O)[C@@H](CC(C)C)N(C[C@H]1CCCO1)C(=O)c1snc(C(=O)NC2CCCCC2)c1N
ZINC06093385	O=S(=O)(Nc1ncccn1)c1ccc(-c2ccc(/C=N/NC(=S)Nc3cccc(Cl)c3)o2)cc1
ZINC02348652	Cc1ccc(-n2c(SCC(=O)N/N=C/c3ccc(O)c(O)c3)nnc2-c2ccc(C(C)(C)C)cc2)cc1
ZINC09696441	CCOCCOc1ccccc1C(=O)NC(=S)Nc1ccc(S(=O)(=O)Nc2c(C)cccc2C)cc1
ZINC09849757	O=C(CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)NNC(=O)CCC(=O)N(c1ccccc1)c1ccccc1
ZINC13138365	CCOC(=O)c1c(NC(=O)CSc2nnc(C3CCCCC3)n2N)sc(C)c1-c1ccc(C)cc1
ZINC02385453	Cc1ccc(NC(=O)CSc2nnc([C@H](Cc3c[nH]c4ccccc34)NC(=O)OC(C)(C)C)o2)c(C)c1
ZINC14157878	Cc1cc(C)nc(N/C(=N/C(=S)Nc2cccc(OC(F)(F)F)c2)NCc2ccc3c(c2)OCO3)n1
ZINC14647823	CCCOc1ccc(C(=O)NC(=S)NNC(=O)COc2cc(C)ccc2C(C)C)cc1Br
ZINC01126722	CCOC(=O)COc1c(OC)cc(Cl)cc1[C@@H]1NC(=S)NC(C)=C1C(=O)Nc1ccc(OC)cc1
ZINC12250144	CCc1cccc(C)c1NC(=O)C1=C(C)NC(SCC(=O)NC2CCCCC2)=C(C#N)[C@H]1c1ccco1
ZINC20347586	CCc1ccccc1NC(=O)CSC1=C(C#N)[C@@H](c2ccco2)C(C(=O)Nc2c(C)cccc2C)=C(C)N1
ZINC20826920	Nn1c(NN=C(Cc2ccccc2)Cc2ccccc2)nnc1SCC(=O)Nc1ccccc1[N+](=O)[O-]
ZINC20837767	O=C(CSc1n[nH]c(NN=C2CCCCCC2)n1)Nc1ccc(S(=O)(=O)NC2CCCCC2)cc1
ZINC20919364	Nn1c(NN=C(Cc2ccccc2)Cc2ccccc2)nnc1SCC(=O)N1CCc2ccccc2C1
ZINC21083168	C/C(=N\Nc1nc(SCCC(=O)Nc2ccc(I)cc2)n[nH]1)c1cccs1
ZINC35000156	CCCCNC(=O)N1CCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)COc2ccccc2)C[C@@H]1C
ZINC35000161	CCCCNC(=O)N1CCN(C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)COc2ccccc2)C[C@@H]1C
ZINC35729762	COCCOC(=O)C1=C(C)N(C)C(=S)N[C@H]1c1cccc(NC(=O)Nc2cccc(C(F)(F)F)c2)c1
ZINC35985970	Nc1nc(Cn2c(-c3ccc(Oc4cncnc4)cc3)ccc2-c2ccccc2Cl)ccc1OCCO
ZINC08758490	COc1ccc2c(CCN/C(=N\C(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)Nc3nc(C)cc(C)n3)c[nH]c2c1
ZINC36500729	CC(C)(C)NC(=O)[C@H](C(c1ccccc1)c1ccccc1)N(Cc1ccco1)C(=O)c1cccc(O)c1O
ZINC36541335	CCCCNC(=O)[C@H](c1c(O)cc(O)cc1O)N(C(=O)[C@@H](OC)c1ccccc1)c1ccccc1Cl
ZINC36586857	Cc1ccc(S(=O)(=O)CNC(=O)[C@@H](C2CCCCC2)N(C(=O)c2cccc(O)c2O)C(C)(C)C)cc1
ZINC36597507	Cc1ccc(CN(C(=O)c2c(O)cccc2O)[C@@H](C(=O)NC(C)(C)CC(C)(C)C)[C@@H](C)c2ccccc2)o1
ZINC36598998	CCCCNC(=O)[C@@H](c1cccc(O)c1)N(Cc1ccc(C)o1)C(=O)C(O)(c1ccccc1)c1ccccc1
ZINC36598999	CCCCNC(=O)[C@H](c1cccc(O)c1)N(Cc1ccc(C)o1)C(=O)C(O)(c1ccccc1)c1ccccc1
ZINC36599010	CCCCNC(=O)[C@@H](c1ccccc1O)N(Cc1ccc(C)o1)C(=O)C(O)(c1ccccc1)c1ccccc1
ZINC08829188	CC(=O)Nc1ccc(N(C(=O)Cc2c[nH]c3ccccc23)[C@H](C(=O)NC2CCCCC2)c2ccco2)cc1
ZINC38935716	CCOC(=O)[C@H]1[NH+]=c2ccc(OC)cc2=C1/N=N/[NH+]1CCC(C(O)(c2ccccc2)c2ccccc2)CC1
ZINC39395764	CCOC(=O)N1CCC2=C(C(=O)Nc3ccccc3OCC)[C@H](NCc3c[nH]c4ccccc34)S[C@@H]2C1
ZINC39710765	CCC(C)(C)N1NN=N[C@@H]1[C@@H]([C@@H]1C=c2ccc(C)c(C)c2=[NH+]C1=O)[N@@H+](Cc1ccccc1)Cc1ccco1
ZINC39966729	C=CCn1c(SCC(=O)Nc2sc(C(N)=O)c(C)c2C#N)nnc1-c1csc2c1CCCCC2
ZINC40174076	CC[C@H](C(=O)Nc1oc(-c2ccccc2)c(-c2ccccc2)c1C#N)n1c(N)nnc1SCC(=O)OC
ZINC40312465	CC(C)(C)[C@@H]1CCc2c(sc(NC[C@H](O)COc3ccccc3)c2C(=O)N[C@H]2CCS(=O)(=O)C2)C1
ZINC40315794	CC(C)c1ccc(OC[C@@H](O)CNc2sc3c(c2C(=O)N[C@H]2CCS(=O)(=O)C2)CC[C@@H](C)C3)cc1
ZINC41006605	CCCOc1ccc([C@H]2[C@@H](C(=O)Nc3ccccc3C)C(=O)C[C@@](C)(O)[C@@H]2C(=O)Nc2ccccc2C)cc1
ZINC41026024	CCOC(CNc1nc(Nc2sc3c(c2C(N)=O)CCCC3)c2cnn(-c3ccccc3)c2n1)OCC
ZINC01277969	COc1ccccc1NC(=O)C1=C(C)NC(SCC(=O)Nc2ccccc2C(F)(F)F)=C(C#N)[C@H]1c1ccc(C)o1
ZINC03281327	N#Cc1ccc(OCC(=O)NNC(=S)NC(=O)c2cc(-c3cccc(Br)c3)nc3ccccc23)cc1
ZINC36610133	CCC(CC)[C@H](C(=O)NCS(=O)(=O)c1ccc(C)cc1)N(C(=O)c1c(O)cccc1O)c1ccccc1
ZINC59014572	CCCCSc1nnc(NC(=O)CSc2n[nH]c(N/N=C/c3ccc(Cl)cc3Cl)n2)s1
ZINC09229866	O=C(/C=C/c1ccc([N+](=O)[O-])cc1)NC(=S)NNC(=O)COc1ccc(Br)cc1Cl
ZINC59795288	Cc1ccc(NS(=O)(=O)c2ccc(NC(=O)CSc3nc(-c4ccc(Cl)cc4)n[nH]3)cc2)cc1
ZINC59830651	COC(=O)c1c(NC(=O)CCSc2n[nH]c(N/N=C(\C)c3ccccc3O)n2)sc2c1CCCC2
ZINC59915190	CCC/C(C)=N/Nc1nnc(SCC(=O)Nc2nnc(SCc3ccc(Cl)cc3)s2)n1N
ZINC59942070	CCOC(=O)c1c(NC(=O)CSc2nc(=O)cc(N)n2-c2cccc(C)c2)sc2c1CCCCCC2
ZINC01808334	C=CCNC(=S)NNc1nc2c(c(=O)n1-c1ccccc1OC)C1(CCCCC1)Cc1ccccc1-2
ZINC09045229	CC(=O)[C@H]1CC[C@@H]2[C@H]3CCC4=C/C(=N\OCC(=O)NCCc5ccc(O)c(O)c5)CC[C@]4(C)[C@@H]3CC[C@]12C
ZINC09226619	COc1ccc([C@@H]2C(C(=O)Nc3ccccc3OC)=C(C)Nc3c(C(=O)Nc4cccc(C)c4)cnn32)cc1
ZINC09226711	COc1cccc([C@H]2C(C(=O)Nc3ccccc3)=C(C)Nc3c(C(=O)Nc4ccc(C)cc4)cnn32)c1OC
ZINC09849746	O=C(CCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)NNC(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
ZINC12369844	Cc1c(NC(=O)O/N=C(/N)c2ccc(OC(F)(F)F)cc2)sc2nc(-c3ccc(Cl)cc3)nn12
ZINC12500862	Cc1ccccc1C(=O)NC(=S)NNC(=O)COc1c(C)cc(Br)cc1Br
ZINC13978957	COc1ccc(C(=O)NC(=S)NNC(=O)c2ccc(C(C)(C)C)cc2)cc1I
ZINC14358647	COc1ccc(NS(=O)(=O)c2ccc(/C=C/C(=O)NNC(=O)[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cc2)cc1
ZINC14360403	O=S(=O)(Nc1ccccc1Cl)c1ccc(N2CCCC2)c(NC(=S)N[C@H]2C[C@H]3CC[C@@H]2C3)c1
ZINC14360857	O=S(=O)(Nc1ccc(Cl)cc1)c1cc(NC(=S)NC2CCCCC2)ccc1N1CCCCC1
ZINC16474637	CCOc1cc([C@@H]2NC(=O)NC(C)=C2C(=O)Nc2ccc(Br)cc2)cc(Cl)c1OCC#N
ZINC16610778	CCOC(=O)C1=C(C)N(C)C(=S)N[C@@H]1c1cccc(NC(=O)Nc2c(C(C)C)cccc2C(C)C)c1
ZINC16611017	CCOC(=O)C1=C(C)N(CC)C(=S)N[C@@H]1c1cccc(NC(=O)Nc2ccccc2C(F)(F)F)c1
ZINC16994316	COc1ccc(Nc2cc(C)nc(Nc3ccc(NS(=O)(=O)c4c(C)cc(C)cc4C)cc3)n2)cc1
ZINC17013820	Cc1cc(Nc2ccccc2)nc(Nc2ccc(NS(=O)(=O)c3ccc(-c4ccccc4)cc3)cc2)n1
ZINC09057655	CC1=C(C(=O)Nc2ccccc2C)[C@H](c2ccco2)C(C#N)=C(SCC(=O)Nc2cccc(Cl)c2)N1
ZINC20171818	CC1=C(C(=O)Nc2ccc(F)cc2)[C@H](c2ccco2)C(C#N)=C(SCC(=O)Nc2ccccc2C)N1
ZINC20218546	O=C(Nc1ccccc1)N1CCc2ccccc2[C@H]1C[C@@H](O)CNc1ncc(C(F)(F)F)cc1Cl
ZINC12250356	CC1=C(C(=O)Nc2ccccc2C)[C@@H](c2ccco2)C(C#N)=C(SCC(=O)Nc2c(C)cc(C)cc2C)N1
ZINC20831753	O=C(CCSc1n[nH]c(N/N=C/c2ccccc2)n1)Nc1nc2ccc(Br)cc2s1
ZINC21083003	C/C(=N\Nc1nc(SCC(=O)Nc2nc3ccc(Br)cc3s2)n[nH]1)c1cccs1
ZINC13030094	CC(C)Cn1c(N)c([C@@H](c2ccc(-c3ccccc3)s2)N2CCN(c3ccccc3)CC2)c(=O)[nH]c1=O
ZINC14671510	Cc1cc(C)nc(N/C(=N/C(=O)C(c2ccccc2)c2ccccc2)NCCc2c[nH]c3ccccc23)n1
ZINC30829676	Cc1cc(NC(=S)NC(=O)c2ccc(OC(C)C)cc2)cc(-c2nc3cc(C(C)C)ccc3o2)c1O
ZINC33058452	COc1ccc(S(=O)(=O)c2c(Nc3ccc(C)cc3)sc(C(=O)c3ccc(C)cc3C)c2N)cc1
ZINC33570945	C[C@H](C(=O)N/N=C\c1ccccc1)N1C(=O)N(c2ccccc2)[C@@H](N(O)C(=O)Nc2ccccc2)C1(C)C
ZINC33759525	CC(=O)Nc1ccc(/C=C/C(=O)c2s/c(=N\C(=S)NC(=O)c3ccc([N+](=O)[O-])cc3)[nH]c2C)cc1
ZINC12572764	Cc1cc(Br)cc(Br)c1OCC(=O)NC(=S)NNC(=O)C1CCCCC1
ZINC36358850	COc1ccc(-c2nc3c(s2)C[N@H+]([C@@H](C(=O)[O-])c2c[nH]c4cc(NC(=O)C(C)C)ccc24)CC3)cc1
ZINC36483159	CC(C)(C)CC(C)(C)NC(=O)[C@H](c1cccc(O)c1)N(C(=O)c1ccccc1O)c1cccc(Cl)c1
ZINC36545419	CC(C)(C)CC(C)(C)NC(=O)[C@@H](c1ccccc1)N(C(=O)c1cccc(O)c1O)c1ccccc1Cl
ZINC36597619	Cc1ccc(CN(C(=O)c2c(O)cccc2O)[C@@H](C(=O)NC2CCCCC2)c2ccc(N(C)C)cc2)o1
ZINC36597703	Cc1ccc(CN(C(=O)c2cccc(O)c2O)[C@@H](C(=O)NC(C)(C)CC(C)(C)C)c2ccccc2C)o1
ZINC16951865	COc1ccc(/C=C(/NC(=O)c2ccccc2)C(=O)NN/C(C)=C2/C=C(Cl)C=CC2=O)cc1[N+](=O)[O-]
ZINC39867310	Cc1ccc2[nH]c(-c3ccc4ccccc4n3)c(CCCC(=O)NNC(=O)c3ccccc3[N+](=O)[O-])c2c1
ZINC40173060	C[C@H](C(=O)Nc1nc(-c2ccc(Cl)cc2)cs1)n1c(N)nnc1SCc1ccccc1Cl
ZINC40427933	Cc1cc(C)cc(OCc2nc(C(=O)N[C@H]3CCCC[C@@H]3NC(=O)Nc3ccc(C)cc3C)cs2)c1
ZINC40467054	CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)cc1
ZINC40626812	Cc1ccc2cccc(Nc3ncnc(NNC(=O)C(c4ccccc4)c4ccccc4)c3[N+](=O)[O-])c2n1
ZINC40646726	O=C(NNc1ncnc(Nc2cccc(Cl)c2Cl)c1[N+](=O)[O-])C(c1ccccc1)c1ccccc1
ZINC40662100	Cc1cc([C@H](C#N)c2ccc(Cl)cc2)c(Cl)cc1Nc1ncnc(N(C)Cc2ccccc2)c1N
ZINC40730042	Nc1c(Nc2ccc(C(F)(F)F)cc2)ncnc1N1CCN(C(c2ccccc2)c2ccccc2)CC1
ZINC43221516	CCc1cccc(CC)c1N1C(=O)[C@H]2[C@H](c3cccc(OC)c3O)[NH2+][C@](C(=O)[O-])(c3ccccc3)[C@@H]2C1=O
ZINC44940090	COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1CCCC[C@@H]1C(=O)N1CCc2c([nH]c3ccccc23)C1
ZINC54541642	CCN(CC)S(=O)(=O)c1ccc(Nc2ncnc(N3CCN(c4cccc(C)c4C)CC3)c2N)cc1
ZINC57311968	Cc1ccc(NC(=O)c2c(NC(=O)CNCc3cccnc3)sc3c2CC[C@H](C(C)(C)C)C3)c(C)c1
ZINC59015220	O=C(CSc1n[nH]c(N/N=C/c2ccc(Cl)cc2)n1)Nc1ccc(I)cc1
ZINC59331506	Cc1ccc2oc(-c3cc(NC(=S)NC(=O)c4ccc(N5CCCC5)c([N+](=O)[O-])c4)ccc3O)nc2c1
ZINC12542895	Cc1ccc([C@@]23C[C@@H]4C[C@@H](C[C@@](C(=O)O[C@@H](C)C(=O)Nc5ccc(S(N)(=O)=O)cc5)(C4)C2)C3)cc1C
ZINC00659896	COC(=O)C1=C(C)NC(=O)N[C@@H]1c1ccc(OCC(=O)N/N=C/c2c(Cl)cccc2Cl)c(OC)c1
ZINC01645398	CCCC(=O)NC(Nc1ccc(S(=O)(=O)Nc2ccc(OC)nn2)cc1)(C(F)(F)F)C(F)(F)F
ZINC06501339	CCC[C@H](C(=O)NC1CCCC1)N(C(=O)c1snc(C(=O)NC2CCCCC2)c1N)C1CCCCC1
ZINC08758446	COc1ccc2c(CCN/C(=N\C(=O)c3cc(OC)c(OC)c(OC)c3)Nc3nc(C)cc(C)n3)c[nH]c2c1
