ZINC00519932	O=C1NN(c2ccccc2)C(=O)C2C1C1C=CC2C12CC2
ZINC06793620	Cc1ccccc1NC(=O)c1oc2ccc3c(c2c1C)C(=O)CC1(CCCC1)O3
ZINC06808076	CCC1(C)CC(=O)c2c(ccc3oc(C(=O)Nc4ccc(F)cc4)c(C)c23)O1
ZINC07961390	O=C(Nc1ccc2c(c1)-c1ccccc1C2)c1cc(Cl)ccc1[N+](=O)[O-]
ZINC06952842	COc1ccc([N+](=O)[O-])c2c1NC(c1cccc(Cl)c1)C1CC=CC21
ZINC00957110	O=c1c(Br)c(N/N=C/C2CC=CCC2)cnn1-c1ccccc1
ZINC03978549	C=C1C(=O)OC2CC1C(OC(C)=O)C/C(C)=C/CC/C(C)=C/CCC2(C)O
ZINC10386844	Cc1ccc(-n2ncc3c(NC45CC6CC(CC(C6)C4)C5)ncnc32)cc1
ZINC11615657	Cc1ccc2sc(-c3ccc(/C=C(\C#N)c4nc5ccccc5[nH]4)o3)nc2c1
ZINC15982751	O=C(Nc1ccc2c(c1)Cc1ccccc1-2)c1ccc(Cl)cc1[N+](=O)[O-]
ZINC21166343	CCC1(C)CC(=O)c2c(ccc3oc(C(=O)NC4CCCCC4C)c(C)c23)O1
ZINC22436996	Cc1ccc(NC2(c3nnnn3-c3ccc(C)cc3C)CCC(C)CC2)cc1
ZINC22508594	Cc1[nH]/c(=N\C(=O)c2sc3nc(C(C)(C)C)nc(C)c3c2C)sc1C
ZINC25020048	CC(Sc1nnc2sc3ccccc3n12)C(=O)NC1CCCC(C)C1C
ZINC01141255	Cc1cc(Br)ccc1NC(=O)C(C)c1ccc([N+](=O)[O-])cc1
ZINC38498861	Cc1ccc(Cl)cc1NC(=O)Cc1cc(-c2ccc3c(c2)CC(C)O3)on1
ZINC39029924	O=C(/N=C1/N=NC(C2CCCC2)S1)Nc1ccc(Cl)cc1Cl
ZINC40147448	O=C1CCCC2=C1C(c1ccc([N+](=O)[O-])cc1)c1c(ccc3ccccc13)N2
ZINC40180029	Cc1cccc(NC(=O)c2nnn(-c3ccc(Cl)cc3)c2C(C)C)c1C
ZINC43754531	C[NH+](Cc1nc([O-])c2oc3ccccc3c2n1)CC12CC3CC(CC(C3)C1)C2
ZINC46078213	Clc1ccc(-n2nnnc2C2(Nc3ccccc3)CCCCC2)cc1
ZINC46078357	Cc1cccc(-n2nnnc2C2(Nc3ccccc3C)CCC(C)CC2)c1
ZINC46084932	O=C1/C(=N\O)c2cc(Cl)cc(Cl)c2N1CCOc1ccccc1Cl
ZINC49937492	COc1ccc2[nH]/c(=N/C(=O)C3=C(c4ccccc4)SCCO3)sc2c1
ZINC50080824	Cc1ccc(C(C)N(C)C(=O)Nc2ccc(N3CC(C)OC(C)C3)cc2)cc1
ZINC05908928	N#CC(C(=O)N1c2ccccc2Sc2ccccc21)c1nc2ccccc2[nH]1
ZINC09635988	Cc1ccc(-n2ncc3c(=O)nc(SCc4ccccc4C)[nH]c32)cc1
ZINC17367067	Cc1c(C(=O)Nc2c(-c3ccccc3)nc3ccccn23)oc2ccccc12
ZINC23619669	Cc1sc2ncnc(Sc3nnc(NC4CCCCC4)s3)c2c1C
ZINC15224374	O=C1N/C(=N\c2ccc(F)cc2)S/C1=C\c1ccc(N2CCCC2)o1
ZINC59309954	O=C(/N=c1\[nH]c2ccccc2n1C1CCCCC1)C1Cc2ccccc2O1
ZINC59337013	CC1(c2ccccc2)OC(=O)C(=Cc2cc(Br)ccc2O)C(=O)O1
ZINC59567008	CN(C)c1ccc(/C=C2/S/C(=N\c3cccc(Cl)c3Cl)NC2=O)o1
ZINC33365107	Cc1nc(-c2ccccc2)sc1C(=O)N/N=C\c1cc2ccccc2o1
ZINC05717230	O=C(Cc1ccccc1[N+](=O)[O-])Nc1cc(Cl)c(Cl)cc1Cl
ZINC65257859	O=C(NC1(c2nc(-c3ccccc3)no2)CCCCC1)c1ccccc1F
ZINC01837501	Cc1cc(=O)oc2c1ccc1oc(/C(=N\O)c3ccc(Cl)cc3)c(C)c12
ZINC01837501	Cc1cc(=O)oc2c1ccc1oc(/C(=N/O)c3ccc(Cl)cc3)c(C)c12
ZINC01158382	CCOc1ccc(C2NC(=O)NC(C)=C2C(=O)Nc2ccc(C)cc2)cc1
ZINC06059866	N#Cc1ccc(NC(=O)COC(=O)c2ccc(Cl)cc2N)cc1Cl
ZINC06060083	CC(OC(=O)c1ccc(Cl)cc1N)C(=O)NC1(C#N)CCCCC1
ZINC01019425	Cc1cccc(NC(=O)CSc2nnc(-c3cccc(N)c3)n2C)c1C
ZINC01496581	O=C(COc1ccc(Cl)cc1Cl)N/N=C/c1ccc(O)cc1O
ZINC14186004	O=C(/C=C/c1ccc(OC(F)F)cc1)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC14258518	O=C(COc1ccc(Cl)cc1Cl)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC14470614	NC(=O)c1ccc2c(c1)C1C=CCC1C(c1ccc(Cl)c([N+](=O)[O-])c1)N2
ZINC18021825	CC(NC(=O)c1ccc(N)c([N+](=O)[O-])c1)c1ccc(Cl)cc1Cl
ZINC05408504	CCOc1c(Cl)cc(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)cc1Cl
ZINC05687360	O=C(N/N=C/c1ccc(O)cc1)c1cc(-c2ccc(Cl)s2)n[nH]1
ZINC20468219	CC(C)(C)c1ccc(S(=O)(=O)N/N=C/c2cccc(O)c2O)cc1
ZINC20715332	N#CC1=C(N)Nn2c(nnc2C(c2ccccc2)c2ccccc2)S1
ZINC28817820	O=C(COc1cc(Cl)ccc1Cl)NNC(=O)c1ccccc1O
ZINC32829008	NC(=O)C1CC(O)CN1c1ccccc1S(=O)(=O)C(F)(F)F
ZINC37375653	Cc1cccc(-n2nc3nc(NC4CC4)nc(-c4ccsc4)c3c2N)c1
ZINC02640216	Cc1ccc(S(=O)(=O)NNC(=O)Nc2ccc(Cl)c(Cl)c2)cc1
ZINC07649863	CC(Oc1ccc2ccccc2c1)C(=O)NNC(=O)Nc1ccccc1
ZINC08584075	CC1(C)C2CCC1(C)C(OC(=O)CSc1nc(N)cc(=O)[nH]1)C2
ZINC02379943	O=C(N/N=C/c1ccccc1O)C(=O)Nc1cc(Cl)ccc1Cl
ZINC04259290	Cc1c(Cl)cccc1NC(=O)C(=O)N/N=C/c1cc(Cl)ccc1O
ZINC38577289	Cc1ccc(C2=CC(C(=O)NC3Nc4ccc(F)cc4S3)N=N2)c(O)c1
ZINC40024006	CC1Oc2ccc(NC(=O)NC(c3cccs3)C(C)C)cc2NC1=O
ZINC43979108	CC(C)(C)NC(=O)N1CCC(CNC(=O)NC2CCCCC2)CC1
ZINC45738933	O=C(NNc1ccc(F)cc1)NC1CCN(C(=O)C2CCCCC2)CC1
ZINC45955088	Cc1ccc(NC(=O)NCc2ccccc2NS(C)(=O)=O)c(Cl)c1
ZINC46959097	O=C(NCC1CCN(c2ccccc2)C1)NNC(=O)c1ccc(Cl)cc1
ZINC47383584	CC(C)NC(=O)Nc1ccccc1NS(=O)(=O)c1ccc(Cl)s1
ZINC02299984	C=CCNC(=O)c1c(N)n(C2CCCCC2)c2nc3ccccc3nc12
ZINC52635392	COc1ccc(Cl)cc1NC(C)C(=O)NC(=O)NC1CCCC1
ZINC53121338	Cc1cc(S(N)(=O)=O)cc(NC(=O)c2oc3c(C)cccc3c2C)c1C
ZINC54103248	O=C(COc1ccccc1F)NNC(=O)NC1CCCCCCC1
ZINC54420607	Cc1c(C(=O)NNC(=O)NC2CCc3ccccc32)oc2ccccc12
ZINC55842633	CNC(=O)c1ccc(NCC(=O)NC2(C#N)CCCCCC2)c(C)c1
ZINC56218307	CC1CCc2nc(NC(=O)CNC(=O)NC3CCCCC3)sc2C1
ZINC57701477	CNC(=O)c1ccc(OC)c(NC(=O)NC(C)c2cccc(Cl)c2)c1
ZINC06328984	Nc1nnc(SCC(=O)N/N=C/c2cccc(Cl)c2Cl)s1
ZINC59514459	N=C1NC(=O)/C(=C\c2cc(/N=N\c3ccccc3Cl)ccc2O)S1
ZINC49932078	Nc1ccc(C(=O)Nc2ccc(Br)cc2Cl)cc1[N+](=O)[O-]
ZINC61795696	Cc1ccc(C(NC(=O)NNC(=O)c2ccoc2)c2ccccc2)cc1
ZINC61861883	CC(C)(C)C1CCCCC1NC(=O)NNC(=O)c1ccc(C#N)cc1
ZINC15885168	CN1C(=O)/C(=C/NNC(=O)c2cc3ccccc3cc2O)c2ccccc21
ZINC63633777	Cc1ccc(NC(=O)CN/C=C2\C(=O)NC(=O)c3ccccc32)c(Cl)c1
ZINC49885679	CC([NH2+]/C=C/C1=CCCCC1)c1c([O-])[nH]c(=O)n(C2CCCCC2)c1=O
ZINC49885679	CC([NH2+]/C=C/C1=CCCCC1)c1c([O-])n(C2CCCCC2)c(=O)[nH]c1=O
ZINC65423664	O=C(NCc1ccc(NC(=O)c2ccco2)cc1)Nc1cccc(F)c1F
ZINC66337547	CCCNC(=O)NNC(=O)c1csc(-c2ccc(Cl)cc2Cl)n1
ZINC66396913	CC(C)(C)c1ccc(C(C#N)NC(=O)c2ccc3[nH]c(=O)[nH]c3c2)cc1
ZINC66699588	CC(NC(=O)NCc1nc(-c2cccs2)n[nH]1)c1ccc(Cl)s1
ZINC67017544	CNS(=O)(=O)c1cccc(C(C)NC(=O)Nc2ccccc2Cl)c1
ZINC04312355	CCCc1[nH]nc2c1C(c1ccc(OC(F)(F)F)cc1)C(C#N)=C(N)O2
ZINC04312355	CCCc1n[nH]c2c1C(c1ccc(OC(F)(F)F)cc1)C(C#N)=C(N)O2
ZINC00425604	Cc1ccc(-n2ncc3c(NC(C)(C)C)ncnc32)c(C)c1
ZINC02469545	COc1ccc(C2CC(=O)Nc3cc4c(cc32)OCO4)cc1Cl
ZINC04503231	Cc1cocc1C(=O)N1N=C2CCCCCC2C1(O)C(F)(F)F
ZINC04648792	Cc1cc(=O)oc2c(C(=O)/C=C/c3ccco3)c(O)ccc12
ZINC04704088	O=C(/C=c1\sc2n(c1=O)CCCN=2)Nc1ccc(Cl)cc1
ZINC01470879	COC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1
ZINC00513653	O=C(Nc1cccc(F)c1)c1cc([N+](=O)[O-])ccc1Cl
ZINC06230420	COc1ccc(N2C(S)=C(C#N)C(=O)NC23C=CCCC3)cc1
ZINC06435733	CC1CCCC(NC(=O)c2nn(C)c(=O)c3ccccc23)C1C
ZINC06435739	CC1CCCC(NC(=O)c2nn(C)c(=O)c3ccccc23)C1C
ZINC00059216	O=C1c2cccc3cccc(c23)C(=O)N1/N=C/c1ccc(O)cc1
ZINC03528052	CCC1(C)NC(=O)N(/N=C/c2cccc3ccccc23)C1=O
ZINC10121486	CC1(C)OC(=O)C(=CNc2ccccc2Br)C(=O)O1
ZINC12658265	CC(C)N1C(=O)/C(=C/c2nc3ccccc3c(=O)[nH]2)c2ccccc21
ZINC13958492	Cc1ccc(N2CC(NC(=O)N3CC(C)CC(C)C3)CC2=O)cc1
ZINC15866196	Fc1ccc(C2CC(c3ccc(F)cc3F)Nc3nnnn32)cc1
ZINC19925241	O=C(N/N=C/c1ccc(Cl)cc1)c1cn2ccccc2n1
ZINC23381312	O=C1NC2(CCCCCC2)C(=O)N1CN1CCc2ccccc2C1
ZINC23614843	O=[N+]([O-])c1ccc(NC2CCSc3ccc(F)cc32)nc1
ZINC23641114	O=[N+]([O-])c1cccnc1NC1CCSc2c(F)cccc21
ZINC28575023	CCc1ccc2oc(C(=O)Nc3cnn(C)c3C)c(C)c2c1
ZINC36827294	O=C([O-])c1c([NH+]2CCCC3CCCCC32)nc2sccn12
ZINC37523800	Cc1ccc(C)c(N2CCN(C(=O)NC(C)C)C(C)C2=O)c1
ZINC00244505	Cc1ccccc1NC(=O)C(C)N1C(=O)c2ccccc2C1=O
ZINC32744867	CC1CCCCC1NC(=O)C(C)N1C(=O)c2ccccc2C1=O
ZINC39272118	CC1CCC2=C(C1)C(C1NC(c3ccccc3Cl)=NO1)N=N2
ZINC39579305	C/C(=N/NC(=O)C1N=NC2=C1CCCC2)c1ccc(C)cc1
ZINC40024794	CC1CCCCC1Nc1ccc2nnc(C(F)(F)F)n2n1
ZINC40024796	CC1CCCCC1Nc1ccc2nnc(C(F)(F)F)n2n1
ZINC40450006	O=c1[nH]cnc2c1c(Cc1ccccc1)nn2C1CCCC1
ZINC40490523	CC(C)(C)c1cn2nc(N3CCCC(CO)C3)sc2n1
ZINC43129299	CC(c1ccc(Cl)cc1)N(C)C(=O)Nc1nncs1
ZINC48449378	Cc1sc(C(=O)NC2CCCC(C)C2C)cc1[N+](=O)[O-]
ZINC49133699	CC(C)C1CCCN1C(=O)Nc1nnc(C(C)(C)C)s1
ZINC49755955	O=C(Oc1ccc2nc[nH]c2c1)c1ccc(Br)o1
ZINC49937235	Cc1cs/c(=N\C(=O)c2sc(-n3cccc3)nc2C)[nH]1
ZINC50829207	CNc1snnc1CN1C(=O)c2cccc3cccc1c23
ZINC54680032	O=C1c2ccccc2NC(c2csnn2)N1c1ccccc1
ZINC56722206	O=C(Nc1cccc2c1OCCO2)N1CCCC1c1cccs1
ZINC00222074	Fc1ccc(C2CC(c3ccc(F)cc3)n3nnnc3N2)cc1
ZINC21216348	N#Cc1ccccc1-c1ccccc1C(=O)Nc1nncs1
ZINC17031321	C/C(=N\c1ncccc1C)c1c(C)nn(-c2ccccc2)c1O
ZINC61623114	Cc1cc(CNC(=O)c2oc3c(C)ccc(C)c3c2C)on1
ZINC62797067	CC1=CC(=N)SC1c1nc(-c2cc3ccccc3o2)no1
ZINC20718741	OC1=Nc2ccccc2CCC1Sc1nnc2ccccn12
ZINC20718741	O=C1Nc2ccccc2CCC1Sc1nnc2ccccn12
ZINC63970472	CN(Cc1ccc(Cl)c(Cl)c1)C(=O)NC1=CN=NC1
ZINC65254950	Cc1ccc(NC(=O)c2cc(C(C)C)n3nccc3n2)cc1
ZINC66854856	Cc1cc(C)c2c(c1)N(CC(=O)Nc1cc(C)no1)CCC2
ZINC67031993	Cc1ccc([N+](=O)[O-])cc1C(=O)NC1CCc2ccccc21
ZINC67041065	CC(C)C(C)NC(=O)N1CCCC1c1cccc2c1OCCO2
ZINC00235783	CC1Nc2ccccc2-c2nnc(SCc3ccccc3)nc2O1
ZINC00168754	O=C(Nc1ccc(F)c([N+](=O)[O-])c1)c1cccc2ccccc12
ZINC04132274	COc1cc([N+](=O)[O-])cc2c1NC(c1ccccc1)C1CC=CC21
ZINC04140449	COc1ccc(C2Nc3ccccc3C3C=CCC32)cc1[N+](=O)[O-]
ZINC00200178	CC1(c2ccccc2)OC(=O)C(=Cc2c[nH]c3ccccc23)C(=O)O1
ZINC00138308	O=C(Nc1ccc(F)c(Cl)c1)c1ccc(Cl)c([N+](=O)[O-])c1
ZINC04680582	CC1CCCC(NC(=O)c2ccc([N+](=O)[O-])cc2Cl)C1C
ZINC04680585	CC1CCCC(NC(=O)c2ccc([N+](=O)[O-])cc2Cl)C1C
ZINC00288730	O=C(Nc1ccc(Cl)cc1)c1ccc(Cl)cc1[N+](=O)[O-]
ZINC01390942	Cc1ccc2oc3ncc(C(=O)NC(C)(C)C)cc3c(=O)c2c1
ZINC05445441	Clc1nc2ccccn2c1/C=N/Nc1nc2ccccc2s1
ZINC05741152	O=[N+]([O-])c1ccc2c(c1)C1OCCCC1C(c1ccccc1)N2
ZINC05741164	O=[N+]([O-])c1ccc2c(c1)C1OCCCC1C(c1ccccc1)N2
ZINC06748456	CCOc1cccc2c1Oc1nc(-c3ccc(F)cc3)nc([O-])c1C2
ZINC08021741	Cc1ccc(-n2nnc(C(=O)Nc3ccccc3F)c2C)cc1C
ZINC08074983	CC1CCc2sc(C(=O)Nc3ccc(F)c([N+](=O)[O-])c3)cc2C1
ZINC10381931	CC(Sc1nnc[nH]1)C(=O)n1c2ccccc2c2ccccc21
ZINC08574626	Cc1nc2ccccn2c1C(=O)N/N=C\c1ccc(Cl)cc1
ZINC13643819	CN(C)c1ccc(C2Nc3c(cccc3[N+](=O)[O-])C3C=CCC32)cc1
ZINC15314059	Cc1ccc(NC(=O)c2cc(Cl)ccc2[N+](=O)[O-])c(F)c1
ZINC05927847	Cc1ccc2nc(SCc3cc(=O)n4cc(C)ccc4n3)[nH]c2c1
ZINC19984043	Cc1ccc(NC(=O)C(C)N2C(=O)C(C)Oc3ccc(C)cc32)cc1
ZINC27794545	Cc1ccc2c(C)c(C(=O)Nc3onc4c3CC(C)CC4)oc2c1
ZINC32819551	CC(C)=CC(=O)Nn1cnc2scc(-c3ccc(C)cc3)c2c1=O
ZINC34906460	O=C([O-])C1CCN(c2[nH+]c3ccccc3n2C2CCCCC2)CC1
ZINC37669247	O=C(Nc1cccc(Br)c1)c1cc(F)ccc1[N+](=O)[O-]
ZINC00195126	O=C1CC(c2cccc([N+](=O)[O-])c2)c2ccc3ccccc3c2N1
ZINC38104127	O=C(Nc1ccc(Cl)c(F)c1)c1cc([N+](=O)[O-])ccc1F
ZINC38108574	Cc1cc/c(=[NH+]\S(=O)(=O)c2cnc(Cl)s2)c2ccc[n-]c1-2
ZINC38870097	O=C(/[NH+]=C1\C=CC2=NC(C(F)(F)F)[N-]C2=C1)c1cc2ccccc2o1
ZINC38898035	O=C(N/N=C/c1ccc(Cl)cc1Cl)C1N=NC2=C1CCC2
ZINC39030068	CC(C)C1N=N/C(=N/C(=O)Nc2ccc(Cl)c(Cl)c2)S1
ZINC39579026	C/C(=N/NC(=O)C1N=NC2=C1CCCC2)c1ccc2ccccc2c1
ZINC39884224	Cc1ccc(NC(=O)c2csc3c2CCCC3)c([N+](=O)[O-])c1
ZINC41472008	CC1CCCCC1Nc1ncnc2c1cnn2-c1ccccc1F
ZINC42306165	CC(C)c1cs/c(=N\S(=O)(=O)c2ccc(C#N)cc2)[nH]1
ZINC43321749	Cc1c(F)cccc1NC(=O)c1ccc(Cl)c([N+](=O)[O-])c1
ZINC45625288	Cc1ccccc1NC(=O)c1cc([N+](=O)[O-])ccc1Br
ZINC47320304	CC(C)(C)c1ccc(C2CCCN2C(=O)Nc2nncs2)cc1
ZINC49546805	O=S(=O)(/N=c1\[nH]c2c(s1)CCC2)c1cnc(Cl)s1
ZINC59486903	CCc1cc2c(s1)SC(c1cccc([N+](=O)[O-])c1)NC2=O
ZINC60516918	O=C(Nc1cc([N+](=O)[O-])ccc1F)c1cc2c(F)cccc2s1
ZINC61118607	Cc1cc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)ccc1F
ZINC01788044	Fc1cccc(Cl)c1C1C=C(c2ccccc2)N=C2NN=NN21
ZINC01788044	Fc1cccc(Cl)c1C1CC(c2ccccc2)=Nc2nnnn21
ZINC63529078	Cc1cccc(NC(=O)C2OC3=C(C4N=NC=C4CC3)C2C)c1C
ZINC64818466	Cc1ccc(NC(=O)c2ccc3c(c2)nnn3C(C)C)c(C)c1
ZINC65473520	CC1CC(C)CN(C(=O)Nc2cc(C#N)ccc2OC(C)C)C1
ZINC66599654	Cc1csc(N2CCN(C(=O)NCC3(C)CCCC3)CC2)n1
ZINC67020370	Cc1ccc([N+](=O)[O-])cc1C(=O)Nc1ccc(Cl)cc1F
ZINC67033544	O=C(NCC1CCCC1)N1CCCC1c1cccc2c1OCCO2
ZINC02602350	N#Cc1c(NC(=O)c2cc(-c3ccco3)on2)sc2c1CCC2
ZINC04330541	N#Cc1ccsc1NC(=O)/C=C/c1cccc([N+](=O)[O-])c1
ZINC04943019	Cc1c(Cl)cccc1-c1ccc(CNc2nnnn2C)o1
ZINC06829112	N#C/C(=C\c1ccsc1)C(=O)Nc1ccc([N+](=O)[O-])cc1
ZINC00390928	CC(C1=C(O)CC(C)(C)CC1=O)C1C(=O)OC(C)(C)OC1=O
ZINC08548886	Cc1cc(C)c(NC(=O)C23CCC(C2)C(C)(C)C3=O)c([N+](=O)[O-])c1
ZINC00337257	N#C/C(=C/c1ccccc1)C(=O)Nc1cc([N+](=O)[O-])ccc1F
ZINC11915472	CC1CCc2noc(NC(=O)c3cc4ccccc4oc3=O)c2C1
ZINC12794610	Clc1ccc2c(c1)C(Nc1ccc3nnnn3n1)CCS2
ZINC12868307	CC(Nc1ccc2nnnn2n1)c1ccccc1Br
ZINC13010332	c1ccc(C(Nc2ccc3nnnn3n2)c2cccs2)cc1
ZINC14183126	Cc1ccc(C)c(-n2nnnc2SC2CCCCNC2=O)c1
ZINC15141090	Cc1sc2ncnc(NC(C)c3nnc4ccccn34)c2c1C
ZINC15141091	Cc1sc2ncnc(NC(C)c3nnc4ccccn34)c2c1C
ZINC20745271	Cc1cc(-c2nn3c(-c4sccc4C)nnc3s2)[nH]n1
ZINC20745271	Cc1cc(-c2nn3c(-c4sccc4C)nnc3s2)n[nH]1
ZINC28444076	C=CCNc1nc2c3c4c(sc3ncn2n1)COC(C)(C)C4
ZINC29385649	Cc1ccc(Cn2cccc/c2=[NH+]\C(=O)c2ccc([O-])nn2)cc1
ZINC29530983	O=[N+]([O-])c1ccc(N2CCC(c3ccc(O)cc3)CC2)nc1
ZINC35672788	O=C(Nc1cccc2nsnc12)c1cc2ccccc2oc1=O
ZINC35693795	CC(Nc1ccc2scnc2c1[N+](=O)[O-])c1ccncc1
ZINC36332257	O=[N+]([O-])c1cc(Cl)ccc1NC1CCS(=O)(=O)CC1
ZINC37131366	Cn1nccc1CNc1ccc([N+](=O)[O-])cc1Br
ZINC38744146	CC1=CC(C2Nn3c(Cc4ccccc4)nnc3S2)N=N1
ZINC39557805	CC(C)C1N=NC2=C1CN(C(=O)C1NOC3=C1CCCC3)CC2
ZINC39558097	Clc1cc2c(cc1C1N=C3C=NN(CC4CC4)C3N1)OCO2
ZINC40526660	COc1cc(NC(=O)N2CC(C)OC(C)C2)c(OC)cc1Cl
ZINC41212380	Cc1ccc(-c2cc(C(=O)Nc3cc(C)on3)nn2C)c(C)c1
ZINC41393917	CCn1cc(Nc2nc3sc4c(c3c(=O)n2C)CCCC4)cn1
ZINC41455870	Cc1cc(NC(=O)c2cc(C)n(-c3ccc(C)c(C)c3)n2)no1
ZINC41637560	Cc1ccc(C(c2sc3ncnn3c2[O-])[NH+]2CCCC(C)C2)o1
ZINC41637563	Cc1ccc(C(c2sc3ncnn3c2[O-])[NH+]2CCCC(C)C2)o1
ZINC06403870	COc1cc2c(cc1-c1coc3cc(O)ccc3c1=O)OCO2
ZINC44605719	CC(C)(C)CNC(=O)N1CCN(C(=O)OC(C)(C)C)CC1
ZINC44995623	Cc1cc(CNc2ccc([N+](=O)[O-])cc2Br)on1
ZINC46875510	O=C(NCC1Cc2ccccc2O1)N1CCC2(CC1)OCCO2
ZINC48286661	O=C(Cc1c[nH]c2ccccc12)N1CCc2ccc([N+](=O)[O-])cc21
ZINC48301170	CC1CC(=O)Nc2ccccc2N1Cc1nc(C2CC2)no1
ZINC50373152	COC1CCCC1NC(=O)c1cc(Cl)ccc1[N+](=O)[O-]
ZINC53553344	CNC(=O)c1ccc(N2CCc3sccc3C2C)c([N+](=O)[O-])c1
ZINC08319222	Cc1ccc(-n2nc(C)c(/C=N/c3cc(C)on3)c2O)cc1
ZINC06861621	CN1C(=O)/C(=N\Nc2nncc3ccccc23)c2ccccc21
ZINC57986562	O=C(Cc1ccccc1[N+](=O)[O-])N1CCCC1c1ccc[nH]1
ZINC59356336	N#Cc1ccc(NC(=O)c2cc(F)ccc2[N+](=O)[O-])cc1Cl
ZINC05618261	C/C(=N\NC(=O)c1ccc(C)c([N+](=O)[O-])c1)c1cccs1
ZINC63584051	O=C(C1CC1[N+](=O)[O-])N1CCC(Nc2ccc(F)cc2)CC1
ZINC58416066	O=C(NOC1CCCCO1)c1cc2c(nc3sccn32)s1
ZINC07889769	CCCN1C(=O)c2ccccc2NC1c1ccccc1[N+](=O)[O-]
ZINC66361100	CCC1CCCCN1C(=O)NC1CCN(C(=O)OC)CC1
ZINC66362220	COC(=O)N1CCC(NC(=O)N(C)C2CCC(C)CC2)CC1
ZINC66398267	Cc1ccccc1C(C#N)NC(=O)c1ccc([N+](=O)[O-])cc1
ZINC04359994	Cc1ccc(N2CC(NC(=O)N3CCc4ccccc43)CC2=O)cc1
ZINC01423828	O=C(Nc1ccc(F)cc1)C1=CC(=O)N2CCCN=C2S1
ZINC02141555	O=C(Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl
ZINC05123318	Cc1ccc(N2CC(NC(=O)N3CCCCC3C)CC2=O)cc1
ZINC01618716	CNC(=O)N(C(C)(C)C)S(=O)(=O)c1ccc(Cl)cc1
ZINC08500016	Cc1cc(Cl)c(C)c(S(=O)(=O)N2CCNC(=O)C2)c1Cl
ZINC12180781	Cc1ccc2nc(C)c(NC(=O)c3ccc(F)cc3F)c(=O)n2c1
ZINC12241629	O=S(=O)(NC1C2CCCCC21)c1cccc2nsnc12
ZINC12420618	O=c1ccc2cc(S(=O)(=O)NC3CCCCC3)ccc2o1
ZINC14607481	CCc1ccc(C2C3=C(CC(C)CC3=O)Nc3ncnn32)cc1
ZINC15240253	CCOC(=O)C1C(=O)NC23CCCCC2C1c1ccccc1O3
ZINC15723500	CCC(C)NC(=O)c1cnn2c3c(cnc12)CCCCCC3
ZINC19125270	Cc1cc2nc(C3CCCCN3C(=O)C3CCCO3)[nH]c2cc1C
ZINC13958629	CC1CC(C)CN(C(=O)NC2CC(=O)N(c3ccc(F)cc3)C2)C1
ZINC25501715	COc1c(O)cc(Br)c(Br)c1[N+](=O)[O-]
ZINC30731856	CC1CC1C(=O)Nc1ccc(C(=O)/N=c2/sccn2C)cc1
ZINC31868390	Cc1c(C(=O)NC2CCCCC2C)sc2nc(C)n(C)c(=O)c12
ZINC31918330	CC1CC[NH+](Cc2c(C(=O)[O-])nc3ccc(Cl)cn23)CC1
ZINC32603916	Cc1ccc(C(=O)c2c3nc[nH]c(=O)c3c3ccccn23)cc1
ZINC36827295	O=C([O-])c1c([NH+]2CCCC3CCCCC32)nc2sccn12
ZINC37012328	CC(Cl)C(=O)Nc1ccc(Br)cc1[N+](=O)[O-]
ZINC39461605	CC(C)N1N=CC2=NC(C3=Cc4cc(Cl)ccc4OC3)NC21
ZINC39942812	C/C(=N\NC(=O)C1=NN=C2CCCC21)c1ccc(Cl)cc1
ZINC40365062	N#Cc1ccccc1S(=O)(=O)NC1(C#N)CCCCCC1
ZINC41710108	Cc1cc2c(n1-c1cc([N+](=O)[O-])ccc1Cl)CCCC2O
ZINC42360714	N#Cc1ccccc1S(=O)(=O)/N=c1/[nH]c(C2CC2)cs1
ZINC44365788	CC1(C)CC1NC(=O)c1cc(Cl)c(Cl)c([N+](=O)[O-])c1
ZINC45154245	CC1COCCN1C(=O)NC(c1ccccc1)c1ccco1
ZINC49428403	CC1CCCN(C(=O)C2CCCN(C(=O)Nc3cccs3)C2)C1
ZINC49546167	Cn1ncc2c1N=C(O)CC2c1ccc(OC2CCCC2)cc1
ZINC49546167	Cn1ncc2c1NC(=O)CC2c1ccc(OC2CCCC2)cc1
ZINC00350190	Clc1ccc(C2CC(c3ccco3)n3ncnc3N2)cc1
ZINC54849442	Cc1cc(C)c(NC(=O)c2ccc([N+](=O)[O-])cc2F)c(C)c1
ZINC06219656	CC1CCCCC1NC(=O)CN1C(=O)C2CCCCC2C1=O
ZINC06219658	CC1CCCCC1NC(=O)CN1C(=O)C2CCCCC2C1=O
ZINC57984616	Cc1cc(Cl)ccc1NC(=O)N1CCN(C(=O)C2CC2)CC1
ZINC58267859	CC1CC(C)CN(C(=O)Nc2cc(C#N)cn2C(C)(C)C)C1
ZINC43879145	CC1CN(C(=O)Nc2ccccc2OC(F)(F)F)CCO1
