ZINC06503852	Cc1ccc(C(=O)NC(=S)NNC(N)=S)cc1I
ZINC49128989	Cc1cc(Br)ccc1SCC(=O)NNC(=O)NC1CC1
ZINC04225322	Cc1cc2cc(CCNC(=S)NC[C@@H]3CCCO3)c(=O)[nH]c2cc1C
ZINC04225323	Cc1cc2cc(CCNC(=S)NC[C@H]3CCCO3)c(=O)[nH]c2cc1C
ZINC50057971	C#CCNC(=O)CCNC(=O)Nc1ccc(Cl)cc1C(F)(F)F
ZINC53477282	NC(=O)COc1ccc(/C=C/C(=O)N[C@H]2CCc3ccccc32)cc1
ZINC53477284	NC(=O)COc1ccc(/C=C/C(=O)N[C@@H]2CCc3ccccc32)cc1
ZINC53782121	C[C@H](N[C@H](C)c1ccc2c(c1)CCCC2)C(=O)NC(=O)NC1CC1
ZINC09959217	NC(=O)N[C@H](CC(=O)N1CCC[C@H]1c1ccccc1)c1cccs1
ZINC58156740	NC(=O)CSc1ccccc1NC(=O)N1CCC[C@@H]1c1cccs1
ZINC58315026	C[C@@H](Cc1ccc(Br)cc1)NC(=O)CNC(=O)NC1CC1
ZINC45073030	CCCNC(=O)CCN[C@H]1C(=O)Nc2c(C)cc(Br)cc21
ZINC47557711	CSCc1ccc(C(=O)N[C@H](C)c2ccc3[nH]c(=O)[nH]c3c2)cc1
ZINC61079673	COC(=O)[C@@H](NC(=O)c1cc(N)c(F)cc1Br)C(C)C
ZINC61268145	CC[NH2+]C[C@H](C)C(=O)Nc1ccc(Br)cc1C(=O)[O-]
ZINC61361258	C[C@@H](Nc1ccc(S(=O)(=O)N(C)C)cc1N)c1ccsc1
ZINC63837731	O=C(NNC(=S)NC[C@@H]1CCCO1)[C@H]1C[C@H]1c1cccc(F)c1
ZINC63838810	O=C(NCC(F)(F)F)NNC(=O)c1ccc(F)c(C(F)(F)F)c1
ZINC64724649	N#Cc1ccc(NCC(=O)NC[C@H](O)c2ccc(F)c(F)c2)cc1
ZINC65492108	CC(=O)N[C@@H](C(=O)NCCc1c(C)[nH]c2ccccc12)C1CCCC1
ZINC66122455	C#CCN1CCCC[C@@H]1C(=O)NNC(=S)Nc1ccccc1C(C)C
ZINC66237244	Nc1nnc(SC[C@H](O)CO[C@@H]2CCCc3ccccc32)s1
ZINC66442842	CC1(CNC(=O)CCCC[C@@H]2SC[C@H]3NC(=O)N[C@@H]32)CCCC1
ZINC66762079	CSC[C@H](C)C(=O)N[C@@H](C)c1ccc(NC(=O)NC2CC2)cc1
ZINC66929943	O=C(NC[C@]1(O)CCCc2ccccc21)C1(C(=O)NC2CC2)CCC1
ZINC67061619	O=C(NCCNC(=O)C1CC1)NCC1(c2ccc(Cl)cc2)CC1
ZINC67196426	C#Cc1cccc(NC(=S)NNC(=O)/C=C/c2ccccc2C#N)c1
ZINC67196668	C#Cc1cccc(NC(=S)NNC(=O)/C=C/c2ccccc2OC)c1
ZINC67246830	NC(=O)CNC(=O)[C@H](Oc1cc(Cl)ccc1Cl)c1ccccc1
ZINC67386172	C[C@H](NC(=O)CO/N=C(/N)c1ccc(F)c(F)c1)c1ccc(F)cc1
ZINC67562560	O=C(Nc1ccc(C(=O)NC2CC2)cc1)N[C@@H]1C[C@H]1c1ccccc1
ZINC00120978	CCOc1ccc(NC(=O)NNC(=O)c2cccs2)cc1
ZINC04159227	COCCOC(=O)C1=C(C)NC(=S)N[C@@H]1c1ccccc1O
ZINC00070607	O=C(N/N=C/c1ccc[nH]1)c1ccc(NC(=O)C2CC2)cc1
ZINC03574167	COc1cc(/C=N/NC(=O)c2ccc(N)cc2)cc(OC)c1
ZINC13747367	C=CCOc1c(Cl)cc(/C=N/NC(N)=O)cc1OCC
ZINC13984566	O=C(CNC(=O)C1CCCCC1)N/N=C/c1ccc(O)cc1
ZINC31890622	CCC[C@H]1Nc2ccc(S(=O)(=O)NCC)cc2NC1=O
ZINC34951578	COc1ccccc1NC(=O)N[C@@H](C)C(=O)Nc1ccccc1C
ZINC35594376	C[C@@H](NC(=O)c1csc(Nc2ccccc2)n1)C(=O)NC1CC1
ZINC14960036	CCOc1nc(NC(=O)Cc2cccc(Cl)c2)cc(N)c1C#N
ZINC37134903	COc1ccc(S(N)(=O)=O)cc1N[C@H](C)CC(C)(C)OC
ZINC37562915	NC(=O)c1cc(NCc2csc([N+](=O)[O-])c2)ccc1Cl
ZINC04536634	CC(C)[C@@H](C)NC(=O)CSc1nnc(-c2cccs2)n1N
ZINC39578295	CC(C)[C@H](C)NC(=O)CSc1nnc(C2CCCCC2)n1N
ZINC42954232	CCCN(CCC)C(=O)NCc1ccc(S(N)(=O)=O)cc1
ZINC43412504	C[NH+](C)C(C)(C)CNC(=O)Nc1cc(F)ccc1C(=O)[O-]
ZINC45125355	C=CCN(CC=C)C(=O)N[C@H](C)c1cccc(S(N)(=O)=O)c1
ZINC46565721	CCCNC(=S)NNC(=O)c1nc(-c2cccs2)oc1C
ZINC48456776	CC(C)Oc1ccc(NC(=O)NCCNC(=O)C2CC2)cc1
ZINC48658575	CCCOc1ccc(NCC(=O)NC(=O)NC)cc1Cl
ZINC52914111	Nc1nc(CSc2nccs2)nc(Nc2ccccc2)n1
ZINC04908661	C=CCOC(=O)[C@H]1[C@H](c2ccccc2)c2c(O)n[nH]c2C[C@@]1(C)O
ZINC55881114	CC(C)NC(=O)c1ccc(NCC(=O)N[C@](C)(C#N)C(C)C)cc1
ZINC57544797	Cc1ccc(NC(=O)C2CC2)cc1NC(=O)NC[C@@H]1CCCO1
ZINC61629893	COc1cc2nc(C(F)F)cc(NN)c2c(OC)c1OC
ZINC62373168	Cc1cc(C)cc(NC(=O)N[C@@H](C)C(=O)NCc2ccco2)c1
ZINC62930877	CC(C)NC(=O)NNS(=O)(=O)c1ccc(C(C)(C)C)cc1
ZINC63455510	CCc1c(C(=O)CO/N=C(/N)C2CCCC2)[nH]c(C)c1C(C)=O
ZINC48232150	C[C@H](NC(=O)N[C@H](C)Cc1ccco1)c1ccc2c(c1)CC(=O)N2
ZINC48232156	C[C@H](Cc1ccco1)NC(=O)N[C@H](C)c1ccc2c(c1)CC(=O)N2
ZINC64546759	CCOc1ccc(NC(=O)NCCNC(=O)C2CC2)cc1C
ZINC64899321	COCCNC(=O)NNC(=O)/C=C/c1ccc(C(C)(C)C)cc1
ZINC64899670	COCCNC(=O)NNC(=O)c1sc2cccc(F)c2c1C
ZINC65014860	CO[C@H](C)C(=O)Nc1cccc(NC(=O)NC2CCCC2)c1
ZINC50574151	C[C@@H](Cc1ccco1)NC(=O)CNC(=O)NCC1CCCC1
ZINC66136068	CCNC(=O)c1c(C)nc(N)nc1COc1c(C)cccc1C
ZINC66320621	COc1cccc(C(=O)NNC(=O)[C@@H]2C[C@H]2c2ccccc2)c1O
ZINC66643461	C[C@H]1C[C@@H](CC(=O)NCC(=O)Nc2cn[nH]c2)CC(C)(C)C1
ZINC66688307	CCOCC(=O)NNC(=O)NCC[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC66700242	CCOCC(=O)NNC(=O)N[C@H](c1cccs1)C1CCCC1
ZINC66736332	CC(C)(C)SCCNC(=O)c1cc(F)cc([N+](=O)[O-])c1N
ZINC66782939	O=C(CCC1CCCCC1)NNC(=O)C(=O)Nc1ccccc1
ZINC66826926	CC(C)Oc1ccc(F)cc1NCC(=O)NC(=O)NC1CC1
ZINC67082476	Cc1ccsc1C(=O)NNC(=O)N[C@H](C)COCC(C)C
ZINC67181305	O=C(CCC1CCCCC1)NNC(=O)CNC(=O)C1CCCC1
ZINC67191164	C[C@@H](CC(=O)N1CCC[C@H]1C(N)=O)NC(=O)C1CCCCC1
ZINC67236611	CC(C)(CC(=O)NNC(=O)NC[C@@H]1CCCO1)c1ccccc1
ZINC67386667	COCCNC(=O)CNC(=O)NC(C)(C)c1ccc(Cl)cc1
ZINC67466034	COc1cccc(C(=O)NNC(=O)/C=C/c2cccc(F)c2)c1O
ZINC67466342	COc1cccc(C(=O)NNC(=O)Cc2ccc(C)s2)c1O
ZINC00288593	CCN(CC)c1ccc(/C=N/NC(=O)c2cc(O)cc(O)c2)cc1
ZINC00236980	COc1ccccc1N[C@@H](C)C(=O)N/N=C/c1cccc(O)c1
ZINC05278400	C[C@H]1CCCC[C@H]1NC(=O)COC(=O)c1ccccc1NCCO
ZINC05369177	C/C(OC/C(=N\NC(N)=O)c1ccccc1)=C(/C#N)c1ccccc1
ZINC06241555	NC(=S)N/N=C/c1ccc(OS(=O)(=O)c2ccccc2)cc1
ZINC07306115	CC(=O)c1ccc(NC(=O)[C@@H](C)OC(=O)c2cccc(C)c2N)cc1
ZINC09888960	Cc1ccc(SCCNC(=O)c2ccc(N)c([N+](=O)[O-])c2)cc1
ZINC15142423	CC(C)[C@H](Nc1ccc(C(N)=O)cc1[N+](=O)[O-])c1ccccc1
ZINC23612171	CC[C@H](C)NC(=O)[C@H](C)Sc1nnc(-c2ccc(F)cc2)n1N
ZINC29190000	CCOC(=O)C1=C(CN[C@H](c2cccs2)C(C)C)NC(=O)NC1
ZINC32946474	CC[C@H](C)NC(=O)CSc1nnc(CCC2CCCCC2)n1N
ZINC16490134	C=CCOc1ccc(OCCSc2nc(N)cc(=O)[nH]2)cc1
ZINC02632256	COc1cc(N)c(Cl)cc1C(=O)OCC(=O)NC1CCCC1
ZINC40733283	CC[C@H]1CCCCN1c1ncnc(NCc2ccc(OC)cc2)c1N
ZINC40756120	Nc1c(NCCC2=CCCCC2)ncnc1Oc1cccnc1
ZINC43769314	CC(C)(C)OC(=O)NN/C(=C/c1ccccc1)NCc1ccco1
ZINC45492727	CC(C)C[C@@H](CNC(=O)NNc1ccc(F)cc1)N1CCOCC1
ZINC51401537	Cc1occc1C(=O)NCC(=O)NC[C@H](Nc1ccccc1)C(C)C
ZINC51618607	C#CCNC(=O)CNC(=O)Nc1ccccc1COc1ccccc1
ZINC55374476	CC(C)[C@H](Nc1ccc(NS(C)(=O)=O)cc1)C(=O)NC(C)(C)C
ZINC55423325	Cc1c(C(=O)Nc2ccccc2OCCC(N)=O)oc2ccccc12
ZINC56081664	CCCNC(=O)NC(C)(C)C(=O)Nc1cccc(N2CCCC2)c1
ZINC56173450	CC(C)NC(=O)NC(=O)[C@@H](C)Nc1ccc(OC(C)C)cc1
ZINC56186764	COC(=O)Nc1ccc(N[C@@H](C)C(=O)NCCC(C)C)cc1
ZINC56338156	C=CCOc1cccc(NC(=O)C(C)(C)NC(=O)NCCC)c1
ZINC58091916	CCCNC(=O)NC(C)(C)C(=O)NCc1ccc(OC(C)C)cc1
ZINC58312277	CCCNC(=O)NC(C)(C)C(=O)NCCOc1c(C)cccc1C
ZINC59269116	CCNC(=O)CNC(=O)Nc1ccccc1N(C)c1ccccc1
ZINC59834393	Cc1ccc([C@H](NC(=O)CNC(=O)NCc2ccco2)C2CC2)cc1
ZINC62369706	C[C@H](NC(=O)Nc1ccc(C(C)(C)C)cc1)C(=O)NCc1ccco1
ZINC62650868	CC(C)(C)OC(=O)NCCNC(=O)N[C@H](c1ccccc1)C1CC1
ZINC63701550	CC(C)(C)OC(=O)NCCNC(=O)c1cc(Cl)ccc1O
ZINC64427709	C[C@H](Oc1ccc(-c2ccccc2)cc1)C(=O)NNC(=O)NC1CC1
ZINC50612502	COc1ccc(C(=O)NNC(=O)NCC(C)C)cc1-c1ccccc1
ZINC65135424	CC(C)CCNC(=O)NNC(=O)/C=C/c1ccccc1OC(F)F
ZINC65192187	O=C(/C=C/c1ccccc1OC(F)(F)F)NNC(=O)NCC1CC1
ZINC65206042	COCCCNC(=O)NNC(=O)/C=C/c1ccc(C(C)(C)C)cc1
ZINC51710207	CCCCNC(=O)[C@H]1CCCN(C(=O)NCc2ccc(O)cc2)C1
ZINC66159442	CC[C@](C)(O)CNC(=O)Nc1ccc(OCC(F)(F)F)c(C#N)c1
ZINC66160982	CC[C@@](C)(O)CNC(=O)Nc1ccccc1OC[C@H]1CCCCO1
ZINC66352931	CC[C@H](C)NC(=O)[C@@H](C)NC(=O)C[C@@H](C)NC(=O)C1CCCCC1
ZINC66396356	CC(C)(C)c1ccc([C@@H](C#N)NC(=O)CNC(=O)NC2CC2)cc1
ZINC66609783	CC(C)CN(CC(N)=O)C(=O)C[C@@H](C)NC(=O)C1CCCCC1
ZINC66704932	C[C@H](Oc1ccccc1F)C(=O)NNC(=O)NCC1(C)CCCC1
ZINC66790337	CC(C)(C)C(=O)NCCCC(=O)NNC(=O)CC1CCCCC1
ZINC66966642	CC(C)NC(=O)NC(=O)[C@H](C)Nc1cc(F)ccc1OC(C)C
ZINC67045921	C[C@@H](Cc1ccco1)NC(=O)NNC(=O)CC1CCCCC1
ZINC67063118	CC(C)CCC(=O)NNC(=O)NCCO[C@H]1CCCC[C@H]1C
ZINC67314977	CCOCCCNC(=O)NNC(=O)c1ccc(-c2ccccc2)cc1
ZINC67482494	COc1ccccc1C(=O)NNC(=O)NCCC1=CCCCC1
ZINC05456193	CCCC(=O)NC(=S)NNC(=O)COc1ccc(C(C)C)cc1
ZINC06785612	CC[C@H](C)[C@H]1Nc2ccc(C(=O)NCCCOC(C)C)cc2NC1=O
ZINC06785621	CC[C@H](C)[C@@H]1Nc2ccc(C(=O)NCCCOC(C)C)cc2NC1=O
ZINC07851413	Nc1nc(CSCCOc2ccccc2)nc(Nc2ccccc2)n1
ZINC08324234	CCOC(=O)c1sc(N)c(C(=O)Nc2ccc(OCC)cc2)c1C
ZINC08654114	CCc1nc(N)sc1C(=O)N/N=C/c1ccccc1OCC(C)C
ZINC08938650	CCOc1ccccc1NC(=O)[C@H](NC(=O)Nc1ccccc1)C(C)C
ZINC13985826	CCCCC(=O)NC(=S)NNC(=O)COc1ccc(Cl)cc1C
ZINC13988338	Cc1cc(Cl)ccc1OCC(=O)NNC(=S)NC(=O)C(C)(C)C
ZINC14156986	CCNC(=S)/N=C(\NCCc1ccccc1)Nc1nc(C)cc(C)n1
ZINC14937983	CCCNC(=S)NNC(=O)c1ccc2noc(-c3ccccc3)c2c1
ZINC09042123	CCCCOc1ccccc1[C@@H]1C(C#N)=C(N)Oc2[nH]nc(CCC)c21
ZINC09042123	CCCCOc1ccccc1[C@@H]1C(C#N)=C(N)Oc2n[nH]c(CCC)c21
ZINC25679622	CCc1ccc(C(=O)[C@H](C)OC(=O)c2ccc(CNC(N)=O)cc2)cc1
ZINC26990589	CCC[C@H](C)NC(=O)[C@@H](C)Nc1ccc(NC(=O)c2ccco2)cc1
ZINC30880509	CCNC(=O)NC[C@@H]1C=C(C)[C@H](CC(=O)NCCOC)C[C@H]1C(C)C
ZINC07016051	Nn1c(SCC(=O)NCCC2=CCCCC2)nnc1-c1ccccc1
ZINC33327590	CC(C)c1ccc(CNC(=O)c2nc[nH]c2C(=O)NCC(C)(C)C)cc1
ZINC32946465	CC(C)[C@@H](C)NC(=O)CSc1nnc(CCC2CCCCC2)n1N
ZINC42667617	C=CCN(CC=C)C(=O)[C@@H](C)Nc1ccc(NC(=O)NC2CC2)cc1
ZINC45970273	COc1ccccc1C(=O)N[C@H](C(=O)NNc1ccc(F)cc1)C(C)C
ZINC47129123	C=C(C)CN(CC)C(=O)N[C@@H](C)c1ccc(NC(=O)NC2CC2)cc1
ZINC47430575	CC(C)(C)c1ccc(O)c(NC(=O)CCNC(=O)/C=C/c2ccco2)c1
ZINC48117969	CC(C)COc1ccccc1NC(=O)NCCNC(=O)c1ccccc1
ZINC05244417	CCCCC(O)(CCCC)C(=O)N/N=C1\C(=O)Nc2ccccc21
ZINC55152720	CCOc1cc(F)ccc1N[C@@H](C)C(=O)Nc1cccc(NC(C)=O)c1
ZINC55152728	CCOc1cc(F)ccc1N[C@@H](C)C(=O)Nc1cccc(C(=O)NC)c1
ZINC55154114	CCCOc1cc(C)ccc1N[C@H](C)C(=O)NC(=O)NC(C)C
ZINC55852396	CCCNC(=O)c1cccc(NCC(=O)NC2(C#N)CCCCCC2)c1
ZINC56158374	CCOC(=O)Nc1ccc(N[C@H](C)C(=O)NC(C)(C)CC)cc1
ZINC56187206	COC(=O)Nc1ccc(N[C@@H](C)C(=O)N[C@@H](C)c2ccccc2)cc1
ZINC56198927	CCS(=O)(=O)Nc1ccc(N[C@H](C(=O)NC(C)(C)C)C(C)C)cc1
ZINC56205617	CCOc1ccc(N[C@H](C)C(=O)Nc2cccc(NC(C)=O)c2)cc1F
ZINC08083832	CCOC(=O)c1c(C)[nH]c(/C=N/NC(=S)NCc2ccccc2)c1C
ZINC20201605	Nc1nnc(CCCNC(=O)c2ccccc2Oc2ccccc2)s1
ZINC14156472	Cc1cc(C)nc(N/C(=N/C(=S)NC2CC2)NC2CCCCC2)n1
ZINC59879812	C/C(=N\Nc1nc(SCCCO)n[nH]1)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC63638117	CCOc1ccc(N[C@H](C)C(=O)NC(=O)NCC(F)(F)F)cc1C
ZINC65143963	CC(C)CCNC(=O)NNC(=O)COc1ccc(Cl)cc1Cl
ZINC66329507	C[C@@H](CC(=O)NCC(=O)Nc1ccccc1)NC(=O)C1CCCCC1
ZINC66358155	C[C@H](CC(=O)NCCNC(=O)C1CCCC1)NC(=O)C1CCCCC1
ZINC66645235	CC(C)C[C@](C)(C#N)NC(=O)CNC(=O)NCc1ccc(Cl)cc1
ZINC66702829	CCOCC(=O)NNC(=O)NCC(CC)(CC)c1ccc(Cl)cc1
ZINC67037553	COc1ccccc1[C@H](C)NC(=O)NNC(=O)CCC1CCCCC1
ZINC67062401	CCCOc1ccc(CNC(=O)NNC(=O)CC2CCCCC2)cc1
ZINC67063301	O=C(CC1CCCCC1)NNC(=O)NCCCOc1ccccc1F
ZINC67080723	CC(C)CCC(=O)NNC(=O)NCc1ccc(OC2CCCC2)cc1
ZINC67285989	CCNC(=O)[C@@H](C)NC(=O)Nc1ccc(O[C@@H](C)CC(C)C)c(C)c1
ZINC67285995	CCNC(=O)[C@@H](C)NC(=O)Nc1ccc(O[C@H](C)CC(C)C)c(C)c1
ZINC67313549	CCOCCCNC(=O)NNC(=O)c1ccc(C2CCCCC2)cc1
ZINC67535189	Cc1nn(C)c(C)c1[C@@H](C)NC(=O)NC[C@@H](Nc1ccccc1)C(C)C
ZINC08878447	Cc1ccsc1C(=O)O[C@H](C)C(=O)Nc1sccc1C(N)=O
ZINC09497807	C[C@H](OC(=O)c1ccc2c(c1)CCC2)C(=O)Nc1sccc1C(N)=O
ZINC09872477	NC(=O)c1ccc(S(=O)(=O)Nc2ccccc2OC(F)F)cc1
ZINC13321844	CCc1cc(C(=O)N/N=C(\C)c2ccc(OCC(N)=O)cc2)cs1
ZINC13626633	COCCNC(=O)C(=O)Nc1c(-c2ccccc2)[nH]c2ccccc12
ZINC15707300	O=C(NNC(=S)NC[C@H]1CCCO1)[C@H]1Cc2cc(Cl)ccc2O1
ZINC20342313	C[C@H]1CCc2c(sc(NC(=O)C[N@@H+](C)CCO)c2C(=O)[O-])C1
ZINC21596320	CC(C)C(=O)NC(=S)Nc1ccc(NC(=O)c2ccco2)cc1
ZINC31543963	Cc1cc(C)n(CC(=O)NNC(=S)N[C@@H]2CCC[C@H](C)[C@H]2C)n1
ZINC06723684	CCNC(=O)N(Cc1cc(N)ccc1N(C)C)C[C@H]1CCCO1
ZINC37657634	CCc1cc(S(N)(=O)=O)cc(CC)c1NS(=O)(=O)C(C)C
ZINC02316450	COc1ccc(C(=O)NNC(=S)NC(=O)c2cccs2)cc1
ZINC39496571	CCOc1ccc([C@@H](CC=O)NC=O)c(O)c1-c1ccccc1O
ZINC40364775	CCC(CC)(NS(=O)(=O)c1cccc2nsnc12)C(N)=S
ZINC40451966	CCNC(=O)CN(CC)S(=O)(=O)c1c(Cl)cc(N)cc1Cl
ZINC40476608	O=C(CC[C@@H]1NC(=O)NC1=O)N[C@H](c1ccccc1)c1cccs1
ZINC41119544	Cc1cc(S(N)(=O)=O)c(C)cc1OCCNC(=O)c1cccs1
ZINC42946636	CC(C)CNC(=O)NCc1ccc(S(=O)(=O)NC2CC2)cc1
ZINC44892639	NS(=O)(=O)c1ccc(CCNC(=O)OCC(F)(F)F)cc1
ZINC46572667	C=CCNC(=S)NNC(=O)c1nc(-c2cccs2)oc1C
ZINC48838827	C[NH2+]CCCNS(=O)(=O)c1cc(Cl)cc(C(=O)[O-])c1Cl
ZINC49909049	COc1ccc(/C=C/C(=O)N[C@H](C)C(=O)N[C@H]2CC[C@H](O)CC2)cc1
ZINC52103684	Nc1nc(Cl)cc(NCc2ccc(OCC(F)(F)F)nc2)n1
ZINC53340911	C[C@@H]1CCCC[C@@H]1OCCNC(=O)CSc1nnc(N)s1
ZINC54505988	CCC(NCCCOC1CCCCC1)=C1C(=O)NC(=S)NC1=O
ZINC58224965	O=C(CNC(=O)C1CC1)Nc1ccc(C(=O)NC2CC2)c(Cl)c1
ZINC15328652	C[C@@H](CNS(=O)(=O)c1ccc(S(N)(=O)=O)cc1)c1ccccc1
ZINC59330387	CCC(CC)C(=O)Nc1ccc(C(=O)N2CCC(C(N)=O)CC2)cc1
ZINC61292560	CC[NH2+]C(C)(C)C(=O)Nc1ccc([N-]S(C)(=O)=O)c(Cl)c1
ZINC61924515	CCNC(=O)CNC(=O)C(=O)Nc1cc(C(F)(F)F)ccc1Cl
ZINC64761281	COCCNc1c(-c2ccc(F)cc2)nc2sc(C(N)=O)c(C)n12
ZINC65360621	CC(=O)Nc1ccc(F)c(NC(=O)N[C@H](C)COCC(F)(F)F)c1
ZINC54729755	Cc1ccc([C@@H](C)NC(=O)NCCNC(=O)c2ccco2)s1
ZINC65607663	CSc1ccccc1NC(=O)N[C@H](C)C(=O)NCc1ccco1
ZINC65696344	Cc1[nH]c2ccc(CNC(=O)NCCCn3ccccc3=O)cc2c1C
ZINC66067327	Cc1ccc(C(=O)N[C@@H](C(=O)NCC(=O)NC2CC2)C(C)C)cc1
ZINC66089539	CC(C)NC(=O)CNc1ccc(C(=O)NC[C@H]2CCCO2)cc1
ZINC66120092	COCc1ccc(CNC(=O)N2CCC[C@@H](CCC(N)=O)C2)cc1
ZINC66140789	CC(C)NC(=O)CNC(=O)NCCCc1nc2c(s1)CCCC2
ZINC66289327	C#CCNC(=O)c1ccccc1NC(=O)CCNC(=O)C1CCCC1
ZINC66653332	CCCNC(=S)NNC(=O)[C@@H]1CCCN(C(=O)c2ccccc2)C1
ZINC66667898	Cc1ncsc1CN(C)C(=O)Nc1ccccc1SCC(N)=O
ZINC66923129	C[C@@H](NC(=O)CNC(=O)/C=C/c1ccccc1)C(=O)NC(C)(C)C
ZINC66927050	CCN(CC)c1ccc(CNC(=O)N2CC[C@H](C(N)=O)C2)cc1F
ZINC67156574	C[C@H](NC(=O)CNC(=O)c1ccc2c(c1)CCC2)C(=O)NC1CCCC1
ZINC67195620	COc1ccc(NC(=S)NNC(=O)c2sccc2C#N)cc1F
ZINC67311498	CCOCCCNC(=O)NNC(=O)[C@H]1CCCc2ccccc21
ZINC67378783	CC(C)c1ccccc1NC(=O)C(=O)NCCC(=O)NC1CCCC1
ZINC67455634	CC[C@H](NC(=O)C(=O)Nc1ccc(NC(=O)C2CC2)cc1)C(C)C
ZINC67602958	Cc1cccc(C)c1OC[C@H](O)CNC(=O)N[C@H]1CCCc2occc21
ZINC02486805	COC(=O)[C@@H](CC(C)C)NC(=O)CSc1nnc(N)s1
ZINC05473819	CCOC(=O)c1c(NC(=O)c2ccc(C)o2)sc(C(N)=O)c1C
ZINC06291054	NS(=O)(=O)c1ccc(NC(=O)COC(=O)[C@H]2CC=CCC2)cc1
ZINC06353172	C[C@H](OC(=O)CC(C)(C)C)C(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC09049776	CC[C@@H](NNC(=O)c1ccc(F)cc1)C(=O)Nc1cc(C)on1
ZINC11807797	CCCc1nnc(SCC(=O)NNC(=O)c2ccc(F)cc2)[nH]1
ZINC13747633	CCOc1cc(/C=N/NC(N)=O)c(Br)cc1OCC#N
ZINC21771956	CCOC(=O)NNC(=O)c1ccc(NC(=O)c2cccs2)cc1
ZINC27250528	CCCCn1nc(C(=O)NNC(=S)NC2CCCC2)ccc1=O
ZINC25444480	CCc1nnc(NC(=O)CCNC(=O)NC2CCCCC2)s1
ZINC02620448	C=CCn1c(S[C@@H](C)C(=O)NC(N)=O)nnc1C1CCCCC1
ZINC13545069	O=C(NNC(=S)Nc1ccccc1)c1ccccc1[N+](=O)[O-]
ZINC02316377	COc1ccc(C(=O)NC(=S)NNC(=O)c2ccco2)cc1
ZINC04124009	C/C(=C\C(=O)Nc1ccc(N(C)C)cc1)NNC(=O)c1ccccn1
ZINC38737996	CC(C)Nc1ccc(C(=O)NNc2nccc(C(F)(F)F)n2)cn1
ZINC39051843	CCCn1c(N)c(NC(=O)[C@@H]2C[C@@H]3C=C[C@H]2C3)c(=O)n(CCC)c1=O
ZINC39968698	CNC(=O)c1ccc(NC(=S)Nc2cccc([N+](=O)[O-])c2)cc1
ZINC40737136	N#CCCN(CCC#N)c1ncnc(Nc2ccc(Cl)cc2)c1N
ZINC43025579	CC(C)[C@@H](Sc1ncc(C#N)c(N)n1)C(=O)NC[C@@H]1CCCO1
ZINC43592989	COc1ccccc1N[C@@H](C)C(=O)NC(=O)NC[C@@H]1CCCO1
ZINC50050388	CC(C)CNC(=O)CNC(=O)Nc1nnc(CC(C)C)s1
ZINC32124067	CC(C)OCCCNC(=O)C[C@@H]1NC(=O)c2ccccc2N=C1O
ZINC32124067	CC(C)OCCCNC(=O)C[C@@H]1NC(=O)c2ccccc2NC1=O
ZINC51279561	CCCNC(=O)CCNC(=O)N1CCC[C@H](C(=O)NCCC)C1
ZINC12549256	CN(Cc1nc(N)nc(Nc2ccccc2)n1)Cc1ccco1
ZINC56737792	CC(C)(C)c1nnc(NC(=O)NCCNC(=O)C2CC2)s1
ZINC58307597	C[C@H]1CCCC[C@H]1OCCNC(=O)CNC(=O)NCc1ccco1
ZINC45128040	COc1ccccc1OCCNC(=O)NNC(=O)c1ccccc1
ZINC59016298	O=C(CSc1n[nH]c(N/N=C/C=C/c2ccccc2)n1)NC1CC1
ZINC14157561	CNC(=S)/N=C(\NC[C@H]1CCCO1)Nc1nc(C)cc(C)n1
ZINC59819518	C/C(=N\Nc1nc(S[C@@H](C)C(=O)NC2CC2)n[nH]1)c1ccccc1
ZINC60415379	C=CCOc1ccc(C(=O)NNC(=O)NCC(F)(F)F)cc1OC
ZINC62238988	COCCOc1ccc(N[C@H](C)C(=O)NC(=O)NC2CC2)cc1F
ZINC62261326	O=C(CNC(=O)NC1CCCCC1)NCCCCN1CCOCC1
ZINC63701574	CC(C)(C)OC(=O)NCCNC(=O)CNC(=O)c1ccccc1
ZINC29014927	NC(=O)COc1ccc(NC(=O)c2csc(-c3ccco3)n2)cc1
ZINC64253687	CC(C)(C)OC(=O)NNC(=O)N[C@@H]1CCN(CC(F)(F)F)C1
ZINC64562524	CCS(=O)(=O)NCCNC(=O)Nc1ccc2c(c1)CCCN2C
ZINC64883287	CCCCNC(=O)NNC(=O)[C@@H]1CCCN1C(=O)C(C)(C)C
ZINC64887252	COCCNC(=O)NNC(=O)COc1c(C)cc(C)cc1C
ZINC64899745	COCCNC(=O)NNC(=O)c1sc(-c2ccsc2)nc1C
ZINC65193522	CCOc1cc(/C=C/C(=O)NNC(=O)NCC2CC2)ccc1OC
ZINC51412765	O=C(CNC(=O)c1ccc(OCC2CC2)cc1)Nc1cn[nH]c1
ZINC45526385	CCC(CC)[C@@H](CNC(=O)N1CC[C@@H](C(N)=O)C1)N1CCOCC1
ZINC66733388	CCn1nc(C)c(CNC(=O)CNC(=O)NCC2CCCC2)c1C
ZINC66878158	CCNC(=O)NC(=O)CN1CCC(NC(=O)CC2CCCC2)CC1
