ZINC04719096	CC(=O)c1cc2c(N)c(/C(N)=N/C#N)sc2nc1C
ZINC23263571	OCC[NH2+]CC[NH2+]Cc1cc(Br)ccc1OCc1ccc(F)cc1
ZINC64886702	CC(C)(C)OC(=O)NCCCC(=O)NNC(=O)NCCCn1cc[nH+]c1
ZINC65208106	COCCCNC(=O)NNC(=O)CSc1ccc(C(N)=O)cc1[N+](=O)[O-]
ZINC65492727	C[C@@H](CCCC(C)(C)O)Cc1c(-c2ccccc2)[nH+]cn1CCCC[NH3+]
ZINC66115417	CCOCCOc1ccc(C[N@H+]2CCNC(=O)[C@@H]2CC(=O)NN)cc1OC
ZINC67178479	CC[C@@H](C)[C@H](NC(N)=O)C(=O)NCc1cccc(C(=O)NCC[NH+](C)C)c1
ZINC67194061	CC(C)C[C@H](NC(N)=O)C(=O)NNC(=S)Nc1ccc(OC(C)C)cc1
ZINC67195877	COc1ccc(NC(=S)NNC(=O)[C@H](CCSC)NC(N)=O)cc1F
ZINC12799998	CC(C)CC[NH2+]CC(=O)Nc1sc2c(c1C(N)=O)CCCC2
ZINC19689869	[NH3+]CCCCCCNc1nc(=O)c(Cc2ccccc2)n[nH]1
ZINC19689978	C[C@H]1CCc2nc(NCCCCCC[NH3+])[nH]c(=O)c2C1
ZINC33521201	[NH3+]CCC(=O)Nc1ccc(NCCC2=CCCCC2)cn1
ZINC36269426	NC(=O)c1cc(C(F)(F)F)ccc1NCCC[NH2+]C1CC1
ZINC37723152	CC[C@H]([NH3+])Cc1cc(Cl)c(OC[C@H](C)C(N)=O)c(OC)c1
ZINC37799243	CN(CCOc1ccc(Cl)cc1)C(=O)[C@H]([NH3+])CC(N)=O
ZINC37864387	C[C@H]([NH2+]C[C@H](O)COc1ccc(Br)cc1)C(N)=O
ZINC37890877	Cc1ccc(OC[C@H](O)C[NH2+][C@H](C)C(N)=O)c(C)c1
ZINC37890878	Cc1ccc(OC[C@@H](O)C[NH2+][C@H](C)C(N)=O)c(C)c1
ZINC37891559	NC(=O)CC[NH2+]C[C@@H](O)COc1ccc(Cl)c(Cl)c1
ZINC37894504	NC(=O)CCC[NH2+]C[C@H](O)c1cc(Cl)ccc1Cl
ZINC38091794	CC(C)C[C@H](C)OC[C@@H](O)C[NH2+][C@H]1CC[C@H](C(N)=O)CC1
ZINC40730503	CCCCN(C)c1nc[nH+]c(NNC(C)(C)C)c1N
ZINC41684333	CC[NH+](CC)C[C@H](C)NC(=O)C1(/C(N)=N/O)CCCCC1
ZINC42482925	Cc1ccc(N)cc1NC(=O)[C@@H](C)[N@@H+](CCCO)C(C)C
ZINC42483390	CCC(CC)[N@@H+](CCO)C[C@H](O)COc1cccc(N)c1
ZINC42506759	NC(=S)c1ccc([C@H](O)C[N@H+](CCO)C2CCCC2)cc1
ZINC42507967	CCC(CC)N(CCO)c1nc(C)cc(C)c1C(N)=[NH2+]
ZINC42878881	CC[C@H]([NH3+])Cc1cc2c(cc1OC[C@H](C)C(N)=O)OCO2
ZINC43254161	CCCCN(CC(N)=O)[C@H](c1ccc(Cl)s1)[C@@H](C)[NH3+]
ZINC44862423	CC(C)[C@H](C(=O)NCC[NH+](C(C)C)C(C)C)/C(N)=N/O
ZINC44877004	CCCC(CCC)(C(=O)N[C@@H](C)CC[NH+](C)C)/C(N)=N/O
ZINC45423988	CC[C@H]1CO[C@@H](C)CN1CCCC[C@](C)([NH3+])C(N)=O
ZINC45502539	C[C@]([NH3+])(CCCCO[C@H]1CCCc2ccccc21)C(N)=O
ZINC45508636	COc1ccc(OCC[C@@](C)([NH3+])C(N)=O)c(C(C)(C)C)c1
ZINC45519954	COc1cc(C)ccc1OCCC[C@@](C)([NH3+])C(N)=O
ZINC45557135	CCC[NH2+][C@@](C)(CCCCSc1ncn[nH]1)C(N)=O
ZINC45557341	CC(C)N[C@@](CSc1ncn[nH]1)(C(N)=O)c1ccccc1
ZINC45559348	C[C@@]([NH3+])(CCCSc1ccc(C(F)(F)F)cn1)C(N)=O
ZINC45581686	CCC[NH2+][C@@H](CSc1nc(CCC)cc(=O)[nH]1)C(N)=O
ZINC45586026	CCC[NH2+][C@H](CSc1nc(C)cc(=O)[nH]1)C(N)=O
ZINC45657782	COC[C@H](C)C[NH2+][C@@H](C)c1ccc(NC(N)=O)cc1
ZINC50309731	CC(C)c1[nH]nc(C(=O)NCC[NH+](C(C)C)C(C)C)c1N
ZINC50321516	CC(C)C[C@@H](C[NH+](C)C)NC(=O)c1n[nH]c(C(C)C)c1N
ZINC51145100	CCCC[N@@H+](CCO)Cc1nc(NN)c2ccsc2n1
ZINC51355513	CC(C)c1ccc([C@](C)([NH2+]CCC[NH3+])C(=O)[O-])cc1
ZINC51355626	CC(C)C[C@]([NH2+]CCC[NH3+])(C(=O)[O-])c1ccccc1
ZINC49008978	CCCC[N@H+](CCO)CCc1nc2ccc(N)cc2[nH]1
ZINC53870590	CC(C)(C)[C@@H]1CC[C@@H]([NH3+])[C@H](CN(CCO)CCO)C1
ZINC57663057	CCCOc1ccc([C@H](O)CC[N@@H+](C)CCO)cc1N
ZINC43243238	Cc1ccc([C@@H]([C@@H](C)[NH3+])N(CC(N)=O)CC(C)C)s1
ZINC45280930	CC(C)[N@@H+](CC1CC1)C[C@@](N)(C(N)=O)c1ccccc1
ZINC50089431	CCCN(CCC(N)=O)[C@]1(C[NH3+])CCC[C@H](C)C1
ZINC61678327	CC[C@H](Oc1c(Cl)cc(C[C@@H](C)[NH3+])cc1OC)C(N)=O
ZINC62011257	CCCC(CCC)(C(=O)NCC[N@H+](C)C1CC1)/C(N)=N/O
ZINC62314396	[NH3+]Cc1nnn(C[C@@H](O)CO)c1CCC1CCCCC1
ZINC62547190	COc1ccc(OCC[C@H]([NH3+])C(N)=O)c(C(C)(C)C)c1
ZINC62728896	CC(C)C[NH2+]Cc1ccc(O[C@H](C)C(=O)NC(N)=O)cc1
ZINC62731434	CC(C)C[NH2+]Cc1cccc(OCC(=O)NC(N)=O)c1
ZINC03905380	Cc1c(C)n(C[C@H](O)C[NH2+]C(CO)(CO)CO)c2ccccc12
ZINC01583115	CC(=O)Nc1cccc(OCCCOc2cccc(C(N)=[NH2+])c2)c1
ZINC02571879	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)C[NH3+])C(N)=O
ZINC01566440	CC(=O)NCCc1nc(-c2nc(C(=O)NCCC[NH3+])cs2)cs1
ZINC06616413	CC(C)C[C@@H](NC(=O)c1csc([C@H]([NH3+])CC(C)C)n1)C(N)=O
ZINC10243481	CC[NH+](CC)CCSc1nc(N)c(NC(=O)c2ccc(Br)o2)c(=O)[nH]1
ZINC13138075	CCCn1c(N)c(C(=O)C[N@H+](C)CC(=O)Nc2ccc(Cl)c(Cl)c2)c(=O)[nH]c1=O
ZINC19689926	Cc1ccc(-c2n[nH]c(NCCCCCC[NH3+])nc2=O)cc1C
ZINC19753438	[NH3+]CCCCCc1nc2cc3c(cc2n1C[C@H](O)CO)OCCO3
ZINC20911233	CC(C)n1cc(/C=N/Nc2nc(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n[nH]2)cn1
ZINC22031092	O=C(C[C@H]([NH2+]CCN1CC[NH2+]CC1)C(=O)[O-])Nc1cccc(Cl)c1
ZINC33624188	CCC[C@H]([NH3+])c1nc(C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)OC)co1
ZINC03338439	COc1ccc(CNC(=O)[C@H](C)[NH2+]Cc2ccc(S(N)(=O)=O)cc2)cc1
ZINC40705520	CC(=O)c1cccc(Nc2ncnc(NCCCn3cc[nH+]c3)c2N)c1
ZINC40744392	Nc1nonc1C(=O)NCC[NH2+]Cc1ccc(-c2cccc(C(F)(F)F)c2)o1
ZINC44463971	COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C[C@H]([NH3+])CO)c2O)c(C)c1O
ZINC44793464	CCOC(=O)C1=C(CS/C(N)=[NH+]/C(C)C)NC(=O)N[C@H]1c1ccco1
ZINC45605836	C[N@@H+](CC(=O)Nc1ccccc1C(F)(F)F)CC(=O)c1c(N)n(C2CC2)c(=O)[nH]c1=O
ZINC47550165	CC(C)C[NH+](CC(=O)NC(=O)NC1CC1)CC(=O)NC(=O)NC1CC1
ZINC47998778	CC[NH+](CC)[C@@H](C)CNC(=O)C(=O)Nc1sccc1C(N)=O
ZINC49068716	COc1cc2ncc3c(N)nc(-c4cncc(OC[C@H]([NH3+])CC(C)C)c4)cc3c2cc1OC
ZINC49560608	CC(C)C[C@H](C[NH+](C)C)NS(=O)(=O)c1cnc(NN)nc1
ZINC51037413	CC[NH2+][C@@](C)(CCCSc1ncnc2nc[nH]c12)C(N)=O
ZINC51054704	CCC[C@@H](C)NC(=O)[C@H]1CCC[N@@H+](CC(=O)c2c(N)n(CC)c(=O)[nH]c2=O)C1
ZINC58056072	CC(C)C[C@@H](NC(N)=O)C(=O)NC[C@@H](c1ccco1)[NH+]1CCCCC1
ZINC58130101	CCCNC(=O)C[NH+]1CCC(NC(=O)CNC(=O)NC2CC2)CC1
ZINC12958096	[NH2+]=C(COc1ccc(Cl)cc1)NNC(=O)CNc1ncc(C(F)(F)F)cc1Cl
ZINC20832282	COc1ccc(/C=N/Nc2n[nH]c(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n2)cc1
ZINC60993300	CCc1ccccc1NC(=O)C[N@@H+](C)CC(=O)c1c(N)n(CC)c(=O)[nH]c1=O
ZINC61596758	CSCC[C@@H](NC(N)=O)C(=O)Nc1cccc(C[NH+]2CCSCC2)c1C
ZINC61608196	CC(C)n1c(SCC[C@@](C)([NH2+]C2CC2)C(N)=O)n[nH]c1=O
ZINC61774141	NC(=O)CCOc1ccccc1NC(=O)NC1CC[NH+](CC(F)F)CC1
ZINC61804933	CC[C@H]([NH3+])[C@@H](c1ccc(Cl)s1)N(CC(N)=O)CC(N)=O
ZINC61807149	NC(=O)C[NH+](CCOc1cccc(C(N)=S)c1)CC(N)=O
ZINC62728168	COCC[NH2+]Cc1ccc(OCC(=O)NC(N)=O)c(Br)c1
ZINC63550519	CC(C)Cn1c(N)c(C(=O)C[NH2+][C@H](c2ccccc2)C(C)(C)C)c(=O)[nH]c1=O
ZINC63756241	CSCC[C@H](NC(N)=O)C(=O)NC[C@H](C)[N@H+]1CCC[C@@H](C)C1
ZINC63781938	CC(=O)Nc1ccc(OC[C@@H]2NO[C@@H](C(=O)NCCC3=c4cc(Cl)ccc4=[NH+]C3)N2)cc1
ZINC64173560	NC(=O)N[C@@H](CC1=c2ccccc2=[NH+]C1)C(=O)NCc1ccc(OC(F)(F)F)cc1
ZINC58209959	CCCn1c(N)c(C(=O)C[N@H+](CCO)C2CC2)c(=O)[nH]c1=O
ZINC66115408	COc1cc(C[N@@H+]2CCNC(=O)[C@H]2CC(=O)NN)ccc1OCC(C)C
ZINC66120261	CCCNC(=O)C[NH+]1CCC(NC(=O)N2CCC[C@H](CCC(N)=O)C2)CC1
ZINC66197125	CC[C@@H](C)[N@H+](C)CCNC(=O)NNC(=S)NC1CCCC1
ZINC66197126	CC[C@H](C)[N@H+](C)CCNC(=O)NNC(=S)NC1CCCC1
ZINC66242797	N/C(NCCNc1ncc(C(F)(F)F)cc1Cl)=[NH+]/Cc1ccco1
ZINC66732053	C[NH+](C)CCNC(=O)c1cccc(CNC(=O)c2ccc(S(N)(=O)=O)o2)c1
ZINC66875843	CCS(=O)(=O)NCC[NH2+]Cc1ccc(OCC(N)=O)cc1
ZINC67059576	CCCNC(=O)C[NH+]1CCC(NC(=O)NNC(=O)CC2CCCCC2)CC1
ZINC67264590	CCCC[C@H](NC(N)=O)C(=O)NC1CC[NH+](CC(C)C)CC1
ZINC67264591	CCCC[C@@H](NC(N)=O)C(=O)NC1CC[NH+](CC(C)C)CC1
ZINC01669880	CC[NH+](CC)CCOC(=O)c1cc(N)cc(N)c1
ZINC05499569	CC[NH2+]C[C@@H](O)COc1ccc(N)c([N+](=O)[O-])c1
ZINC29853659	C[N@@H+](CCCOc1ccccc1)Cc1nc(N)nc(N)n1
ZINC32500006	CC(C)CC[NH2+]CCNC(=O)c1nonc1N
ZINC35339793	CNS(=O)(=O)c1ccc(NCCC[NH+](C)C)c(N)c1
ZINC35413906	CCCOc1ccc(C[NH3+])c(OCC(N)=O)c1
ZINC36269334	NS(=O)(=O)c1ccc(NCCC[NH2+]C2CC2)cc1
ZINC37000441	CC[C@H](C)[C@H]([NH3+])C(=O)N[C@@H](CC(C)C)C(=O)NC
ZINC37626453	CCC(CC)CN(CC)C(=O)[C@H]([NH3+])CC(N)=O
ZINC37636660	COc1ccc([C@@H]([NH3+])CCCCC(N)=O)cc1Br
ZINC37728805	CC[C@@H]([NH3+])Cc1cc(OC)c(O[C@H](C)C(N)=O)c(OC)c1
ZINC37812873	CCCCN(CC(N)=O)C(=O)[C@@](C)([NH3+])C1CC1
ZINC37818976	CCCC[C@@H]([NH3+])C(=O)N(CC(N)=O)CC(C)C
ZINC37891098	Cc1ccc(OC[C@H](O)C[NH2+][C@H](C)C(N)=O)c(Br)c1
ZINC37891599	Cc1ccc(OC[C@H](O)C[NH2+]CCC(N)=O)c(C)c1
ZINC37894428	C[C@H]1CCCC[C@@H]1OC[C@H](O)C[NH2+]CCCC(N)=O
ZINC38091779	NC(=O)[C@H]1CC[C@H]([NH2+]C[C@@H](O)COC2CCCC2)CC1
ZINC42212418	CC(C)CCC[C@H](C)[NH2+][C@H](C)C(=O)NC(N)=O
ZINC42428990	CC[C@@H](CC(N)=S)[N@H+](CC(N)=O)C1CCCC1
ZINC42429266	CCc1ccc([C@](CC)([NH2+]CC[NH3+])C(=O)[O-])cc1
ZINC42483275	COC[C@@H](O)C[N@H+](C)CC(=O)Nc1cc(N)ccc1Cl
ZINC42954089	C[C@@H]([NH3+])[C@@H](c1ccc(Br)cc1)N(CCO)CCO
ZINC43021905	CC(C)CN(CC(N)=O)[C@@H](C[NH3+])c1cccc(Br)c1
ZINC43028604	COc1cccc([C@H](C[NH3+])N(CC(N)=O)CC(C)C)c1
ZINC43098267	COc1ccccc1[C@@H](C[NH3+])N(CC(N)=O)C1CCCC1
ZINC43098275	COc1ccccc1[C@@H]([C@@H](C)[NH3+])N(CC(N)=O)C(C)C
ZINC43249008	Cc1ccsc1[C@@H](C[NH3+])N(CC(N)=O)CC(C)C
ZINC43417126	CC(C)CN(CCC[NH3+])c1ccc(S(N)(=O)=O)cc1
ZINC44474402	CCCOc1ccc([C@H](N)C[NH3+])cc1Cc1ccccc1
ZINC44474570	CC[C@H](C)c1cc([C@@H](N)C[NH3+])ccc1OCC1CC1
ZINC45462565	C[C@@]([NH3+])(CCCOc1ccc([N+](=O)[O-])cc1Cl)C(N)=O
ZINC45462789	Cc1ccc([N+](=O)[O-])c(OCCC[C@](C)([NH3+])C(N)=O)c1
ZINC45552852	CC(C)[NH2+][C@@](C)(CCCSCCO)C(N)=O
ZINC45556120	Cn1ccnc1SCCCC[C@@](C)([NH3+])C(N)=O
ZINC45557069	CCC[NH2+][C@@](C)(CCSc1ncn[nH]1)C(N)=O
ZINC45593131	Cc1nnc(SCCCC[C@](C)([NH3+])C(N)=O)s1
ZINC45597310	C[NH2+][C@](C)(CCCCSc1nc(C)n[nH]1)C(N)=O
ZINC50183015	CC[C@H](C[NH3+])C(=O)NCCCc1cn[nH]c1C
ZINC50183136	CCC[C@H]([NH3+])C(=O)NCCCc1cn[nH]c1C
ZINC51120741	CC(C)c1ncc(NN)c(C(=O)N[C@H](C)CC[NH+](C)C)n1
ZINC51324602	CC(C)[N@H+](CCCO)C[C@@H](O)c1ccc(N)cc1
ZINC51327087	CC(C)[N@H+](CCCO)C[C@@H](O)c1ccccc1N
ZINC51355530	CSc1ccc([C@@](C)([NH2+]CCC[NH3+])C(=O)[O-])cc1
ZINC51625848	C[C@]([NH3+])(CCCOc1cc(Cl)ccc1[N+](=O)[O-])C(N)=O
ZINC53870523	CC[C@H]1CC[C@@H]([NH3+])[C@H](CN(CCO)CCO)C1
ZINC54132999	CC[N@H+](C)CCNC(=O)c1nc(C(C)C)ncc1NN
ZINC61608072	CC(C)[NH2+][C@](C)(CSc1n[nH]c(=O)n1C(C)C)C(N)=O
ZINC62056524	C[C@@]([NH3+])(CCCCSC1CCOCC1)C(N)=O
ZINC62525478	CCC(CC)[N@H+](CCOC)CC[C@H](N)C(N)=O
ZINC64157937	CCCCc1[nH]c(CN2CCC(N3CC(CN)=NN3)CC2)c[nH+]1
ZINC17002767	NC(=[NH2+])N/N=C/C(Cl)(Cl)Cl
ZINC20397284	Cc1nc(N)c(C#N)c(C)c1CCC[NH3+]
ZINC35661300	[NH3+]C1(C(=O)NCC(=O)NC2CC2)CCCCC1
ZINC36779338	CC[C@@H]([NH3+])[C@@H](O)c1cc(C)c(O)c(C)c1
ZINC36781685	CC(C)NC(=O)CNc1cc[nH+]cc1N
ZINC37226639	C[C@@H](COc1ccc(C[NH3+])cc1)C(N)=O
ZINC37479100	C[C@@]([NH3+])(C(=O)N[C@H]1CCC[C@H](O)C1)C1CC1
ZINC37482232	CCC(CC)N(C)C(=O)[C@H]([NH3+])CC(N)=O
ZINC37741909	NC(=O)NC(=O)C[NH2+]CCC1CCCCC1
ZINC37817942	CC(C)CCN(C)C(=O)[C@H]([NH3+])CC(N)=O
ZINC00240535	NC(=[NH2+])N/N=C/c1ccc(Br)cc1
ZINC39097092	CC(C)O[C@@H](C[NH3+])c1ccc(O)c(O)c1
ZINC43495507	Nc1nc(SC[C@@H]2CCCC[NH2+]2)n[nH]1
ZINC43495510	Nc1nc(SC[C@H]2CCCC[NH2+]2)n[nH]1
ZINC43569049	CC(C)C[C@@H](CO)Nc1cc(N)cc[nH+]1
ZINC44252428	CCOC(C#C[C@@H]([NH3+])CC(N)=O)OCC
ZINC44463999	Cc1cc(O)cc(C)c1C[C@H]([NH3+])CO
ZINC44466615	COC(=O)c1ccc2c(C[C@H]([NH3+])CO)c[nH]c2c1
ZINC44476420	CCCOc1cc(C)c(C(C)C)cc1[C@@H](N)C[NH3+]
ZINC44476569	CCCOc1ccc(CCC)cc1[C@H](N)C[NH3+]
ZINC44535873	Cc1nc(NC[C@H]2CCC[N@@H+](C)C2)c(N)[nH]1
ZINC44801913	CC(C)[C@@H](C[NH3+])C(=O)NCC(=O)NC1CC1
ZINC45276496	C[C@@H]1CCC[C@@H]([N@H+](C)C[C@](C)(N)C(N)=O)C1
ZINC45281213	CC(C)CC[N@@H+](C)C[C@@](C)(N)C(N)=O
ZINC45419397	NC(=O)[C@@H](N)C[N@@H+]1CCC[C@@H]2CCCC[C@H]21
ZINC45419401	NC(=O)[C@@H](N)C[N@H+]1CCC[C@H]2CCCC[C@H]21
ZINC45475291	CC[C@@H]1CCCC[C@H]1OC[C@](C)([NH3+])C(N)=O
ZINC45544454	C[C@]([NH3+])(COc1ccc(F)c(F)c1)C(N)=O
ZINC45553574	CC[C@H](C)SCC[C@](C)([NH3+])C(N)=O
ZINC49194904	CC(C)[C@@H](C[NH+](C)C)Nc1c[nH]nc1N
ZINC49500466	C[C@H](C[NH+]1CCCCC1)NC(=O)c1cc(N)c[nH]1
ZINC51689964	NC(=O)[C@@H](C[NH3+])CC1CCCCC1
ZINC52036215	Cc1ccc([C@@H](C)NC(N)=[NH2+])s1
ZINC52043272	CC(C)C[C@@H](CO)NC(=[NH2+])NC(C)(C)C
ZINC52157390	C[C@@]([NH3+])(COCC1CCCCC1)C(N)=O
ZINC52782948	Nc1nc(SCCC[C@H]2CCC[NH2+]2)n[nH]1
ZINC52838792	CCc1[nH+]c(-c2cccc(OC)c2)c(N)n1N
ZINC52838985	CCC[C@H](C)c1[nH+]c(C2CC2)n(N)c1N
ZINC54416681	C[C@H](c1cc(O)ccc1O)N(C)CC[NH3+]
ZINC54928464	CC(C)C[C@@H]([NH3+])Cc1ccc(O)c(O)c1
ZINC58845124	C[C@@H](C[NH2+]C1CCCCCCC1)C(=O)NN
ZINC58862277	CC(C)[C@@H](C)[NH2+][C@H](C)CC(=O)NN
ZINC50088978	C[C@H]1CCC[C@](C[NH3+])(N(C)C[C@@H](C)C(N)=O)C1
ZINC53159078	NC(=[NH2+])NCc1ccc(F)c(Cl)c1
ZINC61677346	CC[C@H]([NH2+]C(CC)(CC)CO)C(N)=O
ZINC61830619	CC(C)c1ccc([C@H]([NH3+])C[C@@H](C)CC(N)=O)cc1
ZINC62545821	NC(=O)[C@H]([NH3+])CCOC1CCCCC1
ZINC62597392	CC[C@@H](C)SCC[C@H]([NH3+])C(N)=O
ZINC62956190	CCC1(C)CC[NH+](CC[C@H](N)C(N)=O)CC1
ZINC63025744	CC[C@H]([NH3+])Cc1ccc(S(N)(=O)=O)cc1
ZINC03222969	NC(=[NH2+])N/N=C/c1ccc(OC(F)F)cc1
ZINC33434178	CN(c1ccc(O)cc1)[C@H](C[NH3+])c1ccc[nH]1
ZINC36986977	CC[C@@H](C/C(N)=N/O)[N@H+]1CCCC[C@@H]1CCO
ZINC37248263	NC(=O)NC(=O)C[NH2+]CC1CCCCC1
ZINC37513817	CCC[NH2+][C@](C)(C(N)=O)c1ccc(O)c(OC)c1
ZINC37626882	NC(=O)[C@H]1CC[C@@H](NC(=O)C[NH2+]C2CCCC2)CC1
ZINC37636069	Cc1c(C)c(C)c([C@H]([NH3+])CCCC(N)=O)c(C)c1C
ZINC37813930	CCC[C@](C)([NH3+])C(=O)N(CC(N)=O)C1CCCC1
ZINC00000746	CC(C)(C)[NH2+]C[C@H](O)c1cc(O)cc(O)c1
ZINC38011168	Cc1n[nH]cc1C[NH2+][C@@H](C)c1ccc(O)cc1O
ZINC39096028	CC(C)[NH2+]C[C@@](C)(O)c1ccc(O)c(O)c1
ZINC42171655	NC(=O)c1ccsc1NC(=O)C[C@@H]1CCC[NH2+]1
ZINC42429202	C[C@]([NH2+]CC[NH3+])(C(=O)[O-])c1ccc(Cl)c(Cl)c1
ZINC42507678	C[C@@H](C/C(N)=N/O)[N@@H+](CCO)C1CCCCC1
ZINC42579542	CC[C@@H]1CCCC[C@@H]1[NH2+]CC(=O)NC(N)=O
ZINC42579545	CC[C@H]1CCCC[C@@H]1[NH2+]CC(=O)NC(N)=O
ZINC42871569	Cc1[nH]c(NCCc2ccc(F)cc2)c(N)[nH+]1
ZINC42871606	Cc1nc(NCCC[N@H+]2CCCC[C@@H]2C)c(N)[nH]1
ZINC43561785	Cc1cc[nH+]c(NC[C@@H](O)c2ccc(N)cc2)c1
ZINC44465530	[NH3+][C@@H](CO)Cc1ccc(O[C@@H]2CCCCO2)cc1O
ZINC45105968	C[C@@H](CNc1cc2c(cc1N)NC(=O)CC2)[NH+](C)C
ZINC45511883	CC1(C)Cc2cccc(OC[C@@](C)([NH3+])C(N)=O)c2O1
ZINC45587804	Cc1csc(SCCC[C@](C)([NH3+])C(N)=O)n1
ZINC49550971	CC(C)C[C@@H](C[NH+](C)C)NC(=O)c1cc(N)c[nH]1
ZINC50348393	CC(C)(C)C1CC[NH+](C[C@H](N)C(N)=O)CC1
ZINC51817003	C[C@H](O)C[N@H+](C)CC(=O)Nc1cc(N)ccc1Cl
ZINC52008172	CCC(CC)(C[NH3+])C(=O)N[C@@H]1CCCC[C@H]1O
ZINC52046087	NC(=O)CC1CCN(C(=[NH2+])NC2CCCCC2)CC1
ZINC53045758	OCC1([NH2+]Cc2cccc(O)c2O)CCCC1
ZINC53097384	NC(=O)c1ccc(C[NH2+]C2(CO)CCCCC2)c(F)c1
ZINC53126010	C[C@H]1CCC[C@](CO)([NH2+]C[C@@H](C)C(N)=O)C1
ZINC53128289	C[C@@H]1CCC[C@@](CO)(NC(=[NH2+])NC(C)(C)C)C1
ZINC53128317	CCNC(=[NH2+])N[C@@]1(CO)CCC[C@H](C)C1
ZINC53256607	COCC[NH2+][C@H](C(N)=O)c1cc(C)c(O)c(C)c1
ZINC54135641	[NH3+]CCCCNC(=O)NC1CCCCC1
ZINC54135673	[NH3+]CCCCNC(=O)Nc1ccc(F)cc1F
ZINC54964742	Cc1ccccc1CSC[C@H]([NH3+])C(N)=O
ZINC55309377	NC(=O)[C@H]([NH3+])CSc1cccc(Br)c1
ZINC41223809	CC(C)Oc1ccc(/C=N/NC(N)=[NH2+])cc1
ZINC57837995	NC(=O)c1cccc(OCc2ccc(C[NH3+])cc2)c1
ZINC61273977	CC[NH2+][C@H](C)CC(=O)Nc1sccc1C(N)=O
ZINC61677349	CC[C@@H]([NH2+]C1(CO)CCCCC1)C(N)=O
ZINC61735273	NC(=[NH2+])NCc1ccc(OCc2cccc(F)c2)cc1
ZINC62052278	Cc1[nH]c(N[C@@H](C)Cc2ccc(F)cc2)c(N)[nH+]1
ZINC62532812	NC(=O)[C@H](N)CC[NH+]1CCC2(CCCCC2)CC1
ZINC62603295	NC(=O)[C@H]([NH3+])CCSc1cccc(Cl)c1
ZINC62603468	C[C@@H]1CCC[C@H](SCC[C@H]([NH3+])C(N)=O)C1
ZINC62831039	C[C@@]([NH3+])(CCSC1CCCC1)C(N)=O
ZINC62958088	CCC1(CC)CCN(C(=O)[C@H]([NH3+])CC(N)=O)CC1
ZINC63072743	CC1(C)CCC[N@H+]1C[C@@](N)(C(N)=O)c1ccccc1
ZINC11731108	Nc1ccc2c(c1)C[N@@H+]([C@H](CO)CCCO)C2
ZINC19367280	[NH3+]CCNCC(=O)N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC19488576	NC(=O)c1ccc(F)c(CSCC[NH3+])c1
ZINC19878778	CC(C)[C@@H](CO)[NH2+]CC[NH2+][C@@H](CO)C(C)C
ZINC20419571	CC[C@@H]([NH3+])c1ccc(O[C@H](C)C(N)=O)cc1
ZINC36307051	C[C@H](COc1cccc(F)c1C[NH3+])C(N)=O
ZINC37479044	CC(C)N(CC(N)=O)C(=O)[C@@](C)([NH3+])C1CC1
ZINC37482226	C[C@H](C1CC1)N(C)C(=O)[C@@H]([NH3+])CC(N)=O
ZINC37636079	NC(=O)CCCC[C@@H]([NH3+])c1cc(F)ccc1F
ZINC37636338	CC(C)Cc1ccc([C@@H]([NH3+])CCC(N)=O)cc1
ZINC37899372	C[N@@H+](CCO)Cc1ccc(/C(N)=N/O)cc1F
ZINC40225028	CC(C)c1ccc([C@@H]([NH3+])CC2(CC(N)=O)CCCC2)cc1
ZINC40675272	C[C@@H]([NH2+]C(C)(C)C(N)=O)C(=O)NC(C)(C)C
ZINC40694723	Nc1ccc(Cl)c(C[NH+](CCO)CCO)c1
ZINC42412828	C[C@H]([NH3+])Cc1cccc(Br)c1O[C@H](C)C(N)=O
ZINC42444136	CC[N@@H+](C[C@H](C)C(N)=O)C[C@@H](C)C(N)=S
ZINC42730605	Cc1ccsc1[C@@H]([NH3+])CCCCC(N)=O
ZINC42873249	Cc1nc(N[C@H](C)CC[NH+](C)C)c(N)[nH]1
ZINC42953033	C[C@H]([NH3+])[C@@H](c1ccc(Br)cc1)N(C)CC(N)=O
ZINC43123810	CC(C)N(CC(N)=O)[C@@H](c1ccsc1)[C@@H](C)[NH3+]
ZINC43240011	Cc1ccc([C@@H](C[NH3+])N(C)CC(N)=O)s1
ZINC43248780	Cc1ccsc1[C@@H]([C@H](C)[NH3+])N(CC(N)=O)C(C)C
ZINC43516820	C[C@H](C#N)[N@H+](CC(N)=O)Cc1ccc(N)cc1
ZINC44251128	NC(=O)C[C@@H]([NH3+])c1cccc(OC(F)(F)F)c1
ZINC44255644	CC(=O)c1cccc(-c2ccc([C@H]([NH3+])CC(N)=O)cc2)c1
ZINC44469506	N[C@@H](C[NH3+])c1cccc(OC(F)(F)C(F)F)c1
ZINC44470169	N[C@@H](C[NH3+])c1ccc(OCc2cc(F)cc(F)c2)cc1
