ZINC01406388	O=[N+]([O-])c1ccc(Sc2ccc(Br)cc2)c(Br)c1
ZINC33374396	CCCCCOc1ccc(C2C(C(=O)c3ccc(OC)c(C)c3)=C([O-])C(=O)N2CCN2CCOCC2)cc1
ZINC16733396	CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCCOC(C)C)C2c2ccc(C(C)C)cc2)cc1Cl
ZINC09379996	CCOc1ccc(C2C(C(=O)c3ccc(OCC(C)C)c(C)c3)=C([O-])C(=O)N2CCOC)cc1OC
ZINC33488970	CCCCCOc1cccc(C2C(C(=O)c3cccs3)=C([O-])C(=O)N2CCCN2CCOCC2)c1
ZINC33767650	C=CCOc1ccc(C2C(C(=O)c3ccc(OCCCC)cc3C)=C([O-])C(=O)N2CCN2CCOCC2)cc1
ZINC33774670	CCCCCOc1ccc(C2C(C(=O)c3ccc(OC)cc3)=C([O-])C(=O)N2CCOC)cc1OCC
ZINC34920420	C=CCOc1ccc(C2C(C(=O)c3ccc(OCC)cc3)=C([O-])C(=O)N2c2nccs2)cc1OCC
ZINC35038581	C=CCOc1ccc(C2C(C(=O)c3ccc(OC)c(C)c3)=C([O-])C(=O)N2CCCN2CCOCC2)cc1
ZINC35420881	CCOc1cc(C2C(C(=O)/C=C/c3ccccc3)=C([O-])C(=O)N2c2nccs2)ccc1OCCC(C)C
ZINC35443241	CCOc1cc(C2C(C(=O)/C=C/c3ccccc3)=C([O-])C(=O)N2CCOC)ccc1OCc1ccccc1
ZINC35565965	CCCCCCOc1ccc(C2C(C(=O)c3sc(C)nc3C)=C([O-])C(=O)N2c2nccs2)cc1
ZINC35565966	CCCCCCOc1ccc(C2C(C(=O)c3sc(C)nc3C)=C([O-])C(=O)N2c2nccs2)cc1
ZINC35695867	COCCOC(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])NC(C)c3ccccc3)N2C1c1cccs1
ZINC36058653	C=CCOC(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])NCCN3CCOCC3)N2C1c1ccccc1F
ZINC36064403	CCOC(=O)C1=C(C(F)(F)F)N=C2SC=C(/C=C(\[O-])NCC(C)C)N2C1c1ccccc1OC
ZINC36064415	CCOC(=O)C1=C(C(F)(F)F)N=C2SC=C(/C=C(\[O-])NCCOC)N2C1c1cc(C)ccc1C
ZINC36064772	CCC(C)N/C([O-])=C/C1=CSC2=NC(C)=C(C(=O)OC(C)(C)C)C(c3cccc(OC)c3OC)N12
ZINC08441515	CCCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2CC2CCCO2)cc1
ZINC38277812	CCCCCOc1ccc(C2C(C(=O)c3ccc(F)cc3)=C([O-])C(=O)N2CC2CCCO2)cc1OC
ZINC39997327	C=CCOc1ccc(/C=C(C#N)/C([O-])=N/c2nnc(SCc3ccccc3Cl)s2)cc1OC
ZINC40003166	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(c3nnc(SCC)s3)C2c2ccc(CC)cc2)cc1
ZINC40003244	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(c3nnc(SCC=C)s3)C2c2cccs2)cc1
ZINC40027225	C=CCN1C(=O)C([O-])=C(C(=O)c2ccc(OCC)c(C)c2)C1c1ccc(OCCCCCC)c(OC)c1
ZINC40047797	CC(C)CCOc1cccc(C2C(C(=O)c3ccc(Br)cc3)=C([O-])C(=O)N2CCCO)c1
ZINC40047798	CC(C)CCOc1cccc(C2C(C(=O)c3ccc(Br)cc3)=C([O-])C(=O)N2CCCO)c1
ZINC40048830	CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCCO)C2c2ccc(OCCC(C)C)c(OC)c2)cc1C
ZINC40076922	CCCCOc1ccc(C2C(C(=O)c3ccc(Br)cc3)=C([O-])C(=O)N2CCOCCO)cc1
ZINC40080009	CCCCCOc1ccc(C2C(C(=O)c3ccc(OC)cc3C)=C([O-])C(=O)N2CCO)cc1OCC
ZINC40080109	CCCCCCOc1ccc(C2C(C(=O)c3ccc(OC)cc3C)=C([O-])C(=O)N2CCO)cc1OC
ZINC40081527	CCCCCOc1ccc(C2C(C(=O)c3ccc(OCC)cc3C)=C([O-])C(=O)N2CCO)cc1OC
ZINC40082391	CCCCOc1ccc(C2C(C(=O)c3ccc(OCCC)cc3C)=C([O-])C(=O)N2CCO)cc1OC
ZINC40083818	CCCCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2ccc(OCC)c(OCC)c2)c(C)c1
ZINC40084848	CCOc1ccc(C2C(C(=O)c3ccc(OCC(C)C)cc3C)=C([O-])C(=O)N2CCO)cc1OCC
ZINC40085121	CCCCCOc1ccc(C2C(C(=O)c3ccc(OC)c(C)c3)=C([O-])C(=O)N2CCOCCO)cc1
ZINC40085311	CCOc1cc(C2C(C(=O)c3ccc(OC)c(C)c3)=C([O-])C(=O)N2CCO)ccc1OCCC(C)C
ZINC40092060	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCOCCO)C2c2c(Cl)cccc2Cl)cc1C
ZINC40093099	C=CCOc1ccc(C2C(C(=O)c3ccc(OCCCC)c(C)c3)=C([O-])C(=O)N2CCCC)cc1OC
ZINC40093762	CCOc1ccc(C2C(C(=O)c3ccc(OCC(C)C)c(C)c3)=C([O-])C(=O)N2CCOCCO)cc1
ZINC40095569	CCCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2CCO)cc1OCC
ZINC40110209	C=CCOc1ccc(C2C(C(=O)c3ccc(OCc4ccc(F)cc4)cc3)=C([O-])C(=O)N2CCO)cc1
ZINC40124260	CCOc1cc(C2NC(=O)C([O-])=C2C(=O)c2cc(C)c(OCC(C)C)c(C)c2)ccc1OCCC(C)C
ZINC39898167	COCCN1C(=O)c2n[nH]c(-c3cc(Cl)ccc3[O-])c2C1c1ccc(OCCC(C)C)c(OC)c1
ZINC39898405	CCCN1C(=O)c2[nH]nc(-c3cc(Cl)ccc3O)c2C1c1ccc(OCCC(C)C)c(OCC)c1
ZINC39898405	CCCN1C(=O)c2n[nH]c(-c3cc(Cl)ccc3O)c2C1c1ccc(OCCC(C)C)c(OCC)c1
ZINC40938414	CCCCCOc1c(Br)cc(/C=C2\SC(=S)N(CCCC(=O)[O-])C2=O)cc1OC
ZINC41120655	COc1cc(/C=C(C#N)/C([O-])=N/c2nc3ccccc3s2)ccc1OCCCOc1cccc(C)c1
ZINC41120655	COc1cc(/C=C(C#N)/C(O)=N/c2nc3ccccc3s2)ccc1OCCCOc1cccc(C)c1
ZINC03884682	COc1ccc(-c2nn(-c3ccccc3)cc2/C=C(\CC(=O)[O-])c2nc3ccccc3s2)cc1
ZINC01805119	O=C([O-])CCCCCN1C(=O)/C(=C\c2ccc(-c3cc(Cl)ccc3Cl)o2)SC1=S
ZINC02381898	O=C([O-])C(c1ccccc1)N1C(=O)/C(=C/c2ccccc2OCc2ccccc2Cl)SC1=S
ZINC11852672	Cc1ccc(C2=NN(C(=O)CCCC(=O)[O-])C(Cc3cc4cccc(C)c4nc3Cl)C2)cc1
ZINC12349987	CCN1C(=O)/C(=C\c2cc(Cl)c(OCC(=O)[O-])c(OC)c2)S/C1=N\c1ccc(F)cc1
ZINC13033176	O=C([O-])CCCCN1C(=O)/C(=C\c2ccc(-c3cccc(Br)c3)o2)SC1=S
ZINC13201650	CCn1c(SCC(=O)c2cc(C)n(-c3ccc(F)cc3)c2C)nc2cc(C(=O)[O-])ccc2c1=O
ZINC13218901	C=CCn1c(SCc2nc3cc(C(=O)[O-])ccc3n2CC)nc2ccc(Cl)cc2c1=O
ZINC13273011	CCN(CC)S(=O)(=O)c1ccc(Sc2nc(-c3ccc(C)cc3)cs2)c(C(=O)[O-])c1
ZINC13280268	CC(C)Cn1c(SCC(=O)c2ccc(Br)s2)nc2cc(C(=O)[O-])ccc2c1=O
ZINC13333084	C=CCn1c(SCc2noc(-c3ccc(F)cc3)c2C)nc2cc(C(=O)[O-])ccc2c1=O
ZINC13362970	Cc1ccc(-c2nn(-c3ccccc3Cl)cc2/C=C2\SC(=S)N(CCCC(=O)[O-])C2=O)cc1
ZINC13412732	O=C([O-])c1ccoc1CSc1nc2ccccc2c(=O)n1-c1ccc(SC(F)F)cc1
ZINC13414929	O=C([O-])Cc1csc(SCC(=O)N2N=C(c3ccc(Cl)cc3)CC2c2ccco2)n1
ZINC13416416	Cc1ccc(C2=NN(C(=O)CSc3nc(CC(=O)[O-])cs3)C(c3cccs3)C2)o1
ZINC13431224	CCc1c(C)sc2nc(SCc3c(C(=O)[O-])oc4ccccc34)n(CC3CCCO3)c(=O)c12
ZINC16911133	CCC(Oc1ccccc1/C=C1/SC(=S)N(c2ccc(C(C)CC)cc2)C1=O)C(=O)[O-]
ZINC13550549	CCOC(=O)c1sc(N2C(=O)C([O-])=C(C(=O)c3cccs3)C2c2ccccc2F)nc1C
ZINC20935673	COC(=O)CN1C(=O)CSc2ccc(S(=O)(=O)[N-]c3cccc(C(F)(F)F)c3)cc21
ZINC23216355	CC(OC(=O)c1cccc([N-]S(=O)(=O)c2ccc(F)c(F)c2)c1)C(=O)N1CCc2ccccc21
ZINC23216359	CC(OC(=O)c1cccc([N-]S(=O)(=O)c2ccc(F)c(F)c2)c1)C(=O)N1CCc2ccccc21
ZINC13894599	O=[N+]([O-])c1ccc(OCCOc2ccc(Br)cc2)c(/C=C2\SC(=S)N=C2[O-])c1
ZINC25397088	CCN1CC(CN(C)C(=O)c2ccccc2[N-]S(=O)(=O)c2ccc(F)cc2)Oc2ccccc21
ZINC33299046	CCCS(=O)(=O)c1nc2ccc([N-]S(=O)(=O)c3cc(Cl)ccc3OC)cc2s1
ZINC34917683	C=CCOc1ccc(C2C(C(=O)c3ccco3)=C([O-])C(=O)N2c2nc3ccc(F)cc3s2)cc1
ZINC16733479	CCOc1ccc(C(=O)C2=C([O-])C(=O)N(Cc3ccco3)C2c2cccc(F)c2)cc1Cl
ZINC35484201	COCCCN1C(=O)C([O-])=C(C(=O)c2nc3c(C)cccn3c2C)C1c1ccc(Cl)cc1
ZINC35566806	COCCCN1C(=O)C([O-])=C(C(=O)c2sc(C)nc2C)C1c1ccc(Cl)c(Cl)c1
ZINC35684047	CCOc1ccc(C2CC(c3ccccc3[N-]S(=O)(=O)c3ccccc3)=NN2C(C)=O)cc1
ZINC35697314	C=CCOC(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])N3CCOCC3)N2C1c1ccc(C)cc1
ZINC09380703	COCCN1C(=O)C([O-])=C(C(=O)c2ccc(OC)c(C)c2)C1c1ccc(Cl)c(Cl)c1
ZINC37601216	CC(C)CC(=O)N1CCc2ccc(OCc3nc(C(=O)[O-])cs3)cc2C1c1cccc(F)c1
ZINC00953553	COC(=O)c1sc(S(=O)(=O)[N-]c2ccc(Br)cc2)c(C(=O)OC)c1C
ZINC08670561	Cc1ccc(-c2nn(-c3ccccc3)cc2C2CC(c3cccs3)=NN2C(=O)CCC(=O)[O-])cc1
ZINC38255283	CC1Cc2cc(C(=O)C3=C([O-])C(=O)N(CCCN4CCOCC4)C3c3ccc(F)cc3)ccc2O1
ZINC38621425	CCOCCCn1c([O-])c(C(=O)c2oc3cc(Br)ccc3c2C)c(C)c(C#N)c1=O
ZINC09888838	CCCOc1ccc2ccccc2c1CN(C)C(=O)Cn1c([S-])nnc1-c1cccs1
ZINC39848838	CCOc1ccc(C2C(C(=O)c3ccc4cc(OC)ccc4c3)=C([O-])C(=O)N2c2nccs2)cc1
ZINC39997963	CC(C)Cc1nnc(/N=C([O-])/C(C#N)=C/c2cn(-c3ccccc3)nc2-c2cccs2)s1
ZINC39997965	Cc1ccc(-c2nn(-c3ccccc3)cc2/C=C(C#N)/C([O-])=N/c2nnc(CC(C)C)s2)cc1
ZINC39999420	CCSc1nnc(N2C(=O)C([O-])=C(C(=O)c3cccs3)C2c2ccc(CC)cc2)s1
ZINC40000132	CCSc1nnc(N2C(=O)C([O-])=C(C(=O)c3ccc(OC)c(C)c3)C2c2ccccc2F)s1
ZINC40027059	C=CCN1C(=O)C([O-])=C(C(=O)c2ccc(OC)c(C)c2)C1c1cc(Br)ccc1OC
ZINC59076353	Cc1ccc(S(=O)(=O)/N=C(\[O-])N(Cc2ccc(Cl)cc2Cl)CC2CCCO2)cc1
ZINC33314415	COc1cc(/C=C2\SC(=S)N(CC(=O)[O-])C2=O)ccc1OCc1ccc(F)cc1Cl
ZINC59851481	COc1ccc([N-]S(=O)(=O)c2ccc(Cl)s2)cc1OCc1cn2ccccc2n1
ZINC60193443	Cc1cc(C)c(S(=O)(=O)N(CCc2ccccc2)c2ccccc2)c(C)c1[N-]S(C)(=O)=O
ZINC60293213	CCOC(=O)C1CCCCN1C(=O)c1ccc([N-]S(=O)(=O)c2ccc(F)c(F)c2)cc1
ZINC09329612	COc1ccc(N2C(=O)C(=O)/C(=C([O-])\C=C\c3ccccc3)C2c2ccc(OC)c(OC)c2)cc1
ZINC09329612	COc1ccc(N2C(=O)C([O-])=C(C(=O)/C=C/c3ccccc3)C2c2ccc(OC)c(OC)c2)cc1
ZINC08743525	Cc1ccc(C(C)C)c(OCCn2cccc2/C=C2\C(=O)N=C([O-])N(c3ccc(F)cc3)C2=O)c1
ZINC16918352	CCOc1cc(/C=C2/SC(=S)N(c3ccc(N(CC)CC)cc3)C2=O)ccc1OC(CC)C(=O)[O-]
ZINC24081437	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCCN3CCOCC3)C2c2ccc(C(C)C)cc2)cc1C
ZINC33374398	CCCCCOc1ccc(C2C(C(=O)c3ccc(OC)c(C)c3)=C([O-])C(=O)N2CCN2CCOCC2)cc1
ZINC33437003	CCCCOc1cccc(C(=O)C2=C([O-])C(=O)N(Cc3ccco3)C2c2ccc(OCC)c(OC)c2)c1
ZINC33437004	CCCCOc1cccc(C(=O)C2=C([O-])C(=O)N(Cc3ccco3)C2c2ccc(OCC)c(OC)c2)c1
ZINC33522910	CCCCCOc1ccc(C2C(C(=O)c3cc4cccc(OC)c4o3)=C([O-])C(=O)N2CCCOC)cc1
ZINC33522932	CCCCCOc1cccc(C2C(C(=O)c3cc4cccc(OC)c4o3)=C([O-])C(=O)N2CCCOC)c1
ZINC33522933	CCCCCOc1cccc(C2C(C(=O)c3cc4cccc(OC)c4o3)=C([O-])C(=O)N2CCCOC)c1
ZINC16731751	CCCCCOc1ccc(C2C(C(=O)c3ccc(C)c(F)c3)=C([O-])C(=O)N2Cc2ccco2)cc1OC
ZINC33591538	CCCOc1ccc(C2C(C(=O)c3ccc(OCC(C)C)cc3)=C([O-])C(=O)N2CCCN2CCOCC2)cc1
ZINC09308823	CCCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2CCCOC)cc1OCC
ZINC33767651	C=CCOc1ccc(C2C(C(=O)c3ccc(OCCCC)cc3C)=C([O-])C(=O)N2CCN2CCOCC2)cc1
ZINC33814329	CCCCCCOc1ccc(C2C(C(=O)c3c(C)nc4ccccn34)=C([O-])C(=O)N2CCCOC)cc1
ZINC34922748	COCCOC(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])NCCOc3ccccc3)N2C1c1ccccc1
ZINC34922749	COCCOC(=O)C1=C(C)N=C2SC=C(/C=C(\[O-])NCCOc3ccccc3)N2C1c1ccccc1
ZINC34944164	CCCCOc1ccc(C2C(C(=O)c3cc(C)ccc3C)=C([O-])C(=O)N2CCCN2CCOCC2)cc1
ZINC34944471	CCCCCOc1ccc(C2C(C(=O)c3cc(C)ccc3C)=C([O-])C(=O)N2CCN2CCOCC2)cc1
ZINC35443413	CCCCCOc1ccc(C2C(C(=O)/C=C/c3ccccc3)=C([O-])C(=O)N2CCCOC)cc1OCC
ZINC35443709	CCCCCOc1cccc(C2C(C(=O)/C=C/c3ccccc3)=C([O-])C(=O)N2CCCN2CCOCC2)c1
ZINC35484252	CCCCCOc1ccc(C2C(C(=O)c3nc4c(C)cccn4c3C)=C([O-])C(=O)N2CCCOC)cc1
ZINC35484253	CCCCCOc1ccc(C2C(C(=O)c3nc4c(C)cccn4c3C)=C([O-])C(=O)N2CCCOC)cc1
ZINC35568483	CCCCOc1ccc(C2C(C(=O)c3sc(C)nc3C)=C([O-])C(=O)N2CC2CCCO2)cc1OCC
ZINC38256194	CCCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2Cc2ccco2)cc1OC
ZINC39533612	CC(C)Cc1ccc(C(C[N-]S(=O)(=O)Oc2ccccc2)N2CCNC(S(=O)(=O)C(C)C)C2)cc1
ZINC40003585	CCCCCCOc1ccc(C2C(C(=O)c3c(C)nc4c(C)cccn34)=C([O-])C(=O)N2CCOC)cc1
ZINC40003643	CCCCCOc1ccc(C2C(C(=O)c3c(C)nc4c(C)cccn34)=C([O-])C(=O)N2CCCOC)cc1
ZINC40027811	C=CCOc1ccc(C2C(C(=O)c3ccc(OCC(C)C)c(C)c3)=C([O-])C(=O)N2CC=C)cc1OCC
ZINC40028403	C=CCN1C(=O)C([O-])=C(C(=O)c2cc3cccc(OC)c3o2)C1c1ccc(OCCCCC)c(OC)c1
ZINC40028434	C=CCN1C(=O)C([O-])=C(C(=O)c2cc3cccc(OC)c3o2)C1c1ccc(OCCC(C)C)c(OC)c1
ZINC40028479	C=CCN1C(=O)C([O-])=C(C(=O)c2cc3cccc(OC)c3o2)C1c1ccc(OCCC(C)C)c(OCC)c1
ZINC40053162	CCOc1cc(C2C(C(=O)c3cc4ccccc4o3)=C([O-])C(=O)N2CCCO)ccc1OCCC(C)C
ZINC40053316	CCCCCCOc1ccc(C2C(C(=O)c3cc4cccc(OC)c4o3)=C([O-])C(=O)N2CCCO)cc1
ZINC40054416	C=CCOc1ccc(C2C(C(=O)c3cccc(OCCCC)c3)=C([O-])C(=O)N2CCCO)cc1OCC
ZINC40083565	C=CCOc1ccc(C2C(C(=O)c3ccc(OCCCC)cc3C)=C([O-])C(=O)N2CCOCCO)cc1
ZINC40083595	C=CCOc1cccc(C2C(C(=O)c3ccc(OCCCC)cc3C)=C([O-])C(=O)N2CCOCCO)c1
ZINC40083675	C=CCOc1ccccc1C1C(C(=O)c2ccc(OCCCC)cc2C)=C([O-])C(=O)N1CCOCCO
ZINC40083725	CCCCCOc1ccc(C2C(C(=O)c3ccc(OCCCC)cc3C)=C([O-])C(=O)N2CCO)cc1OC
ZINC40092061	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCOCCO)C2c2c(Cl)cccc2Cl)cc1C
ZINC40095074	CCCCCOc1cccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2CCOCCO)c1
ZINC40095077	CCCCCOc1cccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2CCOCCO)c1
ZINC40095731	CCCCCCOc1ccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C([O-])C(=O)N2CCO)cc1OC
ZINC40097084	CCCCCCOc1ccc(C2C(C(=O)c3cc4ccccc4o3)=C([O-])C(=O)N2CCOCCO)cc1
ZINC40097086	CCCCCCOc1ccc(C2C(C(=O)c3cc4ccccc4o3)=C([O-])C(=O)N2CCOCCO)cc1
ZINC40098387	C=CCOc1ccc(C2C(C(=O)c3cc4cccc(OC)c4o3)=C([O-])C(=O)N2CCCC)cc1OCC
ZINC40099370	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCOCCO)C2c2cccc(OCCC(C)C)c2)cc1
ZINC40099371	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCOCCO)C2c2cccc(OCCC(C)C)c2)cc1
ZINC40099522	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2ccc(OCCCCC)c(OCC)c2)cc1
ZINC40102118	C=CCOc1cccc(C(=O)C2=C([O-])C(=O)N(CCOCCO)C2c2cccc(OCCC(C)C)c2)c1
ZINC40110204	CCCOc1ccc(C2C(C(=O)c3ccc(OCc4ccc(F)cc4)cc3)=C([O-])C(=O)N2CCO)cc1
ZINC40110220	CCCOc1cccc(C2C(C(=O)c3ccc(OCc4ccc(F)cc4)cc3)=C([O-])C(=O)N2CCO)c1
ZINC04570380	COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCCC(=O)[O-])cc1OC
ZINC05373714	CCOc1ccc(/C=C2\SC(=S)N(C(C(=O)[O-])C(C)CC)C2=O)cc1OC
ZINC06731115	CCC(C)c1ccc(S(=O)(=O)N2CCN(C(=O)CC(C)CC(=O)[O-])CC2)cc1
ZINC10516359	O=C([O-])/C=C/c1ccc(S(=O)(=O)Nc2ccc(OCC(F)(F)F)cc2)cc1
ZINC13066764	Cc1ccc(/C=C/C(=O)c2ccc(S(=O)(=O)N(C)CCCC(=O)[O-])cc2)cc1
ZINC13203995	CN(Cc1c(F)cccc1Cl)C(=O)CSc1nnc(-c2cccs2)n1CC(=O)[O-]
ZINC13205599	CCCn1c(C)cc(C(=O)CSc2nnc(-c3ccc(C)cc3)n2CC(=O)[O-])c1C
ZINC13216884	CCOc1cc(/C=C2\C(=O)N(CCC(=O)[O-])C(=O)c3ccccc32)cc(Br)c1OCC
ZINC13249773	COCCN(c1ccc(C(F)(F)F)cn1)S(=O)(=O)c1cc(C(=O)[O-])ccc1Br
ZINC13267642	COc1cc(/C=C/C(=O)[O-])ccc1OS(=O)(=O)c1ccc(OC(F)(F)F)cc1
ZINC13313948	CCOc1ccc(C2CCCN2S(=O)(=O)c2cc(/C=C/C(=O)[O-])ccc2OC)cc1
ZINC13313949	CCOc1ccc(C2CCCN2S(=O)(=O)c2cc(/C=C/C(=O)[O-])ccc2OC)cc1
ZINC13313952	CCOc1ccc(C2CCCN2S(=O)(=O)c2ccc(CCC(=O)[O-])cc2)cc1
ZINC13396913	CCCCCn1c(SCC(=O)N2CCCC(C(=O)[O-])C2)nc2sc3c(c2c1=O)CCC3
ZINC13880021	CCCCOc1ccc(Br)cc1/C=C1/SC(=S)N(CCC(=O)[O-])C1=O
ZINC16917196	CCOc1cc(/C=C2/SC(=S)N(C(C)c3ccccc3)C2=O)ccc1OC(C)C(=O)[O-]
ZINC16918273	CCOc1cc(/C=C2/SC(=S)N(c3ccc(F)cc3)C2=O)ccc1OC(CC)C(=O)[O-]
ZINC06196413	CCOc1ccc(C2C(C(=O)c3ccc(OC)c(C)c3)=C([O-])C(=O)N2CCOC)cc1
ZINC17180404	COc1ccc(C(=O)C2=C([O-])C(=O)N(CCCN3CCOCC3)C2c2cccs2)cc1C
ZINC20191340	CCc1ccc(C2C(C(=O)c3ccc(F)cc3)=C([O-])C(=O)N2CCCN2CCOCC2)cc1
ZINC16919660	CCOc1cc(/C=C2/SC(=S)N(C3CCCCC3)C2=O)ccc1OCCC(=O)[O-]
ZINC33770677	CCCCOc1ccc(C2C(C(=O)c3ccncc3)=C([O-])C(=O)N2Cc2ccco2)cc1
ZINC35277580	CCN(CC)c1ccc(C2C(C(=O)c3cccs3)=C([O-])C(=O)N2CC2CCCO2)cc1
ZINC35278119	CCN(CC)c1ccc(C2C(C(=O)c3ccc(F)cc3)=C([O-])C(=O)N2CC2CCCO2)cc1
ZINC35565921	CCCCOc1ccc(C2C(C(=O)c3sc(C)nc3C)=C([O-])C(=O)N2c2nccs2)cc1
ZINC37274941	Cc1ccc(OCC(=O)c2ccc3c(c2)N(CCCC(=O)[O-])C(=O)CO3)c(Cl)c1
ZINC08587734	CCOCCc1nnc(/N=C(\[O-])C(=O)c2cc(C)n(-c3ccc(C)cc3C)c2C)s1
ZINC08951534	CCOc1ccc(C2C(C(=O)c3cc(C)ccc3C)=C([O-])C(=O)N2CCOC)cc1OC
ZINC38617436	CCC(C)n1c([O-])c(C(=O)CCCN2C(=O)/C(=C/c3ccccc3)SC2=S)c(C)c(C#N)c1=O
ZINC38620859	CCC(Oc1ccccc1F)C(=O)c1c(C)c(C#N)c(=O)n(CCCOC)c1[O-]
ZINC39380006	C=CCO/C([O-])=C1\C(C)=NC2=NC(SCCC)=NC(=O)C2C1c1ccc(OC)cc1
ZINC39380132	C=CCO/C([O-])=C1/C(C)=NC2=NC(SCCCC)=NC(=O)C2C1c1cccs1
ZINC39827464	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCCOC)C2c2ccccc2OCC)cc1
ZINC39849492	O=C(/C=C/c1ccco1)C1=C([O-])C(=O)N(CCCN2CCOCC2)C1c1ccc(Cl)c(Cl)c1
ZINC39868074	COc1ccc(/C=C/C(=O)Oc2ccc(/C=C3/SC(=S)N(CC(=O)[O-])C3=O)cc2)cc1
ZINC40026828	C=CCN1C(=O)C([O-])=C(C(=O)c2ccc(OCC(C)C)cc2)C1c1cccc(O)c1
ZINC40027922	C=CCN1C(=O)C([O-])=C(C(=O)c2ccc(F)cc2)C1c1cc(OC)c(OC)c(OC)c1
ZINC40067558	CCCCN1C(=O)C([O-])=C(C(=O)c2cccs2)C1c1ccc(OC)c(OC)c1
ZINC40083105	C=CCOc1ccc(C(=O)C2=C([O-])C(=O)N(CCO)C2c2ccc(C)cc2)c(C)c1
ZINC40111894	CCCCN1C(=O)C([O-])=C(C(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)C1c1ccc(F)cc1
ZINC40115639	COc1cc(C2NC(=O)C([O-])=C2C(=O)c2cccs2)ccc1OCCC(C)C
ZINC40124378	CCCCOc1ccc(C2NC(=O)C([O-])=C2C(=O)c2ccc(F)cc2)cc1OC
ZINC41958832	CCCN(CC1CC1)C(=O)c1ccc([N-]S(=O)(=O)c2ccc(F)c(F)c2)cc1
ZINC17335275	COCCCn1c([S-])nc2cc(C(=O)NCCC3=CCCCC3)ccc2c1=O
ZINC49574915	CCCS(=O)(=O)N1CCCC1/C([O-])=N/c1nnc(SCc2ccc(F)cc2)s1
ZINC28201753	COCCOC(=O)c1ccc([N-]S(=O)(=O)c2ccc(Br)cc2)cc1
ZINC19945812	CCOc1ccc(/C=N/c2ccc(S(=O)(=O)[N-]c3nccs3)cc2)cc1OCC
ZINC15276641	CCOC(=O)c1ccc(N=C2S[C@H](C(=O)[O-])CC(=O)N2CCc2ccccc2F)cc1
ZINC64862978	CCOC(=O)C1=C(C)C(S(=O)(=O)[N-]c2ccc(OC(F)(F)F)cc2)C(C)=N1
ZINC64873491	Cc1cc(OCCCC(=O)NCCCC(=O)[O-])c(Br)c(C)c1Cl
ZINC03883397	COc1ccc(C2C(C(=O)[O-])C3C=CC=CC3C(=O)N2CCCCl)cc1OC
ZINC02102348	Cc1c(CCC(=O)N(C)CC(=O)[O-])c(=O)oc2c(C)c3oc4c(c3cc12)CCCC4
ZINC05348010	O=C([O-])C1CCN(C(=O)CCCN2C(=O)/C(=C\c3ccco3)SC2=S)CC1
ZINC05373876	CCC(C)C(C(=O)[O-])N1C(=O)/C(=C\c2ccc(Br)o2)SC1=S
ZINC02830353	C=CCN1C(=O)S/C(=C\c2ccc(OCC(=O)[O-])c(Br)c2)C1=O
ZINC05661028	COc1cc([N+](=O)[O-])cc(/C=C2/SC(=S)N(Cc3ccccc3)C2=O)c1[O-]
ZINC06498697	Cc1cc(C)c(N2/C(=N/C(=O)CCCC(=O)[O-])SC3CS(=O)(=O)CC32)c(C)c1
ZINC09593597	Cc1nn(C2CCS(=O)(=O)C2)c(C)c1/C=C(\CC(=O)[O-])c1nc2ccccc2s1
ZINC13079720	O=C([O-])CCCCN1C(=O)/C(=C\c2cc(Cl)c3c(c2)OCO3)SC1=S
ZINC13348498	Cc1cc(/C=C2\SC(=S)N(CCCC(=O)[O-])C2=O)c(C)n1-c1ccc(Cl)cc1
ZINC13350273	Cc1ccccc1-n1c(C)cc(/C=C2\SC(=S)N(CCC(=O)[O-])C2=O)c1C
