ZINC01208863	CN1C(=O)N(C)C2C1N(CO)C(=O)N2CO
ZINC57148955	Cc1cc(Nc2cnn(CCO)c2)n2nc(C(F)(F)F)nc2n1
ZINC65533209	CN(C)C(=O)N1CCN(C(=O)NCCC(=O)NC2CCCC2)CC1
ZINC65591987	CC(=O)N1CCCN(C(=O)NCCNC(=O)OC(C)(C)C)CC1
ZINC65869096	NC(=O)C1CCN(C(=O)Cn2ccc3cc([N+](=O)[O-])ccc32)C1
ZINC66200975	CC1(C)OC(=O)C(/C=N/Cc2ccc(S(N)(=O)=O)cc2)C(=O)O1
ZINC66333612	CC1CCC(C(N)=O)CN1S(=O)(=O)c1ccc([N+](=O)[O-])s1
ZINC66363839	COC(=O)N1CCC(NC(=O)NC(C)Cn2nc(C)cc2C)CC1
ZINC66364058	COC(=O)N1CCC(NC(=O)NCCN2CCCCCC2=O)CC1
ZINC66467027	NC(=O)COC1CCN(c2nc3ccc([N+](=O)[O-])cc3s2)CC1
ZINC66591254	Cn1ncc(C(=O)NNC(=O)c2ccc3c(c2)OCO3)c1C(F)F
ZINC66677824	Cc1ccc(N2C(=O)CCC2=O)cc1NC(=O)c1ccc2[nH]nnc2c1
ZINC66818292	CNS(=O)(=O)c1cccc(C(C)Nc2ncnc3c2cnn3C)c1
ZINC67053750	CC(=O)NCc1ccc(C(=O)Nc2ccccc2-n2cnnn2)s1
ZINC01635217	COC(=O)C1NC(O)(C(=O)[O-])SC1(C)C
ZINC05742393	COC(=O)C1NC(O)(C(=O)[O-])SC1(C)C
ZINC04688558	Cc1cc(S(=O)(=O)[O-])c(N)cc1C(C)C
ZINC16943483	NC(=O)C1C2C=CC(O2)C1C(=O)[O-]
ZINC20256386	CC(C)(C)NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC20256390	CC(C)(C)NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC20412390	CC(=O)NC(C(C)C)P(=O)([O-])O
ZINC19437815	NS(=O)(=O)N1CCCC(C(=O)[O-])C1
ZINC35101208	O=C(NC1CCC(O)CC1)c1ccc([O-])nn1
ZINC35588657	CNC(=O)NC(CC(=O)[O-])c1ccsc1
ZINC36743326	CS(=O)(=O)[N-]c1ccc(N)cc1C#N
ZINC36927987	NC(=O)Cn1c([S-])nnc1-c1cccnc1
ZINC37516591	NC(=O)C1CCCN(C(=O)C2CC2C(=O)[O-])C1
ZINC37516671	NC(=O)C1CCN(C(=O)C2CC2C(=O)[O-])CC1
ZINC39085185	CSC1=C(C(=O)[O-])C(=O)[NH+]=C1N[O-]
ZINC39121736	CCc1nnc([N-]S(N)(=O)=O)s1
ZINC39135800	CC(C)(NC(=O)c1cccc(F)c1O)C(=O)[O-]
ZINC40529021	O=C(NC1CC1)NC1(C(=O)[O-])CCCCCC1
ZINC40529744	CCC(CC)NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC40537408	CC(C)CCNC(=O)N1CC(O)CC1C(=O)[O-]
ZINC40541679	NC(=O)Cn1c(C(=O)[O-])cc2occc21
ZINC40566393	O=C(NCC1CCC1)NC1(C(=O)[O-])CCCC1
ZINC40575677	CC(NC(=O)NC(C)(C(=O)[O-])C1CC1)C1CC1
ZINC40605158	CC(NC(=O)Nc1cccc(F)c1F)C(=O)[O-]
ZINC40605278	CC(C)(C)CNC(=O)N1CC(O)CC1C(=O)[O-]
ZINC40700106	O=C([O-])C(CCO)NC(=O)N1CCCCCC1
ZINC40909419	Cc1ccc(C(=O)NC(C)(C)C(=O)[O-])cc1O
ZINC40910399	CC(C)(NC(=O)NC1CCCCC1)C(=O)[O-]
ZINC40911958	CC1CCCCC1NC(=O)NC(C)(C)C(=O)[O-]
ZINC41035834	CC1CCCC(NC(=O)NC2CC2)(C(=O)[O-])C1
ZINC42414117	O=C([O-])C1CC1C(=O)Nc1ccn[nH]1
ZINC42435152	O=C([O-])CCNC(=O)N1CCCC1CO
ZINC44528714	NCC1CCCN(C(=O)c2ncccc2[O-])C1
ZINC45648768	O=C([O-])CNC(=O)NCC1CC=CCC1
ZINC45930301	Cn1nc(C(=O)[O-])c(CCO)c1O
ZINC51040308	CN(CC(=O)[O-])c1cc(N)cc(F)c1
ZINC52011284	CN(CC(=O)[O-])C(=O)NC1CCCCC1O
ZINC52296736	CC1CC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC52296742	CC1CC1NC(=O)N1CC(O)CC1C(=O)[O-]
ZINC52297094	CCCC(C)(NC(=O)NC1CC1C)C(=O)[O-]
ZINC52297100	CCCC(C)(NC(=O)NC1CC1C)C(=O)[O-]
ZINC53278195	O=C([O-])C1CSC(c2cccc(O)c2)N1
ZINC41067623	CC1CCCC(NC(=O)NC(C)C)(C(=O)[O-])C1
ZINC36854701	Nc1cnccc1SC1CC([O-])=NC1=O
ZINC61712953	CC(C)(C)C(NC(=O)N1CCC(O)C1)C(=O)[O-]
ZINC61712954	CC(C)(C)C(NC(=O)N1CCC(O)C1)C(=O)[O-]
ZINC61713125	CC(CC(=O)[O-])NC(=O)N1CCC(O)C1
ZINC61834544	CC(CC(=O)[O-])CC(=O)Nc1cn[nH]c1
ZINC62135664	Nc1cccc(C(=O)N2CCC(C(=O)[O-])C2)c1
ZINC62721087	O=C([O-])CCc1c[nH]c2c1CC(=O)NC2
ZINC06008258	Cc1nc(SCC(=O)[O-])n[nH]1
ZINC01585086	CC([NH+]1CCS(=O)(=O)CC1)P(=O)([O-])[O-]
ZINC01687160	O=S(=O)([O-])C1(O)CCc2ccccc2C1
ZINC07636360	O=S(=O)([O-])C(O)C12CC3CC(CC(C3)C1)C2
ZINC19788482	Cc1cccc(NCCCS(=O)(=O)[O-])c1
ZINC22064204	O=C1N=C([O-])C2C3C=CC(CO)(O3)C12
ZINC26330337	Cc1cccc(NC(=O)C2C(=O)COC2=O)c1
ZINC34925141	Cc1cccc2[nH]c(S(=O)(=O)[O-])nc12
ZINC35187012	O=C(c1ccc([O-])nn1)N1CCCC(O)C1
ZINC36778236	O=C([O-])C1CCCN(C(=O)c2cn[nH]c2)C1
ZINC36947138	CC(NC(=O)c1cccnc1)(C(=O)[O-])C1CC1
ZINC37180460	O=C([O-])CS(=O)(=O)NCC1CCC1
ZINC37473543	C=CC(=O)N(CC(=O)[O-])c1ccc(O)cc1
ZINC37953616	O=C([O-])C1(Nc2ccccc2)CCSC1
ZINC37961716	O=C([O-])C1(Nc2cccc(F)c2)CCSC1
ZINC39070526	CC(O)c1nc([N+](=O)[O-])c[n-]1
ZINC39306058	O=C([O-])CCC1=c2ccccc2=[NH+]C1C(=O)[O-]
ZINC40523639	CC(NC(=O)N1CCCC1)(C(=O)[O-])C1CC1
ZINC40603933	CC1CCCN1C(=O)NC1(C(=O)[O-])CCCC1
ZINC40725671	CC1CCN(C(=O)N2CC(O)CC2C(=O)[O-])C1
ZINC40839763	O=Nc1cccc(C2NC(C(=O)[O-])CS2)c1
ZINC40909957	CC(C)(NC(=O)CCC1CCCO1)C(=O)[O-]
ZINC40911208	CC(C)(Nc1ncnc2ccsc12)C(=O)[O-]
ZINC40929548	CC(C)(C)C(NC(=O)C1CCOC1)C(=O)[O-]
ZINC40929606	CCCC(C)(NC(=O)C1CCOC1)C(=O)[O-]
ZINC40997708	Cc1ncc(CNC(=O)C2CC2C(=O)[O-])s1
ZINC43395266	CCCC(C)(Nc1nc(C)ccc1C#N)C(=O)[O-]
ZINC43672299	Cc1n[nH]c(C)c1-n1cc(C(=O)[O-])ccc1=O
ZINC44921233	CNC(=O)c1nc(Br)n[n-]1
ZINC45929192	CCS(=O)(=O)[N-]c1nnc[nH]1
ZINC48547995	N#CC(C(=O)C(=N)[O-])C1=NC2C=CC=CC2S1
ZINC50291665	O=C([O-])C1(C(=O)N2CCCC(O)C2)CCC1
ZINC50292924	O=C([O-])C1(C(=O)NCC2CCCOC2)CC1
ZINC50397003	O=C([O-])c1ccc(=O)n(C2CCCNC2=O)c1
ZINC50920124	O=C([O-])C1CCC(=O)N(CCCCO)C1
ZINC50920126	O=C([O-])C1CCC(=O)N(CCCCO)C1
ZINC53174449	COCC(C)(Nc1ccc(C)cc1F)C(=O)[O-]
ZINC39886268	N=C1N=C([O-])S/C1=C\c1cccnc1
ZINC54768487	CCCC(C)(NC(=O)C1CCCOC1)C(=O)[O-]
ZINC54768490	CCCC(C)(NC(=O)C1CCCOC1)C(=O)[O-]
ZINC54962250	CC1(C)SC(c2cccnc2)NC1C(=O)[O-]
ZINC44420683	O=C([O-])CNC(=O)N1CCOC2CCCCC21
ZINC59186829	CN1C(=N)N=C([O-])/C1=C\c1cccs1
ZINC61709442	O=C([O-])C1CC=CCC1C(=O)N1CCC(O)C1
ZINC61712892	O=C([O-])C1CCCCN1C(=O)N1CCC(O)C1
ZINC62913648	CC1(C(=O)[O-])CCN(C(=O)c2ccn[nH]2)C1
ZINC62963550	CC(C)(C(=O)[O-])C1(O)CCS(=O)(=O)C1
ZINC63134071	O=C([O-])/C=C/C(=O)NCCc1nccs1
ZINC08970595	CNc1sc2c([O-])cc(=O)[nH]c2c1C#N
ZINC06185664	O=C([S-])NC1CCS(=O)(=O)C1
ZINC01587895	CC(C)(CO)[NH+](CC(=O)[O-])CC(=O)[O-]
ZINC04149443	O=C([O-])C/N=C/C1C(=O)NC(=S)NC1=O
ZINC01626890	C[NH+](C)CC(O)(C(=O)[O-])C(=O)[O-]
ZINC03160648	CC(O)C(NC(=O)c1ccncc1)C(=O)[O-]
ZINC00490726	O=C(NC(CO)C(=O)[O-])c1cccnc1
ZINC20249809	CC(O)C(NC(=O)C1CCOCC1)C(=O)[O-]
ZINC20258349	CC(O)C(NC(=O)C1=COCCO1)C(=O)[O-]
ZINC21967237	CC(O)C(NC(=O)c1ccsc1)C(=O)[O-]
ZINC21967246	CC(O)C(NC(=O)c1ccsc1)C(=O)[O-]
ZINC22142032	CC(O)C(NC(=O)C1CCC1)C(=O)[O-]
ZINC22171096	CCN(CC)C(=O)CNC(=O)NCC(=O)[O-]
ZINC25722745	CC(Nc1ncn[nH]1)C(=O)[O-]
ZINC35024206	CC(N)/C(O)=N/C/C(O)=N/CC(=O)[O-]
ZINC35148553	CC(=O)NCCNC(=O)/C=C/C(=O)[O-]
ZINC36973055	NC(=O)c1ccc(C(=O)NCC(=O)[O-])cc1
ZINC36980849	CC(NC(=O)c1ccn[nH]1)(C(=O)[O-])C1CC1
ZINC37448038	CN(CC(=O)[O-])C(=O)CCSCC(N)=O
ZINC37451302	O=C(CCC1CCCO1)NC(CO)C(=O)[O-]
ZINC37660761	CN(CC(=O)[O-])C(=O)NCCCC(N)=O
ZINC40429087	CC(C)(NC(=O)NCC1CCCO1)C(=O)[O-]
ZINC40473022	Nc1ccc(C(=O)NC(CO)C(=O)[O-])cc1
ZINC40531135	NC(=O)CNC(=O)N1CCCC1C(=O)[O-]
ZINC40531472	CC1CN(C(=O)NC(CO)C(=O)[O-])CCO1
ZINC40531474	CC1CN(C(=O)NC(CO)C(=O)[O-])CCO1
ZINC40531898	O=C(NCC1CC1)NC(CO)C(=O)[O-]
ZINC40557440	O=C(NCC1CCCO1)NC(CO)C(=O)[O-]
ZINC40558152	O=C([O-])C(CO)NC(=O)N1CCSCC1
ZINC40558913	CN(C)C(=O)NCC(=O)NCC(=O)[O-]
ZINC40560077	COCCCNC(=O)NC(C(=O)[O-])C(C)O
ZINC40577779	CC1COCCN1C(=O)NC(CO)C(=O)[O-]
ZINC40578406	CC(NC(=O)N1CCCC1C(=O)[O-])C(N)=O
ZINC40589393	CC(NC(=O)NC1CCOCC1)C(=O)[O-]
ZINC40697093	Cn1cc(C(=O)NC(CCO)C(=O)[O-])cn1
ZINC40710261	O=C(NCC1CCC1)NC(CCO)C(=O)[O-]
ZINC40911176	CC(C)(Nc1ncccc1C(N)=O)C(=O)[O-]
ZINC40912354	CC(C)(NC(=O)NCCCC(N)=O)C(=O)[O-]
ZINC41044757	CC(CO)NC(=O)COCC(=O)[O-]
ZINC42275944	CN(CC(N)=O)C(=O)N(CC(=O)[O-])C1CC1
ZINC42808217	COCCS(=O)(=O)NC(CO)C(=O)[O-]
ZINC45139313	CC(O)C(NC(=O)NC1CC1(C)C)C(=O)[O-]
ZINC50291384	O=C([O-])C1(C(=O)N(CCO)CCO)CCC1
ZINC51840770	CC(O)CN(C)C(=O)NC(C)(C)C(=O)[O-]
ZINC54456882	O=C(NC1CC1)NC1(C(=O)[O-])CCSC1
ZINC54500333	O=C1CCC(C(=O)NC(C(=O)[O-])C2CC2)N1
ZINC54768297	CC(O)C(NC(=O)C1CCCOC1)C(=O)[O-]
ZINC54768612	O=C(NC(CCO)C(=O)[O-])C1CCCOC1
ZINC36854918	O=C([O-])CNC1CC(=O)NC1=O
ZINC45226017	CC(N)(CCN1CCOCC1)C(=O)[O-]
ZINC45227790	CC1CN(CCC(C)(N)C(=O)[O-])CC(C)O1
ZINC62353718	O=C(NC(CO)C(=O)[O-])c1cscn1
ZINC02380380	CSCCC(NC(=O)c1cncc(O)c1)C(=O)[O-]
ZINC05758534	NC(=S)N/N=C\c1ccccc1S(=O)(=O)[O-]
ZINC22141988	CC(O)C(NC(=O)Nc1ccccc1F)C(=O)[O-]
ZINC37451597	O=C([O-])C(CO)NC(=O)C1CCCN1C(=O)C1CC1
ZINC40470930	CC(O)C(NC(=O)c1ccc2c(c1)CCN2)C(=O)[O-]
ZINC40470932	CC(O)C(NC(=O)c1ccc2c(c1)CCN2)C(=O)[O-]
ZINC40524692	CC(NC(=O)NCc1ccco1)(C(=O)[O-])C1CC1
ZINC40551770	CCC(NC(=O)NCCN1CCOCC1)C(=O)[O-]
ZINC40553067	Cc1cccc(C)c1NC(=O)NC(C(=O)[O-])C(C)O
ZINC40578010	CCn1cc(NC(=O)NC2(C(=O)[O-])CCCC2)cn1
ZINC40697268	CN(C)c1ccc(C(=O)NC(CCO)C(=O)[O-])cn1
ZINC40697806	CC(=O)c1cc(C(=O)NC(CCO)C(=O)[O-])n(C)c1
ZINC40698110	O=C(NC(CCO)C(=O)[O-])C1CC(=O)N(C2CC2)C1
ZINC40699589	O=C(NC(CCO)C(=O)[O-])c1ccc2c(c1)CCN2
ZINC40710274	CC1CCCC(NC(=O)NC(CCO)C(=O)[O-])C1
ZINC41033069	NC(=O)c1cc(NC2(C(=O)[O-])CCCCC2)ccn1
ZINC42275039	CCCN(CC(=O)[O-])C(=O)N1CCCC(C(N)=O)C1
ZINC42440229	CC(C)N(CC(N)=O)C(=O)N(CC(=O)[O-])CC1CC1
ZINC42519922	COCCN(C(=O)NC(C(=O)[O-])C(C)O)C1CC1
ZINC42519924	COCCN(C(=O)NC(C(=O)[O-])C(C)O)C1CC1
ZINC42520303	CC(O)C(NS(=O)(=O)N(C)C(C)C)C(=O)[O-]
ZINC43395340	COCCN(CC(=O)[O-])c1nc(C)ccc1C(N)=O
ZINC43438150	COC(=O)C(NC(=O)NC(C)(C)C(=O)[O-])C(C)C
ZINC44511137	CC(NC(=O)NCCC1CCCO1)(C(=O)[O-])C1CC1
ZINC44511138	CC(NC(=O)NCCC1CCCO1)(C(=O)[O-])C1CC1
ZINC44728472	Cc1cc(CNC(=O)NC2(C(=O)[O-])CCCC2)no1
ZINC44975930	CC(NC(=O)NCC1CCCOC1)(C(=O)[O-])C1CC1
ZINC45139782	CCCC(C)(NC(=O)NCc1cnn(C)c1)C(=O)[O-]
ZINC45648728	O=C(NCC1CC=CCC1)NC(CCO)C(=O)[O-]
ZINC45648730	O=C(NCC1CC=CCC1)NC(CCO)C(=O)[O-]
ZINC45648800	CC(O)C(NC(=O)NCC1CC=CCC1)C(=O)[O-]
ZINC49080457	CCCC(C)(NC(=O)NCCn1cccn1)C(=O)[O-]
ZINC49539865	CCCC(C)(NC(=O)NCc1nccs1)C(=O)[O-]
ZINC50199282	CC(O)C(NS(=O)(=O)C1CCOCC1)C(=O)[O-]
ZINC50199517	O=C([O-])C(CCO)NS(=O)(=O)C1CCOCC1
ZINC52763997	CC(C)(NC(=O)N1CCCC1CCCO)C(=O)[O-]
ZINC52787035	COCCC(NC(=O)NCC1CCCO1)C(=O)[O-]
ZINC52787466	COCCC(NC(=O)N1CCCC1CO)C(=O)[O-]
ZINC55188289	CC(NC(=O)c1csc(N)n1)(C(=O)[O-])C1CC1
ZINC55272805	CC(C)C(NC(=O)Cc1csc(N)n1)C(=O)[O-]
ZINC55272806	CC(C)C(NC(=O)Cc1csc(N)n1)C(=O)[O-]
ZINC33439429	CC(C(=O)NCC(=O)[O-])N1CCN(CCO)CC1
ZINC44567874	CC(C)(NC(=O)NCCCS(C)(=O)=O)C(=O)[O-]
ZINC61177256	CCN(C(=O)NC1CCCNC1=O)C(C)(C)C(=O)[O-]
ZINC62100871	CCCC(C)(NC(=O)N1CCNC(=O)CC1)C(=O)[O-]
ZINC62387373	Cc1cc(=O)c(O)c(CN(C)C)n1C(CO)C(=O)[O-]
ZINC62388585	CC(C(=O)[O-])n1cc(O)c(=O)cc1CN(C)CCO
ZINC62742591	CC(C)CN(CC(=O)[O-])c1nccnc1C(N)=O
ZINC63155574	O=C([O-])C(CCO)NS(=O)(=O)CC1CCCO1
ZINC63155575	O=C([O-])C(CCO)NS(=O)(=O)CC1CCCO1
ZINC04082253	CC12CCC3C(CCC4=CC(O)CCC43C=O)C1(O)CCC2C1=CC(=O)OC1
ZINC01427829	COC(=O)c1c(C)sc2c1OC(N)=C(C#N)C2c1ccsc1
ZINC05119446	CC12CCC3C(CCC4=CC(O)CCC43C=O)C1(O)CCC2C1=CC(=O)OC1
ZINC05229234	CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3C(=O)CC21C
ZINC05919920	CC1CCC2C(C)(CO)C(O)CCC2(C)C12CC1(COC(=O)C1)CO2
ZINC12602841	O=C(NC1CCSc2c(F)cccc21)c1ccc2[nH]cnc2c1
ZINC13547179	Nc1c(C(=O)N2CCCCC2)sc(=S)n1CC1CCCO1
ZINC16989825	CC(=O)C1C(O)CC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C
ZINC20086428	Cc1n[nH]c2c1C(c1ccccc1Br)C1=C(COC1=O)N2
ZINC26520660	CC1=C(C(=O)N(C)C)C(c2csc(Br)c2)NC(=S)N1
ZINC32110881	Cc1ccc(C(=O)N/N=C\c2cc(O)ccc2Br)cn1
ZINC34769774	NC1=C(c2nc(-c3ccc(F)c(F)c3)cs2)C(=O)CN1c1ccccc1
ZINC35548583	Cc1cccc(C(=O)NNC(=O)C23CCC(C)(C(=O)C2)C3(C)C)c1
ZINC36370744	CC12CC(=O)C3(O)C(CCC4CC(=O)CCC43C)C1CC(O)C2
ZINC36370749	COC1CC(O)C2(C)C(C1)C(O)CC1C3CCC(=O)C3(C)CCC12
ZINC37491572	O=S1(=O)CC(O)C(Nc2cccc(I)c2)C1
ZINC37577125	O=S(=O)(/N=c1/cccc[nH]1)c1ccc(C#CCO)cc1Cl
ZINC36384631	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
ZINC04073339	C=C1CCC2C(C)(CO)C(O)CCC2(C)C1/C=C/C1=CCOC1=O
ZINC03830600	CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
ZINC38018698	O=S1(=O)CC(O)C(NCc2ccc(Br)s2)C1
ZINC39164567	Cc1ccc2c(c1)SC(NC(=O)C1N=NC=C1Br)N2
ZINC39468583	CSP1(=O)NN2CC3C=C(O)C(Br)=CC3CC2CO1
ZINC40119852	O=C(NCC1CCCO1)NC1CCSc2ccc(Cl)cc21
ZINC40176032	O=S1(=O)CC(Cl)C(NC(=S)Nc2ccc(Br)cc2)C1
ZINC40218429	NS(=O)(=O)C1CCCN(C(=O)c2cc(Cl)ccc2F)C1
ZINC40713826	CN(c1ncc(Br)cc1N)C1CCS(=O)(=O)C1
ZINC41068299	Nc1csc(S(=O)(=O)N2CCOC(c3ccccc3)C2)c1
ZINC42747478	CC1CCC(C(N)=O)CN1S(=O)(=O)c1ccc2c(c1)CCC2
ZINC42747817	Cc1ccc(S(=O)(=O)N2CC(C(N)=O)CCC2C)c(Cl)c1
ZINC44242820	Nc1ccc2c(c1)N(S(=O)(=O)c1cncc(Br)c1)CCS2
ZINC44500817	CCn1cc(C(C)n2ncc(I)c2N)cn1
ZINC47860769	O=C(Nc1cc(F)c(N2CCCC2)c(F)c1)N1CCCC(O)C1
ZINC48726082	O=C(Nc1ccccc1Br)C(=O)N1CCCC(O)C1
ZINC48727108	Cc1cc(Br)ccc1NC(=O)C(=O)N1CCC(O)CC1
ZINC48763390	Cc1cccc(NC(=O)C(=O)NC2CCOc3ccccc32)c1C
ZINC48763897	Cc1ccc(NC(=O)C(=O)NC2CCOc3ccccc32)c(F)c1
ZINC49098519	CC1CCC(C(N)=O)CN1C(=O)c1cc(F)cc(Br)c1
ZINC49643988	Cc1ccc(Br)cc1[N-]S(=O)(=O)C1CC[NH2+]CC1
ZINC51644802	O=C(NC1CC1)C1CCCN(C(=O)Nc2cccc(F)c2F)C1
ZINC42269315	CN(C(=O)c1cc(N)c(Cl)c(Cl)c1)C1CCS(=O)(=O)C1
ZINC50227343	CC1=C(c2nc3ccc(S(C)(=O)=O)cc3[nH]2)C(=N)SC1C
ZINC61140409	O=C(NC1CCOc2ccccc21)NC1CCSc2c(F)cccc21
ZINC61874180	CC1CCC(C(N)=O)CN1C(=O)c1ccc(Br)cn1
ZINC45552111	O=C(NC1CCOc2ccccc21)NC1CCSc2ccccc21
ZINC04429110	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)C=O
ZINC66338478	NC(=O)N1CCCC(C(=O)N2CCc3cc(Br)ccc32)C1
ZINC66362577	CS(=O)(=O)c1ccc(F)c(C(=O)Nc2cccc3[nH]ccc23)c1
ZINC66683912	Cc1ccc(C(=O)N2CCSCC2)cc1NC(=O)c1ccc[nH]1
ZINC67487087	Cc1cc(C)c(NC(=O)NC(C)C(=O)N2CCSCC2)c(C)c1
ZINC04275856	CC(=O)NC1C(Oc2ccccc2)OC2COC(C)(C)OC2C1O
ZINC05052697	CSc1nc(Cl)c2ncn(C3C=COC(CO)C3O)c2n1
ZINC05052698	CSc1nc(Cl)c2ncn(C3C=COC(CO)C3O)c2n1
ZINC11923799	Cc1nn(C)cc1S(=O)(=O)Nc1nc2ccccc2[nH]1
ZINC12408736	CC(=O)Nc1nc2ccc(C(=O)NC3C=CS(=O)(=O)C3)cc2s1
ZINC12414152	CC(=O)NC1C(Oc2ccccc2C)OC2COC(C)(C)OC2C1O
ZINC12414153	CC(=O)NC1C(Oc2cccc(C)c2)OC2COC(C)(C)OC2C1O
ZINC12842186	O=C(NNC(=O)C1Cc2cc(Cl)ccc2O1)c1cnccn1
ZINC06746651	O=C(NCC1CCCO1)Nc1cnc2ccccn2c1=O
ZINC24362516	Cc1nn(C)c2nc(C3CC3)cc(C(=O)N3CCC(C(N)=O)CC3)c12
ZINC24704675	CN1N=C(C(=O)NNC(=O)c2cc3c(s2)CCCC3)CCC1=O
ZINC25584954	O=C(Nc1cccc2cn[nH]c12)c1ccc(-n2cncn2)cc1
ZINC35936265	O=C(NC1CCCCC1)c1n[nH]c2c1CN(C(=O)C1CCCO1)CC2
ZINC36111915	CC(=O)N1CCc2ccc(NS(=O)(=O)c3c(C)n[nH]c3C)cc21
ZINC37773610	Cc1n[nH]c(C)c1CNc1cc(-n2cnnn2)ccc1F
ZINC00124927	CC(C)(C)S(=O)(=O)c1cnc(N2CCOCC2)nc1N
ZINC38109026	CC1CCC(C(N)=O)CN1S(=O)(=O)c1cnc(Cl)nc1
ZINC38709863	COc1ccc(C2C3=C(COC3=O)NC3N=NC(C)=C32)cc1O
ZINC38709866	COc1cc(C2C3=C(COC3=O)NC3N=NC(C)=C32)ccc1O
ZINC39451252	COn1c2c(c3ncc(O)cc3c1=O)NC(Br)CC2=O
ZINC39715743	CC(=O)NC1C(Oc2ccccc2C)OC2COC(C)(C)OC2C1O
ZINC39954972	Cn1nc(C2CCN(C(=O)OC(C)(C)C)CC2)c(C#N)c1N
ZINC42028893	Cc1ccc(-c2nnnn2C2CCS(=O)(=O)CC2)cc1N
ZINC46077690	O=C(Nc1nncs1)NC1CCC2(CC1)OCCO2
ZINC49181922	COc1c2c(c(OC)c3oc(=O)ccc13)OC(C)(C)C(O)C2O
ZINC49548881	COc1ccc(-c2n[nH]cc2C2CC(O)=Nc3c2cnn3C)cc1
ZINC49548881	COc1ccc(-c2n[nH]cc2C2CC(=O)Nc3c2cnn3C)cc1
ZINC50397637	O=C(NC1CCCNC1=O)c1ccc(Br)c([N+](=O)[O-])c1
ZINC50604519	Cc1cccc(N)c1-c1nnnn1CC1CCS(=O)(=O)C1
ZINC50842404	NC(=O)C1CN(C(=O)C2CC(c3ccc(Cl)s3)=NO2)CCO1
ZINC52306634	CC1(n2nc(C(F)(F)F)cc2S(N)(=O)=O)CCS(=O)(=O)C1
ZINC54982216	Cn1c(NC2C3CCCC2C[NH+](C2CC2)C3)c(C#N)c(=O)n(C)c1=O
ZINC57029642	Cc1csc(N2CCN(C(=O)Nc3cn[nH]c3)CC2)n1
ZINC41085003	N=C1/C(=C/c2ccc(O)cc2)C(=O)N=C2SC(N3CCCC3)=NN12
ZINC60605061	O=C(Nc1[nH+]cccc1[O-])C1CCN(C(=O)N2CCCC2)CC1
ZINC61622853	Cc1cc(NC(=O)c2cc(Cl)c[nH]2)n(C2CCS(=O)(=O)C2)n1
ZINC62192035	Cc1n[nH]c(C)c1S(=O)(=O)N1CCNC(=O)C1c1ccc(F)cc1
ZINC57446227	COC(=O)N1CCC(NC(=O)c2[nH]c3c(c2C)C(=O)CCC3)CC1
ZINC62244930	CC(C)c1c(C#N)nnn1-c1ccc(S(N)(=O)=O)cc1
ZINC63079304	Cc1nn(Cc2nc(N)c3cnn(C)c3n2)c(C)c1Cl
ZINC20745860	Cc1nn(-c2ncccn2)c2c1C(c1ccc(O)cc1)CC(O)=N2
ZINC20745860	Cc1nn(-c2ncccn2)c2c1C(c1ccc(O)cc1)CC(=O)N2
ZINC63342078	Cc1n[nH]cc1NC(=O)C1CCCN(c2ncccn2)C1
ZINC63385878	[NH-]C1=NC2=NC=NC2C(N2CCN(C3CCCCC3)CC2)=[NH+]1
ZINC09088947	CCc1[nH]nc2c1C1(CCC3(CC1)OCCO3)C(C#N)=C(N)O2
ZINC09088947	CCc1n[nH]c2c1C1(CCC3(CC1)OCCO3)C(C#N)=C(N)O2
ZINC58368888	CNC(=O)NC(=O)C(C)N1CCN(C(=O)C2CCCCC2)CC1
ZINC64447669	Cc1ccc(N2CC(C(=O)n3ncc(C#N)c3N)CC2=O)c(F)c1
ZINC66240766	N#Cc1cnn(-c2ccc(C(=O)N3CCOC4CCCCC43)cc2)c1N
ZINC66731616	CC(C)(C)C(=O)N1CCCN(C(=O)C2CCN(C(N)=O)CC2)CC1
ZINC66818872	c1nc(NCc2ccc3c(c2)OCCCO3)c2cn[nH]c2n1
ZINC67303502	Cc1nn(C)c(C)c1C(C)NC(=O)c1cnc2[nH]nc(C)c2c1
ZINC67559532	CS(=O)(=O)N1CCCC(NC(=O)Nc2cccc3cccnc23)C1
ZINC00533672	COC(=O)C1=C2SC(C)C(=O)N2C(N)=C(C#N)C1c1ccco1
ZINC05339877	CNC(=O)C(=O)Nc1cc(N2CCCS2(=O)=O)ccc1C
ZINC09608090	CC(NC(=O)c1ccc(=O)[nH]n1)c1ccc2c(c1)OCCO2
ZINC20636244	Cn1c(=O)c2c(C3CC=CCC3)c(C#N)c(N)nc2n(C)c1=O
ZINC32501657	O=C(Cc1nc(-c2cccnc2)n[nH]1)Nc1nccs1
