ZINC04018031	NC(=S)N/N=C/C(O)C(O)C(O)CO
ZINC67312392	Cc1ccc(C(CNC(=O)Nc2ccc(C)c(C(N)=O)c2)N2CCOCC2)o1
ZINC67439255	COc1ccccc1C(=O)NNC(=O)CCCCC1SCC2NC(=O)NC21
ZINC67605881	CC(Cc1ccc(O)cc1)NC(=O)NCC(O)COc1ccc2c(c1)OCO2
ZINC00718386	COc1cc(-c2n[nH]c3c2C(c2c[nH]nc2-c2ccc(F)cc2)C(C#N)=C(N)O3)cc(OC)c1OC
ZINC04352844	O=C(Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1)C(Cc1ccccc1)N1C(=O)c2ccccc2C1=O
ZINC09033469	C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NC(CC(N)=O)C(=O)[O-])CCC4(C)C3CCC21C
ZINC09334740	C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1C[NH+]1CCC(C)CC1)c1ccc(-n2ncnn2)cc1
ZINC09562027	CC(C)CCNC(=O)NC(=O)CSc1nnc(SCC(=O)NC(=O)NCCC(C)C)s1
ZINC10798289	O=C(CSc1nnc(SCC(=O)NC(=O)NC2CCCC2)s1)NC(=O)NC1CCCC1
ZINC12661401	C#CC1(O)CCC2C3CCC4=C/C(=N/OCC(=O)NC(CC(N)=O)C(=O)[O-])CCC4(C)C3CCC21C
ZINC15063178	Cc1cc(O)c2c(c1)C(=O)c1cccc(OC3OC(COC(=O)CC(=O)[O-])C(O)C(O)C3O)c1C2=O
ZINC15063181	Cc1cc(O)c2c(c1)C(=O)c1cccc(OC3OC(COC(=O)CC(=O)[O-])C(O)C(O)C3O)c1C2=O
ZINC15063187	Cc1cc(O)c2c(c1)C(=O)c1cccc(OC3OC(COC(=O)CC(=O)[O-])C(O)C(O)C3O)c1C2=O
ZINC16698858	Nc1c(C(=O)CSc2nnc(Nc3cccc(Br)c3)s2)c(=O)[nH]c(=O)n1C1CC1
ZINC17674372	COc1ccc(/C=C2\N=C(SCc3nc(N)nc(N)n3)N(c3ccc(OC(F)F)cc3)C2=O)cc1
ZINC18519598	CC(Sc1nnc(SC(C)C(=O)NC(=O)NC(C)(C)C)s1)C(=O)NC(=O)NC(C)(C)C
ZINC18519599	CC(Sc1nnc(SC(C)C(=O)NC(=O)NC(C)(C)C)s1)C(=O)NC(=O)NC(C)(C)C
ZINC20135340	Cc1ccc(NC(=O)CC2SC(NC(c3cccc(Cl)c3)c3c([O-])[nH]c(=O)[nH]c3=O)=NC2=O)cc1
ZINC20135348	O=C(CC1SC(NC(c2ccccc2F)c2c([O-])[nH]c(=O)[nH]c2=O)=NC1=O)Nc1ccc(F)cc1
ZINC20135354	O=C(CC1SC(NC(c2ccccc2F)c2c([O-])[nH]c(=O)[nH]c2=O)=NC1=O)Nc1ccc(F)cc1
ZINC20504775	CC1(CO)C(O)CCC2(C)C(CC(=O)NCCN3CCOCC3)c3nc(NC(=O)C4CCC4)sc3CC12
ZINC20559451	Cc1ccc(C(NC2=NC(=O)C(CC(=O)Nc3ccc(F)cc3)S2)c2c([O-])[nH]c(=O)[nH]c2=O)cc1
ZINC20559512	Cc1ccc(NC(=O)CC2SC(NC(c3ccc(F)cc3)c3c([O-])[nH]c(=O)[nH]c3=O)=NC2=O)cc1
ZINC20559520	O=C(CC1SC(NC(c2ccc(F)cc2)c2c([O-])[nH]c(=O)[nH]c2=O)=NC1=O)Nc1ccc(F)cc1
ZINC20911645	CCSc1ccccc1NC(=O)CSc1nnc(N/N=C/c2c(C)nn(C(C)C)c2C)n1N
ZINC04638886	COc1cc(C2C3CN(C(=O)OC(C)(C)C)CC=C3C(C#N)=C(N)C2(C#N)C#N)ccc1OCC(N)=O
ZINC28710255	COc1cnccc1C1CCOP(=O)(OCC2OC(n3cnc4c(N)ncnc43)C(C)(O)C2O)O1
ZINC32594343	CCC(C)n1c(COc2ccc(Cl)cc2)nn(C2OC(CO)C(O)C(O)C2NC(C)=O)c1=S
ZINC35910732	COC(=O)C1=c2oc(=O)/c(=C/c3ccc(O)c(OC)c3)n2-c2oc(N)nc2C1c1ccc(O)c(OC)c1
ZINC38762947	CCCCN1C(=O)N=C([O-])C(N(Cc2ccccc2)C(=O)CSc2nc(C(C)(C)C)n[nH]2)C1[NH3+]
ZINC02760259	NS(=O)(=O)c1ccc(-n2cccc2/C=N/N=C/c2cccn2-c2ccc(S(N)(=O)=O)cc2)cc1
ZINC39361737	Cc1cccc(N2C(SCC(=O)Nc3cccc([N+](=O)[O-])c3)=NNC2Cc2cc(=O)[nH]c(=O)[nH]2)c1
ZINC39361738	Cc1cccc(N2C(SCC(=O)Nc3cccc([N+](=O)[O-])c3)=NNC2Cc2cc(=O)[nH]c(=O)[nH]2)c1
ZINC39362551	CCOc1ccc(N2C(SCC(=O)Nc3ccc(F)cc3)=NNC2Cc2cc(=O)[nH]c(=O)[nH]2)cc1
ZINC39362824	O=C(CSC1=NNC(Cc2cc(=O)[nH]c(=O)[nH]2)N1c1ccc(F)cc1)Nc1ccc([N+](=O)[O-])cc1
ZINC39738029	CCCCN1C(=O)N=C([O-])C(N(C(=O)CSc2nc(-c3cccs3)n[nH]2)C2CCCC2)C1[NH3+]
ZINC39738032	CCCCN1C(=O)N=C([O-])C(N(C(=O)CSc2nc(-c3cccs3)n[nH]2)C2CCCC2)C1[NH3+]
ZINC40399975	CCOc1cc([N+](=O)[O-])ccc1NC(=O)C1CC(=O)Nc2nc(Nc3ccc(OC)cc3)[nH]c(=O)c21
ZINC38702071	NC(=O)COc1ccc(C2c3c(-c4cc(Cl)ccc4O)n[nH]c3C(=O)N2C2CCS(=O)(=O)C2)cc1
ZINC40548319	NC(=O)COc1ccc(C2c3c(-c4cc(Cl)ccc4O)n[nH]c3C(=O)N2C2CCS(=O)(=O)C2)cc1
ZINC43741815	CC12CC/C(=N/OCC(=O)NCc3ccncc3)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
ZINC43741817	CC12CC/C(=N/OCC(=O)NCc3ccncc3)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
ZINC45842374	CC1CCc2c(sc3nc(CSc4nnc(CCC(N)=O)n4CC4CCCO4)nc(N)c23)C1
ZINC45850523	CC(Sc1nnc(-c2ccco2)n1CCC(N)=O)C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC45850525	CC(Sc1nnc(-c2ccco2)n1CCC(N)=O)C(=O)NC(=O)NC12CC3CC(CC(C3)C1)C2
ZINC04213833	COC(=O)c1nc(-c2ccc3c(n2)C(=O)C(=N)C(OC)=C3[O-])c(N)c(-c2ccc(OC)c(OC)c2O)c1C
ZINC20102602	COc1ccc(C2C3=C(CC(c4cc(OC)c(OC)c(OC)c4)CC3=O)Nc3[nH]nc(O)c32)cc1O
ZINC54202246	COc1cc(NC(=O)C2CC(=O)Nc3nc(Nc4ccc(Cl)cc4)[nH]c(=O)c32)cc(OC)c1OC
ZINC54202247	COc1cc(NC(=O)C2CC(=O)Nc3nc(Nc4ccc(Cl)cc4)[nH]c(=O)c32)cc(OC)c1OC
ZINC58990094	COc1cccc(/C=N/NC(=O)CCCSc2nnc(-c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)n2N)c1O
ZINC59884769	N#Cc1c(NC(=O)CSc2nnc(N/N=C/c3ccccc3[N+](=O)[O-])n2N)sc2c1CCCC2
ZINC15276767	COc1cccc(C2NC(Cc3c[nH+]c[nH]3)(C(=O)[O-])C3C(=O)N(c4ccc(Cl)cc4)C(=O)C23)c1O
ZINC38596688	COc1ccc(C(c2c([O-])[nH]c(=S)[nH]c2=O)C2C(=O)NC(=S)N=C2[O-])cc1C[NH+]1CCCC1
ZINC01784491	COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O
ZINC04340316	Cc1ccc(Nc2nc3c(=O)[nH]cnc3n2C2OC(CO)C(O)C2O)cc1
ZINC02412325	COc1cc2c3c(c1)C1(C(=O)N3C(C)(C)C=C2C)C(C#N)=C(N)NC(=O)C1C(N)=O
ZINC02412322	COc1cc2c3c(c1)C1(C(=O)N3C(C)(C)C=C2C)C(C#N)=C(N)NC(=O)C1C(N)=O
ZINC04939456	N#CC1=C(N)Oc2c(oc(CO)cc2=O)C12C(=O)N(CC(N)=O)c1ccccc12
ZINC05015054	Nc1nc(N2CCCCC2)c2nc(Cl)n(C3OC(CO)C(O)C3O)c2n1
ZINC05091241	Nc1nc(NCCOCCO)nc(Nc2ccc(Cl)cc2)c1[N+](=O)[O-]
ZINC05483952	O=c1nc[nH]c2c1nc(NCc1ccccc1)n2C1OC(CO)C(O)C1O
ZINC05742777	Cc1cc(O)c2c(c1)C(=O)c1cc(OC3OC(C)C(O)C(O)C3O)cc(O)c1C2=O
ZINC12419742	COc1cc2ccc(=O)oc2c(O)c1OC1OC(CO)C(O)C(O)C1O
ZINC05386538	CC(C)=CCNc1ncnc2ncn(C3OC(CO)C(O)C(O)C3O)c12
ZINC05501417	COc1cc(C2C(C#N)=C(C)Nc3nc(N)nc(N)c32)cc(OC)c1OC
ZINC13424699	COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O
ZINC13424757	O=C1c2ccccc2OC2C=C(O)C(C3OC(CO)C(O)C(O)C3O)C(=O)C12
ZINC13424758	O=C1c2ccccc2OC2C=C(O)C(C3OC(CO)C(O)C(O)C3O)C(=O)C12
ZINC13424931	COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O
ZINC12534103	N#Cc1cnc(SCc2nc(N)nc(Nc3ccc(F)cc3)n2)nc1N
ZINC14814268	Cc1cc(O)c2c(c1)C(=O)c1cc(OC3OC(C)C(O)C(O)C3O)cc(O)c1C2=O
ZINC19893931	COc1cc2ccc(=O)oc2c(OC2OC(CO)C(O)C(O)C2O)c1O
ZINC26504975	Nc1nc(I)nc2c1ncn2C1OC(CO)C(O)C1O
ZINC26504979	Nc1nc(I)nc2c1ncn2C1OC(CO)C(O)C1O
ZINC08694657	NC(=S)/C(=N\Nc1ccc(S(N)(=O)=O)cc1)C(=O)N1CCOCC1
ZINC09209178	O=c1[nH]cnc2c1nc(NCc1ccccc1)n2C1OC(CO)C(O)C1O
ZINC05289225	C/C(=C\C(=O)Nc1cccc([N+](=O)[O-])c1)NNC(=O)c1ccc(O)cc1O
ZINC35457540	CC1Cc2c(COC3OC(CO)C(O)C(O)C3O)ccc(O)c2C(=O)O1
ZINC09209177	O=c1[nH]cnc2c1nc(NCc1ccccc1)n2C1OC(CO)C(O)C1O
ZINC04181422	OCC(O)/C=N/Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1
ZINC38580959	COC1C(O)C(CO)OC1n1c(Br)nc2c(=O)[nH]c(N)nc21
ZINC39881906	COc1cc(/C=N/N=C2\NC(=O)C(CC(=O)NC(N)=O)S2)ccc1O
ZINC41334144	CCC(CO)Nc1nc(N)c([N+](=O)[O-])c(Nc2cccc3cccnc23)n1
ZINC41334149	CCC(CO)Nc1nc(N)c([N+](=O)[O-])c(Nc2cccc3cccnc23)n1
ZINC43696135	CC(C)c1nnc(NC(=O)NCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)s1
ZINC12534116	Nc1ccccc1C1=NC(=O)C2(CC(c3ccc([N+](=O)[O-])cc3)=NN2)NN1
ZINC12534117	Nc1ccccc1C1=NC(=O)C2(CC(c3ccc([N+](=O)[O-])cc3)=NN2)NN1
ZINC12648954	C/C(=N\Nc1ccc(S(N)(=O)=O)cc1[N+](=O)[O-])c1ccc(O)cc1O
ZINC08748294	N#CC1=C(N)Oc2c(oc(CO)cc2=O)C1c1cccc(OCC(N)=O)c1
ZINC63279477	Cc1ccc(C)c(C2=NC3NC(=O)NC(=O)C3C2C2C(=O)NC(=O)N=C2N)c1
ZINC63279480	Cc1ccc(C)c(C2=NC3NC(=O)NC(=O)C3C2C2C(=O)NC(=O)N=C2N)c1
ZINC63279597	NC1=NC(=O)NC(=O)C1C1C(c2cccc(Cl)c2)=NC2NC(=O)NC(=O)C21
ZINC63279599	NC1=NC(=O)NC(=O)C1C1C(c2cccc(Cl)c2)=NC2NC(=O)NC(=O)C21
ZINC63280646	CC(C)c1ccc(C2=NC3NC(=O)NC(=O)C3C2C2C(=O)NC(=O)N=C2N)cc1
ZINC63280650	CC(C)c1ccc(C2=NC3NC(=O)NC(=O)C3C2C2C(=O)NC(=O)N=C2N)cc1
ZINC63295755	NC1=NC(=O)NC(=O)C1C1C(c2ccc(Cl)c(Cl)c2)=NC2NC(=O)NC(=O)C21
ZINC63321354	O=C(NNC(=O)Nc1ccc2c(c1)C(=O)NC2=O)Nc1cc(F)cc(F)c1
ZINC63529328	NC1=NC(=O)NC(=O)C1C1C(c2ccc(Cl)cc2)=NC2NC(=O)NC(=O)C21
ZINC63529330	NC1=NC(=O)NC(=O)C1C1C(c2ccc(Cl)cc2)=NC2NC(=O)NC(=O)C21
ZINC63529331	NC1=NC(=O)NC(=O)C1C1C(c2ccc(Cl)cc2)=NC2NC(=O)NC(=O)C21
ZINC39231986	Cc1ccc(C2=Nc3[nH]c(=O)[nH]c(=O)c3C2C2C(=O)NC(=O)N=C2N)c(C)c1
ZINC39272069	Cc1ccc(C)c(C2=Nc3[nH]c(=O)[nH]c(=O)c3C2C2C(=O)NC(=O)N=C2N)c1
ZINC65804463	CC(NC(=O)Nc1ccc2c(c1)C(=O)NC2=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC04554474	CC(C)C[NH2+]CC(=O)Nc1sc2c(c1C(=O)Nc1ccccc1F)CCC(C)C2
ZINC04740292	Cc1ccc(Nc2nc(N)nc(C[NH+]3CCN(c4cccc(Cl)c4)CC3)n2)cc1C
ZINC04908743	Cc1cc(C)cc(NC(=O)NC2CC[NH+](CC(=O)Nc3c(C)cc(C)cc3C)CC2)c1
ZINC02397576	CSc1nc(NCC[NH3+])c2sc3nc(C(C)C)c4c(c3c2n1)CC(C)(C)OC4
ZINC04618660	Nc1nc(C[NH+]2CCN(c3cccc(Cl)c3)CC2)nc(Nc2ccc(Cl)cc2)n1
ZINC05831802	C/C(=N\N)C(C[NH+]1CCCCC1)C(c1ccccc1)c1c(O)c2ccccc2oc1=O
ZINC08583717	C[NH+]1CCc2nc3sc(C(=O)Nc4ccccc4OC(F)(F)F)c(N)c3cc2C1
ZINC09390612	CC(C)[NH+]1CCc2c(sc(NC(=O)c3sc4ccccc4c3Cl)c2C(N)=O)C1
ZINC10812429	CC1(C)CC(NC(=O)CCc2nc3sc4c(c3c(=O)[nH]2)CCCC4)CC(C)(C)[NH2+]1
ZINC09636268	Oc1ccc[nH+]c1NC(c1ccc(Br)cc1)c1ccc2cccnc2c1O
ZINC12293236	COc1ccc2c(C(O)C[NH+]3CCC4(CC3)CC(O)c3cc(C)ccc3O4)c[nH]c2c1
ZINC12293241	COc1ccc2c(C(O)C[NH+]3CCC4(CC3)CC(O)c3cc(C)ccc3O4)c[nH]c2c1
ZINC12293244	COc1ccc2c(C(O)C[NH+]3CCC4(CC3)CC(O)c3cc(C)ccc3O4)c[nH]c2c1
ZINC12329186	COc1ccc2[nH]c(C)c(C(O)C[NH+]3CCC4(CC3)CC(O)c3ccccc3O4)c2c1
ZINC12329188	COc1ccc2[nH]c(C)c(C(O)C[NH+]3CCC4(CC3)CC(O)c3ccccc3O4)c2c1
ZINC12329701	COc1ccc2c(c1)OC1(CC[NH+](CC(O)c3c[nH]c4cc(C)ccc34)CC1)CC2O
ZINC12329705	COc1ccc2c(c1)OC1(CC[NH+](CC(O)c3c[nH]c4cc(C)ccc34)CC1)CC2O
ZINC12329708	COc1ccc2c(c1)OC1(CC[NH+](CC(O)c3c[nH]c4cc(C)ccc34)CC1)CC2O
ZINC09414088	NC(=O)C1CN(c2nc(-c3cccs3)nc3scc(-c4ccccc4)c23)CC[NH2+]1
ZINC09414090	NC(=O)C1CN(c2nc(-c3cccs3)nc3scc(-c4ccccc4)c23)CC[NH2+]1
ZINC12941307	Cc1c(Cl)cccc1NC(=O)C(C)[NH+]1CCC(C(=O)Nc2ccccc2O)CC1
ZINC12941314	Cc1c(Cl)cccc1NC(=O)C(C)[NH+]1CCC(C(=O)Nc2ccccc2O)CC1
ZINC15015559	Oc1ccc(Br)c(C(Nc2cccc[nH+]2)c2ccc3cccnc3c2O)c1
ZINC09042844	CCc1ccc(-n2c(O)nc(O)c(C3c4[nH]c5ccccc5c4CC[NH+]3CC)c2=O)cc1
ZINC19125660	CC(=O)Nc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2cc(Cl)c(C)cc2O3)cc1
ZINC19125667	CC(=O)Nc1ccc(C(O)C[NH+]2CCC3(CC2)CC(O)c2cc(Cl)c(C)cc2O3)cc1
ZINC19220546	COc1ccc2c(c1)C(O)CC1(CC[NH+](CC(O)c3c[nH]c4ccc(C)cc34)CC1)O2
ZINC19220550	COc1ccc2c(c1)C(O)CC1(CC[NH+](CC(O)c3c[nH]c4ccc(C)cc34)CC1)O2
ZINC25036541	CC(C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1)[NH+]1CCC(c2nc3cc(Cl)ccc3s2)CC1
ZINC25534289	CC(c1nc(N)nc(Nc2ccccc2)n1)[NH+](C)Cc1ccccc1OC(F)(F)F
ZINC27315112	CC[NH+]1CCC(NC(=O)CSc2nc(N)c3c4c(sc3n2)CC(C)CC4)CC1
ZINC29467625	N=c1sc(-c2cc(C[NH3+])ccn2)nn1-c1c(Cl)cc(C(F)(F)F)cc1Cl
ZINC31153636	Cc1cccc(C)c1NC(=O)C[NH+](C)Cc1nc(N)c2c3c(sc2n1)CCCCC3
ZINC32850908	CC1CCc2c(sc3nc(CC[NH+]4CCN(c5ccccc5O)CC4)nc(N)c23)C1
ZINC06662619	C[NH+]1CCN(c2cc(NCc3ccco3)c3c(c2N)C(=O)c2ccccc2C3=O)CC1
ZINC35929916	Nc1c2c(-c3ccc(F)cc3)nc(N3CCC[NH2+]CC3)nc2nn1Cc1ccccc1
ZINC37769948	COC(=O)c1cc(Br)cc(Br)c1NC(=O)C(C)([NH3+])C1CC1
ZINC37769949	COC(=O)c1cc(Br)cc(Br)c1NC(=O)C(C)([NH3+])C1CC1
ZINC05600489	Cc1ccc(NC(=O)NNC(=O)C2CC[NH+](Cc3ccc(F)cc3Cl)CC2)cc1
ZINC39462579	O=c1[nH]c(CSC2NNC([NH+]3CCCC3)N2c2cccc(Cl)c2)nc2ccc(Cl)cc12
ZINC40701137	Nc1c(Nc2cc(Cl)cc(Cl)c2)ncnc1N1CCN(c2cccc[nH+]2)CC1
ZINC40758450	Nc1c(N(Cc2ccccc2)c2ccccn2)nc[nH+]c1Nc1cccc2cccnc12
ZINC43209778	CC(C)c1ccc2c(c1)CCC1C(C)(CNC(=O)c3coc(C(C)[NH3+])n3)CCCC21C
ZINC43209780	CC(C)c1ccc2c(c1)CCC1C(C)(CNC(=O)c3coc(C(C)[NH3+])n3)CCCC21C
ZINC43213437	CC(C)c1ccc2c(c1)CCC1C(C)(CNC(=O)c3coc(C(C)[NH3+])n3)CCCC21C
ZINC45316016	CCCc1c(NC2CCC[NH2+]C2)c(C#N)c2ccnn2c1Nc1ccc(OCC)cc1
ZINC05379291	Cc1cc(C(n2nnc3ccccc32)C(O)(c2ccccc2)c2ccccc2)c[nH+]c1N
ZINC05379301	Cc1cc(C(n2nnc3ccccc32)C(O)(c2ccccc2)c2ccccc2)c[nH+]c1N
ZINC08659103	NC1=[NH+]/C(=N\NC(=O)COc2ccc(Br)cc2Br)c2ccccc21
ZINC60361360	CC(C(=O)Nc1sc2c(c1C(N)=O)CCC2)[NH+]1Cc2ccccc2-c2ccccc2C1
ZINC12296277	Nc1ccc(C(=O)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)cc1
ZINC12296278	Nc1ccc(C(=O)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)cc1
ZINC12296279	Nc1ccc(C(=O)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)cc1
ZINC12654621	Cc1cc(NC2OC(C(O)CO)C(O)C2O)c(NC2OC(C(O)CO)C(O)C2O)cc1C
ZINC14854902	O=C(/C=C/c1ccc(O)c(O)c1)OCC1OC(OCC(O)C(O)C(O)CO)C(O)C(O)C1O
ZINC15657784	O=C(OCC1OC(O)C(O)(COC(=O)c2cc(O)c(O)c(O)c2)C1O)c1cc(O)c(O)c(O)c1
ZINC16953148	O=C(NCCCCCCNC(=O)NC1OCC(O)C(O)C1O)NC1OCC(O)C(O)C1O
ZINC22047723	Nc1ccc2c(NCCNC(=O)CCCCC3SCC4NC(=O)NC43)c3ccc(N)cc3[nH+]c2c1
ZINC22047728	Nc1ccc2c(NCCNC(=O)CCCCC3SCC4NC(=O)NC43)c3ccc(N)cc3[nH+]c2c1
ZINC22047734	Nc1ccc2c(NCCNC(=O)CCCCC3SCC4NC(=O)NC43)c3ccc(N)cc3[nH+]c2c1
ZINC22047739	Nc1ccc2c(NCCNC(=O)CCCCC3SCC4NC(=O)NC43)c3ccc(N)cc3[nH+]c2c1
ZINC25763027	O=C(OCC1OC(O)C(O)(COC(=O)c2cc(O)c(O)c(O)c2)C1O)c1cc(O)c(O)c(O)c1
ZINC34704431	Nc1ccc2c(NCCNC(=O)CCCCC3SCC4NC(=O)NC43)c3ccc(N)cc3[nH+]c2c1
ZINC34704432	Nc1ccc2c(NCCNC(=O)CCCCC3SCC4NC(=O)NC43)c3ccc(N)cc3[nH+]c2c1
ZINC08740337	Cc1cc(NC2OC(C(O)CO)C(O)C2O)c(NC2OC(C(O)CO)C(O)C2O)cc1C
ZINC35454592	O=C(/C=C/c1ccc(O)c(O)c1)OCC1OC(OCC(O)C(O)C(O)CO)C(O)C(O)C1O
ZINC33897337	O=C(N/N=C/C(O)C(O)C(COCC1OC(CO)C(O)C(O)C1O)C(O)CO)c1ccccc1O
ZINC33957511	O=C(N/N=C/C(O)C(O)C(COCC1OC(CO)C(O)C(O)C1O)C(O)CO)c1ccccc1O
ZINC37262701	Nc1ccc(C(=O)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)cc1
ZINC36378615	OCC1OC(OCC2OC([NH2+]CCc3ccc(O)cc3)C(O)C(O)C2O)C(O)C(O)C1O
ZINC36378612	OCC1OC(OCC2OC([NH2+]CCc3ccc(O)cc3)C(O)C(O)C2O)C(O)C(O)C1O
ZINC03869447	CN(CCC([NH3+])CC(=O)NC1C=CC(n2ccc(N)nc2=O)OC1C(=O)[O-])C(N)=[NH2+]
ZINC38664793	CSCCC([NH3+])/C([O-])=N/S(=O)(=O)OCC1OC(N2C=NC3=C([NH3+])NC=NC32)C(O)C1O
ZINC38664794	CSCCC([NH3+])/C([O-])=N/S(=O)(=O)OCC1OC(N2C=NC3=C([NH3+])NC=NC32)C(O)C1O
ZINC37530470	NC1CS(=O)(=O)CC1NC(=O)NCCCCCCNC(=O)NC1CS(=O)(=O)CC1[NH3+]
ZINC41026402	NC(=O)c1c(Nc2nc(NCC[NH2+]CCO)nc(N)c2[N+](=O)[O-])sc2c1CCCC2
ZINC41301920	NC(=O)c1c(Nc2nc(NCC[NH2+]CCO)nc(N)c2[N+](=O)[O-])sc2c1CCC2
ZINC08740339	Cc1cc(NC2OC(C(O)CO)C(O)C2O)c(NC2OC(C(O)CO)C(O)C2O)cc1C
ZINC48998342	CC(Cc1ccc(O)c[nH+]1)C([NH3+])C(=O)NC(C(=O)[O-])C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O
ZINC48999958	Nc1ccc(SCC([NH3+])C(=O)NC(C(=O)[O-])C2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)nc1
ZINC49114484	CC(Cc1ccc(O)c[nH+]1)C([NH3+])C(=O)NC(C(=O)[O-])C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O
ZINC04254077	OCC(O)C1OC(Nc2cccc(NC3OC(C(O)CO)C(O)C3O)c2)C(O)C1O
ZINC04161227	CC(C(=O)NC1CCCCC1)N(C(=O)c1snc(C(N)=O)c1N)C1CCCCC1
ZINC04161228	CC(C(=O)NC1CCCCC1)N(C(=O)c1snc(C(N)=O)c1N)C1CCCCC1
ZINC04191465	CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccccc1F
ZINC04191475	CC(C(=O)NC1CCCC1)N(C(=O)c1snc(C(N)=O)c1N)c1ccccc1F
ZINC05321342	Cc1ccc(Nc2nc(N)nc(CSc3nnc(-c4ccc(C)cc4)n3N)n2)cc1
ZINC05808314	CC(=O)Oc1c(OC(C)=O)c(-c2ccc(O)c(O)c2)c(O)c(O)c1-c1ccc(O)cc1
ZINC06549498	NC(=O)NC(CC(=O)NNC(=O)C12CC3CC(CC(C3)C1)C2)c1ccc(Cl)cc1
ZINC06549500	NC(=O)NC(CC(=O)NNC(=O)C12CC3CC(CC(C3)C1)C2)c1ccc(Cl)cc1
ZINC08636372	COc1ccc(N2C(=S)NC3C(O)C(O)CC(C(=O)NCCNC(C)=O)C32)cc1
ZINC03317694	NC(=O)c1c(NC(=O)CSc2nnc(C(F)(F)F)n2N)sc2c1CCCC2
ZINC13283442	Nc1nc(N)c(-c2ccc(Cl)c(Cl)c2)c(CNc2ccc(C(=O)CCl)cc2)n1
ZINC03090002	C/C(=C\C(=O)Nc1cc(Cl)ccc1Cl)NNC(=O)c1cc(N)cc([N+](=O)[O-])c1
ZINC22060630	C[NH2+]CCC(Oc1ccc(OC2OC(C(=O)[O-])C(O)C(O)C2O)c2ccccc12)c1cccs1
ZINC23444267	CN(CCO)c1nc(N)c2c(N)nc3c(c2c1C#N)CC(=O)N3CCC1=CCCCC1
ZINC36547675	CC(C)(C)NC(=O)C(c1c(O)cc(O)cc1O)N(C(=O)CO)c1ccccc1Cl
ZINC36547676	CC(C)(C)NC(=O)C(c1c(O)cc(O)cc1O)N(C(=O)CO)c1ccccc1Cl
ZINC36552189	CC(C)(C)NC(=O)C(c1c(O)cc(O)cc1O)N(C(=O)CO)c1cccc(Cl)c1
ZINC36552190	CC(C)(C)NC(=O)C(c1c(O)cc(O)cc1O)N(C(=O)CO)c1cccc(Cl)c1
ZINC36591384	CC(C)(C)NC(=O)C(c1c(O)cc(O)cc1O)N(C(=O)C1CCC(=O)N1)C(C)(C)C
ZINC36591385	CC(C)(C)NC(=O)C(c1c(O)cc(O)cc1O)N(C(=O)C1CCC(=O)N1)C(C)(C)C
ZINC39007669	NN1C(SCC(=O)Nc2nccs2)NNC1C1C=C(c2ccc(F)cc2)N=N1
ZINC39007670	NN1C(SCC(=O)Nc2nccs2)NNC1C1C=C(c2ccc(F)cc2)N=N1
ZINC39007671	NN1C(SCC(=O)Nc2nccs2)NNC1C1C=C(c2ccc(F)cc2)N=N1
ZINC39007672	NN1C(SCC(=O)Nc2nccs2)NNC1C1C=C(c2ccc(F)cc2)N=N1
ZINC39012404	Cc1cccc(NC(=O)CSC2NNC(C3C=C(c4ccc(F)cc4)N=N3)N2N)n1
ZINC39647061	CC(C)c1ccc(N2N[NH2+]NC2SCc2nc3cc(C(=O)[O-])ccc3c(=O)[nH]2)cc1
ZINC39647062	CC(C)c1ccc(N2N[NH2+]NC2SCc2nc3cc(C(=O)[O-])ccc3c(=O)[nH]2)cc1
ZINC02595913	Nc1nonc1C(=[NH2+])N/N=C/c1ccc(-c2ccc(Br)cc2C(=O)[O-])o1
ZINC09502015	Nc1nc(SCC(=O)NN2C(=O)NC(c3ccccc3)(c3ccccc3)C2=O)n[nH]1
ZINC40703797	Cc1ccc(S(=O)(=O)NNc2ncnc(Nc3ccc(C)c(Cl)c3)c2N)cc1
