ZINC03839681	CC(=O)NC1C=C(C(=O)NC(C)C(N)=O)CC(O)C1O
ZINC39299677	CC1C=C2C(=O)N=C([N-][NH3+])N=C2S1
ZINC40516210	CNC(=O)C(C)n1cc(Br)c(N)n1
ZINC40706815	CNc1ncnc(N2CCCCC2)c1N
ZINC42430105	[NH3+]C1CCN(C(=O)c2cccc(C(=O)[O-])c2)CC1
ZINC43537765	CC(Nc1cncc(Cl)n1)C(N)=O
ZINC43540667	CCC(/C(N)=N/O)n1nc(C)cc1C
ZINC43647200	CC(O)c1nc(-c2cccc(N)c2)no1
ZINC44497748	Cn1cc(-c2csc(NN)n2)cn1
ZINC45296888	O=C(NNC(=O)c1ccccc1)NC1CC1
ZINC48488095	CNC(=O)Nc1ccc(C(=O)NC)cc1C
ZINC48512498	CCNC(=O)c1ccc(NC(=O)NC)cc1
ZINC48835850	[NH3+]C1CCN(C(=O)C2C3C=CC(C3)C2C(=O)[O-])CC1
ZINC49129181	O=C(NNC(=O)C1CC=CCC1)NC1CC1
ZINC49265894	CCC(C)NC(=O)N1CCCC1C(N)=O
ZINC49776734	CCC1COC(C)CN1C1N=C(C)[NH+]=C1N
ZINC49776764	CCC1COCCN1C1N=C(C)[NH+]=C1N
ZINC49952306	CC1=NC(N2CC(C)OC(C)(C)C2)C(N)=[NH+]1
ZINC50242352	[NH3+]C1CCN(C(=O)C2CCCCC2C(=O)[O-])C1
ZINC50559652	Cc1cc(C([NH3+])c2nnn[n-]2)ccc1F
ZINC54931293	NNc1cc2c(nn1)-c1ccccc1OC2
ZINC57500000	CC(C#N)(Cc1ccc2c(c1)OCO2)NN
ZINC20353372	Cc1cc(C)nc(/N=C(\N)NC2CC2)n1
ZINC44864760	CCC(C(=O)N1CCCCC1)/C(N)=N/O
ZINC50244754	[NH3+]C1CCN(C(=O)c2ccc(C(=O)[O-])s2)C1
ZINC50568122	CC1CCCN(C(=O)C/C(N)=N/O)C1C
ZINC62915684	CC([NH3+])CC(=O)N1CCC(C)(C(=O)[O-])C1
ZINC62916514	CC1(C(=O)[O-])CCN(C(=O)C2CCCC([NH3+])C2)C1
ZINC62935500	CC(C(N)=O)[NH+]1CCC(C)(C(=O)[O-])C1
ZINC62935501	CC(C(N)=O)[NH+]1CCC(C)(C(=O)[O-])C1
ZINC66352153	NNc1ncc(-c2ccc(F)cc2)nn1
ZINC67541275	CNC(=O)NC(C)C(=O)NC1CCCC1
ZINC01689527	O=C1c2ccc(O)cc2OC(c2ccc(O)c(O)c2)C1O
ZINC03086079	CCCNC(=O)NNC(=O)c1ccc(O)cc1
ZINC05640621	COc1cccc(/C=N/N=C(N)N)c1OC
ZINC02568983	NNC(=O)c1cc2n(n1)C(C(F)F)CC(C1CC1)N2
ZINC31157024	CC12CC(O)C(O)C=C1c1cc(O)cc(O)c1C(=O)O2
ZINC31157028	CC12CC(O)C(O)C=C1c1cc(O)cc(O)c1C(=O)O2
ZINC35110846	CCC(C)C(NC(N)=O)C(=O)N1CCC(O)CC1
ZINC35149735	CC(Nc1cc(C(=O)[O-])cc[nH+]1)C(N)=O
ZINC35783757	CC1CN(c2ccc(S(N)(=O)=O)cc2N)C(C)CO1
ZINC36232025	CC1(C)CN(c2ccc(S(N)(=O)=O)cc2N)CCO1
ZINC36746114	Cc1ccc(C(=O)NCCS(N)(=O)=O)cc1O
ZINC02508364	NN/C(=C\[N+](=O)[O-])Nc1ccc(Cl)cc1
ZINC40330495	CC1CCC(C(N)=O)CN1C(=O)c1cc(N)cn1C(C)C
ZINC40374488	CCOC(=O)Nc1ccc(/C(N)=N/O)cc1
ZINC40479355	O=C([O-])c1ccc(Cl)c(NC(=O)C2CC(O)C[NH2+]2)c1
ZINC40479359	O=C([O-])c1ccc(Cl)c(NC(=O)C2CC(O)C[NH2+]2)c1
ZINC41062535	Cc1n[nH]c(SC(C)C/C(N)=N/O)n1
ZINC41637717	CC(=O)c1ccc(NC(=O)NC(C)C(N)=O)cc1
ZINC42375869	NC(=O)CCS(=O)c1nc2cc(N)ccc2o1
ZINC42559978	CNC(=O)C(C)NC(=O)c1cc(N)ccc1OC
ZINC42571547	CNC(=O)C(C)Nc1ccccc1S(N)(=O)=O
ZINC42709479	CC(CN(C)C(=O)NC1CCCCC1[NH3+])C(=O)[O-]
ZINC44452643	CCC(=O)Nc1sc2c(c1C(=O)NC(N)=O)CCC2
ZINC44785845	CCC(CC)(C(=O)N1CCCC(O)C1)/C(N)=N/O
ZINC44875759	Cc1ccc(C(C)NC(=O)C(C)/C(N)=N/O)o1
ZINC44976549	CC(C)(C(=O)NCC1CCCOC1)/C(N)=N/O
ZINC45110096	Cc1cc(C)c(C(=O)[O-])c(NC(C)(C)C(N)=O)[nH+]1
ZINC48372207	N#CCc1ccc(NCC(=O)NC(N)=O)cc1
ZINC48630386	N/C(=N/O)C1(NC(=O)C2CCOC2)CCCC1
ZINC48832621	COc1ccc(NC(=O)C(C)NC(N)=O)cc1C
ZINC48837169	[NH3+]C1CCCN(C(=O)Nc2ccc(/C=C/C(=O)[O-])cc2)C1
ZINC48837184	[NH3+]C1CCCN(C(=O)NC2CCC(C(=O)[O-])CC2)C1
ZINC50466281	CC(O)CNC(=O)Cn1ccc(N)n1
ZINC51121445	NNc1nc(C(=O)N2CCC(O)CC2)cc2ccccc12
ZINC51993802	N#Cc1cc(N)ccc1S(=O)(=O)NC1CCCCC1O
ZINC52303973	CC(C)c1ncc(NN)c(C(=O)NC2CC2C)n1
ZINC52880683	CC(NC(=O)N1CCC([NH3+])C1)(C(=O)[O-])c1ccccc1
ZINC53041781	Cc1ccc(CNC(=O)C(C)(C)/C(N)=N/O)o1
ZINC19870903	N/C(=N\O)c1ccnc(OCCO)c1
ZINC61148251	N/C(=N/O)C1(C(=O)NCC2CCOC2)CCCC1
ZINC61564356	O=C([O-])c1cc(F)c(F)cc1NC(=O)C1CC(O)C[NH2+]1
ZINC61713323	N/C(=N/O)C1(C(=O)N2CCC(O)C2)CCCCCC1
ZINC61875537	Cc1ccc2cccc(NC(=O)C(C)/C(N)=N/O)c2n1
ZINC61886733	N/C(=N/O)C1CCCC1NC(=O)C1CCCCO1
ZINC61887165	Cc1ccc(C(=O)NC2CCCC2/C(N)=N/O)cn1
ZINC61887992	CC(C)S(=O)(=O)NC1CCCC1/C(N)=N/O
ZINC62243131	CCC(C)(NC(=O)C1CCCOC1)/C(N)=N/O
ZINC62723885	O=C(C(=O)c1cc(O)cc(O)c1)c1cc(O)cc(O)c1
ZINC62926128	CC1(C(=O)[O-])CCN(C(=O)NC2CCCCC2[NH3+])C1
ZINC66056675	CNC(=O)COc1ccc(C(=O)NN)cc1
ZINC11754510	NS(=O)(=O)c1ccc(NC(=O)C2CCC[NH2+]2)cc1
ZINC19411931	NS(=O)(=O)c1ccc(NC(=O)C2CCC[NH2+]2)cc1
ZINC20431592	Cc1n[nH]c(C)c1S(=O)(=O)NC1(C[NH3+])CCCC1
ZINC34653892	CNC(=O)NC(=O)C(C)N(C)c1ccc(C[NH3+])cc1
ZINC35018043	C[NH2+]CC(=O)Nc1cc(S(N)(=O)=O)cc(C)c1C
ZINC36267605	[NH3+]C1CC1Nc1cc2c(cc1[N+](=O)[O-])NC(=O)CC2
ZINC37032983	CC(C)C([NH3+])C(=O)Nc1ccc(N2CCNC2=O)cc1
ZINC37046487	COc1ccc(C(N)=O)cc1NC(=O)C1CCC[NH2+]C1
ZINC37540475	Cc1cccc(C(=O)N(CC(N)=O)C2CC[NH2+]C2)c1O
ZINC37540612	CC(C)(C)NC(=O)N(CC(N)=O)C1CC[NH2+]C1
ZINC37626327	CCC1COC(C)CN1C(=O)C([NH3+])CC(N)=O
ZINC04956660	C/C(=N\NC1=[NH+]CCN1)c1ccc(N)c([N+](=O)[O-])c1
ZINC37977817	Cc1ccc(C(C)[NH2+]C(C)C(=O)NC(N)=O)o1
ZINC39097154	CCCCNc1c(O)c(=O)/c1=[NH+]\C(N)=O
ZINC39101584	CCN1C/C(=N/NC(N)=[NH2+])N(CC)C1=O
ZINC40378012	NS(=O)(=O)c1ccccc1NC(=O)C1CCC[NH2+]1
ZINC40447482	Cc1nc(C)c(C(C)[NH2+]C(C)C(=O)NC(N)=O)s1
ZINC40518811	Cc1nc(C)c(C(C)[NH2+]CC(=O)NC(N)=O)s1
ZINC40806894	CC([NH3+])C(=O)Nc1ccc2c(c1)NC(=O)CO2
ZINC40824836	Cc1c(C(=O)N(C)C)oc2c1/C(=N/NC(N)=[NH2+])CCC2
ZINC40857288	CCCC([NH3+])C(=O)N1CC(C(N)=O)Oc2ccccc21
ZINC40921072	CC(C)([NH3+])C(=O)Nc1ccc(O)cc1[N+](=O)[O-]
ZINC40922243	CNS(=O)(=O)c1ccc(NC(=O)C(C)(C)[NH3+])cc1
ZINC40925645	CC(C)([NH3+])C(=O)N1CC(C(N)=O)Oc2ccccc21
ZINC42549570	C[NH+]1CCC(NS(=O)(=O)c2ccccc2NN)C1
ZINC43427527	NC(=O)CC([NH3+])C(=O)N1CCOC2CCCC21
ZINC44785492	C[NH+]1CCC(CNC(=O)C(C)(C)/C(N)=N/O)C1
ZINC45504558	NC(=O)C([NH3+])COc1ccc2c(c1)OCO2
ZINC48920790	Cc1cc(C(N)=O)ccc1NC(=O)NC1CC[NH+](C)C1
ZINC49211156	Cc1c(NC(=O)NC2CC[NH+](C)C2)cccc1C(N)=O
ZINC49477603	C[NH+]1CCc2c(cccc2NC(=O)CCNC(N)=O)C1
ZINC49477609	CC(NC(N)=O)C(=O)Nc1cccc2c1CC[NH+](C)C2
ZINC50211654	CC1CCC(OC(C)C(=O)NC(N)=O)C[NH2+]1
ZINC50373496	COC1CCCC1[NH2+]CC(=O)NC(N)=O
ZINC51117618	C[NH+]1CCC(NC(=O)c2cc([N+](=O)[O-])ccc2NN)C1
ZINC51117648	C[NH+]1CCC(NC(=O)c2cnc(NN)c(Cl)c2)C1
ZINC52093723	NS(=O)(=O)c1ccc(NC2CC[NH2+]C2)nc1
ZINC52838115	COc1cc(-c2[nH+]cn(N)c2N)cc(OC)c1OC
ZINC59369970	Nc1cc(N2CCN(CC[NH3+])CC2)ccc1[N+](=O)[O-]
ZINC51360173	CC(C(=O)NC(N)=O)[NH+]1CCCC1C1CCCN1
ZINC61677775	CCC(C(N)=O)N1CCN(c2ccc(N)c[nH+]2)CC1
ZINC62778324	COc1ccc(C#CC[NH3+])cc1NC(=O)c1cc[nH]n1
ZINC62804501	C[NH2+]C1COc2cc(OCC(=O)NC(N)=O)ccc21
ZINC62814264	CC(=O)Nc1ccc(NC(=O)C2C[NH2+]C(C)CN2)cc1
ZINC62814267	CC(=O)Nc1ccc(NC(=O)C2C[NH2+]C(C)CN2)cc1
ZINC62891343	CC1(C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)CC[NH2+]C1
ZINC62896093	CC1(C(=O)N2CCCC(CNC(N)=O)C2)CC[NH2+]C1
ZINC63179478	CC(C)(C)NC(=O)N1CCCC(C(=O)NCC[NH3+])C1
ZINC63195712	CC(C)NC(=O)NC(=O)CN1CCCCC1C(C)[NH3+]
ZINC63507455	Cc1cc(NC(C)C(=O)NC(C)(C)C)nc(N)[nH+]1
ZINC19860334	N#CCc1nc(N)c(C#N)c(N)c1C#N
ZINC20282921	NNc1ccc(S(=O)(=O)NC2CCCC2)cn1
ZINC20422447	CNC(=O)NC(=O)C(C)Sc1sc(N)nc1C
ZINC32094369	CC(O)CNC(=O)C(=O)Nc1ccc(O)cc1
ZINC34245036	CC(NC(=O)OC(C)(C)C)C(=O)NN
ZINC35353417	CNC(=O)CNc1ccccc1S(N)(=O)=O
ZINC36861559	CC(C)n1cc(N)cc1C(=O)N1CCC(C(N)=O)CC1
ZINC36926766	CC1CN(c2ccc(S(N)(=O)=O)cc2N)CC(C)O1
ZINC40166778	CC1(NC(=O)Nc2ccc(N)cc2)CCS(=O)(=O)C1
ZINC40268081	NC(=O)Cn1c(=O)nc(N)c2c3c(sc21)CCCC3
ZINC40296023	Nc1ccc2c(C(=O)NC3CCS(=O)(=O)C3)c[nH]c2c1
ZINC40318321	CC(=O)Nc1cc(NC(=O)c2cc(N)cn2C)ccc1F
ZINC40371916	COc1cc(C(=O)NC/C(N)=N/O)ccc1C
ZINC40371954	Cc1cc(C(=O)NC2(/C(N)=N/O)CCCC2)c(C)o1
ZINC40383725	CCNC(=O)Nc1cc(S(N)(=O)=O)ccc1F
ZINC40473678	O=C([O-])c1ccc(F)cc1NC(=O)C1CC(O)C[NH2+]1
ZINC42139495	Cc1nccn1-c1ncc(N)cc1C(N)=O
ZINC42196666	CC(C(N)=O)S(=O)c1nc2cc(N)ccc2o1
ZINC44750844	Cc1cc(NC(=O)N2CCCC([NH3+])C2)ccc1C(=O)[O-]
ZINC44869842	CC(C)C(C(=O)NC1CCOCC1)/C(N)=N/O
ZINC44880002	Cc1cc(C(C)NC(=O)C(C)/C(N)=N/O)c(C)o1
ZINC45061447	CCN(C/C(N)=N/O)C(=O)NC(C)C
ZINC45922517	COC(=O)c1c(NC(=O)NN)sc2c1CCCC2
ZINC47836959	N#Cc1cccc(NC(=O)CCNC(N)=O)c1
ZINC48631822	COCC(=O)NC1(/C(N)=N/O)CCC(C)CC1
ZINC48814534	O=C([O-])c1ccc(NC(=O)C2CC(O)C[NH2+]2)cc1Cl
ZINC48837397	Cc1cccc(C(=O)[O-])c1NC(=O)N1CCCC([NH3+])C1
ZINC48837471	[NH3+]C1CCCN(C(=O)Nc2cccc(F)c2C(=O)[O-])C1
ZINC48934589	COc1cc(F)ccc1NC(=O)C(C)NC(N)=O
ZINC49127344	O=C(NCC(F)(F)F)NNC(=O)NC1CC1
ZINC49533196	COc1ccc(NC(=O)C/C(N)=N/O)cc1C
ZINC50244746	[NH3+]C1CCN(C(=O)Nc2ccc(C(=O)[O-])c(Cl)c2)C1
ZINC51090413	N#Cc1c(F)cccc1NC(=O)c1cccc(NN)n1
ZINC51093951	COC1CCCC1NC(=O)c1cccc(NN)n1
ZINC52295549	CC1CC1NS(=O)(=O)c1ccc(NN)nc1
ZINC52840507	CC(O)CNc1ccc([N+](=O)[O-])cc1N
ZINC54076539	C[NH2+]C(C)C(=O)Nc1ccc(O)cc1C(=O)[O-]
ZINC54154591	N/C(CCNC(=O)c1ccc2c(c1)CCO2)=N/O
ZINC54304337	[NH3+]C1CCCCC1NC(=O)N1CCCC(CC(=O)[O-])C1
ZINC54457941	CN(CC/C(N)=N/O)C(=O)NC1CC1
ZINC54457997	CC(CN(C)C(=O)NC1CC1)/C(N)=N/O
ZINC55998768	Cc1cc2c(o1)CC(C)(C)CC2NC(=O)C(C)NC(N)=O
ZINC60457406	Cc1cc(N(C)C)ccc1NC(=O)CNC(N)=O
ZINC61123198	NNc1ccc(C(=O)Nc2cc(F)c(F)c(F)c2)nn1
ZINC61887340	Cc1cccc(C(=O)NC2CCCC2/C(N)=N/O)n1
ZINC61888232	N/C(=N/O)C1CCCC1NS(=O)(=O)C(F)F
ZINC62795017	Cc1n[nH]c(Sc2ccc(/C(N)=N/O)cc2Cl)n1
ZINC63007430	Cc1cc(NC(=O)c2cc(F)c(NN)c(F)c2)on1
ZINC63007658	Cc1cc(NC(=O)c2cc(F)c(NN)c(F)c2)no1
ZINC63009909	O=C([O-])c1ccc(NC(=O)C2CC(O)C[NH2+]2)c(F)c1
ZINC05944731	NC(=O)C(=Cc1ccc(Br)cc1)C(N)=O
ZINC13402598	NC(=O)/C=C\c1ccc(/C=C/C(N)=O)cc1
ZINC02275896	N#Cc1c2c(c(=S)n(N)c1N)CCCC2
ZINC19866829	NC(=O)C1CCN(c2ccc(C(N)=S)cc2)CC1
ZINC20209101	CC(C)NC(=O)Nc1nc2ccc(N)cc2s1
ZINC20256262	Cc1ccc(N)cc1NC(=O)NC(C)(C)C
ZINC32975888	Cc1cccc(NC(=O)C(C)NC(N)=O)c1C
ZINC35149298	Cc1ccc(C(=O)NC(C)C(N)=O)c(O)c1
ZINC35763869	CC(Nc1cn[nH]c1)c1cc(O)ccc1O
ZINC36929660	N/C(=N\O)c1cccc(C(=O)NC2CCCC2)c1
ZINC36948105	NNC(=O)Nc1ccccc1I
ZINC37135766	NC(=O)Nc1cccc(NC2CCOCC2)c1
ZINC37191837	NC(=O)c1ccc(F)c(CSc2ccc(N)cn2)c1
ZINC37192661	NC(=O)c1ccc(F)c(CSc2ccc(N)nc2)c1
ZINC37483990	Cc1c(N)cc(C(=O)NCC(C)O)cc1F
ZINC03844735	NC(=O)/C=C/c1ccc(/C=C/C(N)=O)cc1
ZINC40292501	Nc1ccc(C(=O)N2CCCCCC2)c(N)c1
ZINC40295729	CCCCN(C)C(=O)c1ccc(N)cc1N
ZINC40302796	CCC(C)N(CC)C(=O)c1ccc(N)cc1N
ZINC40361192	CCC(NC(=O)Nc1ccccc1F)C(N)=S
ZINC40371656	N/C(CNC(=O)c1ccc(F)cc1Cl)=N\O
ZINC40516712	NC(=O)c1ccc(-n2ncc3ccc(N)cc32)cc1
ZINC42140146	CC(C)CSc1ncc(N)cc1C(N)=O
ZINC45890693	CCC(=O)Nc1c(C)cc(NC(N)=S)cc1C
ZINC50013049	CCN(C(=O)c1ccc(N)cc1N)c1ccc(F)cc1
ZINC51091483	Cc1ccccc1CNC(=O)c1ccc(NN)cc1
ZINC51095608	NNc1ccc(C(=O)NC2CCCC2)cn1
ZINC51095623	NNc1ccc(C(=O)NC2CCCC2)cc1
ZINC51095705	CCNC(=O)c1cc(Cl)nc(NN)c1
ZINC51096510	NNc1ccccc1C(=O)Nc1ccccc1F
ZINC51596653	Cc1ccc(C(N)=S)c(N(C)CC(N)=O)c1
ZINC51988759	Nc1ccc(F)c(C(=O)NC2CCCCC2O)c1
ZINC51999705	N#Cc1ccc(NC2CCCCC2O)c(N)c1
ZINC52000360	N#Cc1cc(N)ccc1NC1CCCCC1O
ZINC52833466	N/C(=N\O)Nc1ccccc1C(F)(F)F
ZINC54153762	Cc1ccc(O)c(C(=O)NCC(C)C(N)=S)c1
ZINC54154082	NC(=S)CCNC(=O)Nc1ccc(F)cc1F
ZINC54154099	NC(=S)CCNC(=O)Nc1ccc(F)cc1
ZINC54217154	NNc1c(F)cccc1C(=O)Nc1ccncc1
ZINC54217700	CC1CC1NC(=O)c1cccc(F)c1NN
ZINC57327732	Cc1cc2sc(N)nc2c2sc(N)nc12
ZINC36852783	CC(NC1CCc2c(O)cccc21)C(N)=O
ZINC58147441	NC(=O)NCC(=O)NC1CCc2ccccc2C1
ZINC40768921	CC(C)[NH+]1CC2CCCC(C1)C2NCC(N)=O
ZINC48846601	CC(NC1CCCCC1[NH3+])(C(=O)[O-])c1ccccc1F
ZINC48846854	CC(NC1CCCCC1[NH3+])(C(=O)[O-])c1ccc(F)cc1
ZINC58845393	Cc1ccc(NCC(C)C(=O)NN)cc1Cl
ZINC58850406	CC(CNc1ccccc1Br)C(=O)NN
ZINC58850414	CC(CNc1ccccc1Br)C(=O)NN
ZINC66683718	Cc1cc(NC(N)=O)ccc1C(=O)NC(C)C
ZINC14020143	CNC(=O)NC(=O)CNc1ccc(F)cc1C
ZINC06270232	Oc1ccc(/C=N/Nc2ccccn2)cc1O
ZINC19260226	Cc1cc(C)n(C(C)C(=O)Nc2ccc(N)cc2)n1
ZINC19836666	Cc1ccc(C(=O)N2CCC(C(N)=O)CC2)c(O)c1
ZINC20352787	Cc1c(NCc2ccc(O)cc2O)cnn1C
ZINC35119930	O=C(NC1CCC(O)CC1)c1ccc2cn[nH]c2c1
ZINC36736992	CCC(C)C(=O)Nc1cc2c(cc1N)OCCO2
ZINC36738782	Cc1c(C(=O)Nc2cc(N)c(F)cc2F)cnn1C
ZINC36862117	[NH3+]C1=CC(/C([O-])=N/c2nc3ccccc3s2)=NC1
ZINC36862117	NC1=CC(/C(O)=N/c2nc3ccccc3s2)=NC1
ZINC37224951	CNC(=O)CNC(=O)c1ccc2c(c1)CCCN2
ZINC37225060	CNC(=O)CNC(=O)C1CC(C)Nc2ccccc21
ZINC37734019	Cc1cc(/C(N)=N/O)ccc1N1CC(C)OCC1C
ZINC37734040	Cc1cc(/C(N)=N/O)ccc1N1CCOC(C)(C)C1
ZINC18122908	Cc1n[nH]c2c1C(C1CC=CCC1)C(C#N)=C(N)O2
ZINC18122908	Cc1[nH]nc2c1C(C1CC=CCC1)C(C#N)=C(N)O2
ZINC38092086	Cc1cc(C)nc(NC2CCC(C(N)=O)CC2)n1
ZINC40205461	CN(C)c1ccc(NC(=O)C2=CNSN2)cc1
ZINC40247926	Cc1ccc(C(O)c2ccc3[nH]c(=O)[nH]c3c2)o1
ZINC40295491	Cc1cc(NC(=O)c2cc(N)c(F)cc2F)n(C)n1
ZINC40769614	COc1cc(NC(=O)c2ccc(C)n2C)ccc1N
ZINC40769692	COc1cc(NC(=O)c2cc(C)oc2C)ccc1N
ZINC41325525	Cc1ccc(NN)cc1N1CCCCS1(=O)=O
ZINC42350831	CNC(=O)C(C)NC(=O)c1ccc(Cl)cc1O
ZINC44586175	NC(=S)c1ccc(NC(=O)c2ccon2)cc1
ZINC44750427	Cc1cc(NC(=O)C2CCC[NH2+]C2)ccc1C(=O)[O-]
ZINC44784472	CC1CC(C)CN(C(=O)C(C)(C)/C(N)=N/O)C1
ZINC44785858	CC1CCC(N(C)C(=O)C(C)(C)/C(N)=N/O)CC1
ZINC44870059	CC(C(=O)N1CCC2CCCCC2C1)/C(N)=N/O
ZINC45144901	Cc1cccc(C(=O)N(C)C(C)/C(N)=N/O)c1C
ZINC45694160	CCC(/C(N)=N/O)N1CC(C)OC(C)(C)C1
ZINC47401639	NC(=O)NCC1CCCN(C(=O)C2CC=CCC2)C1
ZINC48382139	CC(NC(N)=O)C(=O)N1CCCC2CCCCC21
ZINC48696481	CC(=O)Nc1c(C)ccc(NC(=O)NC(C)C)c1C
ZINC48950769	CNC(=O)NNC(=O)C1(c2cc(C)cc(C)c2)CC1
ZINC49340556	CNC(=O)CNC(=O)NC1CCc2cc(F)ccc21
ZINC49477170	Cc1ccc(C(=O)NNC(=O)NC(C)C)s1
ZINC49845306	COc1ccc(-c2cc(C)nc(N)c2C#N)cc1O
ZINC50891923	Nc1ccc(NC(=O)c2ccc3c(c2)CCO3)nc1
ZINC51092999	NNc1cccc(C(=O)N2CCCCCCC2)n1
ZINC51112299	CC1CC(C)CN(C(=O)c2cccc(NN)n2)C1
ZINC53008424	Cc1ccc(NN)c(C(=O)N2CC(C)OCC2C)c1
ZINC20254565	Nc1ccc(NS(=O)(=O)N2CCCCC2)cc1
ZINC59952538	CN(C(=O)C1CCCC1)c1cccc(/C(N)=N/O)c1
ZINC47697436	NC(=O)C1CCN(C(=O)Nc2ccc(F)cc2)C1
ZINC61685060	Nc1cc(F)c(F)cc1C(=O)Nc1ccon1
ZINC61701938	Cc1ccc(NC(C)c2nncn2C)cc1N
ZINC62203220	CCN1CCc2nc(NN)nc(C(F)(F)F)c2C1
ZINC62349043	Cc1cc(NC(=O)C2CC[NH2+]C2)cc(C(=O)[O-])c1C
ZINC63007321	Nc1c(F)cc(C(=O)Nc2ccon2)cc1F
ZINC63012561	CC1=NC(N2CCOc3ccccc3C2)C(N)=[NH+]1
ZINC63059559	Cc1cc(C(=O)N2CC(C)OCC2C)ccc1NN
ZINC14643018	Oc1ccc(C2Oc3c(ccc(O)c3O)CC2O)cc1O
ZINC16977858	NC(=S)N/N=C/c1[nH]c(=O)[nH]c(=O)c1Br
ZINC34792270	CN(C)c1ccc(-c2nn(C(N)=O)c([O-])c2CC[NH3+])cc1
ZINC34792270	CN(C)c1ccc(-c2nn(C(N)=O)c(O)c2CC[NH3+])cc1
ZINC35794062	CC(Nc1cc2c(cc1N)OCCO2)C(N)=O
ZINC35795600	CC(Nc1ccc(S(N)(=O)=O)cc1)C(N)=O
ZINC37001054	Nc1ccc(C(=O)NCC(=O)NC2CCCC(O)C2)cc1
ZINC37054896	Cc1ccc(N)c(S(=O)(=O)NCC(N)=O)c1C
ZINC37199767	NC(=O)c1ccc(NC2CCN(C(N)=O)CC2)cc1
ZINC40301810	Nc1cc(N)cc(C(=O)Nc2ccc3c(c2)OCO3)c1
ZINC40308169	CC(CN1CCCC1=O)NC(=O)c1ccc(N)cc1N
ZINC40308170	CC(CN1CCCC1=O)NC(=O)c1ccc(N)cc1N
ZINC40383508	NC(=O)Nc1ccc(S(N)(=O)=O)cc1Br
ZINC40469939	CC(C)C([NH3+])C(=O)Nc1ccc(O)c(C(=O)[O-])c1
ZINC40752321	Cc1ccc2cccc(Oc3ncnc(NN)c3N)c2n1
ZINC41023700	N#CCNC(=O)CSc1nc(N)cc(N)n1
ZINC41093784	NC(=O)NC(=O)COC(=O)c1cc2cc(N)ccc2s1
ZINC42190305	CC(C)C(NC(N)=O)C(=O)NC1c2ccccc2CC1O
ZINC42522810	Cc1c(C(=O)NNC(=O)CNC(N)=O)oc2ccccc12
ZINC44037538	CC(=O)Nc1ccc(NC(=O)C(C)NC(N)=O)cc1C
ZINC44791491	NC(=O)C1CCCCN1C(=O)C1(/C(N)=N/O)CCCC1
ZINC44861429	CC(C)C(C(=O)N1CCCC(C(N)=O)C1)/C(N)=N/O
ZINC44862239	CC(C)C(C(=O)NC1CCC(O)CC1)/C(N)=N/O
ZINC44877827	CC(C)C(C(=O)N1CCCCC1C(N)=O)/C(N)=N/O
ZINC45730374	COC(=O)NNC(=O)Nc1ccc(C(N)=O)cc1C
ZINC46958341	NC(=O)NNC(=O)NCC1CCN(c2ccccc2)C1
ZINC47041017	NC(=O)NNC(=O)NCc1cc(Br)cs1
ZINC48380150	CC(C)(C)NC(=O)CSc1nc(N)cc(N)c1C#N
ZINC48455132	NC(=O)NCC(=O)Nc1ccc2c(c1)CCC(=O)N2
ZINC48950377	CNC(=O)NNC(=O)C(C)NC(=O)Nc1ccccc1
ZINC50244639	[NH3+]C1CCN(C(=O)Nc2ccc(O)c(C(=O)[O-])c2)C1
ZINC51667746	CC(C)NC(=O)NCc1ccc(/C(N)=N/O)cc1
ZINC51667748	CC(C)(C)NC(=O)NCc1ccc(/C(N)=N/O)cc1
ZINC51991475	NC(=O)NCc1ccc(C(=O)NC2CCCCC2O)cc1
ZINC52016818	NNc1ccc(C(=O)NC2CCCCC2O)cc1[N+](=O)[O-]
ZINC52016851	NNc1cc(C(=O)NC2CCCCC2O)cc(Cl)n1
ZINC52016996	CC(C)c1ncc(NN)c(C(=O)NC2CCCCC2O)n1
ZINC54155727	N/C(CCNC(=O)Nc1ccc(F)cc1)=N/O
ZINC54416020	NNc1cc(C(=O)NC2CCCCC2O)ccc1[N+](=O)[O-]
ZINC54416021	NNc1cc(C(=O)NC2CCCCC2O)ccc1[N+](=O)[O-]
ZINC54416022	NNc1cc(C(=O)NC2CCCCC2O)ccc1[N+](=O)[O-]
ZINC54458020	N/C(=N/O)c1cc(NC(=O)NC2CC2)ccc1F
ZINC54622751	CC(Cc1ccccc1F)NC(=O)NNC(N)=O
ZINC55166443	Nc1nc(C(=O)Nc2ccc(-c3cc[nH]n3)cc2)n[nH]1
ZINC59158448	O=C1NCCCC1C(=O)N/N=C/c1c(O)cc(O)cc1O
ZINC52016889	NNc1ccc([N+](=O)[O-])cc1C(=O)NC1CCCCC1O
ZINC52016895	NNc1ccc([N+](=O)[O-])cc1C(=O)NC1CCCCC1O
ZINC61887856	CC(C)(C)NC(=O)NC1CCCC1/C(N)=N/O
ZINC62822785	NC(=O)NCC1CCCN(C(=O)c2ccc(F)cc2N)C1
ZINC62828529	Cc1sc(NC(=O)NCC[NH3+])c(C(=O)[O-])c1C
ZINC63108511	CCN(CC(=O)NC(N)=O)c1cccc(N)c1
ZINC04482162	NNC(=O)c1[nH+]c(Cl)c(Cl)c(N)c1Cl
