ZINC04717953	CC1(C(=O)[O-])CCC(C(=O)N2CCCC2)C1(C)C
ZINC51870831	O=c1[nH]c(OCCC2CCCC[NH2+]2)cc2ccccc12
ZINC52001710	CCCn1c(C[NH2+]C2CCCCC2O)nc2ccccc21
ZINC52854557	CC(Cn1c(C(C)(C)C)nc2cc(N)ccc21)[NH+](C)C
ZINC53096348	OCC1([NH2+]Cc2cccc3c2OCCCO3)CCCCC1
ZINC53341364	COC1CCCC1[NH2+]CC(=O)NC1CCCCCC1
ZINC54184703	CCC([NH3+])Cc1noc(C23CC4CC(CC(C4)C2)C3)n1
ZINC54184904	CCC([NH3+])Cc1noc(-c2cc3ccccc3s2)n1
ZINC54600550	CCC[NH2+]C(C)c1cnn(C2CCCCCC2O)c1C
ZINC61292925	CC[NH2+]C(C)(C)C(=O)Nc1ccc(Cl)c2ncccc12
ZINC61413573	CCOc1ccc(C([NH3+])c2ccc3nccnc3c2)cc1
ZINC61876849	CCc1oc2ccccc2c1C([NH3+])c1cccnc1OC
ZINC61982715	c1cc(NC2CC[NH+](C3CC3)C2)cc(-c2ccn[nH]2)c1
ZINC62244265	CC(C)(C)c1ccc(-n2nnc(C[NH3+])c2C2CC2)cc1
ZINC62893117	CCC1(C(=O)NC(C)c2ccc(OC)c(F)c2)CC[NH2+]C1
ZINC63137969	Cc1cccc(C(=O)N2CCCC(C[NH2+]C(C)C)C2)c1O
ZINC00721302	Cc1ccc(NC(NC(=O)Cc2ccccc2)(C(F)(F)F)C(F)(F)F)[nH+]c1
ZINC03206335	CC(NC(=S)Nc1ccccc1Cl)C(c1cccs1)[NH+]1CCCC1
ZINC05499181	CCCCC[NH+](CCCCC)CC(O)c1cccc2c1Cc1ccccc1N2
ZINC03441442	CC(OCC(O)C[NH2+]Cc1nc2ccccc2s1)c1ccc(Cl)cc1
ZINC06790358	CC(=O)CCc1ccc(OCC(O)C[NH2+]C(C)c2ccc(CC(C)C)cc2)cc1
ZINC08497882	COc1cc(C[NH2+]CC(C)O)cc(Br)c1OCc1ccccc1F
ZINC10383848	OCC[NH+](Cc1ccccc1)CC(O)COCC12CC3CC(CC(C3)C1)C2
ZINC11565855	CCCCOc1cc(C)ccc1S(=O)(=O)NC1CC(C)(C)[NH2+]C(C)(C)C1
ZINC11861542	CCOc1cc(CC[NH3+])cc(Cl)c1OCCOc1ccc(C(C)(C)C)cc1
ZINC11885663	CCC(C)(C)c1ccc(OCCOc2c(Cl)cc(C[NH3+])cc2OC)cc1
ZINC11959769	CCOc1cc(C[NH3+])cc(Cl)c1OCCOc1ccc(Cl)c(C)c1
ZINC12576849	CCC(O)C[NH2+]Cc1cn(-c2ccc(F)cc2)nc1-c1ccccc1Cl
ZINC13727153	CCOc1c(Br)cc(Br)cc1C[NH2+]CCCCCO
ZINC12444605	COC(C[NH2+]Cc1c[nH]nc1-c1ccc(-c2ccccc2)cc1)c1cccs1
ZINC20873208	CCC(C)[NH2+]Cc1cc(Br)ccc1OCC(=O)NC(C)(C)C
ZINC22031358	Cc1c(Cl)cccc1NC(=S)NC(C)C(c1ccccc1)N1CC[NH+](C)CC1
ZINC23458841	CCC[NH+](CCc1c[nH]c2ccc(NC(=O)C(c3ccccc3)c3ccccc3)cc12)CC1CC1
ZINC27578422	C[NH+](C)CCNC(=O)CC(c1ccccc1)c1cc(Br)ccc1O
ZINC28296586	CC([NH2+]CC(O)Cn1c(-c2ccccc2)c(-c2ccccc2)c2ccc3ccccc3c21)c1ccccc1
ZINC01930672	CCOC(=O)c1c(NC(=O)C[NH2+]C2CCCCC2)sc2c1CCC(C)C2
ZINC35888709	CCc1cccc2c(C(CC(=O)NC(C)CCC[NH+](CC)CC)c3ccc(Cl)cc3)c[nH]c12
ZINC37722462	CCOc1cc(CC([NH3+])CC)cc(Br)c1OCC(F)(F)F
ZINC37984857	OC(C[NH2+]Cc1ccc(Br)s1)COCc1ccccc1F
ZINC37984903	CC1CC=CCC1COCC(O)C[NH2+]Cc1ccc(Br)s1
ZINC37984915	Cc1ccc(C)c(OCC(O)C[NH2+]Cc2ccc(Br)s2)c1
ZINC06300650	Cc1ccc(C(OCC(O)C[NH2+]C(C)c2ccccc2)c2ccccc2)cc1
ZINC39916155	OC(C[NH2+]C1CCCC1)COCCOc1c(F)cc(Br)cc1F
ZINC40373202	CC([NH2+]CC(O)COCC(c1ccccc1)c1ccccc1)c1ccccc1
ZINC40730484	CCC(CO)[NH2+]Cc1cc(Br)c(OC(C)C)c(Br)c1
ZINC40743796	OCCC[NH2+]Cc1cc(Br)ccc1OCc1ccc(F)cc1Cl
ZINC40775719	COc1c(Br)cc(Br)cc1C[NH2+]C(CO)CC(C)C
ZINC40775837	COc1c(Br)cc(C[NH2+]C(CO)CC(C)C)cc1Br
ZINC41154120	CC(Nc1nc(NCCC2=CCCCC2)[nH+]c2ccccc12)c1ccccc1
ZINC43261753	CCC(N)C(c1ccc(Br)s1)[NH+](Cc1ccsc1)C1CC1
ZINC43262108	CCCCCc1ccc(C2CS(=O)CC(C(=O)NCC3CCCCC3)[NH2+]2)cc1
ZINC43263822	CCOc1ccccc1OC(c1ccc(Br)s1)C([NH3+])CC
ZINC43264980	CCCOc1ccc(OC(c2ccc(Br)s2)C(C)[NH3+])cc1
ZINC43265251	COCCc1ccc(OC(c2ccc(Br)s2)C(C)[NH3+])cc1
ZINC43289252	CCC([NH3+])C(OCCc1scnc1C)c1cc(Br)cs1
ZINC43677120	CCOc1cc(CC(C)[NH3+])ccc1OCc1sccc1Br
ZINC44164925	CC(C)OCCCNC(=O)C1CSCC(c2ccc3ccccc3c2)[NH2+]1
ZINC54266477	CCC[NH2+]CCNS(=O)(=O)c1c(Cl)cc(Br)cc1Cl
ZINC15073614	CCN1CCC([NH2+]CC2CC(C)(CO)N(CC)C2c2ccc(Cl)cc2)CC1
ZINC25514881	CC(NC(=S)Nc1ccccc1Cl)C(c1cccs1)[NH+]1CCCC1
ZINC59121217	O=S(=O)(NCC([NH2+]C1CCCCC1)c1ccccc1)c1ccc(Cl)cc1
ZINC59312622	CCOc1c(Br)cc(Br)cc1CNCCC[NH2+]C
ZINC22928322	Cc1ccccc1N/C([S-])=[NH+]/C(C)C(c1ccccc1)N1CC[NH+](C)CC1
ZINC67248260	Cc1ccc(C(C)[NH2+]Cc2ccc(OCCO)cc2Br)s1
ZINC67252390	OC(C[NH2+]Cc1ccc(Br)cc1F)COc1ccc(F)cc1
ZINC67373249	CC1CC[NH+](CC(O)CNc2ccccc2S(=O)(=O)C(F)(F)F)CC1
ZINC08326426	CCC(CO)[NH2+]C1CCCC(C)C1
ZINC19259764	CC(C)(C)C([NH3+])COC1CCCCC1
ZINC19875909	C=CC[NH2+]C(C)c1cccc(O)c1
ZINC20046437	CNC(=O)C[NH2+]C1CCCCCCC1
ZINC20089625	CCC(C)C(C)[NH2+]C1CCC(O)CC1
ZINC20188328	CC1CC([NH2+]CCCO)CC(C)(C)C1
ZINC20194567	CCC(CO)[NH2+]C1CCCC(C)C1
ZINC20305925	CC(C)(C)C1CCCCC1[NH2+]CCO
ZINC32008783	C[NH2+]CC(O)(c1ccccc1)C(C)C
ZINC36827655	CC(C)OC(=O)C1([NH3+])CCCCCC1
ZINC36994219	CCC1CCC([NH3+])C(OCC(C)C)C1
ZINC37254022	CNC(=O)C[NH2+]C(C)C1CCCCC1
ZINC37379386	CCCC(C)([NH3+])c1ccccc1C
ZINC37629613	CC1CC(C(C)C)C(CCCO)[NH2+]1
ZINC37629615	CC1CC(C(C)C)C(CCCO)[NH2+]1
ZINC37741273	OC1CCCC1[NH2+]CCC1CCCC1
ZINC38121277	C[NH2+]C(CO)c1cccc2ccccc12
ZINC38121903	CC(C)C[NH2+]C1(CO)CCCC(C)C1
ZINC38121964	CC(C)C[NH2+]C1(CO)CCCCCC1
ZINC37165845	CC(C)CC(C)[NH2+]C1CCCC(O)C1
ZINC19918652	CC(C)CC(C)[NH2+]C1CCC(O)CC1
ZINC40953966	CC1CCCC(OC(=O)C(C)(C)[NH3+])C1
ZINC40953968	CC1CCCC(OC(=O)C(C)(C)[NH3+])C1
ZINC41038349	CC(C)OC(=O)C1([NH3+])CCCCC1C
ZINC41038351	CC(C)OC(=O)C1([NH3+])CCCCC1C
ZINC42165301	CC(C)(C)NC(=O)CC1CCC[NH2+]1
ZINC42165302	CC(C)(C)NC(=O)CC1CCC[NH2+]1
ZINC42579053	CCC1CCCCC1[NH2+]CC(C)(C)O
ZINC42579366	CCC1CCCCC1[NH2+]CC(=O)NC
ZINC42579369	CCC1CCCCC1[NH2+]CC(=O)NC
ZINC43559406	CC(CC[NH3+])c1ccc2ccccc2c1
ZINC48634704	CC(C)COC(=O)C1([NH3+])CCCCC1
ZINC50504325	CC(C)COC1(C[NH3+])CCCC(C)C1
ZINC50504330	CC(C)COC1(C[NH3+])CCCC(C)C1
ZINC52036758	CC(C)NC(=[NH2+])N(C)C1CCCCC1
ZINC52036956	CC1CCCCN1C(=[NH2+])NC(C)(C)C
ZINC52897591	CCC([NH3+])(c1ccccc1F)C(C)C
ZINC53758695	CC(C)C(C)([NH3+])CCC(C)(C)C
ZINC53760272	CCC(C)C(C)([NH3+])CC1CCOCC1
ZINC54554805	CC(O)C[NH2+]C1CCC(C(C)C)CC1
ZINC54556664	CCCOC1CC(C(C)C)CCC1[NH3+]
ZINC55028875	CC(C)[NH2+]CC(C)(O)C1CCCCC1
ZINC43654304	CCC1CCC([NH3+])C(CCC(C)C)C1
ZINC54557353	COCCC1([NH3+])CCC(C(C)C)CC1
ZINC61839508	CC(C)(C)CC[NH2+]C1CCCC(O)C1
ZINC62744676	C=CC[NH2+]C(C)c1ccc(F)cc1O
ZINC62988100	CC(C)C(C)NC(=[NH2+])C1CCCCC1
ZINC62990317	[NH2+]=C(NCC1CCCC1)C1CCCC1
ZINC62991294	COC1CCCC1NC(=[NH2+])C(C)(C)C
ZINC62991545	CC(C)(C)C(=[NH2+])NCC1CCCCO1
ZINC01697818	CCCC(C)CC1CCC([NH3+])CC1
ZINC05379373	CC(C)(/C=N\O)[NH2+]C1CCCCC1
ZINC05962405	C[NH2+]C(c1ccccc1)C(C)(C)O
ZINC19817721	CCCc1nc(C[NH3+])sc1CC
ZINC19875811	C=CC[NH2+]C(C)c1ccccc1O
ZINC20226783	CC(C[NH3+])N(C)CC1CCCCC1
ZINC36901400	CCC(C)(C)[NH2+]Cc1c[nH]nc1C
ZINC37228011	CCC(C)C(C[NH3+])N1CCCCC1
ZINC37228013	CCC(C)C(C[NH3+])N1CCCCC1
ZINC37228014	CCC(C)C(C[NH3+])N1CCCCC1
ZINC37380468	CCCC(C)([NH3+])C1CC1
ZINC36678197	CC(C[NH3+])COC1CCCCC1
ZINC37691486	CC([NH2+]C1CCCCC1O)C1CC1
ZINC37745726	CCC(C)C(C)([NH3+])CC
ZINC37745729	CCC(C)C(C)([NH3+])CC
ZINC37745739	CCCC(C)([NH3+])C(C)CC
ZINC37745741	CCCC(C)([NH3+])C(C)CC
ZINC37873508	OC1CCCCCC1[NH2+]CC1CC1
ZINC37907121	CC([NH2+]C(C)C1CC1)c1cc[nH]n1
ZINC37910384	CCC(CC)(C[NH3+])N1CCCC1C
ZINC37913562	CCC1CCCN1C(C)(CC)C[NH3+]
ZINC38122636	CCC(C)(CO)[NH2+]C1CCCC1
ZINC41059943	CCC(C)C(C)([NH3+])c1nccs1
ZINC41059944	CCC(C)C(C)([NH3+])c1nccs1
ZINC41059946	CCC(C)C(C)([NH3+])c1nccs1
ZINC41059948	CCC([NH3+])(c1nccs1)C(C)C
ZINC43462044	CCC(C)C(C)([NH3+])c1cnn(C)c1
ZINC43462046	CCC(C)C(C)([NH3+])c1cnn(C)c1
ZINC44399648	CCC([NH3+])CC(C)(C)C
ZINC44460534	Cc1ccc(C(C)CCC(C)[NH3+])o1
ZINC44462090	CC1=CCC(CCC(C)[NH3+])C1(C)C
ZINC52278474	CC1CC1[NH2+]CC1(O)CCCCC1
ZINC53752882	CC(C)CCC1([NH3+])CCCC1
ZINC53757957	CCc1ccc(CC(C)(C)[NH3+])s1
ZINC53758215	CCC(C)CC(C)([NH3+])CC
ZINC53758898	CC([NH3+])(CC1CCCC1)C1CC1
ZINC53818071	CCC(C)CC([NH3+])C(C)C
ZINC53818073	CCC(C)CC([NH3+])C(C)C
ZINC53819078	CCC(C)CC([NH3+])C1CC1
ZINC54078105	CNC(=O)C[NH2+]C(C)C1CCCC1
ZINC54078107	CNC(=O)C[NH2+]C(C)C1CCCC1
ZINC54635357	CCCCC1(C[NH3+])CCCCC1
ZINC54796979	Cc1[nH]cnc1C[NH2+]CC(C)(C)C
ZINC55031043	CCC(C)(O)C[NH2+]C1CCCC1
ZINC53817903	CC(C)CC([NH3+])CC1CCCC1
ZINC62201166	CCCc1ncc(C(C)(C)[NH3+])s1
ZINC39114488	CC(C)CC1C[NH2+]C(C(C)C)CN1
ZINC62987925	CC(C)(C)C(=[NH2+])NCC1CCOC1
ZINC62989163	CC(C)C(=[NH2+])NC1CCCCC1C
ZINC62992020	CC1(C)CC1NC(=[NH2+])C1CCCC1
ZINC08816532	NC(=O)C1([NH+]2CCCCC2)CCCCC1
ZINC12398169	Cc1nn(C(C[NH3+])C(C)C)c(C)c1Cl
ZINC19259003	CC1CN(C(C[NH3+])C2CCCCC2)CCO1
ZINC19730302	Cc1ccc(C2COC(C)(CC[NH3+])O2)cc1
ZINC30834329	[NH3+]Cc1cc2c(cc1Br)OCO2
ZINC34181077	COc1ccc(C2[NH2+]CCS2)cc1O
ZINC35396022	O=C1NCCCCC1[NH2+]CC1CC=CCC1
ZINC36325981	CCC1COCCN1C1(C[NH3+])CCCCC1
ZINC36827657	CC1CCC([NH3+])(C(=O)OC(C)C)CC1
ZINC37164701	CCN1CCC([NH2+]C2CCCC(O)C2)CC1
ZINC37242271	CC(C)Oc1ccc(N2CCC([NH3+])C2)cc1
ZINC37321407	COC1CCCCC1[NH2+]C1CCCC(O)C1
ZINC37479566	CC1CN(CC2([NH3+])CCCC2)CC(C)O1
ZINC37481177	CCCC(C)([NH3+])C(=O)N1CCCC(C)C1
ZINC38045253	OC1CCCCCC1[NH2+]CC1CCCOC1
ZINC38045255	OC1CCCCCC1[NH2+]CC1CCCOC1
ZINC38094649	OC1CCCCCC1[NH2+]CC1CCOC1
ZINC40731767	CCc1c(C)nn(C2CCCC2C[NH3+])c1C
ZINC40951329	CC1CC(OC(=O)C(C)[NH3+])CC(C)(C)C1
ZINC40992465	[NH3+]CC1CCCCCC1OC1CCOCC1
ZINC41581134	CC1(C)CN(CCC[NH3+])c2ccccc2O1
ZINC42237317	OCC1CCCC[NH+]1C1CCCCC1O
ZINC43467690	CCCn1cc(C2([NH3+])CCCC2)cn1
ZINC43640540	CCc1ccc(C(N)c2[nH+]ccn2C)s1
ZINC44402091	CCC([NH3+])Cc1cc(F)cc2c1OCOC2
ZINC44751907	CCC1CCN(C(=O)C(C)(C)C[NH3+])CC1
ZINC45662585	CC1CN(C(C[NH3+])C(C)(C)C)CC(C)(C)O1
ZINC48632291	[NH3+]C1CCC(C(=O)OC2CCCC2)CC1
ZINC49556512	Cc1ccc(C(C)[NH2+]C2COCC2O)cc1
ZINC50565599	CC1CCCN(C(=O)C2([NH3+])CCCC2)C1C
ZINC51726442	CCc1ccc(C([NH3+])c2ccoc2C)o1
ZINC52172721	OC1CCCCC1[NH2+]CC1CCOCC1
ZINC54788463	OC1CCCCC1[NH2+]Cc1cncs1
ZINC54896210	CC1CCCN(c2ncc(C[NH3+])s2)C1C
ZINC54896231	CC1CCN(c2ncc(C[NH3+])s2)C(C)C1
ZINC55126467	CC(C)CN(C)C(=O)C1CCC([NH3+])C(C)C1
ZINC55222702	Cc1ccc(F)c(C([NH3+])c2cnccn2)c1
ZINC55238833	[NH3+]C(c1cnccn1)c1ccc(F)cc1F
ZINC37478807	CC1CC(C)CN(C(=O)C(C)([NH3+])C2CC2)C1
ZINC57952000	COc1ccc2c(c1OC)CC(C[NH3+])CC2
ZINC37490929	CC([NH2+]C1CCCCC1O)c1ccncc1
ZINC37490930	CC([NH2+]C1CCCCC1O)c1ccncc1
ZINC61686345	CC(C)C(C(C)[NH3+])C1CCS(=O)(=O)C1
ZINC61686346	CC(C)C(C(C)[NH3+])C1CCS(=O)(=O)C1
ZINC61821070	CC1(C)CCN(C(=O)C2([NH3+])CCCC2)CC1
ZINC61823613	CC1(C)CCN(c2ncc(C[NH3+])s2)CC1
ZINC62902883	CC1(C(=O)NCC2CC=CCC2)CC[NH2+]C1
ZINC63027609	CC(C)C(c1ncnc2ccccc12)C(C)[NH3+]
ZINC63145296	CC1CCC(C[NH2+]C2COCC2O)CC1
ZINC67172120	OCC1CCNCC[NH+]1CC1CCCCC1
ZINC04207396	CC(C)C([NH3+])c1ccc(C(C)(C)C)cc1
ZINC04207397	CC(C)C([NH3+])c1ccc(C(C)(C)C)cc1
ZINC00347517	OC1(c2ccc(F)cc2)CC[NH2+]CC1
ZINC11729422	CC1CCC(C(N)=S)([NH+](C)C)CC1
ZINC11849044	Cc1ccc2c(c1C)OC(C)(C)CC2[NH3+]
ZINC19387186	[NH3+]CCc1ccc(Br)o1
ZINC19970579	CCCC([NH3+])c1ccc2c(c1)CCCC2
ZINC19970580	CCCC([NH3+])c1ccc2c(c1)CCCC2
ZINC19970631	CCc1ccc(C([NH3+])C2CCC2)s1
ZINC03739127	Cc1ccc(C([NH3+])C2CC2)cc1C
ZINC03739126	Cc1ccc(C([NH3+])C2CC2)cc1C
ZINC34616244	[NH3+]CCC#Cc1ccccc1
ZINC34939243	CC1CC1C([NH3+])c1ccc(Cl)s1
ZINC35018756	[NH3+]C(CCCl)CCCl
ZINC35653235	Cc1ccc(C(C)(C)C)c2c1C([NH3+])CO2
ZINC35654655	CC(C)(C)c1ccc2c(c1)C([NH3+])CO2
ZINC36998887	CC1CC1C([NH3+])c1ccc(F)cc1
ZINC37241998	[NH3+]C1CCN(c2cc(F)cc(F)c2)C1
ZINC37242079	CC1CCC([NH+]2CCC(N)C2)CC1
ZINC39062345	[NH3+]Cc1cc(C=O)ccc1F
ZINC39089386	COC1(C[NH3+])CCCC(C)C1
ZINC39089387	COC1(C[NH3+])CCCC(C)C1
ZINC39089388	COC1(C[NH3+])CCCC(C)C1
ZINC39105231	Cc1c(C)c(C)c2c(c1C)CC([NH3+])C2=O
ZINC41202987	CC(CC[NH3+])c1ccc(F)c(F)c1
ZINC41204868	Cc1ccccc1C(CC[NH3+])C1CC1
ZINC43050266	CSC(c1ccccc1F)C(C)[NH3+]
ZINC43297869	CC(C)SC(C(C)[NH3+])C(C)(C)C
ZINC44460800	CC([NH3+])Cc1c(F)ccc(F)c1Cl
ZINC39137003	CC1(C[NH3+])CN1c1ccccc1
ZINC49576016	CC(C)([NH3+])c1cncc(F)c1
ZINC49729400	[NH3+]C(CC1CC1)c1ccc(Cl)s1
ZINC49729405	[NH3+]C(CC1CC1)c1ccc2c(c1)CCC2
ZINC49804187	CC(C)(C[NH3+])Cc1ccccc1F
ZINC50327140	[NH3+]C(Cc1ccc(F)cc1)C1=CCCC1
ZINC50426254	CCC(C)CC1CCCC1[NH3+]
ZINC51665151	CC#CCC([NH3+])c1cccc(C)c1
ZINC51690298	CCC(C)C1CC1C(C)[NH3+]
ZINC51690300	CCC(C)C1CC1C(C)[NH3+]
ZINC52068884	[NH3+]Cc1cc2cc(F)cc(F)c2o1
ZINC52946706	CC(C[NH3+])Cc1ccc(Cl)s1
ZINC52946707	CC(C[NH3+])Cc1ccc(Cl)s1
ZINC52946710	CCc1ccc(CC(C)C[NH3+])s1
ZINC53817296	[NH3+]C(CC1CCCC1)c1ccsc1
ZINC54587532	[NH3+]CC1CC12CCSc1ccccc12
ZINC54637150	CCC(C)(C[NH3+])Cc1ccsc1
ZINC55206066	Cc1cc(F)ccc1C([NH3+])C(C)C
ZINC57938091	Cc1cc(C)c(N2CCC([NH3+])C2)c(C)c1
ZINC62830006	[NH3+]CC1CCCC1SC1CCCC1
ZINC62830022	CC(C[NH3+])CSC1CCCC1
ZINC03838758	NC(=O)CNC(=O)C1=CC(NC(=O)NC2CCCCC2)C(O)C(O)C1
ZINC03839690	CC(NC(=O)C1=CC(NC(=O)C2CCC[NH2+]2)C(O)C(O)C1)C(N)=O
ZINC04336382	NNC(=O)C(O)C(O)C(O)C(O)CO
ZINC04556851	COC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O
ZINC04582790	NNC(=O)C(O)C(O)C(O)C(O)CO
ZINC04727119	Cc1cc(CO)c(C(=O)NN)c(SCC(=O)NN)n1
ZINC05287482	N/N=C/C(O)C(O)C(O)C(O)CO
ZINC05286470	NC(=O)N/N=C(\c1nc2ccccc2[nH]c1=O)C(O)C(O)CO
ZINC05286472	NC(=O)N/N=C(\c1nc2ccccc2[nH]c1=O)C(O)C(O)CO
ZINC06169882	COC1(C(=O)[O-])CC(O)C([NH3+])C(C(O)C(O)CO)O1
ZINC11592524	OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC12504462	COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
ZINC14418825	[NH3+]C(CO)C(O)C(O)C(O)CO
ZINC16123789	COC1(C(=O)[O-])CC(O)C([NH3+])C(C(O)C(O)CO)O1
ZINC16136235	NNC(=O)C(O)C(O)C(O)C(O)CO
ZINC16887752	CC(C)=C/C(CC(C)(C)NC(=O)NN)=N/NC(N)=O
ZINC08580210	[NH3+]CC(=O)C(O)C(O)C(O)CO
ZINC31425016	OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
ZINC31468901	CC1CCCCC1[NH+](CC(=O)NC(N)=O)CC(=O)NC(N)=O
ZINC32021510	C[NH+](CCO)C(C[NH3+])c1ccc(O)cc1O
ZINC34332376	COC1C(OC2C(CO)OC(O)C(O)C2O)OC(CO)C(O)C1O
ZINC35298647	O=c1[nH]c(NCC(O)C(O)C(O)CO)c([N+](=O)[O-])c(=O)[nH]1
ZINC36423964	[N-]=[N+]=NC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
ZINC37626647	CC(NC(=O)CNC(=O)C[NH3+])c1ccc2[nH]c(=O)[nH]c2c1
ZINC37627652	Cc1cc(S(N)(=O)=O)cc(NC(=O)CNC(=O)C[NH3+])c1C
ZINC37635875	NC(=O)CCCC([NH3+])c1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC01543916	CC(C)C([NH3+])C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21
ZINC04320893	OCC(O)C(O)C(O)C(O)C1[NH2+]CCS1
ZINC38610427	[NH3+]C1N[NH2+]NN1CC(=O)N/N=C/C1C=NN=C1c1ccccc1
ZINC40736212	CCN(CCO)c1nc[nH+]c(NN)c1N
ZINC40824923	Cc1occc1C(=O)NNC(=O)c1oc2c(c1C)/C(=N/NC(N)=[NH2+])CCC2
ZINC42139144	NC(=O)CCNc1ncc(N)cc1C(N)=O
ZINC44471031	NC(C[NH3+])c1ccc(-c2ccc(C(N)C[NH3+])cn2)nc1
ZINC45071276	Nc1cc(NCCCS(N)(=O)=O)cc(S(N)(=O)=O)c1
ZINC45254721	Cc1cc(OCCC[NH3+])nc2sc(C(N)=O)c(N)c12
ZINC50089343	CC[NH+](CC(=O)NC(N)=O)C1(C[NH3+])CCCC(C)C1
ZINC52094756	NC(=O)COCC([NH3+])c1cc2[nH]c(=O)[nH]c2cc1Br
ZINC13507626	[NH3+]C(C=O)C(O)C(O)C(O)CO
ZINC61805737	NC(=O)CN(CC(N)=O)C(=O)c1ccc(N)cc1N
ZINC61806621	[NH3+]CCN(CC[NH3+])c1cccn[nH+]1
ZINC61806662	Cc1ccc(N(CC[NH3+])CC[NH3+])[nH+]n1
ZINC61808584	NC(=O)CN(CC(N)=O)C(=O)C1(C[NH3+])CCCC1
ZINC61808719	NC(=O)CN(CC(N)=O)C(=O)C[NH3+]
ZINC61808732	NC(=O)CN(CC(N)=O)C(=O)C1CCC([NH3+])CC1
ZINC61808759	NC(=O)CN(CC(N)=O)C(=O)C1([NH3+])CCCCC1
ZINC61809532	NC(=O)CN(CC(N)=O)C(=O)C1(/C(N)=N\O)CCOCC1
ZINC61809788	CC1CCCC(C(=O)N(CC(N)=O)CC(N)=O)C1[NH3+]
ZINC61809828	CC1CC([NH3+])CCC1C(=O)N(CC(N)=O)CC(N)=O
ZINC63333464	[NH3+]CC1NOC(C(=O)NCCC2=c3ccccc3=[NH+]C2)N1
ZINC65740653	[NH3+]CCc1ccc(O)c(OC2OC(C(=O)[O-])C(O)C(O)C2O)c1
ZINC06357275	CC(C)(C)NC(=O)C1CCCC[NH2+]1
ZINC00336240	[NH3+]Cc1nc2c(s1)CCCCC2
ZINC11822526	Cn1cccc1C([NH3+])c1ccco1
ZINC01585007	CC(C)[NH2+]C1CCCC1O
ZINC19090199	Cc1ccccc1C1(O)CC[NH2+]C1
ZINC19257643	COC1CC(C(C)(C)C)CCC1[NH3+]
ZINC19441035	CC(C)NC(=O)C1CCCC(C)[NH2+]1
ZINC19672506	CC1CCCN(C(=O)C(C)(C)[NH3+])C1
ZINC19721892	Cc1csc(C(C)(C)[NH3+])n1
ZINC34128591	CC(C)C([NH3+])C1CCCCC1
ZINC37381705	[NH3+]C1CC1c1ccc2c(c1)CCO2
ZINC37490963	C#CC[NH2+]C1CCCCC1O
ZINC03866180	CC1[NH2+]CCC2(O)CCCCC12
ZINC39114355	Cc1csc(C2C[NH2+]CCN2)c1
ZINC16133839	CC12CCC(C/C1=N\O)C(C)(C)[NH2+]2
ZINC38121154	C[NH2+]C1(CO)CC(C)CC(C)(C)C1
ZINC41029166	CC(C)=CC[NH+]1CCCC(N)C1
ZINC41059564	CCC(C)([NH3+])c1nccs1
ZINC41202447	OC(C1CCCC1)C1CC[NH2+]CC1
ZINC43462024	CC(C)C(C)([NH3+])c1cnn(C)c1
ZINC45802990	CC1CC[NH2+]C1c1ccc[nH]1
ZINC45951731	O=C1NCC[NH2+]C12CCCCCC2
ZINC49588194	[NH3+]C1CCCC(Br)C1
ZINC50325539	[NH3+]C(C1=CCCCC1)C1CCOC1
ZINC50327006	[NH3+]C(C1=CCCC1)C1CCC1
ZINC50456278	[NH3+]C1CC1C(=O)N1CCCCCC1
ZINC50520214	CC1CCC([NH3+])C(OC2CCC2)C1
ZINC52015426	CC#CC[NH2+]C1CCCCC1O
ZINC52126004	CCC(C)C1(C)CC1[NH3+]
ZINC52126277	CC1(C2CCCCC2)CC1[NH3+]
ZINC52927397	[NH3+]C1CCCC1OC1CCCCC1
ZINC53752943	[NH3+]C1(CC2CCCO2)CCCC1
ZINC54159016	CCc1cnc(C(C)(C)[NH3+])s1
ZINC54320132	[NH3+]C1CCCCC1OC1CCCC1
ZINC54588073	CC1CCC2(CC1)CC2C[NH3+]
ZINC55189679	CCCC1(O)CC[NH2+]CC1
ZINC57348433	OCC1CC2CCCCC2[NH2+]1
ZINC49694130	CC1CC([NH3+])CCN1C(C)(C)C
ZINC49709057	CC1CC([NH3+])CCN1C1CCCC1
ZINC49713176	CC1CC([NH3+])CCN1CC(C)(C)C
ZINC50520156	[NH3+]C1CCCCC1OC1CCC1
ZINC52126095	CC1CC(C)(C)CC2(C1)CC2[NH3+]
ZINC52126394	Cc1cc(C2(C)CC2[NH3+])c(C)o1
ZINC54082324	CC1(C2CCCC2)CC1[NH3+]
ZINC54635366	CCC1(C[NH3+])CCCCC1
ZINC54822691	N#CC1CCCCCC1[NH3+]
ZINC61840643	CC(C)(C)CC1CC1[NH3+]
ZINC62720109	CN1CCC(C)([NH3+])c2ccccc21
ZINC62994522	CNC(=[NH2+])C1CCCC(C)C1
